#separator:tab		
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
<b>係</b> <br> この部署の係長はとても責任感が強いです。	[sound:s-1497_この部署の係長はとても責任感が強いです。.mp3] <br> このぶしょのかかりちょうはとてもせきにんかんがつよいです。 <br>The head of this department has a strong sense of responsibility.
<b>関係</b> <br> 私たちの関係は長い間続いています。	[sound:s-1498_私たちの関係は長い間続いています。.mp3] <br> わたしたちのかんけいはながいあいだつづいています。 <br>Our relationship has been going on for a long time.
<b>関係者</b> <br> このプロジェクトには関係者全員が参加しています。	[sound:s-1499_このプロジェクトには関係者全員が参加しています。.mp3] <br> このぷろじぇくとにはかんけいしゃぜんいんがさんかしています。 <br>All relevant personnel are participating in this project.
<b>人間関係</b> <br> 職場で良好な人間関係を築くことは重要です。	[sound:s-1500_職場で良好な人間関係を築くことは重要です。.mp3] <br> しょくばでりょうこうなにんげんかんけいをきずくことはじゅうようです。 <br>Building good interpersonal relationships in the workplace is important.
<b>係長</b> <br> この部署の係長はリーダーシップがあります。	[sound:s-1501_この部署の係長はリーダーシップがあります。.mp3] <br> このぶしょのかかりちょうはりーだーしっぷがあります。 <br>The head of this department has leadership skills.
<b>無関係</b> <br> 私はその問題とは無関係です。	[sound:s-1502_私はその問題とは無関係です。.mp3] <br> わたしはそのもんだいとはむかんけいです。 <br>I have nothing to do with that issue.
<b>係官</b> <br> この事務所の係官に連絡してください。	[sound:s-1503_この事務所の係官に連絡してください。.mp3] <br> このじむしょのかかりかんにれんらくしてください。 <br>Please contact the official in charge of this office.
<b>係員</b> <br> このプロジェクトには多くの係員が関わっています。	[sound:s-1504_このプロジェクトには多くの係員が関わっています。.mp3] <br> このぷろじぇくとにはおおくのかかりいんがかかわっています。 <br>Many staff members are involved in this project.
<b>係争</b> <br> この訴訟は長期間にわたる係争となりました。	[sound:s-1505_この訴訟は長期間にわたる係争となりました。.mp3] <br> このそしょうはちょうきかんにわたるかかりそうとなりました。 <br>This lawsuit has turned into a long-standing dispute.
<b>連係プレー</b> <br> チームメンバー間の連係プレーが素晴らしかった。	[sound:s-1506_チームメンバー間の連係プレーが素晴らしかった。.mp3] <br> ちーむめんばーかんのれんけいぷれーがすばらしかった。 <br>The teamwork between the team members was excellent.
<b>感じ</b> <br> 彼女の言葉から彼の気持ちを感じ取れる。	[sound:s-1507_彼女の言葉から彼の気持ちを感じ取れる。.mp3] <br> かのじょのことばからかれのきもちをかんじとれる。 <br>You can sense his feelings from her words.
<b>感覚</b> <br> 暗闇での感覚は鋭敏になる。	[sound:s-1508_暗闇での感覚は鋭敏になる。.mp3] <br> くらやみでのかんかくはえいびんになる。 <br>Your senses become more acute in the darkness.
<b>感染</b> <br> 新型ウイルスの感染が拡大しています。	[sound:s-1509_新型ウイルスの感染が拡大しています。.mp3] <br> しんがたういるすのかんせんがかくだいしています。 <br>The spread of the new virus infection is expanding.
<b>感じる</b> <br> 彼の言葉には深い愛情が感じられる。	[sound:s-1510_彼の言葉には深い愛情が感じられる。.mp3] <br> かれのことばにはふかいあいじょうがかんじられる。 <br>You can feel deep affection in his words.
<b>感情</b> <br> 彼女の顔には複雑な感情が浮かんでいる。	[sound:s-1511_彼女の顔には複雑な感情が浮かんでいる。.mp3] <br> かのじょのかおにはふくざつなかんじょうがうかんでいる。 <br>Complex emotions are evident on her face.
<b>感想</b> <br> 映画を見た後、彼は感想を述べた。	[sound:s-1512_映画を見た後、彼は感想を述べた。.mp3] <br> えいがをみたあと、かれはかんそうをのべた。 <br>"After watching the movie, he gave his impressions."
<b>感動</b> <br> 彼の演技に多くの観客が感動した。	[sound:s-1513_彼の演技に多くの観客が感動した。.mp3] <br> かれのえんぎにおおくのかんきゃくがかんどうした。 <br>Many spectators were moved by his performance.
<b>感謝</b> <br> 彼女は友人に対して感謝の気持ちを伝えた。	[sound:s-1514_彼女は友人に対して感謝の気持ちを伝えた。.mp3] <br> かのじょはゆうじんにたいしてかんしゃのきもちをつたえた。 <br>She expressed her gratitude to her friend.
<b>感性</b> <br> 彼は芸術家として独特の感性を持っている。	[sound:s-1515_彼は芸術家として独特の感性を持っている。.mp3] <br> かれはげいじゅつかとしてどくとくのかんせいをもっている。 <br>He has a unique sensibility as an artist.
<b>実感</b> <br> 長い間の努力の結果、ようやく実感が湧いてきた。	[sound:s-1516_長い間の努力の結果、ようやく実感が湧いてきた。.mp3] <br> ながいかんのどりょくのけっか、ようやくじっかんがわいてきた。 <br>"After long efforts, I finally feel a sense of accomplishment."
<b>特に</b> <br> 彼は特にその問題に興味がある。	[sound:s-1517_彼は特にその問題に興味がある。.mp3] <br> かれはとくにそのもんだいにきょうみがある。 <br>He is particularly interested in that issue.
<b>特別</b> <br> 彼女は特別な能力を持っています。	[sound:s-1518_彼女は特別な能力を持っています。.mp3] <br> かのじょはとくべつなのうりょくをもっています。 <br>She has special abilities.
<b>特徴</b> <br> この機械の特徴を説明してください。	[sound:s-1519_この機械の特徴を説明してください。.mp3] <br> このきかいのとくちょうをせつめいしてください。 <br>Please explain the features of this machine.
<b>特定</b> <br> 犯人の特定には時間がかかるかもしれません。	[sound:s-1520_犯人の特定には時間がかかるかもしれません。.mp3] <br> はんにんのとくていにはじかんがかかるかもしれません。 <br>It may take time to identify the culprit.
<b>特捜</b> <br> 特捜班が事件の捜査を行っている。	[sound:s-1521_特捜班が事件の捜査を行っている。.mp3] <br> とくそうはんがじけんのそうさをおこなっている。 <br>The special investigation team is conducting an inquiry into the case.
<b>特殊</b> <br> その装置は特殊な材料で作られています。	[sound:s-1522_その装置は特殊な材料で作られています。.mp3] <br> そのそうちはとくしゅなざいりょうでつくられています。 <br>That device is made with special materials.
<b>特例</b> <br> この場合、特例が適用されます。	[sound:s-1523_この場合、特例が適用されます。.mp3] <br> このばあい、とくれいがてきようされます。 <br>"In this case, an exception will be made."
<b>独特</b> <br> その店は独特の雰囲気がある。	[sound:s-1524_その店は独特の雰囲気がある。.mp3] <br> そのみせはどくとくのふんいきがある。 <br>That store has a unique atmosphere.
<b>特使</b> <br> 彼は特使として外交使節団に参加した。	[sound:s-1525_彼は特使として外交使節団に参加した。.mp3] <br> かれはとくしとしてがいこうしせつだんにさんかした。 <br>He participated in the diplomatic mission as a special envoy.
<b>特集</b> <br> 今月の雑誌はペットに特集されています。	[sound:s-1526_今月の雑誌はペットに特集されています。.mp3] <br> こんげつのざっしはぺっとにとくしゅうされています。 <br>This month's magazine features pets.
<b>情</b> <br> 彼の決断は常に情に基づいている。	[sound:s-1527_彼の決断は常に情に基づいている。.mp3] <br> かれのけつだんはつねにじょうにもとづいている。 <br>His decisions are always based on emotions.
<b>事情</b> <br> 彼の家庭の事情を理解してください。	[sound:s-1528_彼の家庭の事情を理解してください。.mp3] <br> かれのかていのじじょうをりかいしてください。 <br>Please understand the circumstances of his family.
<b>情勢</b> <br> 国際情勢は不安定な状況です。	[sound:s-1529_国際情勢は不安定な状況です。.mp3] <br> こくさいじょうせいはふあんていなじょうきょうです。 <br>The international situation is unstable.
<b>情報</b> <br> このウェブサイトは最新の情報を提供しています。	[sound:s-1530_このウェブサイトは最新の情報を提供しています。.mp3] <br> このうぇぶさいとはさいしんのじょうほうをていきょうしています。 <br>This website provides the latest information.
<b>表情</b> <br> 彼女の表情から彼女の気持ちが読み取れる。	[sound:s-1531_彼女の表情から彼女の気持ちが読み取れる。.mp3] <br> かのじょのひょうじょうからかのじょのきもちがよみとれる。 <br>You can read her feelings from her expression.
<b>感情</b> <br> 彼の感情が高ぶっているのが見えた。	[sound:s-1532_彼の感情が高ぶっているのが見えた。.mp3] <br> かれのかんじょうがたかぶっているのがみえた。 <br>It was visible that his emotions were running high.
<b>実情</b> <br> 彼の失業の実情を理解していなかった。	[sound:s-1533_彼の失業の実情を理解していなかった。.mp3] <br> かれのしつぎょうのじつじょうをりかいしていなかった。 <br>I didn't understand the true situation of his unemployment.
<b>苦情</b> <br> 顧客からの苦情を真剣に受け止めるべきだ。	[sound:s-1534_顧客からの苦情を真剣に受け止めるべきだ。.mp3] <br> こきゃくからのくじょうをしんけんにうけとめるべきだ。 <br>We should take customer complaints seriously.
<b>情熱</b> <br> 彼の仕事への情熱は誰にも負けない。	[sound:s-1535_彼の仕事への情熱は誰にも負けない。.mp3] <br> かれのしごとへのじょうねつはだれにもまけない。 <br>His passion for work is unmatched by anyone.
<b>愛情</b> <br> 母は子供たちにたくさんの愛情を注いだ。	[sound:s-1536_母は子供たちにたくさんの愛情を注いだ。.mp3] <br> はははこどもたちにたくさんのあいじょうをそそいだ。 <br>The mother poured out much love to her children.
<b>投資</b> <br> 彼は新しいビジネスに投資するつもりです。	[sound:s-1537_彼は新しいビジネスに投資するつもりです。.mp3] <br> かれはあたらしいびじねすにとうしするつもりです。 <br>He intends to invest in a new business.
<b>投手</b> <br> このチームの投手は非常に優れています。	[sound:s-1538_このチームの投手は非常に優れています。.mp3] <br> このちーむのとうしゅはひじょうにすぐれています。 <br>The pitcher of this team is very excellent.
<b>投票</b> <br> 明日の選挙で投票する予定です。	[sound:s-1539_明日の選挙で投票する予定です。.mp3] <br> あしたのせんきょでとうひょうするよていです。 <br>I plan to vote in tomorrow's election.
<b>国民投票</b> <br> 政府は国民投票を実施することを決定した。	[sound:s-1540_政府は国民投票を実施することを決定した。.mp3] <br> せいふはこくみんとうひょうをじっしすることをけっていした。 <br>The government decided to hold a national referendum.
<b>投球</b> <br> 彼の投球は速く、正確です。	[sound:s-1541_彼の投球は速く、正確です。.mp3] <br> かれのとうきゅうははやく、せいかくです。 <br>His pitching is fast and accurate.
<b>完投</b> <br> 彼はこのシーズンで3回完投した。	[sound:s-1542_彼はこのシーズンで3回完投した。.mp3] <br> かれはこのしーずんで3かいかんとうした。 <br>He completed three games this season.
<b>継投</b> <br> 監督は継投を計画している。	[sound:s-1543_監督は継投を計画している。.mp3] <br> かんとくはけいとうをけいかくしている。 <br>The manager is planning to use relief pitchers.
<b>好投</b> <br> 今日の試合で彼は好投を見せた。	[sound:s-1544_今日の試合で彼は好投を見せた。.mp3] <br> きょうのしあいでかれはこうとうをみせた。 <br>He showed a great performance in today's game.
<b>投機</b> <br> 株式市場での投機はリスクが高い。	[sound:s-1545_株式市場での投機はリスクが高い。.mp3] <br> かぶしきしじょうでのとうきはりすくがたかい。 <br>Speculation in the stock market is high risk.
<b>投棄</b> <br> ごみの適切な投棄は重要です。	[sound:s-1546_ごみの適切な投棄は重要です。.mp3] <br> ごみのてきせつなとうきはじゅうようです。 <br>Proper disposal of garbage is important.
<b>示す</b> <br> 彼は地図で道を示した。	[sound:s-1547_彼は地図で道を示した。.mp3] <br> かれはちずでみちをしめした。 <br>He showed the way on the map.
<b>指示</b> <br> 上司から明確な指示が出た。	[sound:s-1548_上司から明確な指示が出た。.mp3] <br> じょうしけからめいかくなしじがでた。 <br>Clear instructions were given by the boss.
<b>表示</b> <br> 画面には時間が表示されています。	[sound:s-1549_画面には時間が表示されています。.mp3] <br> がめんにはじかんがひょうじされています。 <br>The time is displayed on the screen.
<b>展示</b> <br> 美術館で有名な絵画が展示されている。	[sound:s-1550_美術館で有名な絵画が展示されている。.mp3] <br> びじゅつかんでゆうめいなかいがてんじされている。 <br>Famous paintings are on display at the art museum.
<b>開示</b> <br> 機密情報の開示は許可されていません。	[sound:s-1551_機密情報の開示は許可されていません。.mp3] <br> きみつじょうほうのかいじはきょかされていません。 <br>Disclosure of confidential information is not permitted.
<b>告示</b> <br> イベントの告示がポスターで行われた。	[sound:s-1552_イベントの告示がポスターで行われた。.mp3] <br> いべんとのこくじがぽすたーでおこなわれた。 <br>The announcement of the event was made with posters.
<b>公示</b> <br> 政府からの公示が発表された。	[sound:s-1553_政府からの公示が発表された。.mp3] <br> せいふからのこうじがはっぴょうされた。 <br>The government's public announcement was made.
<b>示し</b> <br> 彼の行動は彼の本当の気持ちを示している。	[sound:s-1554_彼の行動は彼の本当の気持ちを示している。.mp3] <br> かれのこうどうはかれのほんとうのきもちをしめしている。 <br>His actions reveal his true feelings.
<b>提示</b> <br> 彼はプレゼンテーションで提案を提示した。	[sound:s-1555_彼はプレゼンテーションで提案を提示した。.mp3] <br> かれはぷれぜんてーしょんでていあんをていじした。 <br>He presented his proposal in the presentation.
<b>意思表示</b> <br> 彼は交渉に参加する意思表示をした。	[sound:s-1556_彼は交渉に参加する意思表示をした。.mp3] <br> かれはこうしょうにさんかするいしひょうじをした。 <br>He indicated his intention to participate in the negotiation.
<b>変わった</b> <br> 彼の服装はいつもと変わった。	[sound:s-1557_彼の服装はいつもと変わった。.mp3] <br> かれのふくそうはいつもとかわった。 <br>His attire was different from usual.
<b>変わらない</b> <br> 彼女の笑顔はいつも変わらない。	[sound:s-1558_彼女の笑顔はいつも変わらない。.mp3] <br> かのじょのえがおはいつもかわらない。 <br>Her smile never changes.
<b>変わる</b> <br> この町は最近大きく変わった。	[sound:s-1559_この町は最近大きく変わった。.mp3] <br> このまちはさいきんおおきくかわった。 <br>This town has changed dramatically recently.
<b>変わり</b> <br> 天気の変わりが激しい。	[sound:s-1560_天気の変わりが激しい。.mp3] <br> てんきのかわりがはげしい。 <br>The weather changes drastically.
<b>変化</b> <br> 私の人生に大きな変化が起こった。	[sound:s-1561_私の人生に大きな変化が起こった。.mp3] <br> わたしのじんせいにおおきなへんかがおこった。 <br>There has been a significant change in my life.
<b>大変</b> <br> 彼は大変忙しい仕事をしている。	[sound:s-1562_彼は大変忙しい仕事をしている。.mp3] <br> かれはたいへんいそがしいしごとをしている。 <br>He is very busy with work.
<b>変更</b> <br> 予定が変更された。	[sound:s-1563_予定が変更された。.mp3] <br> よていがへんこうされた。 <br>The schedule has been changed.
<b>変動</b> <br> 通貨市場は常に変動している。	[sound:s-1564_通貨市場は常に変動している。.mp3] <br> つうかしじょうはつねにへんどうしている。 <br>The currency market is constantly fluctuating.
<b>変</b> <br> 彼の考え方は少し変だ。	[sound:s-1565_彼の考え方は少し変だ。.mp3] <br> かれのかんがえかたはすこしへんだ。 <br>His way of thinking is a bit strange.
<b>変革</b> <br> 新しいリーダーシップによって変革が進められている。	[sound:s-1566_新しいリーダーシップによって変革が進められている。.mp3] <br> あたらしいりーだーしっぷによってへんかくがすすめられている。 <br>Transformation is being driven by new leadership.
<b>打つ</b> <br> 彼はボールを強く打った。	[sound:s-1567_彼はボールを強く打った。.mp3] <br> かれはぼーるをつよくうった。 <br>He hit the ball hard.
<b>本塁打</b> <br> 彼は今シーズンで多くの本塁打を打った。	[sound:s-1568_彼は今シーズンで多くの本塁打を打った。.mp3] <br> かれはこんしーずんでおおくのほんるいだをうった。 <br>He hit many home runs this season.
<b>打撃</b> <br> 彼の打撃はチームに勇気を与えた。	[sound:s-1569_彼の打撃はチームに勇気を与えた。.mp3] <br> かれのだげきはちーむにゆうきをあたえた。 <br>His batting gave courage to the team.
<b>打線</b> <br> このチームの打線はとても強力だ。	[sound:s-1570_このチームの打線はとても強力だ。.mp3] <br> このちーむのだせんはとてもきょうりょくだ。 <br>The batting lineup of this team is very powerful.
<b>安打</b> <br> 彼はその試合で安打を記録した。	[sound:s-1571_彼はその試合で安打を記録した。.mp3] <br> かれはそのしあいであんだをきろくした。 <br>He recorded a base hit in that game.
<b>打者</b> <br> 彼は優れた打者です。	[sound:s-1572_彼は優れた打者です。.mp3] <br> かれはすぐれただしゃです。 <br>He is an excellent batter.
<b>二塁打</b> <br> 彼はその試合で二塁打を打った。	[sound:s-1573_彼はその試合で二塁打を打った。.mp3] <br> かれはそのしあいでにるいだをうった。 <br>He hit a double in that game.
<b>打席</b> <br> 彼はその試合で多くの打席を得た。	[sound:s-1574_彼はその試合で多くの打席を得た。.mp3] <br> かれはそのしあいでおおくのだせきをえた。 <br>He had many at-bats in that game.
<b>打ち上げ</b> <br> 大会後に選手たちは打ち上げを行った。	[sound:s-1575_大会後に選手たちは打ち上げを行った。.mp3] <br> たいかいごにせんしゅたちはうちあげをおこなった。 <br>The players held a celebration party after the tournament.
<b>打開</b> <br> 彼は困難な状況から打開する方法を見つけた。	[sound:s-1576_彼は困難な状況から打開する方法を見つけた。.mp3] <br> かれはこんなんなじょうきょうからだかいするほうほうをみつけた。 <br>He found a way to break through the difficult situation.
<b>男</b> <br> 彼は真の男のように振る舞った。	[sound:s-1577_彼は真の男のように振る舞った。.mp3] <br> かれはしんのおとこのようにふるまった。 <br>He behaved like a real man.
<b>男子</b> <br> その学校には男子と女子が均等にいる。	[sound:s-1578_その学校には男子と女子が均等にいる。.mp3] <br> そのがっこうにはだんしとじょしはきんとうにいる。 <br>There are an equal number of boys and girls in that school.
<b>男性</b> <br> その職場は男性が多い。	[sound:s-1579_その職場は男性が多い。.mp3] <br> そのしょくばはだんせいがおおい。 <br>There are many men in that workplace.
<b>長男</b> <br> 彼は家族の長男です。	[sound:s-1580_彼は家族の長男です。.mp3] <br> かれはかぞくのちょうなんです。 <br>He is the eldest son in the family.
<b>男女</b> <br> 男女平等の社会を目指すべきだ。	[sound:s-1581_男女平等の社会を目指すべきだ。.mp3] <br> だんじょびょうどうのしゃかいをめざすべきだ。 <br>We should aim for gender equality in society.
<b>男の子</b> <br> 公園でたくさんの男の子が遊んでいる。	[sound:s-1582_公園でたくさんの男の子が遊んでいる。.mp3] <br> こうえんでたくさんのおとこのこがあそんでいる。 <br>Many boys are playing in the park.
<b>三男</b> <br> 彼の家族には三男がいます。	[sound:s-1583_彼の家族には三男がいます。.mp3] <br> かれのかぞくにはさんなんがいます。 <br>He has three sons in his family.
<b>男児</b> <br> 子供たちは男児と女児が半々です。	[sound:s-1584_子供たちは男児と女児が半々です。.mp3] <br> こどもたちはだんじとじょじがはんはんです。 <br>The children consist of equal numbers of boys and girls.
<b>一男</b> <br> 彼は家族の中で一男です。	[sound:s-1585_彼は家族の中で一男です。.mp3] <br> かれはかぞくのなかでいちなんです。 <br>He is the eldest son in the family.
<b>男優</b> <br> 彼は有名な俳優として活躍している。	[sound:s-1586_彼は有名な俳優として活躍している。.mp3] <br> かれはゆうめいなはいゆうとしてかつやくしている。 <br>He is active as a famous actor.
<b>基本</b> <br> 数学の基本を学ぶことは重要です。	[sound:s-1587_数学の基本を学ぶことは重要です。.mp3] <br> すうがくのきほんをまなぶことはじゅうようです。 <br>Learning the basics of mathematics is important.
<b>基準</b> <br> この製品は安全基準を満たしています。	[sound:s-1588_この製品は安全基準を満たしています。.mp3] <br> このせいひんはあんぜんきじゅんをみたしています。 <br>This product meets safety standards.
<b>基金</b> <br> そのプロジェクトのための基金が集められました。	[sound:s-1589_そのプロジェクトのための基金が集められました。.mp3] <br> そのぷろじぇくとのためのききんがあつめられました。 <br>Funds have been raised for the project.
<b>基礎</b> <br> 科学の基礎を理解することは重要です。	[sound:s-1590_科学の基礎を理解することは重要です。.mp3] <br> かがくのきそをりかいすることはじゅうようです。 <br>Understanding the basics of science is important.
<b>基地</b> <br> 軍事基地がその地域に建設された。	[sound:s-1591_軍事基地がその地域に建設された。.mp3] <br> ぐんじきちがそのちいきにけんせつされた。 <br>A military base was built in the area.
<b>基盤</b> <br> 成功するためには強固な基盤が必要です。	[sound:s-1592_成功するためには強固な基盤が必要です。.mp3] <br> せいこうするためにはきょうこなきばんがひつようです。 <br>A solid foundation is necessary for success.
<b>基本的</b> <br> その問題の解決には基本的な知識が必要だ。	[sound:s-1593_その問題の解決には基本的な知識が必要だ。.mp3] <br> そのもんだいのかいけつにはきほんてきなちしきがひつようだ。 <br>Basic knowledge is required to solve the problem.
<b>基調</b> <br> この会議の基調は協力と共同です。	[sound:s-1594_この会議の基調は協力と共同です。.mp3] <br> このかいぎのきちょうはきょうりょくときょうどうです。 <br>The theme of this meeting is cooperation and collaboration.
<b>基幹</b> <br> この計画の成功は基幹となる技術に依存しています。	[sound:s-1595_この計画の成功は基幹となる技術に依存しています。.mp3] <br> このけいかくのせいこうはきかんとなるぎじゅつにいそんしています。 <br>The success of this plan depends on the core technology.
<b>基軸</b> <br> その計画の基軸は持続可能性です。	[sound:s-1596_その計画の基軸は持続可能性です。.mp3] <br> そのけいかくのきじくはじぞくかのうせいです。 <br>The cornerstone of the plan is sustainability.
<b>私</b> <br> 私は毎日散歩するのが好きです。	[sound:s-1597_私は毎日散歩するのが好きです。.mp3] <br> わたしはまいにちさんぽするのがすきです。 <br>I like to take a walk every day.
<b>私立</b> <br> 彼の子供たちは私立学校に通っている。	[sound:s-1598_彼の子供たちは私立学校に通っている。.mp3] <br> かれのこどもたちはわたくしりつがっこうにかよっている。 <br>His children attend a private school.
<b>私邸</b> <br> 彼の私邸は郊外にある。	[sound:s-1599_彼の私邸は郊外にある。.mp3] <br> かれのしていはこうがいにある。 <br>His private residence is in the suburbs.
<b>私的</b> <br> 私的な問題を公にするのは避けたい。	[sound:s-1600_私的な問題を公にするのは避けたい。.mp3] <br> わたしてきなもんだいをおおやけにするのはさけたい。 <br>I want to avoid making private matters public.
<b>私鉄</b> <br> その地域では私鉄が交通の中心です。	[sound:s-1601_その地域では私鉄が交通の中心です。.mp3] <br> そのちいきではしてつがこうつうのちゅうしんです。 <br>"In that area, private railways are the main mode of transportation."
<b>公私</b> <br> 仕事とプライベートのバランスを保つことは重要だ。	[sound:s-1602_仕事とプライベートのバランスを保つことは重要だ。.mp3] <br> しごととぷらいべーとのばらんすをたもつことはじゅうようだ。 <br>Maintaining a balance between work and personal life is important.
<b>私有</b> <br> その土地は彼の私有財産です。	[sound:s-1603_その土地は彼の私有財産です。.mp3] <br> そのとちはかれのしゆうざいさんです。 <br>The land is his private property.
<b>私学</b> <br> 彼女は私学で法律を学んでいます。	[sound:s-1604_彼女は私学で法律を学んでいます。.mp3] <br> かのじょはしがくでほうりつをまなんでいます。 <br>She is studying law at a private school.
<b>私文書</b> <br> その手紙は私文書です。	[sound:s-1605_その手紙は私文書です。.mp3] <br> そのてがみはしぶんしょです。 <br>The letter is a private document.
<b>私設</b> <br> 彼は私設図書館を開設した。	[sound:s-1606_彼は私設図書館を開設した。.mp3] <br> かれはしせつとしょかんをかいせつした。 <br>He opened a private library.
<b>各自</b> <br> この問題について、各自の意見を述べてください。	[sound:s-1607_この問題について、各自の意見を述べてください。.mp3] <br> このもんだいについて、かくじのいけんをのべてください。 <br>Please express your individual opinions on this issue.
<b>各種学校</b> <br> この地域には各種学校が揃っています。	[sound:s-1608_この地域には各種学校が揃っています。.mp3] <br> このちいきにはかくしゅがっこうがそろっています。 <br>Various types of schools are available in this area.
<b>各位</b> <br> 会議には役員各位が出席してください。	[sound:s-1609_会議には役員各位が出席してください。.mp3] <br> かいぎにはやくいんかくいがしゅっせきしてください。 <br>All board members are requested to attend the meeting.
<b>各々</b> <br> その問題に対して、各々が自分の立場から意見を述べた。	[sound:s-1610_その問題に対して、各々が自分の立場から意見を述べた。.mp3] <br> そのもんだいにたいして、おのおのがじぶんのたちばからいけんをのべた。 <br>Each person expressed their opinion from their own standpoint on the issue.
<b>各面</b> <br> この計画は様々な面で評価されています。	[sound:s-1611_この計画は様々な面で評価されています。.mp3] <br> このけいかくはさまざまなめんでひょうかされています。 <br>This plan is being evaluated from various aspects.
<b>各</b> <br> 今後、各案を検討していきます。	[sound:s-1612_今後、各案を検討していきます。.mp3] <br> こんご、かくあんをけんとうしていきます。 <br>"Going forward, we will consider each proposal."
<b>各</b> <br> 各駅停車でお進みください。	[sound:s-1613_各駅停車でお進みください。.mp3] <br> かくえきていしゃでおすすみください。 <br>Please proceed with caution on the local train.
<b>開始</b> <br> 新しいプロジェクトが開始されました。	[sound:s-1614_新しいプロジェクトが開始されました。.mp3] <br> あたらしいぷろじぇくとがかいしされました。 <br>The new project has begun.
<b>始まり</b> <br> その物語は古代の始まりから語られている。	[sound:s-1615_その物語は古代の始まりから語られている。.mp3] <br> そのものがたりはこだいのはじまりからかたられている。 <br>The story is told from the beginning of ancient times.
<b>終始</b> <br> 彼女は終始笑顔でいられる人だ。	[sound:s-1616_彼女は終始笑顔でいられる人だ。.mp3] <br> かのじょはしゅうしはえがおでいられるひとだ。 <br>She is someone who can maintain a smile from start to finish.
<b>始める</b> <br> 新年を迎えて新しい生活を始める。	[sound:s-1617_新年を迎えて新しい生活を始める。.mp3] <br> しんねんをむかえてあたらしいせいかつをはじめる。 <br>Start a new life as the new year begins.
<b>始め</b> <br> キャンペーンの始めには大規模なイベントが行われた。	[sound:s-1618_キャンペーンの始めには大規模なイベントが行われた。.mp3] <br> きゃんぺーんのはじめにはだいきぼないべんとがおこなわれた。 <br>A large-scale event was held at the beginning of the campaign.
<b>年始</b> <br> 年始の挨拶をしてから仕事を始める。	[sound:s-1619_年始の挨拶をしてから仕事を始める。.mp3] <br> ねんしのあいさつをしてからしごとをはじめる。 <br>Start working after exchanging New Year's greetings.
<b>始末</b> <br> 部屋の掃除を始末してから外出した。	[sound:s-1620_部屋の掃除を始末してから外出した。.mp3] <br> へやのそうじをしまつしてからがいしゅつした。 <br>I cleaned the room before going out.
<b>原始</b> <br> この地域は原始的な生活様式を保っている。	[sound:s-1621_この地域は原始的な生活様式を保っている。.mp3] <br> このちいきはげんしてきなせいかつようしきをたもっている。 <br>This area maintains a primitive way of life.
<b>始発</b> <br> 早朝の始発列車に間に合った。	[sound:s-1622_早朝の始発列車に間に合った。.mp3] <br> そうちょうのしはつれっしゃにまにあった。 <br>I caught the first train in the early morning.
<b>手始め</b> <br> 新しいプロジェクトに取り組む手始めに、計画を立てた。	[sound:s-1623_新しいプロジェクトに取り組む手始めに、計画を立てた。.mp3] <br> あたらしいぷろじぇくとにとりくむてはじめに、けいかくをたてた。 <br>"As a start to working on the new project, we made a plan."
<b>島</b> <br> 彼は南の島でのんびり過ごした。	[sound:s-1624_彼は南の島でのんびり過ごした。.mp3] <br> かれはみなみのしまでのんびりすごした。 <br>He spent a relaxing time on a southern island.
<b>朝鮮半島</b> <br> 朝鮮半島は東アジアに位置している。	[sound:s-1625_朝鮮半島は東アジアに位置している。.mp3] <br> ちょうせんはんとうはひがしアジアにいちしている。 <br>The Korean Peninsula is located in East Asia.
<b>中島</b> <br> その湖には小さな中島が浮かんでいる。	[sound:s-1626_その湖には小さな中島が浮かんでいる。.mp3] <br> そのみずうみにはちいさななかしまがうかんでいる。 <br>There is a small island floating in the lake.
<b>小島</b> <br> その小島は美しい砂浜と青い海に囲まれている。	[sound:s-1627_その小島は美しい砂浜と青い海に囲まれている。.mp3] <br> そのこじまはうつくしいすなはまとあおいうみにかこまれている。 <br>The small island is surrounded by beautiful sandy beaches and blue sea.
<b>半島</b> <br> 韓国は半島の国である。	[sound:s-1628_韓国は半島の国である。.mp3] <br> かんこくははんとうのくにである。 <br>Korea is a peninsula nation.
<b>列島</b> <br> 日本は火山性の列島である。	[sound:s-1629_日本は火山性の列島である。.mp3] <br> にほんはかざんせいのれっとうである。 <br>Japan is a volcanic archipelago.
<b>島根</b> <br> 島根県は日本の中国地方に位置している。	[sound:s-1630_島根県は日本の中国地方に位置している。.mp3] <br> しまねけんはにほんのちゅうごくちほうにいちしている。 <br>Shimane Prefecture is located in the Chugoku region of Japan.
<b>千島</b> <br> 千島列島は北海道とロシアの間にある。	[sound:s-1631_千島列島は北海道とロシアの間にある。.mp3] <br> ちしまれっとうはほっかいどうとロシアのあいだにある。 <br>The Kuril Islands are located between Hokkaido and Russia.
<b>島国</b> <br> ニュージーランドは島国である。	[sound:s-1632_ニュージーランドは島国である。.mp3] <br> にゅーじーらんどはしまぐにである。 <br>New Zealand is an island nation.
<b>離島</b> <br> この国の離島には美しいビーチが多い。	[sound:s-1633_この国の離島には美しいビーチが多い。.mp3] <br> このくにのりとうにはうつくしいびーちがおおい。 <br>There are many beautiful beaches on the outlying islands of this country.
