national policy	<b>国策</b> <br> こくさく <br> [sound:4c-k-国策.mp3]
list of articles	<b>品目</b> <br> ひんもく <br> [sound:4c-k-品目.mp3]
[sound:4c-s-メニューには多くの品目があります。.mp3]	<b>メニューには多くの品目があります。</b> <br> めにゅーにはおおくのひんもくがあります。 <br><br> (品目) <br> There are many items on the menu.
メニューには多くの品目があります。 <br><br> (品目)	<b>めにゅーにはおおくのひんもくがあります。</b> <br> There are many items on the menu. <br> [sound:4c-s-メニューには多くの品目があります。.mp3]
There are many items on the menu.	<b>メニューには多くの品目があります。</b> <br> めにゅーにはおおくのひんもくがあります。 <br><br> (品目) <br> [sound:4c-s-メニューには多くの品目があります。.mp3]
[sound:4c-k-昨年.mp3]	<b>昨年</b> <br> さくねん <br> last year
昨年	<b>さくねん</b> <br> last year <br> [sound:4c-k-昨年.mp3]
last year	<b>昨年</b> <br> さくねん <br> [sound:4c-k-昨年.mp3]
[sound:4c-s-昨年はとても忙しい年でした。.mp3]	<b>昨年はとても忙しい年でした。</b> <br> さくねんはとてもいそがしいとしでした。 <br><br> (昨年) <br> Last year was a very busy year.
昨年はとても忙しい年でした。 <br><br> (昨年)	<b>さくねんはとてもいそがしいとしでした。</b> <br> Last year was a very busy year. <br> [sound:4c-s-昨年はとても忙しい年でした。.mp3]
Last year was a very busy year.	<b>昨年はとても忙しい年でした。</b> <br> さくねんはとてもいそがしいとしでした。 <br><br> (昨年) <br> [sound:4c-s-昨年はとても忙しい年でした。.mp3]
[sound:4c-k-一昨年.mp3]	<b>一昨年</b> <br> いっさくねん, おととし <br> year before last
一昨年	<b>いっさくねん, おととし</b> <br> year before last <br> [sound:4c-k-一昨年.mp3]
year before last	<b>一昨年</b> <br> いっさくねん, おととし <br> [sound:4c-k-一昨年.mp3]
[sound:4c-s-一昨年、私は海外に行きました。.mp3]	<b>一昨年、私は海外に行きました。</b> <br> おととし、わたしはかいがいにいきました。 <br><br> (一昨年) <br> I went abroad the year before last.
一昨年、私は海外に行きました。 <br><br> (一昨年)	<b>おととし、わたしはかいがいにいきました。</b> <br> I went abroad the year before last. <br> [sound:4c-s-一昨年、私は海外に行きました。.mp3]
I went abroad the year before last.	<b>一昨年、私は海外に行きました。</b> <br> おととし、わたしはかいがいにいきました。 <br><br> (一昨年) <br> [sound:4c-s-一昨年、私は海外に行きました。.mp3]
[sound:4c-k-昨夜.mp3]	<b>昨夜</b> <br> ゆう, ゆうべ, さくや <br> evening; last night
昨夜	<b>ゆう, ゆうべ, さくや</b> <br> evening; last night <br> [sound:4c-k-昨夜.mp3]
evening; last night	<b>昨夜</b> <br> ゆう, ゆうべ, さくや <br> [sound:4c-k-昨夜.mp3]
[sound:4c-s-昨夜はとても寒かったです。.mp3]	<b>昨夜はとても寒かったです。</b> <br> ゆうべはとてもさむかったです。 <br><br> (昨夜) <br> It was very cold last night.
昨夜はとても寒かったです。 <br><br> (昨夜)	<b>ゆうべはとてもさむかったです。</b> <br> It was very cold last night. <br> [sound:4c-s-昨夜はとても寒かったです。.mp3]
It was very cold last night.	<b>昨夜はとても寒かったです。</b> <br> ゆうべはとてもさむかったです。 <br><br> (昨夜) <br> [sound:4c-s-昨夜はとても寒かったです。.mp3]
[sound:4c-k-昨冬.mp3]	<b>昨冬</b> <br> さくとう <br> last winter
昨冬	<b>さくとう</b> <br> last winter <br> [sound:4c-k-昨冬.mp3]
last winter	<b>昨冬</b> <br> さくとう <br> [sound:4c-k-昨冬.mp3]
[sound:4c-s-昨冬、雪がたくさん降りました。.mp3]	<b>昨冬、雪がたくさん降りました。</b> <br> さくふゆ、ゆきがたくさんふりました。 <br><br> (昨冬) <br> Last winter, a lot of snow fell.
昨冬、雪がたくさん降りました。 <br><br> (昨冬)	<b>さくふゆ、ゆきがたくさんふりました。</b> <br> Last winter, a lot of snow fell. <br> [sound:4c-s-昨冬、雪がたくさん降りました。.mp3]
Last winter, a lot of snow fell.	<b>昨冬、雪がたくさん降りました。</b> <br> さくふゆ、ゆきがたくさんふりました。 <br><br> (昨冬) <br> [sound:4c-s-昨冬、雪がたくさん降りました。.mp3]
[sound:4c-k-論議.mp3]	<b>論議</b> <br> ろんぎ <br> discussion, argument, debate
論議	<b>ろんぎ</b> <br> discussion, argument, debate <br> [sound:4c-k-論議.mp3]
discussion, argument, debate	<b>論議</b> <br> ろんぎ <br> [sound:4c-k-論議.mp3]
[sound:4c-s-論議の結果、意見が一致しました。.mp3]	<b>論議の結果、意見が一致しました。</b> <br> ろんぎのけっか、いけんがいっちしました。 <br><br> (論議) <br> As a result of the debate, opinions were unified.
論議の結果、意見が一致しました。 <br><br> (論議)	<b>ろんぎのけっか、いけんがいっちしました。</b> <br> As a result of the debate, opinions were unified. <br> [sound:4c-s-論議の結果、意見が一致しました。.mp3]
As a result of the debate, opinions were unified.	<b>論議の結果、意見が一致しました。</b> <br> ろんぎのけっか、いけんがいっちしました。 <br><br> (論議) <br> [sound:4c-s-論議の結果、意見が一致しました。.mp3]
[sound:4c-k-議論.mp3]	<b>議論</b> <br> ぎろん <br> argument, discussion, dispute, controversy
議論	<b>ぎろん</b> <br> argument, discussion, dispute, controversy <br> [sound:4c-k-議論.mp3]
argument, discussion, dispute, controversy	<b>議論</b> <br> ぎろん <br> [sound:4c-k-議論.mp3]
[sound:4c-s-議論の後、結論が出ました。.mp3]	<b>議論の後、結論が出ました。</b> <br> ぎろんのあと、けつろんがでました。 <br><br> (議論) <br> After the discussion, a conclusion was reached.
議論の後、結論が出ました。 <br><br> (議論)	<b>ぎろんのあと、けつろんがでました。</b> <br> After the discussion, a conclusion was reached. <br> [sound:4c-s-議論の後、結論が出ました。.mp3]
After the discussion, a conclusion was reached.	<b>議論の後、結論が出ました。</b> <br> ぎろんのあと、けつろんがでました。 <br><br> (議論) <br> [sound:4c-s-議論の後、結論が出ました。.mp3]
[sound:4c-k-論争.mp3]	<b>論争</b> <br> ろんそう <br> controversy, dispute
論争	<b>ろんそう</b> <br> controversy, dispute <br> [sound:4c-k-論争.mp3]
controversy, dispute	<b>論争</b> <br> ろんそう <br> [sound:4c-k-論争.mp3]
[sound:4c-s-彼らの間で論争が起こりました。.mp3]	<b>彼らの間で論争が起こりました。</b> <br> かれらのあいだでろんそうがおこりました。 <br><br> (論争) <br> A dispute arose between them.
彼らの間で論争が起こりました。 <br><br> (論争)	<b>かれらのあいだでろんそうがおこりました。</b> <br> A dispute arose between them. <br> [sound:4c-s-彼らの間で論争が起こりました。.mp3]
A dispute arose between them.	<b>彼らの間で論争が起こりました。</b> <br> かれらのあいだでろんそうがおこりました。 <br><br> (論争) <br> [sound:4c-s-彼らの間で論争が起こりました。.mp3]
[sound:4c-k-論理.mp3]	<b>論理</b> <br> ろんり <br> logic; logical
論理	<b>ろんり</b> <br> logic; logical <br> [sound:4c-k-論理.mp3]
logic; logical	<b>論理</b> <br> ろんり <br> [sound:4c-k-論理.mp3]
[sound:4c-s-論理的に考えることは重要です。.mp3]	<b>論理的に考えることは重要です。</b> <br> ろんりてきにかんがえることはじゅうようです。 <br><br> (論理) <br> Thinking logically is important.
論理的に考えることは重要です。 <br><br> (論理)	<b>ろんりてきにかんがえることはじゅうようです。</b> <br> Thinking logically is important. <br> [sound:4c-s-論理的に考えることは重要です。.mp3]
Thinking logically is important.	<b>論理的に考えることは重要です。</b> <br> ろんりてきにかんがえることはじゅうようです。 <br><br> (論理) <br> [sound:4c-s-論理的に考えることは重要です。.mp3]
[sound:4c-k-計.mp3]	<b>計</b> <br> けい <br> plan; meter, measuring device; (in) total, total (of)
計	<b>けい</b> <br> plan; meter, measuring device; (in) total, total (of) <br> [sound:4c-k-計.mp3]
plan; meter, measuring device; (in) total, total (of)	<b>計</b> <br> けい <br> [sound:4c-k-計.mp3]
[sound:4c-s-計画を立てる前に、予算を確認してください。.mp3]	<b>計画を立てる前に、予算を確認してください。</b> <br> けいかくをたてるまえに、よさんをかくにんしてください。 <br><br> (計) <br> Please check the budget before making a plan.
計画を立てる前に、予算を確認してください。 <br><br> (計)	<b>けいかくをたてるまえに、よさんをかくにんしてください。</b> <br> Please check the budget before making a plan. <br> [sound:4c-s-計画を立てる前に、予算を確認してください。.mp3]
Please check the budget before making a plan.	<b>計画を立てる前に、予算を確認してください。</b> <br> けいかくをたてるまえに、よさんをかくにんしてください。 <br><br> (計) <br> [sound:4c-s-計画を立てる前に、予算を確認してください。.mp3]
[sound:4c-k-計画.mp3]	<b>計画</b> <br> けいかく <br> plan, project, schedule, scheme, program, programme
計画	<b>けいかく</b> <br> plan, project, schedule, scheme, program, programme <br> [sound:4c-k-計画.mp3]
plan, project, schedule, scheme, program, programme	<b>計画</b> <br> けいかく <br> [sound:4c-k-計画.mp3]
[sound:4c-s-私は新しい計画を提案しました。.mp3]	<b>私は新しい計画を提案しました。</b> <br> わたしはあたらしいけいかくをていあんしました。 <br><br> (計画) <br> I proposed a new plan.
私は新しい計画を提案しました。 <br><br> (計画)	<b>わたしはあたらしいけいかくをていあんしました。</b> <br> I proposed a new plan. <br> [sound:4c-s-私は新しい計画を提案しました。.mp3]
I proposed a new plan.	<b>私は新しい計画を提案しました。</b> <br> わたしはあたらしいけいかくをていあんしました。 <br><br> (計画) <br> [sound:4c-s-私は新しい計画を提案しました。.mp3]
[sound:4c-k-集計.mp3]	<b>集計</b> <br> しゅうけい <br> totalization, totalisation, aggregate
集計	<b>しゅうけい</b> <br> totalization, totalisation, aggregate <br> [sound:4c-k-集計.mp3]
totalization, totalisation, aggregate	<b>集計</b> <br> しゅうけい <br> [sound:4c-k-集計.mp3]
[sound:4c-s-集計結果が発表されました。.mp3]	<b>集計結果が発表されました。</b> <br> しゅうけいけっかがはっぴょうされました。 <br><br> (集計) <br> The results of the tally were announced.
集計結果が発表されました。 <br><br> (集計)	<b>しゅうけいけっかがはっぴょうされました。</b> <br> The results of the tally were announced. <br> [sound:4c-s-集計結果が発表されました。.mp3]
The results of the tally were announced.	<b>集計結果が発表されました。</b> <br> しゅうけいけっかがはっぴょうされました。 <br><br> (集計) <br> [sound:4c-s-集計結果が発表されました。.mp3]
[sound:4c-k-家計.mp3]	<b>家計</b> <br> かけい <br> household economy, family finances
家計	<b>かけい</b> <br> household economy, family finances <br> [sound:4c-k-家計.mp3]
household economy, family finances	<b>家計</b> <br> かけい <br> [sound:4c-k-家計.mp3]
[sound:4c-s-家計の管理が重要です。.mp3]	<b>家計の管理が重要です。</b> <br> かけいのかんりがじゅうようです。 <br><br> (家計) <br> Managing household finances is important.
家計の管理が重要です。 <br><br> (家計)	<b>かけいのかんりがじゅうようです。</b> <br> Managing household finances is important. <br> [sound:4c-s-家計の管理が重要です。.mp3]
Managing household finances is important.	<b>家計の管理が重要です。</b> <br> かけいのかんりがじゅうようです。 <br><br> (家計) <br> [sound:4c-s-家計の管理が重要です。.mp3]
[sound:4c-k-死.mp3]	<b>死</b> <br> し <br> death, decease; death penalty (by strangulation or decapitation)
死	<b>し</b> <br> death, decease; death penalty (by strangulation or decapitation) <br> [sound:4c-k-死.mp3]
death, decease; death penalty (by strangulation or decapitation)	<b>死</b> <br> し <br> [sound:4c-k-死.mp3]
[sound:4c-s-彼は戦争で死にました。.mp3]	<b>彼は戦争で死にました。</b> <br> かれはせんそうでしにました。 <br><br> (死) <br> He died in the war.
彼は戦争で死にました。 <br><br> (死)	<b>かれはせんそうでしにました。</b> <br> He died in the war. <br> [sound:4c-s-彼は戦争で死にました。.mp3]
He died in the war.	<b>彼は戦争で死にました。</b> <br> かれはせんそうでしにました。 <br><br> (死) <br> [sound:4c-s-彼は戦争で死にました。.mp3]
[sound:4c-k-死者.mp3]	<b>死者</b> <br> ししゃ <br> casualty, deceased
死者	<b>ししゃ</b> <br> casualty, deceased <br> [sound:4c-k-死者.mp3]
casualty, deceased	<b>死者</b> <br> ししゃ <br> [sound:4c-k-死者.mp3]
[sound:4c-s-事故で多くの死者が出ました。.mp3]	<b>事故で多くの死者が出ました。</b> <br> じこでおおくのししゃがでました。 <br><br> (死者) <br> Many casualties occurred in the accident.
事故で多くの死者が出ました。 <br><br> (死者)	<b>じこでおおくのししゃがでました。</b> <br> Many casualties occurred in the accident. <br> [sound:4c-s-事故で多くの死者が出ました。.mp3]
Many casualties occurred in the accident.	<b>事故で多くの死者が出ました。</b> <br> じこでおおくのししゃがでました。 <br><br> (死者) <br> [sound:4c-s-事故で多くの死者が出ました。.mp3]
[sound:4c-k-死後.mp3]	<b>死後</b> <br> しご <br> after death
死後	<b>しご</b> <br> after death <br> [sound:4c-k-死後.mp3]
after death	<b>死後</b> <br> しご <br> [sound:4c-k-死後.mp3]
[sound:4c-s-死後、彼の名声は広まりました。.mp3]	<b>死後、彼の名声は広まりました。</b> <br> しご、かれのめいせいはひろまりました。 <br><br> (死後) <br> After his death, his fame spread.
死後、彼の名声は広まりました。 <br><br> (死後)	<b>しご、かれのめいせいはひろまりました。</b> <br> After his death, his fame spread. <br> [sound:4c-s-死後、彼の名声は広まりました。.mp3]
After his death, his fame spread.	<b>死後、彼の名声は広まりました。</b> <br> しご、かれのめいせいはひろまりました。 <br><br> (死後) <br> [sound:4c-s-死後、彼の名声は広まりました。.mp3]
[sound:4c-k-死体.mp3]	<b>死体</b> <br> したい <br> dead body, corpse, cadaver
死体	<b>したい</b> <br> dead body, corpse, cadaver <br> [sound:4c-k-死体.mp3]
dead body, corpse, cadaver	<b>死体</b> <br> したい <br> [sound:4c-k-死体.mp3]
[sound:4c-s-警察は死体を発見しました。.mp3]	<b>警察は死体を発見しました。</b> <br> けいさつはしたいをはっけんしました。 <br><br> (死体) <br> The police discovered the body.
警察は死体を発見しました。 <br><br> (死体)	<b>けいさつはしたいをはっけんしました。</b> <br> The police discovered the body. <br> [sound:4c-s-警察は死体を発見しました。.mp3]
The police discovered the body.	<b>警察は死体を発見しました。</b> <br> けいさつはしたいをはっけんしました。 <br><br> (死体) <br> [sound:4c-s-警察は死体を発見しました。.mp3]
[sound:4c-k-長官.mp3]	<b>長官</b> <br> ちょうかん <br> secretary (government), director, chief
長官	<b>ちょうかん</b> <br> secretary (government), director, chief <br> [sound:4c-k-長官.mp3]
secretary (government), director, chief	<b>長官</b> <br> ちょうかん <br> [sound:4c-k-長官.mp3]
[sound:4c-s-長官は会議で重要な発言をしました。.mp3]	<b>長官は会議で重要な発言をしました。</b> <br> ちょうかんはかいぎでじゅうようなはつげんをしました。 <br><br> (長官) <br> The director made an important statement at the meeting.
長官は会議で重要な発言をしました。 <br><br> (長官)	<b>ちょうかんはかいぎでじゅうようなはつげんをしました。</b> <br> The director made an important statement at the meeting. <br> [sound:4c-s-長官は会議で重要な発言をしました。.mp3]
The director made an important statement at the meeting.	<b>長官は会議で重要な発言をしました。</b> <br> ちょうかんはかいぎでじゅうようなはつげんをしました。 <br><br> (長官) <br> [sound:4c-s-長官は会議で重要な発言をしました。.mp3]
[sound:4c-k-官邸.mp3]	<b>官邸</b> <br> かんてい <br> official residence
官邸	<b>かんてい</b> <br> official residence <br> [sound:4c-k-官邸.mp3]
official residence	<b>官邸</b> <br> かんてい <br> [sound:4c-k-官邸.mp3]
[sound:4c-s-総理大臣は官邸にいます。.mp3]	<b>総理大臣は官邸にいます。</b> <br> そうりだいじんはかんていにいます。 <br><br> (官邸) <br> The Prime Minister is at the official residence.
総理大臣は官邸にいます。 <br><br> (官邸)	<b>そうりだいじんはかんていにいます。</b> <br> The Prime Minister is at the official residence. <br> [sound:4c-s-総理大臣は官邸にいます。.mp3]
The Prime Minister is at the official residence.	<b>総理大臣は官邸にいます。</b> <br> そうりだいじんはかんていにいます。 <br><br> (官邸) <br> [sound:4c-s-総理大臣は官邸にいます。.mp3]
[sound:4c-k-官房.mp3]	<b>官房</b> <br> かんぼう <br> government secretariat
官房	<b>かんぼう</b> <br> government secretariat <br> [sound:4c-k-官房.mp3]
government secretariat	<b>官房</b> <br> かんぼう <br> [sound:4c-k-官房.mp3]
[sound:4c-s-官房長官が記者会見を行いました。.mp3]	<b>官房長官が記者会見を行いました。</b> <br> かんぼうちょうかんがきしゃかいけんをおこないました。 <br><br> (官房) <br> The Chief Cabinet Secretary held a press conference.
官房長官が記者会見を行いました。 <br><br> (官房)	<b>かんぼうちょうかんがきしゃかいけんをおこないました。</b> <br> The Chief Cabinet Secretary held a press conference. <br> [sound:4c-s-官房長官が記者会見を行いました。.mp3]
The Chief Cabinet Secretary held a press conference.	<b>官房長官が記者会見を行いました。</b> <br> かんぼうちょうかんがきしゃかいけんをおこないました。 <br><br> (官房) <br> [sound:4c-s-官房長官が記者会見を行いました。.mp3]
[sound:4c-k-国務長官.mp3]	<b>国務長官</b> <br> こくむちょうかん <br> Secretary of State
国務長官	<b>こくむちょうかん</b> <br> Secretary of State <br> [sound:4c-k-国務長官.mp3]
Secretary of State	<b>国務長官</b> <br> こくむちょうかん <br> [sound:4c-k-国務長官.mp3]
[sound:4c-s-国務長官は外国を訪問しました。.mp3]	<b>国務長官は外国を訪問しました。</b> <br> こくむちょうかんはがいこくをほうもんしました。 <br><br> (国務長官) <br> The Secretary of State visited a foreign country.
国務長官は外国を訪問しました。 <br><br> (国務長官)	<b>こくむちょうかんはがいこくをほうもんしました。</b> <br> The Secretary of State visited a foreign country. <br> [sound:4c-s-国務長官は外国を訪問しました。.mp3]
The Secretary of State visited a foreign country.	<b>国務長官は外国を訪問しました。</b> <br> こくむちょうかんはがいこくをほうもんしました。 <br><br> (国務長官) <br> [sound:4c-s-国務長官は外国を訪問しました。.mp3]
[sound:4c-k-増加.mp3]	<b>増加</b> <br> ぞうか <br> increase, increment, addition
増加	<b>ぞうか</b> <br> increase, increment, addition <br> [sound:4c-k-増加.mp3]
increase, increment, addition	<b>増加</b> <br> ぞうか <br> [sound:4c-k-増加.mp3]
[sound:4c-s-人口が増加しています。.mp3]	<b>人口が増加しています。</b> <br> じんこうがぞうかしています。 <br><br> (増加) <br> The population is increasing.
人口が増加しています。 <br><br> (増加)	<b>じんこうがぞうかしています。</b> <br> The population is increasing. <br> [sound:4c-s-人口が増加しています。.mp3]
The population is increasing.	<b>人口が増加しています。</b> <br> じんこうがぞうかしています。 <br><br> (増加) <br> [sound:4c-s-人口が増加しています。.mp3]
[sound:4c-k-増税.mp3]	<b>増税</b> <br> ぞうぜい <br> tax increase
増税	<b>ぞうぜい</b> <br> tax increase <br> [sound:4c-k-増税.mp3]
tax increase	<b>増税</b> <br> ぞうぜい <br> [sound:4c-k-増税.mp3]
[sound:4c-s-政府は増税を決定しました。.mp3]	<b>政府は増税を決定しました。</b> <br> せいふはぞうぜいをけっていしました。 <br><br> (増税) <br> The government decided on a tax increase.
政府は増税を決定しました。 <br><br> (増税)	<b>せいふはぞうぜいをけっていしました。</b> <br> The government decided on a tax increase. <br> [sound:4c-s-政府は増税を決定しました。.mp3]
The government decided on a tax increase.	<b>政府は増税を決定しました。</b> <br> せいふはぞうぜいをけっていしました。 <br><br> (増税) <br> [sound:4c-s-政府は増税を決定しました。.mp3]
[sound:4c-k-増益.mp3]	<b>増益</b> <br> ぞうえき <br> increased (profit)
増益	<b>ぞうえき</b> <br> increased (profit) <br> [sound:4c-k-増益.mp3]
increased (profit)	<b>増益</b> <br> ぞうえき <br> [sound:4c-k-増益.mp3]
[sound:4c-s-今年は企業の増益が見込まれています。.mp3]	<b>今年は企業の増益が見込まれています。</b> <br> ことしはきぎょうのぞうえきがみこまれています。 <br><br> (増益) <br> Companies are expected to see increased profits this year.
今年は企業の増益が見込まれています。 <br><br> (増益)	<b>ことしはきぎょうのぞうえきがみこまれています。</b> <br> Companies are expected to see increased profits this year. <br> [sound:4c-s-今年は企業の増益が見込まれています。.mp3]
Companies are expected to see increased profits this year.	<b>今年は企業の増益が見込まれています。</b> <br> ことしはきぎょうのぞうえきがみこまれています。 <br><br> (増益) <br> [sound:4c-s-今年は企業の増益が見込まれています。.mp3]
[sound:4c-k-増額.mp3]	<b>増額</b> <br> ぞうがく <br> increased amount
増額	<b>ぞうがく</b> <br> increased amount <br> [sound:4c-k-増額.mp3]
increased amount	<b>増額</b> <br> ぞうがく <br> [sound:4c-k-増額.mp3]
[sound:4c-s-予算の増額が承認されました。.mp3]	<b>予算の増額が承認されました。</b> <br> よさんのぞうがくがしょうにんされました。 <br><br> (増額) <br> A budget increase was approved.
予算の増額が承認されました。 <br><br> (増額)	<b>よさんのぞうがくがしょうにんされました。</b> <br> A budget increase was approved. <br> [sound:4c-s-予算の増額が承認されました。.mp3]
A budget increase was approved.	<b>予算の増額が承認されました。</b> <br> よさんのぞうがくがしょうにんされました。 <br><br> (増額) <br> [sound:4c-s-予算の増額が承認されました。.mp3]
[sound:4c-k-係.mp3]	<b>係</b> <br> かかり <br> official, duty, person in charge
係	<b>かかり</b> <br> official, duty, person in charge <br> [sound:4c-k-係.mp3]
official, duty, person in charge	<b>係</b> <br> かかり <br> [sound:4c-k-係.mp3]
[sound:4c-s-彼はプロジェクトの係です。.mp3]	<b>彼はプロジェクトの係です。</b> <br> かれはぷろじぇくとのかかりです。 <br><br> (係) <br> He is in charge of the project.
彼はプロジェクトの係です。 <br><br> (係)	<b>かれはぷろじぇくとのかかりです。</b> <br> He is in charge of the project. <br> [sound:4c-s-彼はプロジェクトの係です。.mp3]
He is in charge of the project.	<b>彼はプロジェクトの係です。</b> <br> かれはぷろじぇくとのかかりです。 <br><br> (係) <br> [sound:4c-s-彼はプロジェクトの係です。.mp3]
[sound:4c-k-関係.mp3]	<b>関係</b> <br> かんけい <br> relation, connection
関係	<b>かんけい</b> <br> relation, connection <br> [sound:4c-k-関係.mp3]
relation, connection	<b>関係</b> <br> かんけい <br> [sound:4c-k-関係.mp3]
[sound:4c-s-私たちは長い関係を築いてきました。.mp3]	<b>私たちは長い関係を築いてきました。</b> <br> わたしたちはながいかんけいをきずいてきました。 <br><br> (関係) <br> We have built a long relationship.
私たちは長い関係を築いてきました。 <br><br> (関係)	<b>わたしたちはながいかんけいをきずいてきました。</b> <br> We have built a long relationship. <br> [sound:4c-s-私たちは長い関係を築いてきました。.mp3]
We have built a long relationship.	<b>私たちは長い関係を築いてきました。</b> <br> わたしたちはながいかんけいをきずいてきました。 <br><br> (関係) <br> [sound:4c-s-私たちは長い関係を築いてきました。.mp3]
[sound:4c-k-係争.mp3]	<b>係争</b> <br> けいそう <br> contention, dispute
係争	<b>けいそう</b> <br> contention, dispute <br> [sound:4c-k-係争.mp3]
contention, dispute	<b>係争</b> <br> けいそう <br> [sound:4c-k-係争.mp3]
[sound:4c-s-この件はまだ係争中です。.mp3]	<b>この件はまだ係争中です。</b> <br> このけんはまだけいそうちゅうです。 <br><br> (係争) <br> This issue is still under dispute.
この件はまだ係争中です。 <br><br> (係争)	<b>このけんはまだけいそうちゅうです。</b> <br> This issue is still under dispute. <br> [sound:4c-s-この件はまだ係争中です。.mp3]
This issue is still under dispute.	<b>この件はまだ係争中です。</b> <br> このけんはまだけいそうちゅうです。 <br><br> (係争) <br> [sound:4c-s-この件はまだ係争中です。.mp3]
[sound:4c-k-連係プレー.mp3]	<b>連係プレー</b> <br> れんけいプレー <br> good teamwork play (baseball)
連係プレー	<b>れんけいプレー</b> <br> good teamwork play (baseball) <br> [sound:4c-k-連係プレー.mp3]
good teamwork play (baseball)	<b>連係プレー</b> <br> れんけいプレー <br> [sound:4c-k-連係プレー.mp3]
[sound:4c-s-サッカーの連係プレーが素晴らしかった。.mp3]	<b>サッカーの連係プレーが素晴らしかった。</b> <br> さっかーのれんけいぷれーがすばらしかった。 <br><br> (連係プレー) <br> The teamwork in the soccer game was fantastic.
サッカーの連係プレーが素晴らしかった。 <br><br> (連係プレー)	<b>さっかーのれんけいぷれーがすばらしかった。</b> <br> The teamwork in the soccer game was fantastic. <br> [sound:4c-s-サッカーの連係プレーが素晴らしかった。.mp3]
The teamwork in the soccer game was fantastic.	<b>サッカーの連係プレーが素晴らしかった。</b> <br> さっかーのれんけいぷれーがすばらしかった。 <br><br> (連係プレー) <br> [sound:4c-s-サッカーの連係プレーが素晴らしかった。.mp3]
[sound:4c-k-感じ.mp3]	<b>感じ</b> <br> かんじ <br> feeling, sense, impression
感じ	<b>かんじ</b> <br> feeling, sense, impression <br> [sound:4c-k-感じ.mp3]
feeling, sense, impression	<b>感じ</b> <br> かんじ <br> [sound:4c-k-感じ.mp3]
[sound:4c-s-この場所はとても落ち着いた感じです。.mp3]	<b>この場所はとても落ち着いた感じです。</b> <br> このばしょはとてもおちついたかんじです。 <br><br> (感じ) <br> This place has a very calm feeling.
この場所はとても落ち着いた感じです。 <br><br> (感じ)	<b>このばしょはとてもおちついたかんじです。</b> <br> This place has a very calm feeling. <br> [sound:4c-s-この場所はとても落ち着いた感じです。.mp3]
This place has a very calm feeling.	<b>この場所はとても落ち着いた感じです。</b> <br> このばしょはとてもおちついたかんじです。 <br><br> (感じ) <br> [sound:4c-s-この場所はとても落ち着いた感じです。.mp3]
[sound:4c-k-感覚.mp3]	<b>感覚</b> <br> かんかく <br> sense, sensation, feeling
感覚	<b>かんかく</b> <br> sense, sensation, feeling <br> [sound:4c-k-感覚.mp3]
sense, sensation, feeling	<b>感覚</b> <br> かんかく <br> [sound:4c-k-感覚.mp3]
[sound:4c-s-彼は色に敏感な感覚を持っています。.mp3]	<b>彼は色に敏感な感覚を持っています。</b> <br> かれはいろにびんかんなかんかくをもっています。 <br><br> (感覚) <br> He has a keen sense of color.
彼は色に敏感な感覚を持っています。 <br><br> (感覚)	<b>かれはいろにびんかんなかんかくをもっています。</b> <br> He has a keen sense of color. <br> [sound:4c-s-彼は色に敏感な感覚を持っています。.mp3]
He has a keen sense of color.	<b>彼は色に敏感な感覚を持っています。</b> <br> かれはいろにびんかんなかんかくをもっています。 <br><br> (感覚) <br> [sound:4c-s-彼は色に敏感な感覚を持っています。.mp3]
[sound:4c-k-感性.mp3]	<b>感性</b> <br> かんせい <br> sensitivity, sensitiveness, sense
感性	<b>かんせい</b> <br> sensitivity, sensitiveness, sense <br> [sound:4c-k-感性.mp3]
sensitivity, sensitiveness, sense	<b>感性</b> <br> かんせい <br> [sound:4c-k-感性.mp3]
[sound:4c-s-彼女の感性は非常に鋭いです。.mp3]	<b>彼女の感性は非常に鋭いです。</b> <br> かのじょのかんせいはひじょうにするどいです。 <br><br> (感性) <br> Her sensitivity is extremely sharp.
彼女の感性は非常に鋭いです。 <br><br> (感性)	<b>かのじょのかんせいはひじょうにするどいです。</b> <br> Her sensitivity is extremely sharp. <br> [sound:4c-s-彼女の感性は非常に鋭いです。.mp3]
Her sensitivity is extremely sharp.	<b>彼女の感性は非常に鋭いです。</b> <br> かのじょのかんせいはひじょうにするどいです。 <br><br> (感性) <br> [sound:4c-s-彼女の感性は非常に鋭いです。.mp3]
[sound:4c-k-実感.mp3]	<b>実感</b> <br> じっかん <br> feelings (actual, true)
実感	<b>じっかん</b> <br> feelings (actual, true) <br> [sound:4c-k-実感.mp3]
feelings (actual, true)	<b>実感</b> <br> じっかん <br> [sound:4c-k-実感.mp3]
[sound:4c-s-私はその状況を実感しています。.mp3]	<b>私はその状況を実感しています。</b> <br> わたしはそのじょうきょうをじっかんしています。 <br><br> (実感) <br> I truly feel the situation.
私はその状況を実感しています。 <br><br> (実感)	<b>わたしはそのじょうきょうをじっかんしています。</b> <br> I truly feel the situation. <br> [sound:4c-s-私はその状況を実感しています。.mp3]
I truly feel the situation.	<b>私はその状況を実感しています。</b> <br> わたしはそのじょうきょうをじっかんしています。 <br><br> (実感) <br> [sound:4c-s-私はその状況を実感しています。.mp3]
[sound:4c-k-特に.mp3]	<b>特に</b> <br> とくに <br> particularly, especially
特に	<b>とくに</b> <br> particularly, especially <br> [sound:4c-k-特に.mp3]
particularly, especially	<b>特に</b> <br> とくに <br> [sound:4c-k-特に.mp3]
