the said person, he, she, same person	<b>同氏</b> <br> どうし <br> [sound:4c-k-同氏.mp3]
[sound:4c-s-彼は結果に不満を持っています。.mp3]	<b>彼は結果に不満を持っています。</b> <br> かれはけっかにふまんをもっています。 <br><br> (不満) <br> He is dissatisfied with the results.
彼は結果に不満を持っています。 <br><br> (不満)	<b>かれはけっかにふまんをもっています。</b> <br> He is dissatisfied with the results. <br> [sound:4c-s-彼は結果に不満を持っています。.mp3]
He is dissatisfied with the results.	<b>彼は結果に不満を持っています。</b> <br> かれはけっかにふまんをもっています。 <br><br> (不満) <br> [sound:4c-s-彼は結果に不満を持っています。.mp3]
[sound:4c-k-不明.mp3]	<b>不明</b> <br> ふめい <br> unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified
不明	<b>ふめい</b> <br> unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified <br> [sound:4c-k-不明.mp3]
unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified	<b>不明</b> <br> ふめい <br> [sound:4c-k-不明.mp3]
[sound:4c-s-原因はまだ不明です。.mp3]	<b>原因はまだ不明です。</b> <br> げんいんはまだふめいです。 <br><br> (不明) <br> The cause is still unknown.
原因はまだ不明です。 <br><br> (不明)	<b>げんいんはまだふめいです。</b> <br> The cause is still unknown. <br> [sound:4c-s-原因はまだ不明です。.mp3]
The cause is still unknown.	<b>原因はまだ不明です。</b> <br> げんいんはまだふめいです。 <br><br> (不明) <br> [sound:4c-s-原因はまだ不明です。.mp3]
[sound:4c-k-心不全.mp3]	<b>心不全</b> <br> しんふぜん <br> heart failure
心不全	<b>しんふぜん</b> <br> heart failure <br> [sound:4c-k-心不全.mp3]
heart failure	<b>心不全</b> <br> しんふぜん <br> [sound:4c-k-心不全.mp3]
[sound:4c-s-彼は心不全で入院しました。.mp3]	<b>彼は心不全で入院しました。</b> <br> かれはしんふぜんでにゅういんしました。 <br><br> (心不全) <br> He was hospitalized for heart failure.
彼は心不全で入院しました。 <br><br> (心不全)	<b>かれはしんふぜんでにゅういんしました。</b> <br> He was hospitalized for heart failure. <br> [sound:4c-s-彼は心不全で入院しました。.mp3]
He was hospitalized for heart failure.	<b>彼は心不全で入院しました。</b> <br> かれはしんふぜんでにゅういんしました。 <br><br> (心不全) <br> [sound:4c-s-彼は心不全で入院しました。.mp3]
[sound:4c-k-将来.mp3]	<b>将来</b> <br> しょうらい <br> future (usually near), prospects
将来	<b>しょうらい</b> <br> future (usually near), prospects <br> [sound:4c-k-将来.mp3]
future (usually near), prospects	<b>将来</b> <br> しょうらい <br> [sound:4c-k-将来.mp3]
[sound:4c-s-将来の夢を教えてください。.mp3]	<b>将来の夢を教えてください。</b> <br> しょうらいのゆめをおしえてください。 <br><br> (将来) <br> Please tell me about your future dreams.
将来の夢を教えてください。 <br><br> (将来)	<b>しょうらいのゆめをおしえてください。</b> <br> Please tell me about your future dreams. <br> [sound:4c-s-将来の夢を教えてください。.mp3]
Please tell me about your future dreams.	<b>将来の夢を教えてください。</b> <br> しょうらいのゆめをおしえてください。 <br><br> (将来) <br> [sound:4c-s-将来の夢を教えてください。.mp3]
[sound:4c-k-来年.mp3]	<b>来年</b> <br> らいねん <br> next year
来年	<b>らいねん</b> <br> next year <br> [sound:4c-k-来年.mp3]
next year	<b>来年</b> <br> らいねん <br> [sound:4c-k-来年.mp3]
[sound:4c-s-来年はもっと頑張ります。.mp3]	<b>来年はもっと頑張ります。</b> <br> らいねんはもっとがんばります。 <br><br> (来年) <br> I will work harder next year.
来年はもっと頑張ります。 <br><br> (来年)	<b>らいねんはもっとがんばります。</b> <br> I will work harder next year. <br> [sound:4c-s-来年はもっと頑張ります。.mp3]
I will work harder next year.	<b>来年はもっと頑張ります。</b> <br> らいねんはもっとがんばります。 <br><br> (来年) <br> [sound:4c-s-来年はもっと頑張ります。.mp3]
[sound:4c-k-本来.mp3]	<b>本来</b> <br> ほんらい <br> essentially, naturally, by nature, in (and of) itself, originally
本来	<b>ほんらい</b> <br> essentially, naturally, by nature, in (and of) itself, originally <br> [sound:4c-k-本来.mp3]
essentially, naturally, by nature, in (and of) itself, originally	<b>本来</b> <br> ほんらい <br> [sound:4c-k-本来.mp3]
[sound:4c-s-本来の目的を忘れないでください。.mp3]	<b>本来の目的を忘れないでください。</b> <br> ほんらいのもくてきをわすれないでください。 <br><br> (本来) <br> Don't forget the original purpose.
本来の目的を忘れないでください。 <br><br> (本来)	<b>ほんらいのもくてきをわすれないでください。</b> <br> Don't forget the original purpose. <br> [sound:4c-s-本来の目的を忘れないでください。.mp3]
Don't forget the original purpose.	<b>本来の目的を忘れないでください。</b> <br> ほんらいのもくてきをわすれないでください。 <br><br> (本来) <br> [sound:4c-s-本来の目的を忘れないでください。.mp3]
[sound:4c-k-来月.mp3]	<b>来月</b> <br> らいげつ <br> next month
来月	<b>らいげつ</b> <br> next month <br> [sound:4c-k-来月.mp3]
next month	<b>来月</b> <br> らいげつ <br> [sound:4c-k-来月.mp3]
[sound:4c-s-来月、旅行に行きます。.mp3]	<b>来月、旅行に行きます。</b> <br> らいげつ、りょこうにいきます。 <br><br> (来月) <br> I will go on a trip next month.
来月、旅行に行きます。 <br><br> (来月)	<b>らいげつ、りょこうにいきます。</b> <br> I will go on a trip next month. <br> [sound:4c-s-来月、旅行に行きます。.mp3]
I will go on a trip next month.	<b>来月、旅行に行きます。</b> <br> らいげつ、りょこうにいきます。 <br><br> (来月) <br> [sound:4c-s-来月、旅行に行きます。.mp3]
[sound:4c-k-作業.mp3]	<b>作業</b> <br> さぎょう <br> work, operation, manufacturing, fatigue duty
作業	<b>さぎょう</b> <br> work, operation, manufacturing, fatigue duty <br> [sound:4c-k-作業.mp3]
work, operation, manufacturing, fatigue duty	<b>作業</b> <br> さぎょう <br> [sound:4c-k-作業.mp3]
[sound:4c-s-作業が順調に進んでいます。.mp3]	<b>作業が順調に進んでいます。</b> <br> さぎょうがじゅんちょうにすすんでいます。 <br><br> (作業) <br> The work is progressing smoothly.
作業が順調に進んでいます。 <br><br> (作業)	<b>さぎょうがじゅんちょうにすすんでいます。</b> <br> The work is progressing smoothly. <br> [sound:4c-s-作業が順調に進んでいます。.mp3]
The work is progressing smoothly.	<b>作業が順調に進んでいます。</b> <br> さぎょうがじゅんちょうにすすんでいます。 <br><br> (作業) <br> [sound:4c-s-作業が順調に進んでいます。.mp3]
[sound:4c-k-作品.mp3]	<b>作品</b> <br> さくひん <br> work (e.g. book, film, composition, etc.), opus, performance, production
作品	<b>さくひん</b> <br> work (e.g. book, film, composition, etc.), opus, performance, production <br> [sound:4c-k-作品.mp3]
work (e.g. book, film, composition, etc.), opus, performance, production	<b>作品</b> <br> さくひん <br> [sound:4c-k-作品.mp3]
[sound:4c-s-彼の新しい作品を見ました。.mp3]	<b>彼の新しい作品を見ました。</b> <br> かれのあたらしいさくひんをみました。 <br><br> (作品) <br> I saw his new work.
彼の新しい作品を見ました。 <br><br> (作品)	<b>かれのあたらしいさくひんをみました。</b> <br> I saw his new work. <br> [sound:4c-s-彼の新しい作品を見ました。.mp3]
I saw his new work.	<b>彼の新しい作品を見ました。</b> <br> かれのあたらしいさくひんをみました。 <br><br> (作品) <br> [sound:4c-s-彼の新しい作品を見ました。.mp3]
[sound:4c-k-作家.mp3]	<b>作家</b> <br> さっか <br> author, writer, novelist, artist
作家	<b>さっか</b> <br> author, writer, novelist, artist <br> [sound:4c-k-作家.mp3]
author, writer, novelist, artist	<b>作家</b> <br> さっか <br> [sound:4c-k-作家.mp3]
[sound:4c-s-彼は有名な作家です。.mp3]	<b>彼は有名な作家です。</b> <br> かれはゆうめいなさっかです。 <br><br> (作家) <br> He is a famous writer.
彼は有名な作家です。 <br><br> (作家)	<b>かれはゆうめいなさっかです。</b> <br> He is a famous writer. <br> [sound:4c-s-彼は有名な作家です。.mp3]
He is a famous writer.	<b>彼は有名な作家です。</b> <br> かれはゆうめいなさっかです。 <br><br> (作家) <br> [sound:4c-s-彼は有名な作家です。.mp3]
[sound:4c-k-作戦.mp3]	<b>作戦</b> <br> さくせん <br> tactics, strategy; military or naval operations
作戦	<b>さくせん</b> <br> tactics, strategy; military or naval operations <br> [sound:4c-k-作戦.mp3]
tactics, strategy; military or naval operations	<b>作戦</b> <br> さくせん <br> [sound:4c-k-作戦.mp3]
[sound:4c-s-新しい作戦を立てました。.mp3]	<b>新しい作戦を立てました。</b> <br> あたらしいさくせんをたてました。 <br><br> (作戦) <br> I devised a new strategy.
新しい作戦を立てました。 <br><br> (作戦)	<b>あたらしいさくせんをたてました。</b> <br> I devised a new strategy. <br> [sound:4c-s-新しい作戦を立てました。.mp3]
I devised a new strategy.	<b>新しい作戦を立てました。</b> <br> あたらしいさくせんをたてました。 <br><br> (作戦) <br> [sound:4c-s-新しい作戦を立てました。.mp3]
[sound:4c-k-性格.mp3]	<b>性格</b> <br> せいかく <br> character, personality
性格	<b>せいかく</b> <br> character, personality <br> [sound:4c-k-性格.mp3]
character, personality	<b>性格</b> <br> せいかく <br> [sound:4c-k-性格.mp3]
[sound:4c-s-彼は明るい性格です。.mp3]	<b>彼は明るい性格です。</b> <br> かれはあかるいせいかくです。 <br><br> (性格) <br> He has a cheerful personality.
彼は明るい性格です。 <br><br> (性格)	<b>かれはあかるいせいかくです。</b> <br> He has a cheerful personality. <br> [sound:4c-s-彼は明るい性格です。.mp3]
He has a cheerful personality.	<b>彼は明るい性格です。</b> <br> かれはあかるいせいかくです。 <br><br> (性格) <br> [sound:4c-s-彼は明るい性格です。.mp3]
[sound:4c-k-必要性.mp3]	<b>必要性</b> <br> ひつようせい <br> necessity
必要性	<b>ひつようせい</b> <br> necessity <br> [sound:4c-k-必要性.mp3]
necessity	<b>必要性</b> <br> ひつようせい <br> [sound:4c-k-必要性.mp3]
[sound:4c-s-この技術の必要性が高まっています。.mp3]	<b>この技術の必要性が高まっています。</b> <br> このぎじゅつのひつようせいがたかまっています。 <br><br> (必要性) <br> The necessity of this technology is increasing.
この技術の必要性が高まっています。 <br><br> (必要性)	<b>このぎじゅつのひつようせいがたかまっています。</b> <br> The necessity of this technology is increasing. <br> [sound:4c-s-この技術の必要性が高まっています。.mp3]
The necessity of this technology is increasing.	<b>この技術の必要性が高まっています。</b> <br> このぎじゅつのひつようせいがたかまっています。 <br><br> (必要性) <br> [sound:4c-s-この技術の必要性が高まっています。.mp3]
[sound:4c-k-活性.mp3]	<b>活性</b> <br> かっせい <br> activity
活性	<b>かっせい</b> <br> activity <br> [sound:4c-k-活性.mp3]
activity	<b>活性</b> <br> かっせい <br> [sound:4c-k-活性.mp3]
[sound:4c-s-この薬は細胞の活性を促進します。.mp3]	<b>この薬は細胞の活性を促進します。</b> <br> このくすりはさいぼうのかっせいをそくしんします。 <br><br> (活性) <br> This medicine promotes cell activity.
この薬は細胞の活性を促進します。 <br><br> (活性)	<b>このくすりはさいぼうのかっせいをそくしんします。</b> <br> This medicine promotes cell activity. <br> [sound:4c-s-この薬は細胞の活性を促進します。.mp3]
This medicine promotes cell activity.	<b>この薬は細胞の活性を促進します。</b> <br> このくすりはさいぼうのかっせいをそくしんします。 <br><br> (活性) <br> [sound:4c-s-この薬は細胞の活性を促進します。.mp3]
[sound:4c-k-個性.mp3]	<b>個性</b> <br> こせい <br> individuality, personality, idiosyncrasy
個性	<b>こせい</b> <br> individuality, personality, idiosyncrasy <br> [sound:4c-k-個性.mp3]
individuality, personality, idiosyncrasy	<b>個性</b> <br> こせい <br> [sound:4c-k-個性.mp3]
[sound:4c-s-彼の個性が際立っています。.mp3]	<b>彼の個性が際立っています。</b> <br> かれのこせいがきわだっています。 <br><br> (個性) <br> His individuality stands out.
彼の個性が際立っています。 <br><br> (個性)	<b>かれのこせいがきわだっています。</b> <br> His individuality stands out. <br> [sound:4c-s-彼の個性が際立っています。.mp3]
His individuality stands out.	<b>彼の個性が際立っています。</b> <br> かれのこせいがきわだっています。 <br><br> (個性) <br> [sound:4c-s-彼の個性が際立っています。.mp3]
[sound:4c-k-国際的.mp3]	<b>国際的</b> <br> こくさいてき <br> international
国際的	<b>こくさいてき</b> <br> international <br> [sound:4c-k-国際的.mp3]
international	<b>国際的</b> <br> こくさいてき <br> [sound:4c-k-国際的.mp3]
[sound:4c-s-国際的な会議が開催されました。.mp3]	<b>国際的な会議が開催されました。</b> <br> こくさいてきなかいぎがかいさいされました。 <br><br> (国際的) <br> An international conference was held.
国際的な会議が開催されました。 <br><br> (国際的)	<b>こくさいてきなかいぎがかいさいされました。</b> <br> An international conference was held. <br> [sound:4c-s-国際的な会議が開催されました。.mp3]
An international conference was held.	<b>国際的な会議が開催されました。</b> <br> こくさいてきなかいぎがかいさいされました。 <br><br> (国際的) <br> [sound:4c-s-国際的な会議が開催されました。.mp3]
[sound:4c-k-基本的.mp3]	<b>基本的</b> <br> きほんてき <br> fundamental, standard, basic
基本的	<b>きほんてき</b> <br> fundamental, standard, basic <br> [sound:4c-k-基本的.mp3]
fundamental, standard, basic	<b>基本的</b> <br> きほんてき <br> [sound:4c-k-基本的.mp3]
[sound:4c-s-基本的なルールを守ってください。.mp3]	<b>基本的なルールを守ってください。</b> <br> きほんてきなるーるをまもってください。 <br><br> (基本的) <br> Please follow basic rules.
基本的なルールを守ってください。 <br><br> (基本的)	<b>きほんてきなるーるをまもってください。</b> <br> Please follow basic rules. <br> [sound:4c-s-基本的なルールを守ってください。.mp3]
Please follow basic rules.	<b>基本的なルールを守ってください。</b> <br> きほんてきなるーるをまもってください。 <br><br> (基本的) <br> [sound:4c-s-基本的なルールを守ってください。.mp3]
[sound:4c-k-公的.mp3]	<b>公的</b> <br> こうてき <br> public, official
公的	<b>こうてき</b> <br> public, official <br> [sound:4c-k-公的.mp3]
public, official	<b>公的</b> <br> こうてき <br> [sound:4c-k-公的.mp3]
[sound:4c-s-公的な文書を提出しました。.mp3]	<b>公的な文書を提出しました。</b> <br> こうてきなぶんしょをていしゅつしました。 <br><br> (公的) <br> I submitted an official document.
公的な文書を提出しました。 <br><br> (公的)	<b>こうてきなぶんしょをていしゅつしました。</b> <br> I submitted an official document. <br> [sound:4c-s-公的な文書を提出しました。.mp3]
I submitted an official document.	<b>公的な文書を提出しました。</b> <br> こうてきなぶんしょをていしゅつしました。 <br><br> (公的) <br> [sound:4c-s-公的な文書を提出しました。.mp3]
[sound:4c-k-政治的.mp3]	<b>政治的</b> <br> せいじてき <br> political
政治的	<b>せいじてき</b> <br> political <br> [sound:4c-k-政治的.mp3]
political	<b>政治的</b> <br> せいじてき <br> [sound:4c-k-政治的.mp3]
[sound:4c-s-政治的な話題について議論しました。.mp3]	<b>政治的な話題について議論しました。</b> <br> せいじてきなわだいについてぎろんしました。 <br><br> (政治的) <br> We discussed political topics.
政治的な話題について議論しました。 <br><br> (政治的)	<b>せいじてきなわだいについてぎろんしました。</b> <br> We discussed political topics. <br> [sound:4c-s-政治的な話題について議論しました。.mp3]
We discussed political topics.	<b>政治的な話題について議論しました。</b> <br> せいじてきなわだいについてぎろんしました。 <br><br> (政治的) <br> [sound:4c-s-政治的な話題について議論しました。.mp3]
[sound:4c-k-主要.mp3]	<b>主要</b> <br> しゅよう <br> chief, main, principal, major
主要	<b>しゅよう</b> <br> chief, main, principal, major <br> [sound:4c-k-主要.mp3]
chief, main, principal, major	<b>主要</b> <br> しゅよう <br> [sound:4c-k-主要.mp3]
[sound:4c-s-彼は主要な役割を果たしました。.mp3]	<b>彼は主要な役割を果たしました。</b> <br> かれはしゅようなやくわりをはたしました。 <br><br> (主要) <br> He played a key role.
彼は主要な役割を果たしました。 <br><br> (主要)	<b>かれはしゅようなやくわりをはたしました。</b> <br> He played a key role. <br> [sound:4c-s-彼は主要な役割を果たしました。.mp3]
He played a key role.	<b>彼は主要な役割を果たしました。</b> <br> かれはしゅようなやくわりをはたしました。 <br><br> (主要) <br> [sound:4c-s-彼は主要な役割を果たしました。.mp3]
[sound:4c-k-需要.mp3]	<b>需要</b> <br> じゅよう <br> demand, request
需要	<b>じゅよう</b> <br> demand, request <br> [sound:4c-k-需要.mp3]
demand, request	<b>需要</b> <br> じゅよう <br> [sound:4c-k-需要.mp3]
[sound:4c-s-この商品の需要が高まっています。.mp3]	<b>この商品の需要が高まっています。</b> <br> このしょうひんのじゅようがたかまっています。 <br><br> (需要) <br> Demand for this product is increasing.
この商品の需要が高まっています。 <br><br> (需要)	<b>このしょうひんのじゅようがたかまっています。</b> <br> Demand for this product is increasing. <br> [sound:4c-s-この商品の需要が高まっています。.mp3]
Demand for this product is increasing.	<b>この商品の需要が高まっています。</b> <br> このしょうひんのじゅようがたかまっています。 <br><br> (需要) <br> [sound:4c-s-この商品の需要が高まっています。.mp3]
[sound:4c-k-要請.mp3]	<b>要請</b> <br> ようせい <br> claim, demand, request, application
要請	<b>ようせい</b> <br> claim, demand, request, application <br> [sound:4c-k-要請.mp3]
claim, demand, request, application	<b>要請</b> <br> ようせい <br> [sound:4c-k-要請.mp3]
[sound:4c-s-政府は協力を要請しました。.mp3]	<b>政府は協力を要請しました。</b> <br> せいふはきょうりょくをようせいしました。 <br><br> (要請) <br> The government requested cooperation.
政府は協力を要請しました。 <br><br> (要請)	<b>せいふはきょうりょくをようせいしました。</b> <br> The government requested cooperation. <br> [sound:4c-s-政府は協力を要請しました。.mp3]
The government requested cooperation.	<b>政府は協力を要請しました。</b> <br> せいふはきょうりょくをようせいしました。 <br><br> (要請) <br> [sound:4c-s-政府は協力を要請しました。.mp3]
[sound:4c-k-必要性.mp3]	<b>必要性</b> <br> ひつようせい <br> necessity
必要性	<b>ひつようせい</b> <br> necessity <br> [sound:4c-k-必要性.mp3]
necessity	<b>必要性</b> <br> ひつようせい <br> [sound:4c-k-必要性.mp3]
[sound:4c-s-このシステムの必要性を説明してください。.mp3]	<b>このシステムの必要性を説明してください。</b> <br> このシステムのひつようせいをせつめいしてください。 <br><br> (必要性) <br> Please explain the necessity of this system.
このシステムの必要性を説明してください。 <br><br> (必要性)	<b>このシステムのひつようせいをせつめいしてください。</b> <br> Please explain the necessity of this system. <br> [sound:4c-s-このシステムの必要性を説明してください。.mp3]
Please explain the necessity of this system.	<b>このシステムの必要性を説明してください。</b> <br> このシステムのひつようせいをせつめいしてください。 <br><br> (必要性) <br> [sound:4c-s-このシステムの必要性を説明してください。.mp3]
[sound:4c-k-費用.mp3]	<b>費用</b> <br> ひよう <br> cost, expense
費用	<b>ひよう</b> <br> cost, expense <br> [sound:4c-k-費用.mp3]
cost, expense	<b>費用</b> <br> ひよう <br> [sound:4c-k-費用.mp3]
[sound:4c-s-このプロジェクトの費用は高いです。.mp3]	<b>このプロジェクトの費用は高いです。</b> <br> このプロジェクトのひようはたかいです。 <br><br> (費用) <br> This project's cost is high.
このプロジェクトの費用は高いです。 <br><br> (費用)	<b>このプロジェクトのひようはたかいです。</b> <br> This project's cost is high. <br> [sound:4c-s-このプロジェクトの費用は高いです。.mp3]
This project's cost is high.	<b>このプロジェクトの費用は高いです。</b> <br> このプロジェクトのひようはたかいです。 <br><br> (費用) <br> [sound:4c-s-このプロジェクトの費用は高いです。.mp3]
[sound:4c-k-利用.mp3]	<b>利用</b> <br> りよう <br> use, utilization, utilisation, application
利用	<b>りよう</b> <br> use, utilization, utilisation, application <br> [sound:4c-k-利用.mp3]
use, utilization, utilisation, application	<b>利用</b> <br> りよう <br> [sound:4c-k-利用.mp3]
[sound:4c-s-インターネットの利用が増えています。.mp3]	<b>インターネットの利用が増えています。</b> <br> インターネットのりようがふえています。 <br><br> (利用) <br> Internet usage is increasing.
インターネットの利用が増えています。 <br><br> (利用)	<b>インターネットのりようがふえています。</b> <br> Internet usage is increasing. <br> [sound:4c-s-インターネットの利用が増えています。.mp3]
Internet usage is increasing.	<b>インターネットの利用が増えています。</b> <br> インターネットのりようがふえています。 <br><br> (利用) <br> [sound:4c-s-インターネットの利用が増えています。.mp3]
[sound:4c-k-運用.mp3]	<b>運用</b> <br> うんよう <br> making use of, application, investment, practical use
運用	<b>うんよう</b> <br> making use of, application, investment, practical use <br> [sound:4c-k-運用.mp3]
making use of, application, investment, practical use	<b>運用</b> <br> うんよう <br> [sound:4c-k-運用.mp3]
[sound:4c-s-このシステムは適切に運用されています。.mp3]	<b>このシステムは適切に運用されています。</b> <br> このシステムはてきせつにうんようされています。 <br><br> (運用) <br> This system is being operated properly.
このシステムは適切に運用されています。 <br><br> (運用)	<b>このシステムはてきせつにうんようされています。</b> <br> This system is being operated properly. <br> [sound:4c-s-このシステムは適切に運用されています。.mp3]
This system is being operated properly.	<b>このシステムは適切に運用されています。</b> <br> このシステムはてきせつにうんようされています。 <br><br> (運用) <br> [sound:4c-s-このシステムは適切に運用されています。.mp3]
[sound:4c-k-乗用車.mp3]	<b>乗用車</b> <br> じょうようしゃ <br> passenger vehicle, automobile
乗用車	<b>じょうようしゃ</b> <br> passenger vehicle, automobile <br> [sound:4c-k-乗用車.mp3]
passenger vehicle, automobile	<b>乗用車</b> <br> じょうようしゃ <br> [sound:4c-k-乗用車.mp3]
[sound:4c-s-彼は新しい乗用車を購入しました。.mp3]	<b>彼は新しい乗用車を購入しました。</b> <br> かれはあたらしいじょうようしゃをこうにゅうしました。 <br><br> (乗用車) <br> He purchased a new car.
彼は新しい乗用車を購入しました。 <br><br> (乗用車)	<b>かれはあたらしいじょうようしゃをこうにゅうしました。</b> <br> He purchased a new car. <br> [sound:4c-s-彼は新しい乗用車を購入しました。.mp3]
He purchased a new car.	<b>彼は新しい乗用車を購入しました。</b> <br> かれはあたらしいじょうようしゃをこうにゅうしました。 <br><br> (乗用車) <br> [sound:4c-s-彼は新しい乗用車を購入しました。.mp3]
[sound:4c-k-体制.mp3]	<b>体制</b> <br> たいせい <br> order, system, structure, set-up, organization, organisation
体制	<b>たいせい</b> <br> order, system, structure, set-up, organization, organisation <br> [sound:4c-k-体制.mp3]
order, system, structure, set-up, organization, organisation	<b>体制</b> <br> たいせい <br> [sound:4c-k-体制.mp3]
[sound:4c-s-新しい経営体制が導入されました。.mp3]	<b>新しい経営体制が導入されました。</b> <br> あたらしいけいえいたいせいがどうにゅうされました。 <br><br> (体制) <br> A new management system has been introduced.
新しい経営体制が導入されました。 <br><br> (体制)	<b>あたらしいけいえいたいせいがどうにゅうされました。</b> <br> A new management system has been introduced. <br> [sound:4c-s-新しい経営体制が導入されました。.mp3]
A new management system has been introduced.	<b>新しい経営体制が導入されました。</b> <br> あたらしいけいえいたいせいがどうにゅうされました。 <br><br> (体制) <br> [sound:4c-s-新しい経営体制が導入されました。.mp3]
[sound:4c-k-制裁.mp3]	<b>制裁</b> <br> せいさい <br> restraint, sanctions, punishment
制裁	<b>せいさい</b> <br> restraint, sanctions, punishment <br> [sound:4c-k-制裁.mp3]
restraint, sanctions, punishment	<b>制裁</b> <br> せいさい <br> [sound:4c-k-制裁.mp3]
[sound:4c-s-国際制裁が強化されました。.mp3]	<b>国際制裁が強化されました。</b> <br> こくさいせいさいがきょうかされました。 <br><br> (制裁) <br> International sanctions have been strengthened.
国際制裁が強化されました。 <br><br> (制裁)	<b>こくさいせいさいがきょうかされました。</b> <br> International sanctions have been strengthened. <br> [sound:4c-s-国際制裁が強化されました。.mp3]
International sanctions have been strengthened.	<b>国際制裁が強化されました。</b> <br> こくさいせいさいがきょうかされました。 <br><br> (制裁) <br> [sound:4c-s-国際制裁が強化されました。.mp3]
[sound:4c-k-税制.mp3]	<b>税制</b> <br> ぜいせい <br> tax system
税制	<b>ぜいせい</b> <br> tax system <br> [sound:4c-k-税制.mp3]
tax system	<b>税制</b> <br> ぜいせい <br> [sound:4c-k-税制.mp3]
[sound:4c-s-税制改革が進行中です。.mp3]	<b>税制改革が進行中です。</b> <br> ぜいせいかいかくがしんこうちゅうです。 <br><br> (税制) <br> Tax reform is in progress.
税制改革が進行中です。 <br><br> (税制)	<b>ぜいせいかいかくがしんこうちゅうです。</b> <br> Tax reform is in progress. <br> [sound:4c-s-税制改革が進行中です。.mp3]
Tax reform is in progress.	<b>税制改革が進行中です。</b> <br> ぜいせいかいかくがしんこうちゅうです。 <br><br> (税制) <br> [sound:4c-s-税制改革が進行中です。.mp3]
[sound:4c-k-強制.mp3]	<b>強制</b> <br> きょうせい <br> obligation, coercion, compulsion, enforcement
強制	<b>きょうせい</b> <br> obligation, coercion, compulsion, enforcement <br> [sound:4c-k-強制.mp3]
obligation, coercion, compulsion, enforcement	<b>強制</b> <br> きょうせい <br> [sound:4c-k-強制.mp3]
[sound:4c-s-彼は強制的に退職されました。.mp3]	<b>彼は強制的に退職されました。</b> <br> かれはきょうせいてきにたいしょくされました。 <br><br> (強制) <br> He was forced to resign.
彼は強制的に退職されました。 <br><br> (強制)	<b>かれはきょうせいてきにたいしょくされました。</b> <br> He was forced to resign. <br> [sound:4c-s-彼は強制的に退職されました。.mp3]
He was forced to resign.	<b>彼は強制的に退職されました。</b> <br> かれはきょうせいてきにたいしょくされました。 <br><br> (強制) <br> [sound:4c-s-彼は強制的に退職されました。.mp3]
[sound:4c-k-自治.mp3]	<b>自治</b> <br> じち <br> self-government, autonomy
自治	<b>じち</b> <br> self-government, autonomy <br> [sound:4c-k-自治.mp3]
self-government, autonomy	<b>自治</b> <br> じち <br> [sound:4c-k-自治.mp3]
[sound:4c-s-この地域は自治が認められています。.mp3]	<b>この地域は自治が認められています。</b> <br> このちいきはじちがみとめられています。 <br><br> (自治) <br> This area is granted autonomy.
この地域は自治が認められています。 <br><br> (自治)	<b>このちいきはじちがみとめられています。</b> <br> This area is granted autonomy. <br> [sound:4c-s-この地域は自治が認められています。.mp3]
This area is granted autonomy.	<b>この地域は自治が認められています。</b> <br> このちいきはじちがみとめられています。 <br><br> (自治) <br> [sound:4c-s-この地域は自治が認められています。.mp3]
[sound:4c-k-自治体.mp3]	<b>自治体</b> <br> じちたい <br> self-governing body, municipality, autonomous entity
自治体	<b>じちたい</b> <br> self-governing body, municipality, autonomous entity <br> [sound:4c-k-自治体.mp3]
self-governing body, municipality, autonomous entity	<b>自治体</b> <br> じちたい <br> [sound:4c-k-自治体.mp3]
[sound:4c-s-自治体が新しい政策を発表しました。.mp3]	<b>自治体が新しい政策を発表しました。</b> <br> じちたいがあたらしいせいさくをはっぴょうしました。 <br><br> (自治体) <br> The local government announced a new policy.
自治体が新しい政策を発表しました。 <br><br> (自治体)	<b>じちたいがあたらしいせいさくをはっぴょうしました。</b> <br> The local government announced a new policy. <br> [sound:4c-s-自治体が新しい政策を発表しました。.mp3]
The local government announced a new policy.	<b>自治体が新しい政策を発表しました。</b> <br> じちたいがあたらしいせいさくをはっぴょうしました。 <br><br> (自治体) <br> [sound:4c-s-自治体が新しい政策を発表しました。.mp3]
[sound:4c-k-政治的.mp3]	<b>政治的</b> <br> せいじてき <br> political
政治的	<b>せいじてき</b> <br> political <br> [sound:4c-k-政治的.mp3]
political	<b>政治的</b> <br> せいじてき <br> [sound:4c-k-政治的.mp3]
[sound:4c-s-政治的な決定は慎重に行われるべきです。.mp3]	<b>政治的な決定は慎重に行われるべきです。</b> <br> せいじてきなけっていはしんちょうにおこなわれるべきです。 <br><br> (政治的) <br> Political decisions should be made carefully.
政治的な決定は慎重に行われるべきです。 <br><br> (政治的)	<b>せいじてきなけっていはしんちょうにおこなわれるべきです。</b> <br> Political decisions should be made carefully. <br> [sound:4c-s-政治的な決定は慎重に行われるべきです。.mp3]
Political decisions should be made carefully.	<b>政治的な決定は慎重に行われるべきです。</b> <br> せいじてきなけっていはしんちょうにおこなわれるべきです。 <br><br> (政治的) <br> [sound:4c-s-政治的な決定は慎重に行われるべきです。.mp3]
[sound:4c-k-明治.mp3]	<b>明治</b> <br> めいじ <br> Meiji era (1868.9.8-1912.7.30)
