[sound:4c-k-着工.mp3]	<b>着工</b> <br> ちゃっこう <br> start of (construction) work
[sound:4c-s-入試の結果は来週発表されます。.mp3]	<b>入試の結果は来週発表されます。</b> <br> しさんによると、らいねんのしゅうにゅうはふえるみこみです。 <br><br> (入試) <br> According to the estimates, next year's income is expected to rise.
入試の結果は来週発表されます。 <br><br> (入試)	<b>しさんによると、らいねんのしゅうにゅうはふえるみこみです。</b> <br> According to the estimates, next year's income is expected to rise. <br> [sound:4c-s-入試の結果は来週発表されます。.mp3]
According to the estimates, next year's income is expected to rise.	<b>入試の結果は来週発表されます。</b> <br> しさんによると、らいねんのしゅうにゅうはふえるみこみです。 <br><br> (入試) <br> [sound:4c-s-入試の結果は来週発表されます。.mp3]
[sound:4c-k-試算.mp3]	<b>試算</b> <br> しさん <br> trial calculation, preliminary calculation
試算	<b>しさん</b> <br> trial calculation, preliminary calculation <br> [sound:4c-k-試算.mp3]
trial calculation, preliminary calculation	<b>試算</b> <br> しさん <br> [sound:4c-k-試算.mp3]
[sound:4c-s-試算によると、来年の収入は増える見込みです。.mp3]	<b>試算によると、来年の収入は増える見込みです。</b> <br> あたらしいしあんをていじしました。 <br><br> (試算) <br> I presented a new proposal.
試算によると、来年の収入は増える見込みです。 <br><br> (試算)	<b>あたらしいしあんをていじしました。</b> <br> I presented a new proposal. <br> [sound:4c-s-試算によると、来年の収入は増える見込みです。.mp3]
I presented a new proposal.	<b>試算によると、来年の収入は増える見込みです。</b> <br> あたらしいしあんをていじしました。 <br><br> (試算) <br> [sound:4c-s-試算によると、来年の収入は増える見込みです。.mp3]
[sound:4c-k-試案.mp3]	<b>試案</b> <br> しあん <br> tentative
試案	<b>しあん</b> <br> tentative <br> [sound:4c-k-試案.mp3]
tentative	<b>試案</b> <br> しあん <br> [sound:4c-k-試案.mp3]
[sound:4c-s-新しい試案を提示しました。.mp3]	<b>新しい試案を提示しました。</b> <br> かれはしれんをのりこえました。 <br><br> (試案) <br> He overcame the trial.
新しい試案を提示しました。 <br><br> (試案)	<b>かれはしれんをのりこえました。</b> <br> He overcame the trial. <br> [sound:4c-s-新しい試案を提示しました。.mp3]
He overcame the trial.	<b>新しい試案を提示しました。</b> <br> かれはしれんをのりこえました。 <br><br> (試案) <br> [sound:4c-s-新しい試案を提示しました。.mp3]
[sound:4c-k-試練.mp3]	<b>試練</b> <br> しれん <br> test, trial, probation, ordeal, tribulation
試練	<b>しれん</b> <br> test, trial, probation, ordeal, tribulation <br> [sound:4c-k-試練.mp3]
test, trial, probation, ordeal, tribulation	<b>試練</b> <br> しれん <br> [sound:4c-k-試練.mp3]
[sound:4c-s-彼は試練を乗り越えました。.mp3]	<b>彼は試練を乗り越えました。</b> <br> いぞくはかなしみにくれています。 <br><br> (試練) <br> The bereaved family is grieving.
彼は試練を乗り越えました。 <br><br> (試練)	<b>いぞくはかなしみにくれています。</b> <br> The bereaved family is grieving. <br> [sound:4c-s-彼は試練を乗り越えました。.mp3]
The bereaved family is grieving.	<b>彼は試練を乗り越えました。</b> <br> いぞくはかなしみにくれています。 <br><br> (試練) <br> [sound:4c-s-彼は試練を乗り越えました。.mp3]
[sound:4c-k-遺族.mp3]	<b>遺族</b> <br> いぞく <br> bereaved family
遺族	<b>いぞく</b> <br> bereaved family <br> [sound:4c-k-遺族.mp3]
bereaved family	<b>遺族</b> <br> いぞく <br> [sound:4c-k-遺族.mp3]
[sound:4c-s-遺族は悲しみに暮れています。.mp3]	<b>遺族は悲しみに暮れています。</b> <br> みんぞくしゅぎはしゃかいにおおきなえいきょうをあたえました。 <br><br> (遺族) <br> Nationalism had a significant impact on society.
遺族は悲しみに暮れています。 <br><br> (遺族)	<b>みんぞくしゅぎはしゃかいにおおきなえいきょうをあたえました。</b> <br> Nationalism had a significant impact on society. <br> [sound:4c-s-遺族は悲しみに暮れています。.mp3]
Nationalism had a significant impact on society.	<b>遺族は悲しみに暮れています。</b> <br> みんぞくしゅぎはしゃかいにおおきなえいきょうをあたえました。 <br><br> (遺族) <br> [sound:4c-s-遺族は悲しみに暮れています。.mp3]
[sound:4c-k-民族主義.mp3]	<b>民族主義</b> <br> みんぞくしゅぎ <br> nationalism
民族主義	<b>みんぞくしゅぎ</b> <br> nationalism <br> [sound:4c-k-民族主義.mp3]
nationalism	<b>民族主義</b> <br> みんぞくしゅぎ <br> [sound:4c-k-民族主義.mp3]
[sound:4c-s-民族主義は社会に大きな影響を与えました。.mp3]	<b>民族主義は社会に大きな影響を与えました。</b> <br> しんぞくがあつまっておいわいをしました。 <br><br> (民族主義) <br> The relatives gathered and celebrated.
民族主義は社会に大きな影響を与えました。 <br><br> (民族主義)	<b>しんぞくがあつまっておいわいをしました。</b> <br> The relatives gathered and celebrated. <br> [sound:4c-s-民族主義は社会に大きな影響を与えました。.mp3]
The relatives gathered and celebrated.	<b>民族主義は社会に大きな影響を与えました。</b> <br> しんぞくがあつまっておいわいをしました。 <br><br> (民族主義) <br> [sound:4c-s-民族主義は社会に大きな影響を与えました。.mp3]
[sound:4c-k-親族.mp3]	<b>親族</b> <br> しんぞく <br> relatives
親族	<b>しんぞく</b> <br> relatives <br> [sound:4c-k-親族.mp3]
relatives	<b>親族</b> <br> しんぞく <br> [sound:4c-k-親族.mp3]
[sound:4c-s-親族が集まってお祝いをしました。.mp3]	<b>親族が集まってお祝いをしました。</b> <br> かれはおおきないちぞくのいちいんです。 <br><br> (親族) <br> He is a member of a large family.
親族が集まってお祝いをしました。 <br><br> (親族)	<b>かれはおおきないちぞくのいちいんです。</b> <br> He is a member of a large family. <br> [sound:4c-s-親族が集まってお祝いをしました。.mp3]
He is a member of a large family.	<b>親族が集まってお祝いをしました。</b> <br> かれはおおきないちぞくのいちいんです。 <br><br> (親族) <br> [sound:4c-s-親族が集まってお祝いをしました。.mp3]
[sound:4c-k-一族.mp3]	<b>一族</b> <br> いちぞく <br> family, relatives, dependents; household
一族	<b>いちぞく</b> <br> family, relatives, dependents; household <br> [sound:4c-k-一族.mp3]
family, relatives, dependents; household	<b>一族</b> <br> いちぞく <br> [sound:4c-k-一族.mp3]
[sound:4c-s-彼は大きな一族の一員です。.mp3]	<b>彼は大きな一族の一員です。</b> <br> どうぶつえんでぞうをみました。 <br><br> (一族) <br> I saw an elephant at the zoo.
彼は大きな一族の一員です。 <br><br> (一族)	<b>どうぶつえんでぞうをみました。</b> <br> I saw an elephant at the zoo. <br> [sound:4c-s-彼は大きな一族の一員です。.mp3]
I saw an elephant at the zoo.	<b>彼は大きな一族の一員です。</b> <br> どうぶつえんでぞうをみました。 <br><br> (一族) <br> [sound:4c-s-彼は大きな一族の一員です。.mp3]
[sound:4c-k-象.mp3]	<b>象</b> <br> しょう <br> phenomenon
象	<b>しょう</b> <br> phenomenon <br> [sound:4c-k-象.mp3]
phenomenon	<b>象</b> <br> しょう <br> [sound:4c-k-象.mp3]
[sound:4c-s-動物園で象を見ました。.mp3]	<b>動物園で象を見ました。</b> <br> きしょうちょうはてんきよほうをていきょうしています。 <br><br> (象) <br> The Meteorological Agency provides weather forecasts.
動物園で象を見ました。 <br><br> (象)	<b>きしょうちょうはてんきよほうをていきょうしています。</b> <br> The Meteorological Agency provides weather forecasts. <br> [sound:4c-s-動物園で象を見ました。.mp3]
The Meteorological Agency provides weather forecasts.	<b>動物園で象を見ました。</b> <br> きしょうちょうはてんきよほうをていきょうしています。 <br><br> (象) <br> [sound:4c-s-動物園で象を見ました。.mp3]
[sound:4c-k-気象庁.mp3]	<b>気象庁</b> <br> きしょうちょう <br> Meteorological Agency
気象庁	<b>きしょうちょう</b> <br> Meteorological Agency <br> [sound:4c-k-気象庁.mp3]
Meteorological Agency	<b>気象庁</b> <br> きしょうちょう <br> [sound:4c-k-気象庁.mp3]
[sound:4c-s-気象庁は天気予報を提供しています。.mp3]	<b>気象庁は天気予報を提供しています。</b> <br> きしょうがきゅうにかわりました。 <br><br> (気象庁) <br> The weather changed suddenly.
気象庁は天気予報を提供しています。 <br><br> (気象庁)	<b>きしょうがきゅうにかわりました。</b> <br> The weather changed suddenly. <br> [sound:4c-s-気象庁は天気予報を提供しています。.mp3]
The weather changed suddenly.	<b>気象庁は天気予報を提供しています。</b> <br> きしょうがきゅうにかわりました。 <br><br> (気象庁) <br> [sound:4c-s-気象庁は天気予報を提供しています。.mp3]
[sound:4c-k-気象.mp3]	<b>気象</b> <br> きしょう <br> weather, climate
気象	<b>きしょう</b> <br> weather, climate <br> [sound:4c-k-気象.mp3]
weather, climate	<b>気象</b> <br> きしょう <br> [sound:4c-k-気象.mp3]
[sound:4c-s-気象が急に変わりました。.mp3]	<b>気象が急に変わりました。</b> <br> はとへいわのしょうちょうです。 <br><br> (気象) <br> The dove is a symbol of peace.
気象が急に変わりました。 <br><br> (気象)	<b>はとへいわのしょうちょうです。</b> <b
