tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
朝鮮半島	<b>ちょうせんはんとう</b> <br> Korean peninsula <br> [sound:4c-k-朝鮮半島.mp3]
Korean peninsula	<b>朝鮮半島</b> <br> ちょうせんはんとう <br> [sound:4c-k-朝鮮半島.mp3]
[sound:4c-s-朝鮮半島は中国と日本の間にあります。.mp3]	<b>朝鮮半島は中国と日本の間にあります。</b> <br> かれのきおくはせんめいです。 <br><br> (朝鮮半島) <br> His memory is vivid.
朝鮮半島は中国と日本の間にあります。 <br><br> (朝鮮半島)	<b>かれのきおくはせんめいです。</b> <br> His memory is vivid. <br> [sound:4c-s-朝鮮半島は中国と日本の間にあります。.mp3]
His memory is vivid.	<b>朝鮮半島は中国と日本の間にあります。</b> <br> かれのきおくはせんめいです。 <br><br> (朝鮮半島) <br> [sound:4c-s-朝鮮半島は中国と日本の間にあります。.mp3]
[sound:4c-k-鮮明.mp3]	<b>鮮明</b> <br> せんめい <br> vivid, clear, distinct
鮮明	<b>せんめい</b> <br> vivid, clear, distinct <br> [sound:4c-k-鮮明.mp3]
vivid, clear, distinct	<b>鮮明</b> <br> せんめい <br> [sound:4c-k-鮮明.mp3]
[sound:4c-s-彼の記憶は鮮明です。.mp3]	<b>彼の記憶は鮮明です。</b> <br> しんせんなさかなをたべました。 <br><br> (鮮明) <br> I ate fresh fish.
彼の記憶は鮮明です。 <br><br> (鮮明)	<b>しんせんなさかなをたべました。</b> <br> I ate fresh fish. <br> [sound:4c-s-彼の記憶は鮮明です。.mp3]
I ate fresh fish.	<b>彼の記憶は鮮明です。</b> <br> しんせんなさかなをたべました。 <br><br> (鮮明) <br> [sound:4c-s-彼の記憶は鮮明です。.mp3]
[sound:4c-k-新鮮.mp3]	<b>新鮮</b> <br> しんせん <br> fresh
新鮮	<b>しんせん</b> <br> fresh <br> [sound:4c-k-新鮮.mp3]
fresh	<b>新鮮</b> <br> しんせん <br> [sound:4c-k-新鮮.mp3]
[sound:4c-s-新鮮な魚を食べました。.mp3]	<b>新鮮な魚を食べました。</b> <br> じしんにそなえてひじょうしょくをじゅんびしました。 <br><br> (新鮮) <br> I prepared emergency food in preparation for an earthquake.
新鮮な魚を食べました。 <br><br> (新鮮)	<b>じしんにそなえてひじょうしょくをじゅんびしました。</b> <br> I prepared emergency food in preparation for an earthquake. <br> [sound:4c-s-新鮮な魚を食べました。.mp3]
I prepared emergency food in preparation for an earthquake.	<b>新鮮な魚を食べました。</b> <br> じしんにそなえてひじょうしょくをじゅんびしました。 <br><br> (新鮮) <br> [sound:4c-s-新鮮な魚を食べました。.mp3]
[sound:4c-k-備える.mp3]	<b>備える</b> <br> そなえる <br> to furnish, to provide for, to equip, to install; to have ready, to prepare for; to possess, to have, to be endowed with, to be armed with
備える	<b>そなえる</b> <br> to furnish, to provide for, to equip, to install; to have ready, to prepare for; to possess, to have, to be endowed with, to be armed with <br> [sound:4c-k-備える.mp3]
to furnish, to provide for, to equip, to install; to have ready, to prepare for; to possess, to have, to be endowed with, to be armed with	<b>備える</b> <br> そなえる <br> [sound:4c-k-備える.mp3]
[sound:4c-s-地震に備えて非常食を準備しました。.mp3]	<b>地震に備えて非常食を準備しました。</b> <br> けいびいんはたてもののまわりをじゅんかいしています。 <br><br> (備える) <br> The security guard is patrolling around the building.
地震に備えて非常食を準備しました。 <br><br> (備える)	<b>けいびいんはたてもののまわりをじゅんかいしています。</b> <br> The security guard is patrolling around the building. <br> [sound:4c-s-地震に備えて非常食を準備しました。.mp3]
The security guard is patrolling around the building.	<b>地震に備えて非常食を準備しました。</b> <br> けいびいんはたてもののまわりをじゅんかいしています。 <br><br> (備える) <br> [sound:4c-s-地震に備えて非常食を準備しました。.mp3]
[sound:4c-k-警備.mp3]	<b>警備</b> <br> けいび <br> defense, defence, guard, policing, security
警備	<b>けいび</b> <br> defense, defence, guard, policing, security <br> [sound:4c-k-警備.mp3]
defense, defence, guard, policing, security	<b>警備</b> <br> けいび <br> [sound:4c-k-警備.mp3]
[sound:4c-s-警備員は建物の周りを巡回しています。.mp3]	<b>警備員は建物の周りを巡回しています。</b> <br> しゅびのせんしゅはよくぼーるをとめました。 <br><br> (警備) <br> The defensive player stopped the ball well.
警備員は建物の周りを巡回しています。 <br><br> (警備)	<b>しゅびのせんしゅはよくぼーるをとめました。</b> <br> The defensive player stopped the ball well. <br> [sound:4c-s-警備員は建物の周りを巡回しています。.mp3]
The defensive player stopped the ball well.	<b>警備員は建物の周りを巡回しています。</b> <br> しゅびのせんしゅはよくぼーるをとめました。 <br><br> (警備) <br> [sound:4c-s-警備員は建物の周りを巡回しています。.mp3]
[sound:4c-k-守備.mp3]	<b>守備</b> <br> しゅび <br> defense, defence
守備	<b>しゅび</b> <br> defense, defence <br> [sound:4c-k-守備.mp3]
defense, defence	<b>守備</b> <br> しゅび <br> [sound:4c-k-守備.mp3]
[sound:4c-s-守備の選手はよくボールを止めました。.mp3]	<b>守備の選手はよくボールを止めました。</b> <br> よびのでんちをかばんにいれておきました。 <br><br> (守備) <br> I put spare batteries in my bag.
守備の選手はよくボールを止めました。 <br><br> (守備)	<b>よびのでんちをかばんにいれておきました。</b> <br> I put spare batteries in my bag. <br> [sound:4c-s-守備の選手はよくボールを止めました。.mp3]
I put spare batteries in my bag.	<b>守備の選手はよくボールを止めました。</b> <br> よびのでんちをかばんにいれておきました。 <br><br> (守備) <br> [sound:4c-s-守備の選手はよくボールを止めました。.mp3]
[sound:4c-k-予備.mp3]	<b>予備</b> <br> よび <br> preparation, preliminaries, reserve, spare
予備	<b>よび</b> <br> preparation, preliminaries, reserve, spare <br> [sound:4c-k-予備.mp3]
preparation, preliminaries, reserve, spare	<b>予備</b> <br> よび <br> [sound:4c-k-予備.mp3]
[sound:4c-s-予備の電池をカバンに入れておきました。.mp3]	<b>予備の電池をカバンに入れておきました。</b> <br> きょうはざいたくきんむをしています。 <br><br> (予備) <br> I’m working from home today.
予備の電池をカバンに入れておきました。 <br><br> (予備)	<b>きょうはざいたくきんむをしています。</b> <br> I’m working from home today. <br> [sound:4c-s-予備の電池をカバンに入れておきました。.mp3]
I’m working from home today.	<b>予備の電池をカバンに入れておきました。</b> <br> きょうはざいたくきんむをしています。 <br><br> (予備) <br> [sound:4c-s-予備の電池をカバンに入れておきました。.mp3]
[sound:4c-k-在宅.mp3]	<b>在宅</b> <br> ざいたく <br> being in, being at home
在宅	<b>ざいたく</b> <br> being in, being at home <br> [sound:4c-k-在宅.mp3]
being in, being at home	<b>在宅</b> <br> ざいたく <br> [sound:4c-k-在宅.mp3]
[sound:4c-s-今日は在宅勤務をしています。.mp3]	<b>今日は在宅勤務をしています。</b> <br> かたくそうさくがおこなわれました。 <br><br> (在宅) <br> A home search was conducted.
今日は在宅勤務をしています。 <br><br> (在宅)	<b>かたくそうさくがおこなわれました。</b> <br> A home search was conducted. <br> [sound:4c-s-今日は在宅勤務をしています。.mp3]
A home search was conducted.	<b>今日は在宅勤務をしています。</b> <br> かたくそうさくがおこなわれました。 <br><br> (在宅) <br> [sound:4c-s-今日は在宅勤務をしています。.mp3]
[sound:4c-k-家宅.mp3]	<b>家宅</b> <br> かたく <br> domicile, premises
家宅	<b>かたく</b> <br> domicile, premises <br> [sound:4c-k-家宅.mp3]
domicile, premises	<b>家宅</b> <br> かたく <br> [sound:4c-k-家宅.mp3]
[sound:4c-s-家宅捜索が行われました。.mp3]	<b>家宅捜索が行われました。</b> <br> このちいきはしずかなじゅうたくちです。 <br><br> (家宅) <br> This area is a quiet residential neighborhood.
家宅捜索が行われました。 <br><br> (家宅)	<b>このちいきはしずかなじゅうたくちです。</b> <br> This area is a quiet residential neighborhood. <br> [sound:4c-s-家宅捜索が行われました。.mp3]
This area is a quiet residential neighborhood.	<b>家宅捜索が行われました。</b> <br> このちいきはしずかなじゅうたくちです。 <br><br> (家宅) <br> [sound:4c-s-家宅捜索が行われました。.mp3]
[sound:4c-k-住宅地.mp3]	<b>住宅地</b> <br> じゅうたくち <br> housing district, residential district
住宅地	<b>じゅうたくち</b> <br> housing district, residential district <br> [sound:4c-k-住宅地.mp3]
housing district, residential district	<b>住宅地</b> <br> じゅうたくち <br> [sound:4c-k-住宅地.mp3]
[sound:4c-s-この地域は静かな住宅地です。.mp3]	<b>この地域は静かな住宅地です。</b> <br> あたらしいたくちがかいはつされています。 <br><br> (住宅地) <br> New housing lots are being developed.
この地域は静かな住宅地です。 <br><br> (住宅地)	<b>あたらしいたくちがかいはつされています。</b> <br> New housing lots are being developed. <br> [sound:4c-s-この地域は静かな住宅地です。.mp3]
New housing lots are being developed.	<b>この地域は静かな住宅地です。</b> <br> あたらしいたくちがかいはつされています。 <br><br> (住宅地) <br> [sound:4c-s-この地域は静かな住宅地です。.mp3]
[sound:4c-k-宅地.mp3]	<b>宅地</b> <br> たくち <br> building lot, residential land
宅地	<b>たくち</b> <br> building lot, residential land <br> [sound:4c-k-宅地.mp3]
building lot, residential land	<b>宅地</b> <br> たくち <br> [sound:4c-k-宅地.mp3]
[sound:4c-s-新しい宅地が開発されています。.mp3]	<b>新しい宅地が開発されています。</b> <br> じこによってそんがいがはっせいしました。 <br><br> (宅地) <br> Damage occurred due to the accident.
新しい宅地が開発されています。 <br><br> (宅地)	<b>じこによってそんがいがはっせいしました。</b> <br> Damage occurred due to the accident. <br> [sound:4c-s-新しい宅地が開発されています。.mp3]
Damage occurred due to the accident.	<b>新しい宅地が開発されています。</b> <br> じこによってそんがいがはっせいしました。 <br><br> (宅地) <br> [sound:4c-s-新しい宅地が開発されています。.mp3]
[sound:4c-k-損害.mp3]	<b>損害</b> <br> そんがい <br> damage, injury, loss
損害	<b>そんがい</b> <br> damage, injury, loss <br> [sound:4c-k-損害.mp3]
damage, injury, loss	<b>損害</b> <br> そんがい <br> [sound:4c-k-損害.mp3]
[sound:4c-s-事故によって損害が発生しました。.mp3]	<b>事故によって損害が発生しました。</b> <br> しょうがいしゃのためのしせつがふえています。 <br><br> (損害) <br> Facilities for people with disabilities are increasing.
事故によって損害が発生しました。 <br><br> (損害)	<b>しょうがいしゃのためのしせつがふえています。</b> <br> Facilities for people with disabilities are increasing. <br> [sound:4c-s-事故によって損害が発生しました。.mp3]
Facilities for people with disabilities are increasing.	<b>事故によって損害が発生しました。</b> <br> しょうがいしゃのためのしせつがふえています。 <br><br> (損害) <br> [sound:4c-s-事故によって損害が発生しました。.mp3]
[sound:4c-k-障害者.mp3]	<b>障害者</b> <br> しょうがいしゃ <br> (physically) handicapped person, disabled person
障害者	<b>しょうがいしゃ</b> <br> (physically) handicapped person, disabled person <br> [sound:4c-k-障害者.mp3]
(physically) handicapped person, disabled person	<b>障害者</b> <br> しょうがいしゃ <br> [sound:4c-k-障害者.mp3]
[sound:4c-s-障害者のための施設が増えています。.mp3]	<b>障害者のための施設が増えています。</b> <br> こうがいがとしのかんきょうにえいきょうをあたえています。 <br><br> (障害者) <br> Pollution is affecting the urban environment.
障害者のための施設が増えています。 <br><br> (障害者)	<b>こうがいがとしのかんきょうにえいきょうをあたえています。</b> <br> Pollution is affecting the urban environment. <br> [sound:4c-s-障害者のための施設が増えています。.mp3]
Pollution is affecting the urban environment.	<b>障害者のための施設が増えています。</b> <br> こうがいがとしのかんきょうにえいきょうをあたえています。 <br><br> (障害者) <br> [sound:4c-s-障害者のための施設が増えています。.mp3]
[sound:4c-k-公害.mp3]	<b>公害</b> <br> こうがい <br> pollution, public nuisance, contamination
公害	<b>こうがい</b> <br> pollution, public nuisance, contamination <br> [sound:4c-k-公害.mp3]
pollution, public nuisance, contamination	<b>公害</b> <br> こうがい <br> [sound:4c-k-公害.mp3]
[sound:4c-s-公害が都市の環境に影響を与えています。.mp3]	<b>公害が都市の環境に影響を与えています。</b> <br> そのじこのひがいしゃはびょういんにはこばれました。 <br><br> (公害) <br> The victims of the accident were taken to the hospital.
公害が都市の環境に影響を与えています。 <br><br> (公害)	<b>そのじこのひがいしゃはびょういんにはこばれました。</b> <br> The victims of the accident were taken to the hospital. <br> [sound:4c-s-公害が都市の環境に影響を与えています。.mp3]
The victims of the accident were taken to the hospital.	<b>公害が都市の環境に影響を与えています。</b> <br> そのじこのひがいしゃはびょういんにはこばれました。 <br><br> (公害) <br> [sound:4c-s-公害が都市の環境に影響を与えています。.mp3]
[sound:4c-k-被害者.mp3]	<b>被害者</b> <br> ひがいしゃ <br> victim, injured party, sufferer
被害者	<b>ひがいしゃ</b> <br> victim, injured party, sufferer <br> [sound:4c-k-被害者.mp3]
victim, injured party, sufferer	<b>被害者</b> <br> ひがいしゃ <br> [sound:4c-k-被害者.mp3]
[sound:4c-s-その事故の被害者は病院に運ばれました。.mp3]	<b>その事故の被害者は病院に運ばれました。</b> <br> かれはわたしのいけんにはいりょしてくれました。 <br><br> (被害者) <br> He showed consideration for my opinion.
その事故の被害者は病院に運ばれました。 <br><br> (被害者)	<b>かれはわたしのいけんにはいりょしてくれました。</b> <br> He showed consideration for my opinion. <br> [sound:4c-s-その事故の被害者は病院に運ばれました。.mp3]
He showed consideration for my opinion.	<b>その事故の被害者は病院に運ばれました。</b> <br> かれはわたしのいけんにはいりょしてくれました。 <br><br> (被害者) <br> [sound:4c-s-その事故の被害者は病院に運ばれました。.mp3]
[sound:4c-k-配慮.mp3]	<b>配慮</b> <br> はいりょ <br> consideration, concern, forethought
配慮	<b>はいりょ</b> <br> consideration, concern, forethought <br> [sound:4c-k-配慮.mp3]
consideration, concern, forethought	<b>配慮</b> <br> はいりょ <br> [sound:4c-k-配慮.mp3]
[sound:4c-s-彼は私の意見に配慮してくれました。.mp3]	<b>彼は私の意見に配慮してくれました。</b> <br> ことしのかぶのはいとうはよそうよりたかかったです。 <br><br> (配慮) <br> This year’s dividend from stocks was higher than expected.
彼は私の意見に配慮してくれました。 <br><br> (配慮)	<b>ことしのかぶのはいとうはよそうよりたかかったです。</b> <br> This year’s dividend from stocks was higher than expected. <br> [sound:4c-s-彼は私の意見に配慮してくれました。.mp3]
This year’s dividend from stocks was higher than expected.	<b>彼は私の意見に配慮してくれました。</b> <br> ことしのかぶのはいとうはよそうよりたかかったです。 <br><br> (配慮) <br> [sound:4c-s-彼は私の意見に配慮してくれました。.mp3]
[sound:4c-k-配当.mp3]	<b>配当</b> <br> はいとう <br> dividend, share
配当	<b>はいとう</b> <br> dividend, share <br> [sound:4c-k-配当.mp3]
dividend, share	<b>配当</b> <br> はいとう <br> [sound:4c-k-配当.mp3]
[sound:4c-s-今年の株の配当は予想より高かったです。.mp3]	<b>今年の株の配当は予想より高かったです。</b> <br> かれのけはいをかんじました。 <br><br> (配当) <br> I sensed his presence.
今年の株の配当は予想より高かったです。 <br><br> (配当)	<b>かれのけはいをかんじました。</b> <br> I sensed his presence. <br> [sound:4c-s-今年の株の配当は予想より高かったです。.mp3]
I sensed his presence.	<b>今年の株の配当は予想より高かったです。</b> <br> かれのけはいをかんじました。 <br><br> (配当) <br> [sound:4c-s-今年の株の配当は予想より高かったです。.mp3]
[sound:4c-k-気配.mp3]	<b>気配</b> <br> けはい, きはい <br> indication, sign, hint, presence, trend; quotation (esp. stock market)
気配	<b>けはい, きはい</b> <br> indication, sign, hint, presence, trend; quotation (esp. stock market) <br> [sound:4c-k-気配.mp3]
indication, sign, hint, presence, trend; quotation (esp. stock market)	<b>気配</b> <br> けはい, きはい <br> [sound:4c-k-気配.mp3]
[sound:4c-s-彼の気配を感じました。.mp3]	<b>彼の気配を感じました。</b> <br> かぐをへやにてきせつにはいちしました。 <br><br> (気配) <br> I arranged the furniture appropriately in the room.
彼の気配を感じました。 <br><br> (気配)	<b>かぐをへやにてきせつにはいちしました。</b> <br> I arranged the furniture appropriately in the room. <br> [sound:4c-s-彼の気配を感じました。.mp3]
I arranged the furniture appropriately in the room.	<b>彼の気配を感じました。</b> <br> かぐをへやにてきせつにはいちしました。 <br><br> (気配) <br> [sound:4c-s-彼の気配を感じました。.mp3]
[sound:4c-k-配置.mp3]	<b>配置</b> <br> はいち <br> arrangement (of resources), deployment, stationing, posting, disposition
配置	<b>はいち</b> <br> arrangement (of resources), deployment, stationing, posting, disposition <br> [sound:4c-k-配置.mp3]
arrangement (of resources), deployment, stationing, posting, disposition	<b>配置</b> <br> はいち <br> [sound:4c-k-配置.mp3]
[sound:4c-s-家具を部屋に適切に配置しました。.mp3]	<b>家具を部屋に適切に配置しました。</b> <br> たいかいのゆうしょうしゃにはふくしょうがじゅよされます。 <br><br> (配置) <br> The winner of the tournament will receive a secondary prize.
家具を部屋に適切に配置しました。 <br><br> (配置)	<b>たいかいのゆうしょうしゃにはふくしょうがじゅよされます。</b> <br> The winner of the tournament will receive a secondary prize. <br> [sound:4c-s-家具を部屋に適切に配置しました。.mp3]
The winner of the tournament will receive a secondary prize.	<b>家具を部屋に適切に配置しました。</b> <br> たいかいのゆうしょうしゃにはふくしょうがじゅよされます。 <br><br> (配置) <br> [sound:4c-s-家具を部屋に適切に配置しました。.mp3]
[sound:4c-k-副賞.mp3]	<b>副賞</b> <br> ふくしょう <br> extra prize
副賞	<b>ふくしょう</b> <br> extra prize <br> [sound:4c-k-副賞.mp3]
extra prize	<b>副賞</b> <br> ふくしょう <br> [sound:4c-k-副賞.mp3]
[sound:4c-s-大会の優勝者には副賞が授与されます。.mp3]	<b>大会の優勝者には副賞が授与されます。</b> <br> このえいがにはふくだいがあります。 <br><br> (副賞) <br> This movie has a subtitle.
大会の優勝者には副賞が授与されます。 <br><br> (副賞)	<b>このえいがにはふくだいがあります。</b> <br> This movie has a subtitle. <br> [sound:4c-s-大会の優勝者には副賞が授与されます。.mp3]
This movie has a subtitle.	<b>大会の優勝者には副賞が授与されます。</b> <br> このえいがにはふくだいがあります。 <br><br> (副賞) <br> [sound:4c-s-大会の優勝者には副賞が授与されます。.mp3]
[sound:4c-k-副題.mp3]	<b>副題</b> <br> ふくだい <br> subtitle, subheading
副題	<b>ふくだい</b> <br> subtitle, subheading <br> [sound:4c-k-副題.mp3]
subtitle, subheading	<b>副題</b> <br> ふくだい <br> [sound:4c-k-副題.mp3]
[sound:4c-s-この映画には副題があります。.mp3]	<b>この映画には副題があります。</b> <br> かがくはんのうのふくさんぶつとしてガスがはっせいしました。 <br><br> (副題) <br> A gas was produced as a byproduct of the chemical reaction.
この映画には副題があります。 <br><br> (副題)	<b>かがくはんのうのふくさんぶつとしてガスがはっせいしました。</b> <br> A gas was produced as a byproduct of the chemical reaction. <br> [sound:4c-s-この映画には副題があります。.mp3]
A gas was produced as a byproduct of the chemical reaction.	<b>この映画には副題があります。</b> <br> かがくはんのうのふくさんぶつとしてガスがはっせいしました。 <br><br> (副題) <br> [sound:4c-s-この映画には副題があります。.mp3]
[sound:4c-k-副産物.mp3]	<b>副産物</b> <br> ふくさんぶつ <br> byproduct, side line
副産物	<b>ふくさんぶつ</b> <br> byproduct, side line <br> [sound:4c-k-副産物.mp3]
byproduct, side line	<b>副産物</b> <br> ふくさんぶつ <br> [sound:4c-k-副産物.mp3]
[sound:4c-s-化学反応の副産物としてガスが発生しました。.mp3]	<b>化学反応の副産物としてガスが発生しました。</b> <br> こだいのふくそうひんがはっくつされました。 <br><br> (副産物) <br> Ancient burial items were excavated.
化学反応の副産物としてガスが発生しました。 <br><br> (副産物)	<b>こだいのふくそうひんがはっくつされました。</b> <br> Ancient burial items were excavated. <br> [sound:4c-s-化学反応の副産物としてガスが発生しました。.mp3]
Ancient burial items were excavated.	<b>化学反応の副産物としてガスが発生しました。</b> <br> こだいのふくそうひんがはっくつされました。 <br><br> (副産物) <br> [sound:4c-s-化学反応の副産物としてガスが発生しました。.mp3]
[sound:4c-k-副葬品.mp3]	<b>副葬品</b> <br> ふくそうひん <br> burial accessories
副葬品	<b>ふくそうひん</b> <br> burial accessories <br> [sound:4c-k-副葬品.mp3]
burial accessories	<b>副葬品</b> <br> ふくそうひん <br> [sound:4c-k-副葬品.mp3]
[sound:4c-s-古代の副葬品が発掘されました。.mp3]	<b>古代の副葬品が発掘されました。</b> <br> このもんだいをけいさんしてといてください。 <br><br> (副葬品) <br> Please calculate and solve this problem.
古代の副葬品が発掘されました。 <br><br> (副葬品)	<b>このもんだいをけいさんしてといてください。</b> <br> Please calculate and solve this problem. <br> [sound:4c-s-古代の副葬品が発掘されました。.mp3]
Please calculate and solve this problem.	<b>古代の副葬品が発掘されました。</b> <br> このもんだいをけいさんしてといてください。 <br><br> (副葬品) <br> [sound:4c-s-古代の副葬品が発掘されました。.mp3]
[sound:4c-k-計算.mp3]	<b>計算</b> <br> けいさん <br> calculation, reckoning, count; forecast
計算	<b>けいさん</b> <br> calculation, reckoning, count; forecast <br> [sound:4c-k-計算.mp3]
calculation, reckoning, count; forecast	<b>計算</b> <br> けいさん <br> [sound:4c-k-計算.mp3]
[sound:4c-s-この問題を計算して解いてください。.mp3]	<b>この問題を計算して解いてください。</b> <br> せいふはほせいよさんをはっぴょうしました。 <br><br> (計算) <br> The government announced a supplementary budget.
この問題を計算して解いてください。 <br><br> (計算)	<b>せいふはほせいよさんをはっぴょうしました。</b> <br> The government announced a supplementary budget. <br> [sound:4c-s-この問題を計算して解いてください。.mp3]
The government announced a supplementary budget.	<b>この問題を計算して解いてください。</b> <br> せいふはほせいよさんをはっぴょうしました。 <br><br> (計算) <br> [sound:4c-s-この問題を計算して解いてください。.mp3]
[sound:4c-k-補正予算.mp3]	<b>補正予算</b> <br> ほせいよさん <br> revised or supplementary budget
補正予算	<b>ほせいよさん</b> <br> revised or supplementary budget <br> [sound:4c-k-補正予算.mp3]
revised or supplementary budget	<b>補正予算</b> <br> ほせいよさん <br> [sound:4c-k-補正予算.mp3]
[sound:4c-s-政府は補正予算を発表しました。.mp3]	<b>政府は補正予算を発表しました。</b> <br> せいこうするこうさんはたかいです。 <br><br> (補正予算) <br> The probability of success is high.
政府は補正予算を発表しました。 <br><br> (補正予算)	<b>せいこうするこうさんはたかいです。</b> <br> The probability of success is high. <br> [sound:4c-s-政府は補正予算を発表しました。.mp3]
The probability of success is high.	<b>政府は補正予算を発表しました。</b> <br> せいこうするこうさんはたかいです。 <br><br> (補正予算) <br> [sound:4c-s-政府は補正予算を発表しました。.mp3]
[sound:4c-k-公算.mp3]	<b>公算</b> <br> こうさん <br> probability, likelihood
公算	<b>こうさん</b> <br> probability, likelihood <br> [sound:4c-k-公算.mp3]
probability, likelihood	<b>公算</b> <br> こうさん <br> [sound:4c-k-公算.mp3]
[sound:4c-s-成功する公算は高いです。.mp3]	<b>成功する公算は高いです。</b> <br> そのひようはがいさんでけいさんされました。 <br><br> (公算) <br> The cost was estimated roughly.
成功する公算は高いです。 <br><br> (公算)	<b>そのひようはがいさんでけいさんされました。</b> <br> The cost was estimated roughly. <br> [sound:4c-s-成功する公算は高いです。.mp3]
The cost was estimated roughly.	<b>成功する公算は高いです。</b> <br> そのひようはがいさんでけいさんされました。 <br><br> (公算) <br> [sound:4c-s-成功する公算は高いです。.mp3]
[sound:4c-k-概算.mp3]	<b>概算</b> <br> がいさん <br> approximation, rough estimate
概算	<b>がいさん</b> <br> approximation, rough estimate <br> [sound:4c-k-概算.mp3]
approximation, rough estimate	<b>概算</b> <br> がいさん <br> [sound:4c-k-概算.mp3]
[sound:4c-s-その費用は概算で計算されました。.mp3]	<b>その費用は概算で計算されました。</b> <br> かんきょうもんだいをじゅうしするべきです。 <br><br> (概算) <br> We should place importance on environmental issues.
その費用は概算で計算されました。 <br><br> (概算)	<b>かんきょうもんだいをじゅうしするべきです。</b> <br> We should place importance on environmental issues. <br> [sound:4c-s-その費用は概算で計算されました。.mp3]
We should place importance on environmental issues.	<b>その費用は概算で計算されました。</b> <br> かんきょうもんだいをじゅうしするべきです。 <br><br> (概算) <br> [sound:4c-s-その費用は概算で計算されました。.mp3]
[sound:4c-k-重視.mp3]	<b>重視</b> <br> じゅうし <br> importance, stress, serious consideration
重視	<b>じゅうし</b> <br> importance, stress, serious consideration <br> [sound:4c-k-重視.mp3]
importance, stress, serious consideration	<b>重視</b> <br> じゅうし <br> [sound:4c-k-重視.mp3]
[sound:4c-s-環境問題を重視するべきです。.mp3]	<b>環境問題を重視するべきです。</b> <br> そのてれびばんぐみのしちょうりつはたかかったです。 <br><br> (重視) <br> The TV show had high viewership ratings.
環境問題を重視するべきです。 <br><br> (重視)	<b>そのてれびばんぐみのしちょうりつはたかかったです。</b> <br> The TV show had high viewership ratings. <br> [sound:4c-s-環境問題を重視するべきです。.mp3]
The TV show had high viewership ratings.	<b>環境問題を重視するべきです。</b> <br> そのてれびばんぐみのしちょうりつはたかかったです。 <br><br> (重視) <br> [sound:4c-s-環境問題を重視するべきです。.mp3]
[sound:4c-k-視聴率.mp3]	<b>視聴率</b> <br> しちょうりつ <br> ratings (of a television program) (programme)
視聴率	<b>しちょうりつ</b> <br> ratings (of a television program) (programme) <br> [sound:4c-k-視聴率.mp3]
ratings (of a television program) (programme)	<b>視聴率</b> <br> しちょうりつ <br> [sound:4c-k-視聴率.mp3]
[sound:4c-s-そのテレビ番組の視聴率は高かったです。.mp3]	<b>そのテレビ番組の視聴率は高かったです。</b> <br> しやをひろげることがたいせつです。 <br><br> (視聴率) <br> It is important to broaden your perspective.
そのテレビ番組の視聴率は高かったです。 <br><br> (視聴率)	<b>しやをひろげることがたいせつです。</b> <br> It is important to broaden your perspective. <br> [sound:4c-s-そのテレビ番組の視聴率は高かったです。.mp3]
It is important to broaden your perspective.	<b>そのテレビ番組の視聴率は高かったです。</b> <br> しやをひろげることがたいせつです。 <br><br> (視聴率) <br> [sound:4c-s-そのテレビ番組の視聴率は高かったです。.mp3]
[sound:4c-k-視野.mp3]	<b>視野</b> <br> しや <br> field of vision, outlook
視野	<b>しや</b> <br> field of vision, outlook <br> [sound:4c-k-視野.mp3]
field of vision, outlook	<b>視野</b> <br> しや <br> [sound:4c-k-視野.mp3]
[sound:4c-s-視野を広げることが大切です。.mp3]	<b>視野を広げることが大切です。</b> <br> あたらしいしせつのしさつがおこなわれました。 <br><br> (視野) <br> A site inspection of the new facility was conducted.
視野を広げることが大切です。 <br><br> (視野)	<b>あたらしいしせつのしさつがおこなわれました。</b> <br> A site inspection of the new facility was conducted. <br> [sound:4c-s-視野を広げることが大切です。.mp3]
A site inspection of the new facility was conducted.	<b>視野を広げることが大切です。</b> <br> あたらしいしせつのしさつがおこなわれました。 <br><br> (視野) <br> [sound:4c-s-視野を広げることが大切です。.mp3]
[sound:4c-k-視察.mp3]	<b>視察</b> <br> しさつ <br> inspection, observation
視察	<b>しさつ</b> <br> inspection, observation <br> [sound:4c-k-視察.mp3]
inspection, observation	<b>視察</b> <br> しさつ <br> [sound:4c-k-視察.mp3]
[sound:4c-s-新しい施設の視察が行われました。.mp3]	<b>新しい施設の視察が行われました。</b> <br> このちいきではきつえんをきんしするじょうれいがあります。 <br><br> (視察) <br> There is a law prohibiting smoking in this area.
新しい施設の視察が行われました。 <br><br> (視察)	<b>このちいきではきつえんをきんしするじょうれいがあります。</b> <br> There is a law prohibiting smoking in this area. <br> [sound:4c-s-新しい施設の視察が行われました。.mp3]
There is a law prohibiting smoking in this area.	<b>新しい施設の視察が行われました。</b> <br> このちいきではきつえんをきんしするじょうれいがあります。 <br><br> (視察) <br> [sound:4c-s-新しい施設の視察が行われました。.mp3]
[sound:4c-k-条例.mp3]	<b>条例</b> <br> じょうれい <br> regulations, rules, laws, acts, ordinance
条例	<b>じょうれい</b> <br> regulations, rules, laws, acts, ordinance <br> [sound:4c-k-条例.mp3]
regulations, rules, laws, acts, ordinance	<b>条例</b> <br> じょうれい <br> [sound:4c-k-条例.mp3]
