この都市は活気があります。 <br><br> (都市)	<b>このとしはかっきがあります。</b> <br> This city is vibrant. <br> [sound:4c-s-この都市は活気があります。.mp3]
[sound:4c-k-開放.mp3]	<b>開放</b> <br> かいほう <br> open, throw open, liberalization, liberalisation
開放	<b>かいほう</b> <br> open, throw open, liberalization, liberalisation <br> [sound:4c-k-開放.mp3]
open, throw open, liberalization, liberalisation	<b>開放</b> <br> かいほう <br> [sound:4c-k-開放.mp3]
[sound:4c-s-公園が市民に開放されました。.mp3]	<b>公園が市民に開放されました。</b> <br> こうえんがしみんにかいほうされました。 <br><br> (開放) <br> The park was opened to the public.
公園が市民に開放されました。 <br><br> (開放)	<b>こうえんがしみんにかいほうされました。</b> <br> The park was opened to the public. <br> [sound:4c-s-公園が市民に開放されました。.mp3]
The park was opened to the public.	<b>公園が市民に開放されました。</b> <br> こうえんがしみんにかいほうされました。 <br><br> (開放) <br> [sound:4c-s-公園が市民に開放されました。.mp3]
[sound:4c-k-手.mp3]	<b>手</b> <br> て <br> hand, arm; forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards)
手	<b>て</b> <br> hand, arm; forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards) <br> [sound:4c-k-手.mp3]
hand, arm; forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards)	<b>手</b> <br> て <br> [sound:4c-k-手.mp3]
[sound:4c-s-手を洗いましょう。.mp3]	<b>手を洗いましょう。</b> <br> てをあらいましょう。 <br><br> (手) <br> Let's wash our hands.
手を洗いましょう。 <br><br> (手)	<b>てをあらいましょう。</b> <br> Let's wash our hands. <br> [sound:4c-s-手を洗いましょう。.mp3]
Let's wash our hands.	<b>手を洗いましょう。</b> <br> てをあらいましょう。 <br><br> (手) <br> [sound:4c-s-手を洗いましょう。.mp3]
[sound:4c-k-選手.mp3]	<b>選手</b> <br> せんしゅ <br> player (in game), team member
選手	<b>せんしゅ</b> <br> player (in game), team member <br> [sound:4c-k-選手.mp3]
player (in game), team member	<b>選手</b> <br> せんしゅ <br> [sound:4c-k-選手.mp3]
[sound:4c-s-彼は日本代表の選手です。.mp3]	<b>彼は日本代表の選手です。</b> <br> かれはにほんだいひょうのせんしゅです。 <br><br> (選手) <br> He is a representative athlete of Japan.
彼は日本代表の選手です。 <br><br> (選手)	<b>かれはにほんだいひょうのせんしゅです。</b> <br> He is a representative athlete of Japan. <br> [sound:4c-s-彼は日本代表の選手です。.mp3]
He is a representative athlete of Japan.	<b>彼は日本代表の選手です。</b> <br> かれはにほんだいひょうのせんしゅです。 <br><br> (選手) <br> [sound:4c-s-彼は日本代表の選手です。.mp3]
[sound:4c-k-選手権.mp3]	<b>選手権</b> <br> せんしゅけん <br> championship, title (of champion)
選手権	<b>せんしゅけん</b> <br> championship, title (of champion) <br> [sound:4c-k-選手権.mp3]
championship, title (of champion)	<b>選手権</b> <br> せんしゅけん <br> [sound:4c-k-選手権.mp3]
[sound:4c-s-全国選手権が開催されます。.mp3]	<b>全国選手権が開催されます。</b> <br> ぜんこくせんしゅけんがかいさいされます。 <br><br> (選手権) <br> The national championships will be held.
全国選手権が開催されます。 <br><br> (選手権)	<b>ぜんこくせんしゅけんがかいさいされます。</b> <br> The national championships will be held. <br> [sound:4c-s-全国選手権が開催されます。.mp3]
The national championships will be held.	<b>全国選手権が開催されます。</b> <br> ぜんこくせんしゅけんがかいさいされます。 <br><br> (選手権) <br> [sound:4c-s-全国選手権が開催されます。.mp3]
[sound:4c-k-相手.mp3]	<b>相手</b> <br> あいて <br> companion, partner, company; other party, addressee; opponent (sports, etc.)
相手	<b>あいて</b> <br> companion, partner, company; other party, addressee; opponent (sports, etc.) <br> [sound:4c-k-相手.mp3]
companion, partner, company; other party, addressee; opponent (sports, etc.)	<b>相手</b> <br> あいて <br> [sound:4c-k-相手.mp3]
[sound:4c-s-試合の相手はとても強いです。.mp3]	<b>試合の相手はとても強いです。</b> <br> しあいのあいてはとてもつよいです。 <br><br> (相手) <br> My opponent in the match is very strong.
試合の相手はとても強いです。 <br><br> (相手)	<b>しあいのあいてはとてもつよいです。</b> <br> My opponent in the match is very strong. <br> [sound:4c-s-試合の相手はとても強いです。.mp3]
My opponent in the match is very strong.	<b>試合の相手はとても強いです。</b> <br> しあいのあいてはとてもつよいです。 <br><br> (相手) <br> [sound:4c-s-試合の相手はとても強いです。.mp3]
[sound:4c-k-日米.mp3]	<b>日米</b> <br> にちべい <br> Japan-America
日米	<b>にちべい</b> <br> Japan-America <br> [sound:4c-k-日米.mp3]
Japan-America	<b>日米</b> <br> にちべい <br> [sound:4c-k-日米.mp3]
[sound:4c-s-日米の関係は重要です。.mp3]	<b>日米の関係は重要です。</b> <br> にちべいのかんけいはじゅうようです。 <br><br> (日米) <br> The relationship between Japan and the U.S. is important.
日米の関係は重要です。 <br><br> (日米)	<b>にちべいのかんけいはじゅうようです。</b> <br> The relationship between Japan and the U.S. is important. <br> [sound:4c-s-日米の関係は重要です。.mp3]
The relationship between Japan and the U.S. is important.	<b>日米の関係は重要です。</b> <br> にちべいのかんけいはじゅうようです。 <br><br> (日米) <br> [sound:4c-s-日米の関係は重要です。.mp3]
[sound:4c-k-米国.mp3]	<b>米国</b> <br> べいこく <br> America, USA
米国	<b>べいこく</b> <br> America, USA <br> [sound:4c-k-米国.mp3]
America, USA	<b>米国</b> <br> べいこく <br> [sound:4c-k-米国.mp3]
[sound:4c-s-米国の経済について学びました。.mp3]	<b>米国の経済について学びました。</b> <br> べいこくのけいざいについてまなびました。 <br><br> (米国) <br> I studied the U.S. economy.
米国の経済について学びました。 <br><br> (米国)	<b>べいこくのけいざいについてまなびました。</b> <br> I studied the U.S. economy. <br> [sound:4c-s-米国の経済について学びました。.mp3]
I studied the U.S. economy.	<b>米国の経済について学びました。</b> <br> べいこくのけいざいについてまなびました。 <br><br> (米国) <br> [sound:4c-s-米国の経済について学びました。.mp3]
[sound:4c-k-全米.mp3]	<b>全米</b> <br> ぜんべい <br> all-America, pan-American
全米	<b>ぜんべい</b> <br> all-America, pan-American <br> [sound:4c-k-全米.mp3]
all-America, pan-American	<b>全米</b> <br> ぜんべい <br> [sound:4c-k-全米.mp3]
[sound:4c-s-全米で新しい映画が公開されます。.mp3]	<b>全米で新しい映画が公開されます。</b> <br> ぜんべいであたらしいえいががこうかいされます。 <br><br> (全米) <br> A new movie will be released across the United States.
全米で新しい映画が公開されます。 <br><br> (全米)	<b>ぜんべいであたらしいえいががこうかいされます。</b> <br> A new movie will be released across the United States. <br> [sound:4c-s-全米で新しい映画が公開されます。.mp3]
A new movie will be released across the United States.	<b>全米で新しい映画が公開されます。</b> <br> ぜんべいであたらしいえいががこうかいされます。 <br><br> (全米) <br> [sound:4c-s-全米で新しい映画が公開されます。.mp3]
[sound:4c-k-対米.mp3]	<b>対米</b> <br> たいべい <br> relating to the USA, toward America, with America
対米	<b>たいべい</b> <br> relating to the USA, toward America, with America <br> [sound:4c-k-対米.mp3]
relating to the USA, toward America, with America	<b>対米</b> <br> たいべい <br> [sound:4c-k-対米.mp3]
[sound:4c-s-対米政策について議論しました。.mp3]	<b>対米政策について議論しました。</b> <br> たいべいせいさくについてぎろんしました。 <br><br> (対米) <br> I discussed the policy toward the U.S.
対米政策について議論しました。 <br><br> (対米)	<b>たいべいせいさくについてぎろんしました。</b> <br> I discussed the policy toward the U.S. <br> [sound:4c-s-対米政策について議論しました。.mp3]
I discussed the policy toward the U.S.	<b>対米政策について議論しました。</b> <br> たいべいせいさくについてぎろんしました。 <br><br> (対米) <br> [sound:4c-s-対米政策について議論しました。.mp3]
[sound:4c-k-勢力.mp3]	<b>勢力</b> <br> せいりょく <br> influence, power, might, strength, potency, force, energy
勢力	<b>せいりょく</b> <br> influence, power, might, strength, potency, force, energy <br> [sound:4c-k-勢力.mp3]
influence, power, might, strength, potency, force, energy	<b>勢力</b> <br> せいりょく <br> [sound:4c-k-勢力.mp3]
[sound:4c-s-彼は業界で大きな勢力を持っています。.mp3]	<b>彼は業界で大きな勢力を持っています。</b> <br> かれはぎょうかいでおおきなせいりょくをもっています。 <br><br> (勢力) <br> He has great influence in the industry.
彼は業界で大きな勢力を持っています。 <br><br> (勢力)	<b>かれはぎょうかいでおおきなせいりょくをもっています。</b> <br> He has great influence in the industry. <br> [sound:4c-s-彼は業界で大きな勢力を持っています。.mp3]
He has great influence in the industry.	<b>彼は業界で大きな勢力を持っています。</b> <br> かれはぎょうかいでおおきなせいりょくをもっています。 <br><br> (勢力) <br> [sound:4c-s-彼は業界で大きな勢力を持っています。.mp3]
[sound:4c-k-努力.mp3]	<b>努力</b> <br> どりょく <br> great effort, exertion, endeavour, endeavor, effort
努力	<b>どりょく</b> <br> great effort, exertion, endeavour, endeavor, effort <br> [sound:4c-k-努力.mp3]
great effort, exertion, endeavour, endeavor, effort	<b>努力</b> <br> どりょく <br> [sound:4c-k-努力.mp3]
[sound:4c-s-成功するために努力しています。.mp3]	<b>成功するために努力しています。</b> <br> せいこうするためにどりょくしています。 <br><br> (努力) <br> I am making an effort to succeed.
成功するために努力しています。 <br><br> (努力)	<b>せいこうするためにどりょくしています。</b> <br> I am making an effort to succeed. <br> [sound:4c-s-成功するために努力しています。.mp3]
I am making an effort to succeed.	<b>成功するために努力しています。</b> <br> せいこうするためにどりょくしています。 <br><br> (努力) <br> [sound:4c-s-成功するために努力しています。.mp3]
[sound:4c-k-協力.mp3]	<b>協力</b> <br> きょうりょく <br> cooperation, collaboration
協力	<b>きょうりょく</b> <br> cooperation, collaboration <br> [sound:4c-k-協力.mp3]
cooperation, collaboration	<b>協力</b> <br> きょうりょく <br> [sound:4c-k-協力.mp3]
[sound:4c-s-皆で協力して課題を解決しました。.mp3]	<b>皆で協力して課題を解決しました。</b> <br> みんなできょうりょくしてかだいをかいけつしました。 <br><br> (協力) <br> We worked together to solve the problem.
皆で協力して課題を解決しました。 <br><br> (協力)	<b>みんなできょうりょくしてかだいをかいけつしました。</b> <br> We worked together to solve the problem. <br> [sound:4c-s-皆で協力して課題を解決しました。.mp3]
We worked together to solve the problem.	<b>皆で協力して課題を解決しました。</b> <br> みんなできょうりょくしてかだいをかいけつしました。 <br><br> (協力) <br> [sound:4c-s-皆で協力して課題を解決しました。.mp3]
[sound:4c-k-権力.mp3]	<b>権力</b> <br> けんりょく <br> (political) power, authority, influence
権力	<b>けんりょく</b> <br> (political) power, authority, influence <br> [sound:4c-k-権力.mp3]
(political) power, authority, influence	<b>権力</b> <br> けんりょく <br> [sound:4c-k-権力.mp3]
[sound:4c-s-彼は権力を持つ重要な人物です。.mp3]	<b>彼は権力を持つ重要な人物です。</b> <br> かれはけんりょくをもつじゅうようなじんぶつです。 <br><br> (権力) <br> He is an influential figure with power.
彼は権力を持つ重要な人物です。 <br><br> (権力)	<b>かれはけんりょくをもつじゅうようなじんぶつです。</b> <br> He is an influential figure with power. <br> [sound:4c-s-彼は権力を持つ重要な人物です。.mp3]
He is an influential figure with power.	<b>彼は権力を持つ重要な人物です。</b> <br> かれはけんりょくをもつじゅうようなじんぶつです。 <br><br> (権力) <br> [sound:4c-s-彼は権力を持つ重要な人物です。.mp3]
[sound:4c-k-学校.mp3]	<b>学校</b> <br> がっこう <br> school
学校	<b>がっこう</b> <br> school <br> [sound:4c-k-学校.mp3]
school	<b>学校</b> <br> がっこう <br> [sound:4c-k-学校.mp3]
[sound:4c-s-学校で新しいプロジェクトを始めました。.mp3]	<b>学校で新しいプロジェクトを始めました。</b> <br> がっこうであたらしいプロジェクトをはじめました。 <br><br> (学校) <br> A new project started at school.
学校で新しいプロジェクトを始めました。 <br><br> (学校)	<b>がっこうであたらしいプロジェクトをはじめました。</b> <br> A new project started at school. <br> [sound:4c-s-学校で新しいプロジェクトを始めました。.mp3]
A new project started at school.	<b>学校で新しいプロジェクトを始めました。</b> <br> がっこうであたらしいプロジェクトをはじめました。 <br><br> (学校) <br> [sound:4c-s-学校で新しいプロジェクトを始めました。.mp3]
[sound:4c-k-学生.mp3]	<b>学生</b> <br> がくせい <br> student (esp. a university student)
学生	<b>がくせい</b> <br> student (esp. a university student) <br> [sound:4c-k-学生.mp3]
student (esp. a university student)	<b>学生</b> <br> がくせい <br> [sound:4c-k-学生.mp3]
[sound:4c-s-学生たちは試験の準備をしています。.mp3]	<b>学生たちは試験の準備をしています。</b> <br> がくせいたちはしけんのじゅんびをしています。 <br><br> (学生) <br> Students are preparing for their exams.
学生たちは試験の準備をしています。 <br><br> (学生)	<b>がくせいたちはしけんのじゅんびをしています。</b> <br> Students are preparing for their exams. <br> [sound:4c-s-学生たちは試験の準備をしています。.mp3]
Students are preparing for their exams.	<b>学生たちは試験の準備をしています。</b> <br> がくせいたちはしけんのじゅんびをしています。 <br><br> (学生) <br> [sound:4c-s-学生たちは試験の準備をしています。.mp3]
[sound:4c-k-大学.mp3]	<b>大学</b> <br> だいがく <br> post-secondary education institution, incl. university, college, etc.; the Great Learning - one of the Four Books
大学	<b>だいがく</b> <br> post-secondary education institution, incl. university, college, etc.; the Great Learning - one of the Four Books <br> [sound:4c-k-大学.mp3]
post-secondary education institution, incl. university, college, etc.; the Great Learning - one of the Four Books	<b>大学</b> <br> だいがく <br> [sound:4c-k-大学.mp3]
[sound:4c-s-彼は大学で経済を専攻しています。.mp3]	<b>彼は大学で経済を専攻しています。</b> <br> かれはだいがくでけいざいをせんこうしています。 <br><br> (大学) <br> He is majoring in economics at university.
彼は大学で経済を専攻しています。 <br><br> (大学)	<b>かれはだいがくでけいざいをせんこうしています。</b> <br> He is majoring in economics at university. <br> [sound:4c-s-彼は大学で経済を専攻しています。.mp3]
He is majoring in economics at university.	<b>彼は大学で経済を専攻しています。</b> <br> かれはだいがくでけいざいをせんこうしています。 <br><br> (大学) <br> [sound:4c-s-彼は大学で経済を専攻しています。.mp3]
[sound:4c-k-医学.mp3]	<b>医学</b> <br> いがく <br> medical science, medicine
医学	<b>いがく</b> <br> medical science, medicine <br> [sound:4c-k-医学.mp3]
medical science, medicine	<b>医学</b> <br> いがく <br> [sound:4c-k-医学.mp3]
[sound:4c-s-医学の進歩が目覚ましいです。.mp3]	<b>医学の進歩が目覚ましいです。</b> <br> いがくのしんぽがめざましいです。 <br><br> (医学) <br> Medical advances are remarkable.
医学の進歩が目覚ましいです。 <br><br> (医学)	<b>いがくのしんぽがめざましいです。</b> <br> Medical advances are remarkable. <br> [sound:4c-s-医学の進歩が目覚ましいです。.mp3]
Medical advances are remarkable.	<b>医学の進歩が目覚ましいです。</b> <br> いがくのしんぽがめざましいです。 <br><br> (医学) <br> [sound:4c-s-医学の進歩が目覚ましいです。.mp3]
[sound:4c-k-問う.mp3]	<b>問う</b> <br> とう <br> to ask, to question, to inquire; to charge (i.e. with a crime), to accuse; to care (about); without regard to (with negative verb)
問う	<b>とう</b> <br> to ask, to question, to inquire; to charge (i.e. with a crime), to accuse; to care (about); without regard to (with negative verb) <br> [sound:4c-k-問う.mp3]
to ask, to question, to inquire; to charge (i.e. with a crime), to accuse; to care (about); without regard to (with negative verb)	<b>問う</b> <br> とう <br> [sound:4c-k-問う.mp3]
[sound:4c-s-成功とは何かを問う必要があります。.mp3]	<b>成功とは何かを問う必要があります。</b> <br> せいこうとはなにかをとうひつようがあります。 <br><br> (問う) <br> We need to ask what success truly means.
成功とは何かを問う必要があります。 <br><br> (問う)	<b>せいこうとはなにかをとうひつようがあります。</b> <br> We need to ask what success truly means. <br> [sound:4c-s-成功とは何かを問う必要があります。.mp3]
We need to ask what success truly means.	<b>成功とは何かを問う必要があります。</b> <br> せいこうとはなにかをとうひつようがあります。 <br><br> (問う) <br> [sound:4c-s-成功とは何かを問う必要があります。.mp3]
[sound:4c-k-問.mp3]	<b>問</b> <br> もん <br> counter for questions
問	<b>もん</b> <br> counter for questions <br> [sound:4c-k-問.mp3]
counter for questions	<b>問</b> <br> もん <br> [sound:4c-k-問.mp3]
[sound:4c-s-彼は重要な問を投げかけました。.mp3]	<b>彼は重要な問を投げかけました。</b> <br> かれはじゅうようなといをなげかけました。 <br><br> (問) <br> He posed an important question.
彼は重要な問を投げかけました。 <br><br> (問)	<b>かれはじゅうようなといをなげかけました。</b> <br> He posed an important question. <br> [sound:4c-s-彼は重要な問を投げかけました。.mp3]
He posed an important question.	<b>彼は重要な問を投げかけました。</b> <br> かれはじゅうようなといをなげかけました。 <br><br> (問) <br> [sound:4c-s-彼は重要な問を投げかけました。.mp3]
[sound:4c-k-質問.mp3]	<b>質問</b> <br> しつもん <br> question, inquiry, enquiry
質問	<b>しつもん</b> <br> question, inquiry, enquiry <br> [sound:4c-k-質問.mp3]
question, inquiry, enquiry	<b>質問</b> <br> しつもん <br> [sound:4c-k-質問.mp3]
[sound:4c-s-質問がある場合は聞いてください。.mp3]	<b>質問がある場合は聞いてください。</b> <br> しつもんがあるばあいはきいてください。 <br><br> (質問) <br> If you have any questions, please ask.
質問がある場合は聞いてください。 <br><br> (質問)	<b>しつもんがあるばあいはきいてください。</b> <br> If you have any questions, please ask. <br> [sound:4c-s-質問がある場合は聞いてください。.mp3]
If you have any questions, please ask.	<b>質問がある場合は聞いてください。</b> <br> しつもんがあるばあいはきいてください。 <br><br> (質問) <br> [sound:4c-s-質問がある場合は聞いてください。.mp3]
[sound:4c-k-訪問.mp3]	<b>訪問</b> <br> ほうもん <br> call, visit
訪問	<b>ほうもん</b> <br> call, visit <br> [sound:4c-k-訪問.mp3]
call, visit	<b>訪問</b> <br> ほうもん <br> [sound:4c-k-訪問.mp3]
[sound:4c-s-彼は日本を訪問しました。.mp3]	<b>彼は日本を訪問しました。</b> <br> かれはにほんをほうもんしました。 <br><br> (訪問) <br> He visited Japan.
彼は日本を訪問しました。 <br><br> (訪問)	<b>かれはにほんをほうもんしました。</b> <br> He visited Japan. <br> [sound:4c-s-彼は日本を訪問しました。.mp3]
He visited Japan.	<b>彼は日本を訪問しました。</b> <br> かれはにほんをほうもんしました。 <br><br> (訪問) <br> [sound:4c-s-彼は日本を訪問しました。.mp3]
[sound:4c-k-高さ.mp3]	<b>高さ</b> <br> たかさ <br> height
高さ	<b>たかさ</b> <br> height <br> [sound:4c-k-高さ.mp3]
height	<b>高さ</b> <br> たかさ <br> [sound:4c-k-高さ.mp3]
[sound:4c-s-この山の高さは3000メートルです。.mp3]	<b>この山の高さは3000メートルです。</b> <br> このやまのたかさはさんぜんメートルです。 <br><br> (高さ) <br> This mountain is 3,000 meters high.
この山の高さは3000メートルです。 <br><br> (高さ)	<b>このやまのたかさはさんぜんメートルです。</b> <br> This mountain is 3,000 meters high. <br> [sound:4c-s-この山の高さは3000メートルです。.mp3]
This mountain is 3,000 meters high.	<b>この山の高さは3000メートルです。</b> <br> このやまのたかさはさんぜんメートルです。 <br><br> (高さ) <br> [sound:4c-s-この山の高さは3000メートルです。.mp3]
[sound:4c-k-高校.mp3]	<b>高校</b> <br> こうこう <br> senior high school
高校	<b>こうこう</b> <br> senior high school <br> [sound:4c-k-高校.mp3]
senior high school	<b>高校</b> <br> こうこう <br> [sound:4c-k-高校.mp3]
[sound:4c-s-高校の卒業式がありました。.mp3]	<b>高校の卒業式がありました。</b> <br> こうこうのそつぎょうしきがありました。 <br><br> (高校) <br> The high school graduation ceremony was held.
高校の卒業式がありました。 <br><br> (高校)	<b>こうこうのそつぎょうしきがありました。</b> <br> The high school graduation ceremony was held. <br> [sound:4c-s-高校の卒業式がありました。.mp3]
The high school graduation ceremony was held.	<b>高校の卒業式がありました。</b> <br> こうこうのそつぎょうしきがありました。 <br><br> (高校) <br> [sound:4c-s-高校の卒業式がありました。.mp3]
[sound:4c-k-最高.mp3]	<b>最高</b> <br> さいこう <br> highest, supreme, the most
最高	<b>さいこう</b> <br> highest, supreme, the most <br> [sound:4c-k-最高.mp3]
highest, supreme, the most	<b>最高</b> <br> さいこう <br> [sound:4c-k-最高.mp3]
[sound:4c-s-これは最高の経験でした。.mp3]	<b>これは最高の経験でした。</b> <br> これはさいこうのけいけんでした。 <br><br> (最高) <br> This was the best experience.
これは最高の経験でした。 <br><br> (最高)	<b>これはさいこうのけいけんでした。</b> <br> This was the best experience. <br> [sound:4c-s-これは最高の経験でした。.mp3]
This was the best experience.	<b>これは最高の経験でした。</b> <br> これはさいこうのけいけんでした。 <br><br> (最高) <br> [sound:4c-s-これは最高の経験でした。.mp3]
[sound:4c-k-円高.mp3]	<b>円高</b> <br> えんだか <br> high-valued yen, exchange in favor (favour) of the yen
円高	<b>えんだか</b> <br> high-valued yen, exchange in favor (favour) of the yen <br> [sound:4c-k-円高.mp3]
high-valued yen, exchange in favor (favour) of the yen	<b>円高</b> <br> えんだか <br> [sound:4c-k-円高.mp3]
[sound:4c-s-最近、円高が進んでいます。.mp3]	<b>最近、円高が進んでいます。</b> <br> さいきん、えんだかがすすんでいます。 <br><br> (円高) <br> Recently, the yen has been appreciating.
最近、円高が進んでいます。 <br><br> (円高)	<b>さいきん、えんだかがすすんでいます。</b> <br> Recently, the yen has been appreciating. <br> [sound:4c-s-最近、円高が進んでいます。.mp3]
Recently, the yen has been appreciating.	<b>最近、円高が進んでいます。</b> <br> さいきん、えんだかがすすんでいます。 <br><br> (円高) <br> [sound:4c-s-最近、円高が進んでいます。.mp3]
[sound:4c-k-代わり.mp3]	<b>代わり</b> <br> かわり, がわり <br> substitute, deputy, proxy, alternate, relief, compensation, second helping; in place of, as a substitute for
代わり	<b>かわり, がわり</b> <br> substitute, deputy, proxy, alternate, relief, compensation, second helping; in place of, as a substitute for <br> [sound:4c-k-代わり.mp3]
substitute, deputy, proxy, alternate, relief, compensation, second helping; in place of, as a substitute for	<b>代わり</b> <br> かわり, がわり <br> [sound:4c-k-代わり.mp3]
[sound:4c-s-私は彼の代わりに参加しました。.mp3]	<b>私は彼の代わりに参加しました。</b> <br> わたしはかれのかわりにさんかしました。 <br><br> (代わり) <br> I attended in his place.
私は彼の代わりに参加しました。 <br><br> (代わり)	<b>わたしはかれのかわりにさんかしました。</b> <br> I attended in his place. <br> [sound:4c-s-私は彼の代わりに参加しました。.mp3]
I attended in his place.	<b>私は彼の代わりに参加しました。</b> <br> わたしはかれのかわりにさんかしました。 <br><br> (代わり) <br> [sound:4c-s-私は彼の代わりに参加しました。.mp3]
[sound:4c-k-時代.mp3]	<b>時代</b> <br> じだい <br> period, epoch, era, age; the times, those days; oldness, ancientness, antiquity; antique, period piece
時代	<b>じだい</b> <br> period, epoch, era, age; the times, those days; oldness, ancientness, antiquity; antique, period piece <br> [sound:4c-k-時代.mp3]
period, epoch, era, age; the times, those days; oldness, ancientness, antiquity; antique, period piece	<b>時代</b> <br> じだい <br> [sound:4c-k-時代.mp3]
[sound:4c-s-この時代の文化は興味深いです。.mp3]	<b>この時代の文化は興味深いです。</b> <br> このじだいのぶんかはきょうみぶかいです。 <br><br> (時代) <br> The culture of this era is fascinating.
この時代の文化は興味深いです。 <br><br> (時代)	<b>このじだいのぶんかはきょうみぶかいです。</b> <br> The culture of this era is fascinating. <br> [sound:4c-s-この時代の文化は興味深いです。.mp3]
The culture of this era is fascinating.	<b>この時代の文化は興味深いです。</b> <br> このじだいのぶんかはきょうみぶかいです。 <br><br> (時代) <br> [sound:4c-s-この時代の文化は興味深いです。.mp3]
[sound:4c-k-代表.mp3]	<b>代表</b> <br> だいひょう <br> representative, representation, delegation, type, example, model
代表	<b>だいひょう</b> <br> representative, representation, delegation, type, example, model <br> [sound:4c-k-代表.mp3]
representative, representation, delegation, type, example, model	<b>代表</b> <br> だいひょう <br> [sound:4c-k-代表.mp3]
[sound:4c-s-彼はチームの代表です。.mp3]	<b>彼はチームの代表です。</b> <br> かれはチームのだいひょうです。 <br><br> (代表) <br> He is the representative of the team.
彼はチームの代表です。 <br><br> (代表)	<b>かれはチームのだいひょうです。</b> <br> He is the representative of the team. <br> [sound:4c-s-彼はチームの代表です。.mp3]
He is the representative of the team.	<b>彼はチームの代表です。</b> <br> かれはチームのだいひょうです。 <br><br> (代表) <br> [sound:4c-s-彼はチームの代表です。.mp3]
[sound:4c-k-現代.mp3]	<b>現代</b> <br> げんだい <br> nowadays, modern era, modern times, present-day
現代	<b>げんだい</b> <br> nowadays, modern era, modern times, present-day <br> [sound:4c-k-現代.mp3]
nowadays, modern era, modern times, present-day	<b>現代</b> <br> げんだい <br> [sound:4c-k-現代.mp3]
[sound:4c-s-現代社会は変化が速いです。.mp3]	<b>現代社会は変化が速いです。</b> <br> げんだいしゃかいはへんかがはやいです。 <br><br> (現代) <br> Modern society changes rapidly.
現代社会は変化が速いです。 <br><br> (現代)	<b>げんだいしゃかいはへんかがはやいです。</b> <br> Modern society changes rapidly. <br> [sound:4c-s-現代社会は変化が速いです。.mp3]
Modern society changes rapidly.	<b>現代社会は変化が速いです。</b> <br> げんだいしゃかいはへんかがはやいです。 <br><br> (現代) <br> [sound:4c-s-現代社会は変化が速いです。.mp3]
[sound:4c-k-明らか.mp3]	<b>明らか</b> <br> あきらか <br> obvious, evident, clear, plain
明らか	<b>あきらか</b> <br> obvious, evident, clear, plain <br> [sound:4c-k-明らか.mp3]
obvious, evident, clear, plain	<b>明らか</b> <br> あきらか <br> [sound:4c-k-明らか.mp3]
[sound:4c-s-その事実は明らかです。.mp3]	<b>その事実は明らかです。</b> <br> そのじじつはあきらかです。 <br><br> (明らか) <br> That fact is clear.
その事実は明らかです。 <br><br> (明らか)	<b>そのじじつはあきらかです。</b> <br> That fact is clear. <br> [sound:4c-s-その事実は明らかです。.mp3]
That fact is clear.	<b>その事実は明らかです。</b> <br> そのじじつはあきらかです。 <br><br> (明らか) <br> [sound:4c-s-その事実は明らかです。.mp3]
[sound:4c-k-声明.mp3]	<b>声明</b> <br> せいめい <br> declaration, statement, proclamation
声明	<b>せいめい</b> <br> declaration, statement, proclamation <br> [sound:4c-k-声明.mp3]
declaration, statement, proclamation	<b>声明</b> <br> せいめい <br> [sound:4c-k-声明.mp3]
[sound:4c-s-政府は公式声明を発表しました。.mp3]	<b>政府は公式声明を発表しました。</b> <br> せいふはこうしきせいめいをはっぴょうしました。 <br><br> (声明) <br> The government issued an official statement.
政府は公式声明を発表しました。 <br><br> (声明)	<b>せいふはこうしきせいめいをはっぴょうしました。</b> <br> The government issued an official statement. <br> [sound:4c-s-政府は公式声明を発表しました。.mp3]
The government issued an official statement.	<b>政府は公式声明を発表しました。</b> <br> せいふはこうしきせいめいをはっぴょうしました。 <br><br> (声明) <br> [sound:4c-s-政府は公式声明を発表しました。.mp3]
[sound:4c-k-説明.mp3]	<b>説明</b> <br> せつめい <br> explanation, exposition
説明	<b>せつめい</b> <br> explanation, exposition <br> [sound:4c-k-説明.mp3]
explanation, exposition	<b>説明</b> <br> せつめい <br> [sound:4c-k-説明.mp3]
[sound:4c-s-この問題について説明します。.mp3]	<b>この問題について説明します。</b> <br> このもんだいについてせつめいします。 <br><br> (説明) <br> I will explain this issue.
この問題について説明します。 <br><br> (説明)	<b>このもんだいについてせつめいします。</b> <br> I will explain this issue. <br> [sound:4c-s-この問題について説明します。.mp3]
I will explain this issue.	<b>この問題について説明します。</b> <br> このもんだいについてせつめいします。 <br><br> (説明) <br> [sound:4c-s-この問題について説明します。.mp3]
[sound:4c-k-不明.mp3]	<b>不明</b> <br> ふめい <br> unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified
