[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
[sound:s-2390_私は友人を見送るのが好きです。.mp3]	(<b>見送る</b>) 私は友人を見送るのが好きです。<br> わたしはゆうじんをみおくるのがすきです。 <br>I like seeing off my friends.	
基準	[sound:k-2401_基準.mp3]<br>きじゅん <br> standard, basis, criterion, norm, reference, datum
standard, basis, criterion, norm, reference, datum	<b>基準<b> <br> きじゅん <br>[sound:k-2401_基準.mp3]
[sound:k-2401_基準.mp3]	standard, basis, criterion, norm, reference, datum<br> <b>基準</b> <br> (きじゅん)
(<b>義援金</b>) 被災地に義援金を寄付する。	[sound:s-2401_被災地に義援金を寄付する。.mp3] <br> ひさいちにぎえんきんをきふする。 <br> Donate relief funds to the disaster area.
[sound:s-2391_運送業者が荷物を配達する。.mp3]	(<b>運送</b>) 運送業者が荷物を配達する。<br> うんそうぎょうしゃがにもつをはいたつする。 <br>The transportation company delivers packages.	
基金	[sound:k-2402_基金.mp3]<br>ききん <br> fund, foundation
fund, foundation	<b>基金<b> <br> ききん <br>[sound:k-2402_基金.mp3]
[sound:k-2402_基金.mp3]	fund, foundation<br> <b>基金</b> <br> (ききん)
(<b>援軍</b>) 戦場に援軍が到着した。	[sound:s-2402_戦場に援軍が到着した。.mp3] <br> せんじょうにえんぐんがとうちゃくした。 <br> Reinforcements have arrived at the battlefield.
[sound:s-2392_銀行を通じて送金する。.mp3]	(<b>送金</b>) 銀行を通じて送金する。<br> ぎんこうをつうじてそうきんする。 <br>Transfer money through the bank.	
基礎	[sound:k-2403_基礎.mp3]<br>きそ <br> foundation, basis
foundation, basis	<b>基礎<b> <br> きそ <br>[sound:k-2403_基礎.mp3]
[sound:k-2403_基礎.mp3]	foundation, basis<br> <b>基礎</b> <br> (きそ)
(<b>無援</b>) 彼は孤立して無援の状態にある。	[sound:s-2403_彼は孤立して無援の状態にある。.mp3] <br> かれはこりつしてむえんのじょうたいにある。 <br> He is in a state of isolation without support.
[sound:s-2393_書類を郵送で送る。.mp3]	(<b>郵送</b>) 書類を郵送で送る。<br> しょるいをゆうそうでおくる。 <br>Send documents by mail.	
基地	[sound:k-2404_基地.mp3]<br>きち <br> base
base	<b>基地<b> <br> きち <br>[sound:k-2404_基地.mp3]
[sound:k-2404_基地.mp3]	base<br> <b>基地</b> <br> (きち)
(<b>子供</b>) 彼女は二人の子供を育てています。	[sound:s-2404_彼女は二人の子供を育てています。.mp3] <br> かのじょはふたりのこどもをそだてています。 <br> She is raising two children.
[sound:s-2394_被災者に援助を提供する。.mp3]	(<b>援助</b>) 被災者に援助を提供する。<br> ひさいしゃにえんじょをていきょうする。 <br>Provide assistance to the disaster victims.	
基盤	[sound:k-2405_基盤.mp3]<br>きばん <br> foundation, basis, base, footing
foundation, basis, base, footing	<b>基盤<b> <br> きばん <br>[sound:k-2405_基盤.mp3]
[sound:k-2405_基盤.mp3]	foundation, basis, base, footing<br> <b>基盤</b> <br> (きばん)
(<b>供給</b>) 食料の供給が途絶えた。	[sound:s-2405_食料の供給が途絶えた。.mp3] <br> しょくりょうのきょうきゅうがとだえた。 <br> The supply of food has been cut off.
[sound:s-2395_困っている人々に支援をする。.mp3]	(<b>支援</b>) 困っている人々に支援をする。<br> こまっているひとびとにしえんをする。 <br>Support people in need.	
基本的	[sound:k-2406_基本的.mp3]<br>きほんてき <br> fundamental, standard, basic
fundamental, standard, basic	<b>基本的<b> <br> きほんてき <br>[sound:k-2406_基本的.mp3]
[sound:k-2406_基本的.mp3]	fundamental, standard, basic<br> <b>基本的</b> <br> (きほんてき)
(<b>提供</b>) 彼は無料でサービスを提供しています。	[sound:s-2406_彼は無料でサービスを提供しています。.mp3] <br> かれはむりょうでさーびすをていきょうしています。 <br> He provides services for free.
[sound:s-2396_スポーツチームを応援する。.mp3]	(<b>応援</b>) スポーツチームを応援する。<br> すぽーつちーむをおうえんする。 <br>Cheer for the sports team.	
基調	[sound:k-2407_基調.mp3]<br>きちょう <br> basis, keynote
basis, keynote	<b>基調<b> <br> きちょう <br>[sound:k-2407_基調.mp3]
[sound:k-2407_基調.mp3]	basis, keynote<br> <b>基調</b> <br> (きちょう)
(<b>供与</b>) 彼は彼の財産を慈善事業に供与した。	[sound:s-2407_彼は彼の財産を慈善事業に供与した。.mp3] <br> かれはかれのざいさんをじぜんじぎょうにきょうよした。 <br> He donated his property to charity.
[sound:s-2397_災害地域に救援物資を送る。.mp3]	(<b>救援</b>) 災害地域に救援物資を送る。<br> さいがいちいきにきゅうえんぶっしをおくる。 <br>Send relief supplies to the disaster area.	
基幹	[sound:k-2408_基幹.mp3]<br>きかん <br> mainstay, nucleus, key
mainstay, nucleus, key	<b>基幹<b> <br> きかん <br>[sound:k-2408_基幹.mp3]
[sound:k-2408_基幹.mp3]	mainstay, nucleus, key<br> <b>基幹</b> <br> (きかん)
(<b>供述</b>) 被告は事件の詳細を供述した。	[sound:s-2408_被告は事件の詳細を供述した。.mp3] <br> ひこくはじけんのしょうさいをきょうじゅつした。 <br> The defendant provided a detailed account of the incident.
[sound:s-2398_このプロジェクトは企業の後援を受けています。.mp3]	(<b>後援</b>) このプロジェクトは企業の後援を受けています。<br> このプロジェクトはきぎょうのこうえんをうけています。 <br>This project is sponsored by the company.	
基軸	[sound:k-2409_基軸.mp3]<br>きじく <br> key, yardstick, criterion, standard
key, yardstick, criterion, standard	<b>基軸<b> <br> きじく <br>[sound:k-2409_基軸.mp3]
[sound:k-2409_基軸.mp3]	key, yardstick, criterion, standard<br> <b>基軸</b> <br> (きじく)
(<b>供</b>) 彼は家族のために生活費を供給する。	[sound:s-2409_彼は家族のために生活費を供給する。.mp3] <br> かれはかぞくのためにせいかつひをきょうきゅうする。 <br> He provides living expenses for his family.
[sound:s-2399_老人施設では援護が提供されています。.mp3]	(<b>援護</b>) 老人施設では援護が提供されています。<br> ろうじんしせつではえんごがていきょうされています。 <br>Assistance is provided at the elderly care facility.	
私	[sound:k-2410_私.mp3]<br>わたし, わたくし <br> I, me; private affairs, personal matter, secrecy; selfishness
I, me; private affairs, personal matter, secrecy; selfishness	<b>私<b> <br> わたし, わたくし <br>[sound:k-2410_私.mp3]
[sound:k-2410_私.mp3]	I, me; private affairs, personal matter, secrecy; selfishness<br> <b>私</b> <br> (わたし, わたくし)
(<b>提供者</b>) 彼は地元の学校に寄付をする提供者です。	[sound:s-2410_彼は地元の学校に寄付をする提供者です。.mp3] <br> かれはじもとのがっこうにきふをするていきょうしゃです。 <br> He is a donor who contributes to the local school.
[sound:s-2400_彼は大歓声の中、選手たちに声援を送った。.mp3]	(<b>声援</b>) 彼は大歓声の中、選手たちに声援を送った。<br> かれはだいかんせいのなか、せんしゅたちにせいえんをおくった。 <br>Amidst the loud cheers, he cheered for the players.	
私立	[sound:k-2411_私立.mp3]<br>しりつ, わたくしりつ <br> private (establishment)
private (establishment)	<b>私立<b> <br> しりつ, わたくしりつ <br>[sound:k-2411_私立.mp3]
[sound:k-2411_私立.mp3]	private<br> <b>establishment) (私立</b> <br> (しりつ, わたくしりつ)
(<b>供養</b>) 亡くなった祖父母のために供養を行う。	[sound:s-2411_亡くなった祖父母のために供養を行う。.mp3] <br> なくなったそふぼのためにくようをおこなう。 <br> Perform a memorial service for deceased grandparents.
[sound:s-2401_被災地に義援金を寄付する。.mp3]	(<b>義援金</b>) 被災地に義援金を寄付する。<br> ひさいちにぎえんきんをきふする。 <br>Donate relief funds to the disaster area.	
私邸	[sound:k-2412_私邸.mp3]<br>してい <br> private residence
private residence	<b>私邸<b> <br> してい <br>[sound:k-2412_私邸.mp3]
[sound:k-2412_私邸.mp3]	private residence<br> <b>私邸</b> <br> (してい)
(<b>供給源</b>) 飲料水の供給源が枯渇しています。	[sound:s-2412_飲料水の供給源が枯渇しています。.mp3] <br> いんりょうすいのきょうきゅうげんがこかつしています。 <br> The source of drinking water is running dry.
[sound:s-2402_戦場に援軍が到着した。.mp3]	(<b>援軍</b>) 戦場に援軍が到着した。<br> せんじょうにえんぐんがとうちゃくした。 <br>Reinforcements have arrived at the battlefield.	
私的	[sound:k-2413_私的.mp3]<br>してき <br> personal, private, proprietary
personal, private, proprietary	<b>私的<b> <br> してき <br>[sound:k-2413_私的.mp3]
[sound:k-2413_私的.mp3]	personal, private, proprietary<br> <b>私的</b> <br> (してき)
(<b>自供</b>) 犯人は自供して罪を認めた。	[sound:s-2413_犯人は自供して罪を認めた。.mp3] <br> はんにんはじきょうしてつみをみとめた。 <br> The culprit confessed to the crime.
[sound:s-2403_彼は孤立して無援の状態にある。.mp3]	(<b>無援</b>) 彼は孤立して無援の状態にある。<br> かれはこりつしてむえんのじょうたいにある。 <br>He is in a state of isolation without support.	
私鉄	[sound:k-2414_私鉄.mp3]<br>してつ <br> private railway
private railway	<b>私鉄<b> <br> してつ <br>[sound:k-2414_私鉄.mp3]
[sound:k-2414_私鉄.mp3]	private railway<br> <b>私鉄</b> <br> (してつ)
(<b>可</b>) その計画は実行可能だ。	[sound:s-2414_その計画は実行可能だ。.mp3] <br> そのけいかくはじっこうかのうだ。 <br> The plan is feasible.
[sound:s-2404_彼女は二人の子供を育てています。.mp3]	(<b>子供</b>) 彼女は二人の子供を育てています。<br> かのじょはふたりのこどもをそだてています。 <br>She is raising two children.	
公私	[sound:k-2415_公私.mp3]<br>こうし <br> public and private, official and personal, government and people
public and private, official and personal, government and people	<b>公私<b> <br> こうし <br>[sound:k-2415_公私.mp3]
[sound:k-2415_公私.mp3]	public and private, official and personal, government and people<br> <b>公私</b> <br> (こうし)
(<b>可能</b>) 人間には驚くほどの可能性がある。	[sound:s-2415_人間には驚くほどの可能性がある。.mp3] <br> にんげんにはおどろくほどのかのうせいがある。 <br> Humans have incredible potential.
[sound:s-2405_食料の供給が途絶えた。.mp3]	(<b>供給</b>) 食料の供給が途絶えた。<br> しょくりょうのきょうきゅうがとだえた。 <br>The supply of food has been cut off.	
私有	[sound:k-2416_私有.mp3]<br>しゆう <br> private ownership
private ownership	<b>私有<b> <br> しゆう <br>[sound:k-2416_私有.mp3]
[sound:k-2416_私有.mp3]	private ownership<br> <b>私有</b> <br> (しゆう)
(<b>可能性</b>) 彼の成功の可能性は高い。	[sound:s-2416_彼の成功の可能性は高い。.mp3] <br> かれのせいこうのかのうせいはたかい。 <br> There is a high possibility of his success.
[sound:s-2406_彼は無料でサービスを提供しています。.mp3]	(<b>提供</b>) 彼は無料でサービスを提供しています。<br> かれはむりょうでさーびすをていきょうしています。 <br>He provides services for free.	
私学	[sound:k-2417_私学.mp3]<br>しがく <br> private (non-governmental) school (college, university)
private (non-governmental) school (college, university)	<b>私学<b> <br> しがく <br>[sound:k-2417_私学.mp3]
[sound:k-2417_私学.mp3]	private<br> <b>non-governmental) school (college, university) (私学</b> <br> (しがく)
(<b>許可</b>) 工事の許可を申請する。	[sound:s-2417_工事の許可を申請する。.mp3] <br> こうじのきょかをしんせいする。 <br> Apply for permission for construction.
[sound:s-2407_彼は彼の財産を慈善事業に供与した。.mp3]	(<b>供与</b>) 彼は彼の財産を慈善事業に供与した。<br> かれはかれのざいさんをじぜんじぎょうにきょうよした。 <br>He donated his property to charity.	
私文書	[sound:k-2418_私文書.mp3]<br>しぶんしょ <br> private document
private document	<b>私文書<b> <br> しぶんしょ <br>[sound:k-2418_私文書.mp3]
[sound:k-2418_私文書.mp3]	private document<br> <b>私文書</b> <br> (しぶんしょ)
(<b>可笑しい</b>) 彼の冗談はいつも可笑しい。	[sound:s-2418_彼の冗談はいつも可笑しい。.mp3] <br> かれのじょうだんはいつもおかしい。 <br> His jokes are always funny.
[sound:s-2408_被告は事件の詳細を供述した。.mp3]	(<b>供述</b>) 被告は事件の詳細を供述した。<br> ひこくはじけんのしょうさいをきょうじゅつした。 <br>The defendant provided a detailed account of the incident.	
私設	[sound:k-2419_私設.mp3]<br>しせつ <br> private
private	<b>私設<b> <br> しせつ <br>[sound:k-2419_私設.mp3]
[sound:k-2419_私設.mp3]	private<br> <b>私設</b> <br> (しせつ)
(<b>認可</b>) このアプリは利用が認可されています。	[sound:s-2419_このアプリは利用が認可されています。.mp3] <br> このアプリはりようがにんかされています。 <br> This app is approved for use.
[sound:s-2409_彼は家族のために生活費を供給する。.mp3]	(<b>供</b>) 彼は家族のために生活費を供給する。<br> かれはかぞくのためにせいかつひをきょうきゅうする。 <br>He provides living expenses for his family.	
各自	[sound:k-2420_各自.mp3]<br>かくじ <br> individual, each
individual, each	<b>各自<b> <br> かくじ <br>[sound:k-2420_各自.mp3]
[sound:k-2420_各自.mp3]	individual, each<br> <b>各自</b> <br> (かくじ)
(<b>不可欠</b>) 健康のために睡眠は不可欠だ。	[sound:s-2420_健康のために睡眠は不可欠だ。.mp3] <br> けんこうのためにすいみんはふかけつだ。 <br> Sleep is essential for health.
[sound:s-2410_彼は地元の学校に寄付をする提供者です。.mp3]	(<b>提供者</b>) 彼は地元の学校に寄付をする提供者です。<br> かれはじもとのがっこうにきふをするていきょうしゃです。 <br>He is a donor who contributes to the local school.	
各種学校	[sound:k-2421_各種学校.mp3]<br>かくしゅがっこう <br> vocational school
vocational school	<b>各種学校<b> <br> かくしゅがっこう <br>[sound:k-2421_各種学校.mp3]
[sound:k-2421_各種学校.mp3]	vocational school<br> <b>各種学校</b> <br> (かくしゅがっこう)
(<b>不可能</b>) その任務は不可能だと思われていた。	[sound:s-2421_その任務は不可能だと思われていた。.mp3] <br> そのにんむはふかのうだとおもわれていた。 <br> The task was thought to be impossible.
[sound:s-2411_亡くなった祖父母のために供養を行う。.mp3]	(<b>供養</b>) 亡くなった祖父母のために供養を行う。<br> なくなったそふぼのためにくようをおこなう。 <br>Perform a memorial service for deceased grandparents.	
各位	[sound:k-2422_各位.mp3]<br>かくい <br> everyone, ladies and gentlemen; attention media representatives (e.g. heading on a press release)
everyone, ladies and gentlemen; attention media representatives (e.g. heading on a press release)	<b>各位<b> <br> かくい <br>[sound:k-2422_各位.mp3]
[sound:k-2422_各位.mp3]	everyone, ladies and gentlemen; attention media representatives<br> <b>e.g. heading on a press release) (各位</b> <br> (かくい)
(<b>可決</b>) 法案が国会で可決された。	[sound:s-2422_法案が国会で可決された。.mp3] <br> ほうあんがこっかいでかけつされた。 <br> The bill was passed in parliament.
[sound:s-2412_飲料水の供給源が枯渇しています。.mp3]	(<b>供給源</b>) 飲料水の供給源が枯渇しています。<br> いんりょうすいのきょうきゅうげんがこかつしています。 <br>The source of drinking water is running dry.	
各々	[sound:k-2423_各々.mp3]<br>おのおの, それぞれ <br> each, every, either, respectively, severally
each, every, either, respectively, severally	<b>各々<b> <br> おのおの, それぞれ <br>[sound:k-2423_各々.mp3]
[sound:k-2423_各々.mp3]	each, every, either, respectively, severally<br> <b>各々</b> <br> (おのおの, それぞれ)
(<b>不可分</b>) その二人の結びつきは不可分だ。	[sound:s-2423_その二人の結びつきは不可分だ。.mp3] <br> そのふたりのむすびつきはふかぶんだ。 <br> Their bond is inseparable.
[sound:s-2413_犯人は自供して罪を認めた。.mp3]	(<b>自供</b>) 犯人は自供して罪を認めた。<br> はんにんはじきょうしてつみをみとめた。 <br>The culprit confessed to the crime.	
各面	[sound:k-2424_各面.mp3]<br>かくめん <br> all phases
all phases	<b>各面<b> <br> かくめん <br>[sound:k-2424_各面.mp3]
[sound:k-2424_各面.mp3]	all phases<br> <b>各面</b> <br> (かくめん)
(<b>役</b>) 彼は責任を果たすために役割を担っている。	[sound:s-2424_彼は責任を果たすために役割を担っている。.mp3] <br> かれはせきにんをはたすためにやくわりをになっている。 <br> He takes on roles to fulfill his responsibilities.
[sound:s-2414_その計画は実行可能だ。.mp3]	(<b>可</b>) その計画は実行可能だ。<br> そのけいかくはじっこうかのうだ。 <br>The plan is feasible.	
各	[sound:k-2425_各.mp3]<br>かく <br> each, every
each, every	<b>各<b> <br> かく <br>[sound:k-2425_各.mp3]
[sound:k-2425_各.mp3]	each, every<br> <b>各</b> <br> (かく)
(<b>役割</b>) 彼女は映画で重要な役割を演じた。	[sound:s-2425_彼女は映画で重要な役割を演じた。.mp3] <br> かのじょはえいがでじゅうようなやくわりをえんじた。 <br> She played an important role in the movie.
[sound:s-2415_人間には驚くほどの可能性がある。.mp3]	(<b>可能</b>) 人間には驚くほどの可能性がある。<br> にんげんにはおどろくほどのかのうせいがある。 <br>Humans have incredible potential.	
各	[sound:k-2426_各.mp3]<br>おのおの, それぞれ <br> each, every, either, respectively, severally
each, every, either, respectively, severally	<b>各<b> <br> おのおの, それぞれ <br>[sound:k-2426_各.mp3]
[sound:k-2426_各.mp3]	each, every, either, respectively, severally<br> <b>各</b> <br> (おのおの, それぞれ)
(<b>役員</b>) 彼は会社の役員です。	[sound:s-2426_彼は会社の役員です。.mp3] <br> かれはかいしゃのやくいんです。 <br> He is an executive of the company.
[sound:s-2416_彼の成功の可能性は高い。.mp3]	(<b>可能性</b>) 彼の成功の可能性は高い。<br> かれのせいこうのかのうせいはたかい。 <br>There is a high possibility of his success.	
各シェルフ	[sound:k-2427_各シェルフ.mp3]<br>かくシェルフ <br> each shelf, shelves (in practice, practise)
each shelf, shelves (in practice, practise)	<b>各シェルフ<b> <br> かくシェルフ <br>[sound:k-2427_各シェルフ.mp3]
[sound:k-2427_各シェルフ.mp3]	each shelf, shelves<br> <b>in practice, practise) (各シェルフ</b> <br> (かくシェルフ)
(<b>取締役</b>) 彼はその企業の取締役です。	[sound:s-2427_彼はその企業の取締役です。.mp3] <br> かれはそのきぎょうのとりしまりやくです。 <br> He is a director of the company.
[sound:s-2417_工事の許可を申請する。.mp3]	(<b>許可</b>) 工事の許可を申請する。<br> こうじのきょかをしんせいする。 <br>Apply for permission for construction.	
各員	[sound:k-2428_各員.mp3]<br>かくいん <br> each one
each one	<b>各員<b> <br> かくいん <br>[sound:k-2428_各員.mp3]
[sound:k-2428_各員.mp3]	each one<br> <b>各員</b> <br> (かくいん)
(<b>懲役</b>) 彼は懲役20年の刑を宣告された。	[sound:s-2428_彼は懲役20年の刑を宣告された。.mp3] <br> かれはちょうえき20ねんのけいをせんこくされた。 <br> He was sentenced to 20 years of imprisonment.
[sound:s-2418_彼の冗談はいつも可笑しい。.mp3]	(<b>可笑しい</b>) 彼の冗談はいつも可笑しい。<br> かれのじょうだんはいつもおかしい。 <br>His jokes are always funny.	
各駅	[sound:k-2429_各駅.mp3]<br>かくえき <br> every station
every station	<b>各駅<b> <br> かくえき <br>[sound:k-2429_各駅.mp3]
[sound:k-2429_各駅.mp3]	every station<br> <b>各駅</b> <br> (かくえき)
(<b>現役</b>) 彼はまだ現役で働いている。	[sound:s-2429_彼はまだ現役で働いている。.mp3] <br> かれはまだげんえきではたらいている。 <br> He is still working actively.
[sound:s-2419_このアプリは利用が認可されています。.mp3]	(<b>認可</b>) このアプリは利用が認可されています。<br> このアプリはりようがにんかされています。 <br>This app is approved for use.	
開始	[sound:k-2430_開始.mp3]<br>かいし <br> start, commencement, beginning, initiation
start, commencement, beginning, initiation	<b>開始<b> <br> かいし <br>[sound:k-2430_開始.mp3]
[sound:k-2430_開始.mp3]	start, commencement, beginning, initiation<br> <b>開始</b> <br> (かいし)
(<b>三役</b>) 彼はそのプロジェクトで三役をこなす。	[sound:s-2430_彼はそのプロジェクトで三役をこなす。.mp3] <br> かれはそのぷろじぇくとでさんやくをこなす。 <br> He performs three roles in the project.
[sound:s-2420_健康のために睡眠は不可欠だ。.mp3]	(<b>不可欠</b>) 健康のために睡眠は不可欠だ。<br> けんこうのためにすいみんはふかけつだ。 <br>Sleep is essential for health.	
始まり	[sound:k-2431_始まり.mp3]<br>はじまり <br> origin, beginning
origin, beginning	<b>始まり<b> <br> はじまり <br>[sound:k-2431_始まり.mp3]
[sound:k-2431_始まり.mp3]	origin, beginning<br> <b>始まり</b> <br> (はじまり)
(<b>主役</b>) 彼女はその映画の主役を演じた。	[sound:s-2431_彼女はその映画の主役を演じた。.mp3] <br> かのじょはそのえいがのしゅやくをえんじた。 <br> She played the leading role in the movie.
[sound:s-2421_その任務は不可能だと思われていた。.mp3]	(<b>不可能</b>) その任務は不可能だと思われていた。<br> そのにんむはふかのうだとおもわれていた。 <br>The task was thought to be impossible.	
終始	[sound:k-2432_終始.mp3]<br>しゅうし <br> beginning and end, from beginning to end, doing a thing from beginning to end; consistently, the whole time
beginning and end, from beginning to end, doing a thing from beginning to end; consistently, the whole time	<b>終始<b> <br> しゅうし <br>[sound:k-2432_終始.mp3]
[sound:k-2432_終始.mp3]	beginning and end, from beginning to end, doing a thing from beginning to end; consistently, the whole time<br> <b>終始</b> <br> (しゅうし)
(<b>取締役会</b>) 会社の取締役会が開催されました。	[sound:s-2432_会社の取締役会が開催されました。.mp3] <br> かいしゃのとりしまりやくかいがかいさいされました。 <br> The board of directors meeting was held.
[sound:s-2422_法案が国会で可決された。.mp3]	(<b>可決</b>) 法案が国会で可決された。<br> ほうあんがこっかいでかけつされた。 <br>The bill was passed in parliament.	
始める	[sound:k-2433_始める.mp3]<br>はじめる <br> to start, to begin, to commence, to initiate, to originate; to open (e.g. a store), to start up, to establish (business. etc.); to start (doing something), to begin to ...
to start, to begin, to commence, to initiate, to originate; to open (e.g. a store), to start up, to establish (business. etc.); to start (doing something), to begin to ...	<b>始める<b> <br> はじめる <br>[sound:k-2433_始める.mp3]
[sound:k-2433_始める.mp3]	to start, to begin, to commence, to initiate, to originate; to open<br> <b>e.g. a store), to start up, to establish (business. etc.); to start (doing something), to begin to ... (始める</b> <br> (はじめる)
(<b>役所</b>) 住民票は役所で取得できます。	[sound:s-2433_住民票は役所で取得できます。.mp3] <br> じゅうみんひょうはやくしょでしゅとくできます。 <br> You can obtain a resident certificate at the municipal office.
[sound:s-2423_その二人の結びつきは不可分だ。.mp3]	(<b>不可分</b>) その二人の結びつきは不可分だ。<br> そのふたりのむすびつきはふかぶんだ。 <br>Their bond is inseparable.	
始め	[sound:k-2434_始め.mp3]<br>はじめ <br> beginning, start, origin
beginning, start, origin	<b>始め<b> <br> はじめ <br>[sound:k-2434_始め.mp3]
[sound:k-2434_始め.mp3]	beginning, start, origin<br> <b>始め</b> <br> (はじめ)
(<b>機構</b>) この機構は効率的な仕組みを持っています。	[sound:s-2434_この機構は効率的な仕組みを持っています。.mp3] <br> このきこうはこうりつてきなしくみをもっています。 <br> This organization has an efficient mechanism.
[sound:s-2424_彼は責任を果たすために役割を担っている。.mp3]	(<b>役</b>) 彼は責任を果たすために役割を担っている。<br> かれはせきにんをはたすためにやくわりをになっている。 <br>He takes on roles to fulfill his responsibilities.	
年始	[sound:k-2435_年始.mp3]<br>ねんし <br> New Year's call, beginning of the year, New Year's greetings
New Year's call, beginning of the year, New Year's greetings	<b>年始<b> <br> ねんし <br>[sound:k-2435_年始.mp3]
[sound:k-2435_年始.mp3]	New Year's call, beginning of the year, New Year's greetings<br> <b>年始</b> <br> (ねんし)
(<b>構造</b>) この建物の構造は頑丈だ。	[sound:s-2435_この建物の構造は頑丈だ。.mp3] <br> このたてもののこうぞうはがんじょうだ。 <br> The structure of this building is sturdy.
[sound:s-2425_彼女は映画で重要な役割を演じた。.mp3]	(<b>役割</b>) 彼女は映画で重要な役割を演じた。<br> かのじょはえいがでじゅうようなやくわりをえんじた。 <br>She played an important role in the movie.	
始末	[sound:k-2436_始末.mp3]<br>しまつ <br> management, dealing, settlement; cleaning up, getting rid of; end result (usu. bad)
management, dealing, settlement; cleaning up, getting rid of; end result (usu. bad)	<b>始末<b> <br> しまつ <br>[sound:k-2436_始末.mp3]
[sound:k-2436_始末.mp3]	management, dealing, settlement; cleaning up, getting rid of; end result<br> <b>usu. bad) (始末</b> <br> (しまつ)
(<b>構想</b>) 新しいプロジェクトの構想を練る。	[sound:s-2436_新しいプロジェクトの構想を練る。.mp3] <br> あたらしいぷろじぇくとのこうそうをねる。 <br> Develop a plan for the new project.
[sound:s-2426_彼は会社の役員です。.mp3]	(<b>役員</b>) 彼は会社の役員です。<br> かれはかいしゃのやくいんです。 <br>He is an executive of the company.	
原始	[sound:k-2437_原始.mp3]<br>げんし <br> origin, primeval
origin, primeval	<b>原始<b> <br> げんし <br>[sound:k-2437_原始.mp3]
[sound:k-2437_原始.mp3]	origin, primeval<br> <b>原始</b> <br> (げんし)
(<b>構成</b>) この組織の構成を理解する。	[sound:s-2437_この組織の構成を理解する。.mp3] <br> このそしきのこうせいをりかいする。 <br> Understand the composition of this organization.
[sound:s-2427_彼はその企業の取締役です。.mp3]	(<b>取締役</b>) 彼はその企業の取締役です。<br> かれはそのきぎょうのとりしまりやくです。 <br>He is a director of the company.	
始発	[sound:k-2438_始発.mp3]<br>しはつ <br> first train
first train	<b>始発<b> <br> しはつ <br>[sound:k-2438_始発.mp3]
[sound:k-2438_始発.mp3]	first train<br> <b>始発</b> <br> (しはつ)
(<b>構築</b>) 新しい道路を構築する計画がある。	[sound:s-2438_新しい道路を構築する計画がある。.mp3] <br> あたらしいどうろをこうちくするけいかくがある。 <br> There is a plan to construct a new road.
[sound:s-2428_彼は懲役20年の刑を宣告された。.mp3]	(<b>懲役</b>) 彼は懲役20年の刑を宣告された。<br> かれはちょうえき20ねんのけいをせんこくされた。 <br>He was sentenced to 20 years of imprisonment.	
手始め	[sound:k-2439_手始め.mp3]<br>てはじめ <br> outset
outset	<b>手始め<b> <br> てはじめ <br>[sound:k-2439_手始め.mp3]
[sound:k-2439_手始め.mp3]	outset<br> <b>手始め</b> <br> (てはじめ)
(<b>構図</b>) その絵の構図が美しい。	[sound:s-2439_その絵の構図が美しい。.mp3] <br> そのえのこうずがうつくしい。 <br> The composition of the painting is beautiful.
[sound:s-2429_彼はまだ現役で働いている。.mp3]	(<b>現役</b>) 彼はまだ現役で働いている。<br> かれはまだげんえきではたらいている。 <br>He is still working actively.	
島	[sound:k-2440_島.mp3]<br>しま <br> island; territory (of a prostitute, organized crime gang, etc.), turf
island; territory (of a prostitute, organized crime gang, etc.), turf	<b>島<b> <br> しま <br>[sound:k-2440_島.mp3]
[sound:k-2440_島.mp3]	island; territory<br> <b>of a prostitute, organized crime gang, etc.), turf (島</b> <br> (しま)
(<b>結構</b>) ありがとう、結構です。	[sound:s-2440_ありがとう、結構です。.mp3] <br> ありがとう、けっこうです。 <br> Thank you, I'm fine.
[sound:s-2430_彼はそのプロジェクトで三役をこなす。.mp3]	(<b>三役</b>) 彼はそのプロジェクトで三役をこなす。<br> かれはそのぷろじぇくとでさんやくをこなす。 <br>He performs three roles in the project.	
朝鮮半島	[sound:k-2441_朝鮮半島.mp3]<br>ちょうせんはんとう <br> Korean peninsula
Korean peninsula	<b>朝鮮半島<b> <br> ちょうせんはんとう <br>[sound:k-2441_朝鮮半島.mp3]
[sound:k-2441_朝鮮半島.mp3]	Korean peninsula<br> <b>朝鮮半島</b> <br> (ちょうせんはんとう)
(<b>構う</b>) 彼女は他人の意見に構わない。	[sound:s-2441_彼女は他人の意見に構わない。.mp3] <br> かのじょはたにんのいけんにかまわない。 <br> She doesn't care about other people's opinions.
[sound:s-2431_彼女はその映画の主役を演じた。.mp3]	(<b>主役</b>) 彼女はその映画の主役を演じた。<br> かのじょはそのえいがのしゅやくをえんじた。 <br>She played the leading role in the movie.	
中島	[sound:k-2442_中島.mp3]<br>なかじま <br> island in a pond or river
island in a pond or river	<b>中島<b> <br> なかじま <br>[sound:k-2442_中島.mp3]
[sound:k-2442_中島.mp3]	island in a pond or river<br> <b>中島</b> <br> (なかじま)
(<b>構内</b>) この施設の構内には多くの施設がある。	[sound:s-2442_この施設の構内には多くの施設がある。.mp3] <br> このしせつのこうないにはおおくのしせつがある。 <br> There are many facilities within the premises of this facility.
