[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
施す	[sound:k-3227_施す.mp3]<br>ほどこす <br> to donate, to give, to conduct, to apply, to perform
to donate, to give, to conduct, to apply, to perform	<b>施す<b> <br> ほどこす <br>[sound:k-3227_施す.mp3]
[sound:k-3227_施す.mp3]	to donate, to give, to conduct, to apply, to perform<br> <b>施す</b> <br> (ほどこす)
(<b>行方</b>) 彼の行方はまだわかりません。	[sound:s-3227_彼の行方はまだわかりません。.mp3] <br> かれのゆくえはまだわかりません。 <br> His whereabouts are still unknown.
[sound:s-3217_その行動は相当なリスクを伴います。.mp3]	(<b>相当</b>) その行動は相当なリスクを伴います。<br> そのこうどうはそうとうなりすくをともないます。 <br>That action involves considerable risk.	
防衛施設庁	[sound:k-3228_防衛施設庁.mp3]<br>ぼうえいしせつちょう <br> (Japanese) Defense Facilities Administration Agency (Defence)
(Japanese) Defense Facilities Administration Agency (Defence)	<b>防衛施設庁<b> <br> ぼうえいしせつちょう <br>[sound:k-3228_防衛施設庁.mp3]
[sound:k-3228_防衛施設庁.mp3]	(Japanese) Defense Facilities Administration Agency<br> <b>Defence) (防衛施設庁</b> <br> (ぼうえいしせつちょう)
(<b>双方</b>) 両者は双方の利益を考慮して交渉しました。	[sound:s-3228_両者は双方の利益を考慮して交渉しました。.mp3] <br> りょうしゃはそうほうのりえきをこうりょしてこうしょうしました。 <br> Both parties negotiated considering each other's interests.
[sound:s-3218_相撲は日本の伝統的なスポーツです。.mp3]	(<b>相撲</b>) 相撲は日本の伝統的なスポーツです。<br> すもうはにほんのでんとうてきなすぽーつです。 <br>Sumo wrestling is a traditional Japanese sport.	
施錠	[sound:k-3229_施錠.mp3]<br>せじょう <br> locking
locking	<b>施錠<b> <br> せじょう <br>[sound:k-3229_施錠.mp3]
[sound:k-3229_施錠.mp3]	locking<br> <b>施錠</b> <br> (せじょう)
(<b>方</b>) 駅の方に行きましょう。	[sound:s-3229_駅の方に行きましょう。.mp3] <br> えきのほうにいきましょう。 <br> Let's go towards the station.
[sound:s-3219_事件の真相が明らかにされました。.mp3]	(<b>真相</b>) 事件の真相が明らかにされました。<br> じけんのしんそうがあきらかにされました。 <br>The truth behind the incident was revealed.	
大切	[sound:k-3230_大切.mp3]<br>たいせつ <br> important, valuable, worthy of care
important, valuable, worthy of care	<b>大切<b> <br> たいせつ <br>[sound:k-3230_大切.mp3]
[sound:k-3230_大切.mp3]	important, valuable, worthy of care<br> <b>大切</b> <br> (たいせつ)
(<b>四</b>) 彼は四つのリンゴを持っています。	[sound:s-3230_彼は四つのリンゴを持っています。.mp3] <br> かれはよっつのりんごをもっています。 <br> He has four apples.
[sound:s-3220_彼は学校に行く一方、彼女は家で勉強している。.mp3]	(<b>一方</b>) 彼は学校に行く一方、彼女は家で勉強している。<br> かれはがっこうにいくいっぽう、かのじょはいえでべんきょうしている。 <br>While he goes to school, she studies at home.	
切っ掛け	[sound:k-3231_切っ掛け.mp3]<br>きっかけ <br> chance, start, cue, excuse, motive, impetus, occasion
chance, start, cue, excuse, motive, impetus, occasion	<b>切っ掛け<b> <br> きっかけ <br>[sound:k-3231_切っ掛け.mp3]
[sound:k-3231_切っ掛け.mp3]	chance, start, cue, excuse, motive, impetus, occasion<br> <b>切っ掛け</b> <br> (きっかけ)
(<b>四つ</b>) 机の上に鉛筆が四つあります。	[sound:s-3231_机の上に鉛筆が四つあります。.mp3] <br> つくえのうえにえんぴつがよっつあります。 <br> There are four pencils on the desk.
[sound:s-3221_問題に対する様々な見方があります。.mp3]	(<b>見方</b>) 問題に対する様々な見方があります。<br> もんだいにたいするようだんなみかたがあります。 <br>There are various perspectives on the issue.	
一切	[sound:k-3232_一切.mp3]<br>いっさい <br> all, everything, without exception, the whole, entirely, absolutely
all, everything, without exception, the whole, entirely, absolutely	<b>一切<b> <br> いっさい <br>[sound:k-3232_一切.mp3]
[sound:k-3232_一切.mp3]	all, everything, without exception, the whole, entirely, absolutely<br> <b>一切</b> <br> (いっさい)
(<b>四月</b>) 四月に桜の花が咲きます。	[sound:s-3232_四月に桜の花が咲きます。.mp3] <br> しがつにさくらのはながさきます。 <br> Cherry blossoms bloom in April.
[sound:s-3222_彼らは地方の文化に興味を持っています。.mp3]	(<b>地方</b>) 彼らは地方の文化に興味を持っています。<br> かれらはちほうのぶんかにきょうみをもっています。 <br>They are interested in the local culture.	
適切	[sound:k-3233_適切.mp3]<br>てきせつ <br> pertinent, appropriate, adequate, relevance
pertinent, appropriate, adequate, relevance	<b>適切<b> <br> てきせつ <br>[sound:k-3233_適切.mp3]
[sound:k-3233_適切.mp3]	pertinent, appropriate, adequate, relevance<br> <b>適切</b> <br> (てきせつ)
(<b>十四</b>) 彼の誕生日は十四日です。	[sound:s-3233_彼の誕生日は十四日です。.mp3] <br> かれのたんじょうびはじゅうよっかです。 <br> His birthday is on the fourteenth.
[sound:s-3223_この道を進んで左の方向に曲がってください。.mp3]	(<b>方向</b>) この道を進んで左の方向に曲がってください。<br> このみちをすすんでひだりのほうこうにまがってください。 <br>Proceed down this road and turn left.	
切り	[sound:k-3234_切り.mp3]<br>きり <br> limits, end, bounds, period, place to leave off, closing sentence, all there is, only, since
limits, end, bounds, period, place to leave off, closing sentence, all there is, only, since	<b>切り<b> <br> きり <br>[sound:k-3234_切り.mp3]
[sound:k-3234_切り.mp3]	limits, end, bounds, period, place to leave off, closing sentence, all there is, only, since<br> <b>切り</b> <br> (きり)
(<b>四十</b>) 彼女は今年四十歳になります。	[sound:s-3234_彼女は今年四十歳になります。.mp3] <br> かのじょはことしよんじゅっさいになります。 <br> She will turn forty this year.
[sound:s-3224_新しい方針を採用することになりました。.mp3]	(<b>方針</b>) 新しい方針を採用することになりました。<br> あたらしいほうしんをさいようすることになりました。 <br>It has been decided to adopt a new policy.	
思い切って	[sound:k-3235_思い切って.mp3]<br>おもいきって <br> resolutely, boldly, daringly
resolutely, boldly, daringly	<b>思い切って<b> <br> おもいきって <br>[sound:k-3235_思い切って.mp3]
[sound:k-3235_思い切って.mp3]	resolutely, boldly, daringly<br> <b>思い切って</b> <br> (おもいきって)
(<b>四百</b>) その本棚には四百冊以上の本があります。	[sound:s-3235_その本棚には四百冊以上の本があります。.mp3] <br> そのほんだなにはよんびゃくさついじょうのほんがあります。 <br> There are over four hundred books on that bookshelf.
[sound:s-3225_この問題を解決する方法は何ですか？.mp3]	(<b>方法</b>) この問題を解決する方法は何ですか？	このもんだいをかいけつするほうほうはなんですか？ <br>What is the method to solve this problem?
切らす	[sound:k-3236_切らす.mp3]<br>きらす <br> to be out of, to run out of, to be short of, to be out of stock
to be out of, to run out of, to be short of, to be out of stock	<b>切らす<b> <br> きらす <br>[sound:k-3236_切らす.mp3]
[sound:k-3236_切らす.mp3]	to be out of, to run out of, to be short of, to be out of stock<br> <b>切らす</b> <br> (きらす)
(<b>四球</b>) 彼はその試合で四球を与えました。	[sound:s-3236_彼はその試合で四球を与えました。.mp3] <br> かれはそのしあいでよんきゅうをあたえました。 <br> He gave up four walks in the game.
[sound:s-3226_彼の考え方は独特です。.mp3]	(<b>考え方</b>) 彼の考え方は独特です。<br> かれのかんがえかたはとくとくてきです。 <br>His way of thinking is unique.	
切る	[sound:k-3237_切る.mp3]<br>きる <br> to cut (usu. to cut through); to sever (connections, ties); to turn off (i.e. the light); to terminate (i.e. a conversation), to hang up (the phone), to disconnect; to punch (a ticket), to tear off (a stub); to open (something sealed); to start; to set (a limit); to reduce, to decrease, to discount; to shake off (water, etc.), to let drip-dry (or drain); to cross; to do (something noticeable); to turn (a vehicle); to cut (the ball); to shuffle (cards); to trump; (in Go) to isolate (an opponent's stone); (after the -masu stem of a verb) to finish, to complete
to cut (usu. to cut through); to sever (connections, ties); to turn off (i.e. the light); to terminate (i.e. a conversation), to hang up (the phone), to disconnect; to punch (a ticket), to tear off (a stub); to open (something sealed); to start; to set (a limit); to reduce, to decrease, to discount; to shake off (water, etc.), to let drip-dry (or drain); to cross; to do (something noticeable); to turn (a vehicle); to cut (the ball); to shuffle (cards); to trump; (in Go) to isolate (an opponent's stone); (after the -masu stem of a verb) to finish, to complete	<b>切る<b> <br> きる <br>[sound:k-3237_切る.mp3]
[sound:k-3237_切る.mp3]	to cut<br> <b>usu. to cut through); to sever (connections, ties); to turn off (i.e. the light); to terminate (i.e. a conversation), to hang up (the phone), to disconnect; to punch (a ticket), to tear off (a stub); to open (something sealed); to start; to set (a limit); to reduce, to decrease, to discount; to shake off (water, etc.), to let drip-dry (or drain); to cross; to do (something noticeable); to turn (a vehicle); to cut (the ball); to shuffle (cards); to trump; (in Go) to isolate (an opponent's stone); (after the -masu stem of a verb) to finish, to complete (切る</b> <br> (きる)
(<b>四千</b>) その橋の建設には四千万円かかりました。	[sound:s-3237_その橋の建設には四千万円かかりました。.mp3] <br> そのはしのけんせつにはよんせんまんえんかかりました。 <br> The construction of the bridge cost forty million yen.
[sound:s-3227_彼の行方はまだわかりません。.mp3]	(<b>行方</b>) 彼の行方はまだわかりません。<br> かれのゆくえはまだわかりません。 <br>His whereabouts are still unknown.	
締め切り	[sound:k-3238_締め切り.mp3]<br>しめきり <br> closing, cut-off, end, deadline, Closed, No Entrance
closing, cut-off, end, deadline, Closed, No Entrance	<b>締め切り<b> <br> しめきり <br>[sound:k-3238_締め切り.mp3]
[sound:k-3238_締め切り.mp3]	closing, cut-off, end, deadline, Closed, No Entrance<br> <b>締め切り</b> <br> (しめきり)
(<b>四十七士</b>) 四十七士は忠義の士として知られています。	[sound:s-3238_四十七士は忠義の士として知られています。.mp3] <br> よんじゅうしちしはちゅうぎのしとしてしられています。 <br> The forty-seven loyal retainers are known for their loyalty.
[sound:s-3228_両者は双方の利益を考慮して交渉しました。.mp3]	(<b>双方</b>) 両者は双方の利益を考慮して交渉しました。<br> りょうしゃはそうほうのりえきをこうりょしてこうしょうしました。 <br>Both parties negotiated considering each other's interests.	
切手	[sound:k-3239_切手.mp3]<br>きって <br> stamp (postage), merchandise certificate
stamp (postage), merchandise certificate	<b>切手<b> <br> きって <br>[sound:k-3239_切手.mp3]
[sound:k-3239_切手.mp3]	stamp<br> <b>postage), merchandise certificate (切手</b> <br> (きって)
(<b>四半期</b>) 会社は四半期ごとに業績を報告します。	[sound:s-3239_会社は四半期ごとに業績を報告します。.mp3] <br> かいしゃはしさんぎごとにぎょうせきをほうこくします。 <br> The company reports its performance every quarter.
[sound:s-3229_駅の方に行きましょう。.mp3]	(<b>方</b>) 駅の方に行きましょう。<br> えきのほうにいきましょう。 <br>Let's go towards the station.	
由	[sound:k-3240_由.mp3]<br>よし <br> reason, significance, cause
reason, significance, cause	<b>由<b> <br> よし <br>[sound:k-3240_由.mp3]
[sound:k-3240_由.mp3]	reason, significance, cause<br> <b>由</b> <br> (よし)
(<b>協定</b>) 両国は平和協定に署名しました。	[sound:s-3240_両国は平和協定に署名しました。.mp3] <br> りょうこくはへいわきょうていにしょめいしました。 <br> The two countries signed a peace agreement.
[sound:s-3230_彼は四つのリンゴを持っています。.mp3]	(<b>四</b>) 彼は四つのリンゴを持っています。<br> かれはよっつのりんごをもっています。 <br>He has four apples.	
自由	[sound:k-3241_自由.mp3]<br>じゆう <br> freedom, liberty, as it pleases you
freedom, liberty, as it pleases you	<b>自由<b> <br> じゆう <br>[sound:k-3241_自由.mp3]
[sound:k-3241_自由.mp3]	freedom, liberty, as it pleases you<br> <b>自由</b> <br> (じゆう)
(<b>決定</b>) 彼の選択は最終的な決定です。	[sound:s-3241_彼の選択は最終的な決定です。.mp3] <br> かれのせんたくはさいしゅうてきなけっていです。 <br> His decision is final.
[sound:s-3231_机の上に鉛筆が四つあります。.mp3]	(<b>四つ</b>) 机の上に鉛筆が四つあります。<br> つくえのうえにえんぴつがよっつあります。 <br>There are four pencils on the desk.	
理由	[sound:k-3242_理由.mp3]<br>りゆう <br> reason, pretext, motive
reason, pretext, motive	<b>理由<b> <br> りゆう <br>[sound:k-3242_理由.mp3]
[sound:k-3242_理由.mp3]	reason, pretext, motive<br> <b>理由</b> <br> (りゆう)
(<b>予定</b>) 明日の予定を教えてください。	[sound:s-3242_明日の予定を教えてください。.mp3] <br> あしたのよていをおしえてください。 <br> Please tell me tomorrow's schedule.
[sound:s-3232_四月に桜の花が咲きます。.mp3]	(<b>四月</b>) 四月に桜の花が咲きます。<br> しがつにさくらのはながさきます。 <br>Cherry blossoms bloom in April.	
経由	[sound:k-3243_経由.mp3]<br>けいゆ <br> go by the way, via
go by the way, via	<b>経由<b> <br> けいゆ <br>[sound:k-3243_経由.mp3]
[sound:k-3243_経由.mp3]	go by the way, via<br> <b>経由</b> <br> (けいゆ)
(<b>安定</b>) 政府は経済の安定を目指しています。	[sound:s-3243_政府は経済の安定を目指しています。.mp3] <br> せいふはけいざいのあんていをめざしています。 <br> The government aims for economic stability.
[sound:s-3233_彼の誕生日は十四日です。.mp3]	(<b>十四</b>) 彼の誕生日は十四日です。<br> かれのたんじょうびはじゅうよっかです。 <br>His birthday is on the fourteenth.	
不自由	[sound:k-3244_不自由.mp3]<br>ふじゆう <br> discomfort, inconvenience; poverty, want, destitution; disability, impairment (physical, mental, etc.)
discomfort, inconvenience; poverty, want, destitution; disability, impairment (physical, mental, etc.)	<b>不自由<b> <br> ふじゆう <br>[sound:k-3244_不自由.mp3]
[sound:k-3244_不自由.mp3]	discomfort, inconvenience; poverty, want, destitution; disability, impairment<br> <b>physical, mental, etc.) (不自由</b> <br> (ふじゆう)
(<b>暫定</b>) 暫定的な解決策を見つけなければなりません。	[sound:s-3244_暫定的な解決策を見つけなければなりません。.mp3] <br> さんていてきなかいけつさくをみつけなければなりません。 <br> We need to find a temporary solution.
[sound:s-3234_彼女は今年四十歳になります。.mp3]	(<b>四十</b>) 彼女は今年四十歳になります。<br> かのじょはことしよんじゅっさいになります。 <br>She will turn forty this year.	
自由化	[sound:k-3245_自由化.mp3]<br>じゆうか <br> liberalization, liberalisation, freeing
liberalization, liberalisation, freeing	<b>自由化<b> <br> じゆうか <br>[sound:k-3245_自由化.mp3]
[sound:k-3245_自由化.mp3]	liberalization, liberalisation, freeing<br> <b>自由化</b> <br> (じゆうか)
(<b>定数</b>) この容器には定数の量しか入れられません。	[sound:s-3245_この容器には定数の量しか入れられません。.mp3] <br> このようきにはていすうのりょうしかいれられません。 <br> Only a fixed amount can be put into this container.
[sound:s-3235_その本棚には四百冊以上の本があります。.mp3]	(<b>四百</b>) その本棚には四百冊以上の本があります。<br> そのほんだなにはよんびゃくさついじょうのほんがあります。 <br>There are over four hundred books on that bookshelf.	
自由形	[sound:k-3246_自由形.mp3]<br>じゆうがた <br> freestyle (e.g. swimming event)
freestyle (e.g. swimming event)	<b>自由形<b> <br> じゆうがた <br>[sound:k-3246_自由形.mp3]
[sound:k-3246_自由形.mp3]	freestyle<br> <b>e.g. swimming event) (自由形</b> <br> (じゆうがた)
(<b>一定</b>) 成功するためには一定の努力が必要です。	[sound:s-3246_成功するためには一定の努力が必要です。.mp3] <br> せいこうするためにはいっていのどりょくがひつようです。 <br> A certain level of effort is required to succeed.
[sound:s-3236_彼はその試合で四球を与えました。.mp3]	(<b>四球</b>) 彼はその試合で四球を与えました。<br> かれはそのしあいでよんきゅうをあたえました。 <br>He gave up four walks in the game.	
自由主義	[sound:k-3247_自由主義.mp3]<br>じゆうしゅぎ <br> liberalism
liberalism	<b>自由主義<b> <br> じゆうしゅぎ <br>[sound:k-3247_自由主義.mp3]
[sound:k-3247_自由主義.mp3]	liberalism<br> <b>自由主義</b> <br> (じゆうしゅぎ)
(<b>規定</b>) その会社は厳格な規定を持っています。	[sound:s-3247_その会社は厳格な規定を持っています。.mp3] <br> そのかいしゃはけんかくなきていをもっています。 <br> The company has strict regulations.
[sound:s-3237_その橋の建設には四千万円かかりました。.mp3]	(<b>四千</b>) その橋の建設には四千万円かかりました。<br> そのはしのけんせつにはよんせんまんえんかかりました。 <br>The construction of the bridge cost forty million yen.	
由来	[sound:k-3248_由来.mp3]<br>ゆらい <br> origin, source, history, derivation, reason, destiny
origin, source, history, derivation, reason, destiny	<b>由来<b> <br> ゆらい <br>[sound:k-3248_由来.mp3]
[sound:k-3248_由来.mp3]	origin, source, history, derivation, reason, destiny<br> <b>由来</b> <br> (ゆらい)
(<b>指定</b>) 彼は指定された場所に到着しました。	[sound:s-3248_彼は指定された場所に到着しました。.mp3] <br> かれはしていされたばしょにとうちゃくしました。 <br> He arrived at the designated location.
[sound:s-3238_四十七士は忠義の士として知られています。.mp3]	(<b>四十七士</b>) 四十七士は忠義の士として知られています。<br> よんじゅうしちしはちゅうぎのしとしてしられています。 <br>The forty-seven loyal retainers are known for their loyalty.	
自由経済	[sound:k-3249_自由経済.mp3]<br>じゆうけいざい <br> free economy
free economy	<b>自由経済<b> <br> じゆうけいざい <br>[sound:k-3249_自由経済.mp3]
[sound:k-3249_自由経済.mp3]	free economy<br> <b>自由経済</b> <br> (じゆうけいざい)
(<b>定期</b>) 彼は定期的にジムに通っています。	[sound:s-3249_彼は定期的にジムに通っています。.mp3] <br> かれはていきてきにじむにかよっています。 <br> He goes to the gym regularly.
[sound:s-3239_会社は四半期ごとに業績を報告します。.mp3]	(<b>四半期</b>) 会社は四半期ごとに業績を報告します。<br> かいしゃはしさんぎごとにぎょうせきをほうこくします。 <br>The company reports its performance every quarter.	
演説	[sound:k-3250_演説.mp3]<br>えんぜつ <br> speech, address
speech, address	<b>演説<b> <br> えんぜつ <br>[sound:k-3250_演説.mp3]
[sound:k-3250_演説.mp3]	speech, address<br> <b>演説</b> <br> (えんぜつ)
(<b>今</b>) 今、何をしていますか？	[sound:s-3250_今、何をしていますか？.mp3] <br> いま、なにをしていますか？	What are you doing now?
[sound:s-3240_両国は平和協定に署名しました。.mp3]	(<b>協定</b>) 両国は平和協定に署名しました。<br> りょうこくはへいわきょうていにしょめいしました。 <br>The two countries signed a peace agreement.	
説明	[sound:k-3251_説明.mp3]<br>せつめい <br> explanation, exposition
explanation, exposition	<b>説明<b> <br> せつめい <br>[sound:k-3251_説明.mp3]
[sound:k-3251_説明.mp3]	explanation, exposition<br> <b>説明</b> <br> (せつめい)
(<b>今や</b>) この地域は今や観光名所となっています。	[sound:s-3251_この地域は今や観光名所となっています。.mp3] <br> このちいきはいまやかんこうめいしょとなっています。 <br> This area has now become a tourist attraction.
[sound:s-3241_彼の選択は最終的な決定です。.mp3]	(<b>決定</b>) 彼の選択は最終的な決定です。<br> かれのせんたくはさいしゅうてきなけっていです。 <br>His decision is final.	
小説	[sound:k-3252_小説.mp3]<br>しょうせつ <br> novel, (short) story
novel, (short) story	<b>小説<b> <br> しょうせつ <br>[sound:k-3252_小説.mp3]
[sound:k-3252_小説.mp3]	novel,<br> <b>short) story (小説</b> <br> (しょうせつ)
(<b>今回</b>) 今回のイベントは大成功でした。	[sound:s-3252_今回のイベントは大成功でした。.mp3] <br> こんかいのいべんとはたいせいこうでした。 <br> This event was a great success.
[sound:s-3242_明日の予定を教えてください。.mp3]	(<b>予定</b>) 明日の予定を教えてください。<br> あしたのよていをおしえてください。 <br>Please tell me tomorrow's schedule.	
解説	[sound:k-3253_解説.mp3]<br>かいせつ <br> explanation, commentary, exposition, elucidation
explanation, commentary, exposition, elucidation	<b>解説<b> <br> かいせつ <br>[sound:k-3253_解説.mp3]
[sound:k-3253_解説.mp3]	explanation, commentary, exposition, elucidation<br> <b>解説</b> <br> (かいせつ)
(<b>今月</b>) 今月の予定を確認しましょう。	[sound:s-3253_今月の予定を確認しましょう。.mp3] <br> こんげつのよていをかくにんしましょう。 <br> Let's check this month's schedule.
[sound:s-3243_政府は経済の安定を目指しています。.mp3]	(<b>安定</b>) 政府は経済の安定を目指しています。<br> せいふはけいざいのあんていをめざしています。 <br>The government aims for economic stability.	
説得	[sound:k-3254_説得.mp3]<br>せっとく <br> persuasion
persuasion	<b>説得<b> <br> せっとく <br>[sound:k-3254_説得.mp3]
[sound:k-3254_説得.mp3]	persuasion<br> <b>説得</b> <br> (せっとく)
(<b>今後</b>) このプロジェクトの今後の展望を考えましょう。	[sound:s-3254_このプロジェクトの今後の展望を考えましょう。.mp3] <br> このぷろじぇくとのこんごのてんぼうをかんがえましょう。 <br> Let's think about the future prospects of this project.
[sound:s-3244_暫定的な解決策を見つけなければなりません。.mp3]	(<b>暫定</b>) 暫定的な解決策を見つけなければなりません。<br> さんていてきなかいけつさくをみつけなければなりません。 <br>We need to find a temporary solution.	
伝説	[sound:k-3255_伝説.mp3]<br>でんせつ <br> tradition, legend, folklore
tradition, legend, folklore	<b>伝説<b> <br> でんせつ <br>[sound:k-3255_伝説.mp3]
[sound:k-3255_伝説.mp3]	tradition, legend, folklore<br> <b>伝説</b> <br> (でんせつ)
(<b>今年</b>) 今年は暑い夏になるかもしれません。	[sound:s-3255_今年は暑い夏になるかもしれません。.mp3] <br> ことしはあついなつになるかもしれません。 <br> This year might be a hot summer.
[sound:s-3245_この容器には定数の量しか入れられません。.mp3]	(<b>定数</b>) この容器には定数の量しか入れられません。<br> このようきにはていすうのりょうしかいれられません。 <br>Only a fixed amount can be put into this container.	
遊説	[sound:k-3256_遊説.mp3]<br>ゆうぜい <br> election tour, election campaign, stumping
election tour, election campaign, stumping	<b>遊説<b> <br> ゆうぜい <br>[sound:k-3256_遊説.mp3]
[sound:k-3256_遊説.mp3]	election tour, election campaign, stumping<br> <b>遊説</b> <br> (ゆうぜい)
(<b>今度</b>) 今度の週末は友達と旅行します。	[sound:s-3256_今度の週末は友達と旅行します。.mp3] <br> こんどのしゅうまつはともだちとりょこうします。 <br> I'm going on a trip with friends this weekend.
[sound:s-3246_成功するためには一定の努力が必要です。.mp3]	(<b>一定</b>) 成功するためには一定の努力が必要です。<br> せいこうするためにはいっていのどりょくがひつようです。 <br>A certain level of effort is required to succeed.	
力説	[sound:k-3257_力説.mp3]<br>りきせつ <br> insistence, (major) emphasis, stress
insistence, (major) emphasis, stress	<b>力説<b> <br> りきせつ <br>[sound:k-3257_力説.mp3]
[sound:k-3257_力説.mp3]	insistence,<br> <b>major) emphasis, stress (力説</b> <br> (りきせつ)
(<b>今日</b>) 今日は忙しい一日でした。	[sound:s-3257_今日は忙しい一日でした。.mp3] <br> きょうはいそがしいいちにちでした。 <br> Today was a busy day.
[sound:s-3247_その会社は厳格な規定を持っています。.mp3]	(<b>規定</b>) その会社は厳格な規定を持っています。<br> そのかいしゃはけんかくなきていをもっています。 <br>The company has strict regulations.	
社説	[sound:k-3258_社説.mp3]<br>しゃせつ <br> editorial, leading article
editorial, leading article	<b>社説<b> <br> しゃせつ <br>[sound:k-3258_社説.mp3]
[sound:k-3258_社説.mp3]	editorial, leading article<br> <b>社説</b> <br> (しゃせつ)
(<b>今季</b>) 今季のトレンドは花柄です。	[sound:s-3258_今季のトレンドは花柄です。.mp3] <br> こんきのとれんどははながらです。 <br> The trend this season is floral patterns.
[sound:s-3248_彼は指定された場所に到着しました。.mp3]	(<b>指定</b>) 彼は指定された場所に到着しました。<br> かれはしていされたばしょにとうちゃくしました。 <br>He arrived at the designated location.	
論説	[sound:k-3259_論説.mp3]<br>ろんせつ <br> editorial, dissertation
editorial, dissertation	<b>論説<b> <br> ろんせつ <br>[sound:k-3259_論説.mp3]
[sound:k-3259_論説.mp3]	editorial, dissertation<br> <b>論説</b> <br> (ろんせつ)
(<b>今春</b>) 今春は暖かい天気が続いています。	[sound:s-3259_今春は暖かい天気が続いています。.mp3] <br> こんしゅんはあたたかいてんきがつづいています。 <br> Warm weather has continued this spring.
[sound:s-3249_彼は定期的にジムに通っています。.mp3]	(<b>定期</b>) 彼は定期的にジムに通っています。<br> かれはていきてきにじむにかよっています。 <br>He goes to the gym regularly.	
運転	[sound:k-3260_運転.mp3]<br>うんてん <br> operation, motion, driving
operation, motion, driving	<b>運転<b> <br> うんてん <br>[sound:k-3260_運転.mp3]
[sound:k-3260_運転.mp3]	operation, motion, driving<br> <b>運転</b> <br> (うんてん)
(<b>回</b>) 今日は何回目の訪問ですか？	[sound:s-3260_今日は何回目の訪問ですか？.mp3] <br> きょうはなんかいめのほうもんですか？	How many times have you visited today?
[sound:s-3250_今、何をしていますか？.mp3]	(<b>今</b>) 今、何をしていますか？	いま、なにをしていますか？ <br>What are you doing now?
転換	[sound:k-3261_転換.mp3]<br>てんかん <br> convert, divert
convert, divert	<b>転換<b> <br> てんかん <br>[sound:k-3261_転換.mp3]
[sound:k-3261_転換.mp3]	convert, divert<br> <b>転換</b> <br> (てんかん)
(<b>回復</b>) 彼の健康は回復しています。	[sound:s-3261_彼の健康は回復しています。.mp3] <br> かれのけんこうはかいふくしています。 <br> His health is improving.
[sound:s-3251_この地域は今や観光名所となっています。.mp3]	(<b>今や</b>) この地域は今や観光名所となっています。<br> このちいきはいまやかんこうめいしょとなっています。 <br>This area has now become a tourist attraction.	
逆転	[sound:k-3262_逆転.mp3]<br>ぎゃくてん <br> (sudden) change, reversal, turn-around, coming from behind (baseball)
(sudden) change, reversal, turn-around, coming from behind (baseball)	<b>逆転<b> <br> ぎゃくてん <br>[sound:k-3262_逆転.mp3]
[sound:k-3262_逆転.mp3]	(sudden) change, reversal, turn-around, coming from behind<br> <b>baseball) (逆転</b> <br> (ぎゃくてん)
(<b>回答</b>) 彼は質問に丁寧に回答しました。	[sound:s-3262_彼は質問に丁寧に回答しました。.mp3] <br> かれはしつもんにていねいにかいとうしました。 <br> He answered the question politely.
[sound:s-3252_今回のイベントは大成功でした。.mp3]	(<b>今回</b>) 今回のイベントは大成功でした。<br> こんかいのいべんとはたいせいこうでした。 <br>This event was a great success.	
移転	[sound:k-3263_移転.mp3]<br>いてん <br> moving, transfer, demise
moving, transfer, demise	<b>移転<b> <br> いてん <br>[sound:k-3263_移転.mp3]
[sound:k-3263_移転.mp3]	moving, transfer, demise<br> <b>移転</b> <br> (いてん)
(<b>前回</b>) 前回の会議の議事録を見直しましたか？	[sound:s-3263_前回の会議の議事録を見直しましたか？.mp3] <br> ぜんかいのかいぎのぎしろくをみなおしましたか？	Did you review the minutes of the previous meeting?
[sound:s-3253_今月の予定を確認しましょう。.mp3]	(<b>今月</b>) 今月の予定を確認しましょう。<br> こんげつのよていをかくにんしましょう。 <br>Let's check this month's schedule.	
運転手	[sound:k-3264_運転手.mp3]<br>うんてんしゅ <br> driver, chauffeur
driver, chauffeur	<b>運転手<b> <br> うんてんしゅ <br>[sound:k-3264_運転手.mp3]
[sound:k-3264_運転手.mp3]	driver, chauffeur<br> <b>運転手</b> <br> (うんてんしゅ)
(<b>回戦</b>) 彼らは次の回戦に向けて練習しています。	[sound:s-3264_彼らは次の回戦に向けて練習しています。.mp3] <br> かれらはつきのかいせんにむけてれんしゅうしています。 <br> They are practicing for the next match.
[sound:s-3254_このプロジェクトの今後の展望を考えましょう。.mp3]	(<b>今後</b>) このプロジェクトの今後の展望を考えましょう。<br> このぷろじぇくとのこんごのてんぼうをかんがえましょう。 <br>Let's think about the future prospects of this project.	
自転車	[sound:k-3265_自転車.mp3]<br>じてんしゃ, じでんしゃ <br> bicycle
bicycle	<b>自転車<b> <br> じてんしゃ, じでんしゃ <br>[sound:k-3265_自転車.mp3]
[sound:k-3265_自転車.mp3]	bicycle<br> <b>自転車</b> <br> (じてんしゃ, じでんしゃ)
(<b>一回</b>) 一回だけチャンスを与えてください。	[sound:s-3265_一回だけチャンスを与えてください。.mp3] <br> いっかいだけちゃんすをあたえてください。 <br> Please give me only one chance.
[sound:s-3255_今年は暑い夏になるかもしれません。.mp3]	(<b>今年</b>) 今年は暑い夏になるかもしれません。<br> ことしはあついなつになるかもしれません。 <br>This year might be a hot summer.	
