[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
remnant, residue, remaining, left-over	<b>残り<b> <br> のこり <br>[sound:k-3790_残り.mp3]
[sound:k-3790_残り.mp3]	remnant, residue, remaining, left-over<br> <b>残り</b> <br> (のこり)
(<b>作業</b>) 作業中にケガをしないように注意してください。	[sound:s-3790_作業中にケガをしないように注意してください。.mp3] <br> さぎょうちゅうにけがをしないようにちゅういしてください。 <br> Please be careful not to get injured during the work.
[sound:s-3780_彼は将来医者になりたいと思っています。.mp3]	(<b>将来</b>) 彼は将来医者になりたいと思っています。<br> かれはしょうらいいしゃになりたいとおもっています。 <br>He wants to become a doctor in the future.	
残す	[sound:k-3791_残す.mp3]<br>のこす <br> to leave (behind, over), to bequeath, to save, to reserve
to leave (behind, over), to bequeath, to save, to reserve	<b>残す<b> <br> のこす <br>[sound:k-3791_残す.mp3]
[sound:k-3791_残す.mp3]	to leave<br> <b>behind, over), to bequeath, to save, to reserve (残す</b> <br> (のこす)
(<b>作品</b>) 彼の作品は美術館で展示されています。	[sound:s-3791_彼の作品は美術館で展示されています。.mp3] <br> かれのさくひんはびじゅつかんでてんじされています。 <br> His works are on display at the art museum.
[sound:s-3781_来年はオリンピックが開催されます。.mp3]	(<b>来年</b>) 来年はオリンピックが開催されます。<br> らいねんはおりんぴっくがかいさいされます。 <br>The Olympics will be held next year.	
残った分	[sound:k-3792_残った分.mp3]<br>のこったぶん <br> amount left over
amount left over	<b>残った分<b> <br> のこったぶん <br>[sound:k-3792_残った分.mp3]
[sound:k-3792_残った分.mp3]	amount left over<br> <b>残った分</b> <br> (のこったぶん)
(<b>作家</b>) 彼は有名な小説家です。	[sound:s-3792_彼は有名な小説家です。.mp3] <br> かれはゆうめいなしょうせつかです。 <br> He is a famous novelist.
[sound:s-3782_本来の目的を忘れてはいけません。.mp3]	(<b>本来</b>) 本来の目的を忘れてはいけません。<br> ほんらいのもくてきをわすれてはいけません。 <br>Don't forget the original purpose.	
残念	[sound:k-3793_残念.mp3]<br>ざんねん <br> deplorable, bad luck, regret, disappointment
deplorable, bad luck, regret, disappointment	<b>残念<b> <br> ざんねん <br>[sound:k-3793_残念.mp3]
[sound:k-3793_残念.mp3]	deplorable, bad luck, regret, disappointment<br> <b>残念</b> <br> (ざんねん)
(<b>作戦</b>) 彼らは独自の作戦を立てました。	[sound:s-3793_彼らは独自の作戦を立てました。.mp3] <br> かれらはどくじのさくせんをたてました。 <br> They devised their own strategy.
[sound:s-3783_来月は新しいプロジェクトが始まります。.mp3]	(<b>来月</b>) 来月は新しいプロジェクトが始まります。<br> らいげつはあたらしいぷろじぇくとがはじまります。 <br>A new project will start next month.	
残留	[sound:k-3794_残留.mp3]<br>ざんりゅう <br> residual, residue; stay behind, stay back
residual, residue; stay behind, stay back	<b>残留<b> <br> ざんりゅう <br>[sound:k-3794_残留.mp3]
[sound:k-3794_残留.mp3]	residual, residue; stay behind, stay back<br> <b>残留</b> <br> (ざんりゅう)
(<b>制作</b>) この映画は有名な監督によって制作されました。	[sound:s-3794_この映画は有名な監督によって制作されました。.mp3] <br> このえいがはゆうめいなかんとくによってせいさくされました。 <br> This movie was produced by a famous director.
[sound:s-3784_来月、彼は日本に来日する予定です。.mp3]	(<b>来日</b>) 来月、彼は日本に来日する予定です。<br> らいげつ、かれはにほんにらいにちするよていです。 <br>He is planning to visit Japan next month.	
残高	[sound:k-3795_残高.mp3]<br>ざんだか <br> (bank) balance, remainder
(bank) balance, remainder	<b>残高<b> <br> ざんだか <br>[sound:k-3795_残高.mp3]
[sound:k-3795_残高.mp3]	(bank) balance, remainder<br> <b>残高</b> <br> (ざんだか)
(<b>工作</b>) 彼は木工作品を販売しています。	[sound:s-3795_彼は木工作品を販売しています。.mp3] <br> かれはもっこうさくひんをはんばいしています。 <br> He sells wooden handicrafts.
[sound:s-3785_子供たちの未来を守るために何かしなければならない。.mp3]	(<b>未来</b>) 子供たちの未来を守るために何かしなければならない。<br> こどもたちのみらいをまもるためになにかしなければならない。 <br>We must do something to protect the future of our children.	
残業	[sound:k-3796_残業.mp3]<br>ざんぎょう <br> overtime (work)
overtime (work)	<b>残業<b> <br> ざんぎょう <br>[sound:k-3796_残業.mp3]
[sound:k-3796_残業.mp3]	overtime<br> <b>work) (残業</b> <br> (ざんぎょう)
(<b>作曲</b>) 彼は映画音楽の作曲家です。	[sound:s-3796_彼は映画音楽の作曲家です。.mp3] <br> かれはえいがおんがくのさっきょくかです。 <br> He is a composer of film music.
[sound:s-3786_来春、私たちは新しいプロジェクトを開始します。.mp3]	(<b>来春</b>) 来春、私たちは新しいプロジェクトを開始します。<br> らいしゅん、わたしたちはあたらしいぷろじぇくとをかいしします。 <br>We will start a new project next spring.	
生き残り	[sound:k-3797_生き残り.mp3]<br>いきのこり <br> survivor
survivor	<b>生き残り<b> <br> いきのこり <br>[sound:k-3797_生き残り.mp3]
[sound:k-3797_生き残り.mp3]	survivor<br> <b>生き残り</b> <br> (いきのこり)
(<b>可能性</b>) その計画が成功する可能性は高い。	[sound:s-3797_その計画が成功する可能性は高い。.mp3] <br> そのけいかくがせいこうするかのうせいはたかい。 <br> There is a high possibility of success for the plan.
[sound:s-3787_彼の最新の作品は大ヒットしました。.mp3]	(<b>作</b>) 彼の最新の作品は大ヒットしました。<br> かれのさいしんのさくひんはだいひっとしました。 <br>His latest work was a big hit.	
残る	[sound:k-3798_残る.mp3]<br>のこる <br> to remain, to be left
to remain, to be left	<b>残る<b> <br> のこる <br>[sound:k-3798_残る.mp3]
[sound:k-3798_残る.mp3]	to remain, to be left<br> <b>残る</b> <br> (のこる)
(<b>女性</b>) その会社のCEOは女性です。	[sound:s-3798_その会社のCEOは女性です。.mp3] <br> そのかいしゃのCEOはじょせいです。 <br> The CEO of the company is a woman.
[sound:s-3788_彼は毎日自分の朝食を作ります。.mp3]	(<b>作る</b>) 彼は毎日自分の朝食を作ります。<br> かれはまいにちじぶんのちょうしょくをつくります。 <br>He makes his own breakfast every day.	
取り残す	[sound:k-3799_取り残す.mp3]<br>とりのこす <br> to leave behind
to leave behind	<b>取り残す<b> <br> とりのこす <br>[sound:k-3799_取り残す.mp3]
[sound:k-3799_取り残す.mp3]	to leave behind<br> <b>取り残す</b> <br> (とりのこす)
(<b>男性</b>) 男性と女性の平等な機会を提供します。	[sound:s-3799_男性と女性の平等な機会を提供します。.mp3] <br> だんせいとじょせいのびょうどうなきかいをていきょうします。 <br> It provides equal opportunities for men and women.
[sound:s-3789_その映画のセットは手作りです。.mp3]	(<b>作り</b>) その映画のセットは手作りです。<br> そのえいがのせっとはてづくりです。 <br>The sets for the movie are handmade.	
構想	[sound:k-3800_構想.mp3]<br>こうそう <br> plan, plot, idea, conception
plan, plot, idea, conception	<b>構想<b> <br> こうそう <br>[sound:k-3800_構想.mp3]
[sound:k-3800_構想.mp3]	plan, plot, idea, conception<br> <b>構想</b> <br> (こうそう)
(<b>性格</b>) 彼女は穏やかな性格です。	[sound:s-3800_彼女は穏やかな性格です。.mp3] <br> かのじょはおだやかなせいかくです。 <br> She has a gentle personality.
[sound:s-3790_作業中にケガをしないように注意してください。.mp3]	(<b>作業</b>) 作業中にケガをしないように注意してください。<br> さぎょうちゅうにけがをしないようにちゅういしてください。 <br>Please be careful not to get injured during the work.	
予想	[sound:k-3801_予想.mp3]<br>よそう <br> expectation, anticipation, prediction, forecast
expectation, anticipation, prediction, forecast	<b>予想<b> <br> よそう <br>[sound:k-3801_予想.mp3]
[sound:k-3801_予想.mp3]	expectation, anticipation, prediction, forecast<br> <b>予想</b> <br> (よそう)
(<b>必要性</b>) その政策の必要性を理解していません。	[sound:s-3801_その政策の必要性を理解していません。.mp3] <br> そのせいさくのひつようせいをりかいしていません。 <br> He does not understand the necessity of the policy.
[sound:s-3791_彼の作品は美術館で展示されています。.mp3]	(<b>作品</b>) 彼の作品は美術館で展示されています。<br> かれのさくひんはびじゅつかんでてんじされています。 <br>His works are on display at the art museum.	
思想	[sound:k-3802_思想.mp3]<br>しそう <br> thought, idea, ideology
thought, idea, ideology	<b>思想<b> <br> しそう <br>[sound:k-3802_思想.mp3]
[sound:k-3802_思想.mp3]	thought, idea, ideology<br> <b>思想</b> <br> (しそう)
(<b>活性</b>) 酵素は生物の活性を促進します。	[sound:s-3802_酵素は生物の活性を促進します。.mp3] <br> こうそはせいぶつのかっせいをそくしんします。 <br> Enzymes stimulate the activity of organisms.
[sound:s-3792_彼は有名な小説家です。.mp3]	(<b>作家</b>) 彼は有名な小説家です。<br> かれはゆうめいなしょうせつかです。 <br>He is a famous novelist.	
感想	[sound:k-3803_感想.mp3]<br>かんそう <br> impressions, thoughts
impressions, thoughts	<b>感想<b> <br> かんそう <br>[sound:k-3803_感想.mp3]
[sound:k-3803_感想.mp3]	impressions, thoughts<br> <b>感想</b> <br> (かんそう)
(<b>個性</b>) それぞれの人には独自の個性があります。	[sound:s-3803_それぞれの人には独自の個性があります。.mp3] <br> それぞれのひとにはどくじのこせいがあります。 <br> Each person has their own individuality.
[sound:s-3793_彼らは独自の作戦を立てました。.mp3]	(<b>作戦</b>) 彼らは独自の作戦を立てました。<br> かれらはどくじのさくせんをたてました。 <br>They devised their own strategy.	
発想	[sound:k-3804_発想.mp3]<br>はっそう <br> expression (e.g. in music), idea, conception
expression (e.g. in music), idea, conception	<b>発想<b> <br> はっそう <br>[sound:k-3804_発想.mp3]
[sound:k-3804_発想.mp3]	expression<br> <b>e.g. in music), idea, conception (発想</b> <br> (はっそう)
(<b>急性</b>) 彼の病気は急性であり、治療が必要です。	[sound:s-3804_彼の病気は急性であり、治療が必要です。.mp3] <br> かれのびょうきはきゅうせいであり、ちりょうがひつようです。 <br> His illness is acute and requires treatment.
[sound:s-3794_この映画は有名な監督によって制作されました。.mp3]	(<b>制作</b>) この映画は有名な監督によって制作されました。<br> このえいがはゆうめいなかんとくによってせいさくされました。 <br>This movie was produced by a famous director.	
理想	[sound:k-3805_理想.mp3]<br>りそう <br> ideal, dream
ideal, dream	<b>理想<b> <br> りそう <br>[sound:k-3805_理想.mp3]
[sound:k-3805_理想.mp3]	ideal, dream<br> <b>理想</b> <br> (りそう)
(<b>放射性</b>) 放射性物質は危険です。	[sound:s-3805_放射性物質は危険です。.mp3] <br> ほうしゃせいぶっしつはきけんです。 <br> Radioactive substances are dangerous.
[sound:s-3795_彼は木工作品を販売しています。.mp3]	(<b>工作</b>) 彼は木工作品を販売しています。<br> かれはもっこうさくひんをはんばいしています。 <br>He sells wooden handicrafts.	
想像	[sound:k-3806_想像.mp3]<br>そうぞう <br> imagination, guess
imagination, guess	<b>想像<b> <br> そうぞう <br>[sound:k-3806_想像.mp3]
[sound:k-3806_想像.mp3]	imagination, guess<br> <b>想像</b> <br> (そうぞう)
(<b>感性</b>) 彼女は芸術的な感性を持っています。	[sound:s-3806_彼女は芸術的な感性を持っています。.mp3] <br> かのじょはげいじゅつてきなかんせいをもっています。 <br> She has an artistic sensitivity.
[sound:s-3796_彼は映画音楽の作曲家です。.mp3]	(<b>作曲</b>) 彼は映画音楽の作曲家です。<br> かれはえいがおんがくのさっきょくかです。 <br>He is a composer of film music.	
幻想	[sound:k-3807_幻想.mp3]<br>げんそう <br> illusions
illusions	<b>幻想<b> <br> げんそう <br>[sound:k-3807_幻想.mp3]
[sound:k-3807_幻想.mp3]	illusions<br> <b>幻想</b> <br> (げんそう)
(<b>具体的</b>) 彼は具体的な計画を立てた。	[sound:s-3807_彼は具体的な計画を立てた。.mp3] <br> かれはぐたいてきなけいかくをたてた。 <br> He made a specific plan.
[sound:s-3797_その計画が成功する可能性は高い。.mp3]	(<b>可能性</b>) その計画が成功する可能性は高い。<br> そのけいかくがせいこうするかのうせいはたかい。 <br>There is a high possibility of success for the plan.	
予想外	[sound:k-3808_予想外.mp3]<br>よそうがい <br> unexpected, unforeseen, strange
unexpected, unforeseen, strange	<b>予想外<b> <br> よそうがい <br>[sound:k-3808_予想外.mp3]
[sound:k-3808_予想外.mp3]	unexpected, unforeseen, strange<br> <b>予想外</b> <br> (よそうがい)
(<b>積極的</b>) 彼は積極的なアプローチを取りました。	[sound:s-3808_彼は積極的なアプローチを取りました。.mp3] <br> かれはせっきょくてきなあぷろーちをとりました。 <br> He took a proactive approach.
[sound:s-3798_その会社のCEOは女性です。.mp3]	(<b>女性</b>) その会社のCEOは女性です。<br> そのかいしゃのCEOはじょせいです。 <br>The CEO of the company is a woman.	
想定	[sound:k-3809_想定.mp3]<br>そうてい <br> hypothesis, supposition, assumption
hypothesis, supposition, assumption	<b>想定<b> <br> そうてい <br>[sound:k-3809_想定.mp3]
[sound:k-3809_想定.mp3]	hypothesis, supposition, assumption<br> <b>想定</b> <br> (そうてい)
(<b>目的</b>) その旅行の目的はリフレッシュです。	[sound:s-3809_その旅行の目的はリフレッシュです。.mp3] <br> そのりょこうのもくてきはりふれっしゅです。 <br> The purpose of the trip is to refresh.
[sound:s-3799_男性と女性の平等な機会を提供します。.mp3]	(<b>男性</b>) 男性と女性の平等な機会を提供します。<br> だんせいとじょせいのびょうどうなきかいをていきょうします。 <br>It provides equal opportunities for men and women.	
線	[sound:k-3810_線.mp3]<br>せん <br> line (also telephone, railway), wire, beam
line (also telephone, railway), wire, beam	<b>線<b> <br> せん <br>[sound:k-3810_線.mp3]
[sound:k-3810_線.mp3]	line<br> <b>also telephone, railway), wire, beam (線</b> <br> (せん)
(<b>国際的</b>) その問題は国際的な議論の対象です。	[sound:s-3810_その問題は国際的な議論の対象です。.mp3] <br> そのもんだいはこくさいてきなぎろんのたいしょうです。 <br> The issue is the subject of international debate.
[sound:s-3800_彼女は穏やかな性格です。.mp3]	(<b>性格</b>) 彼女は穏やかな性格です。<br> かのじょはおだやかなせいかくです。 <br>She has a gentle personality.	
路線	[sound:k-3811_路線.mp3]<br>ろせん <br> route, line, alignment
route, line, alignment	<b>路線<b> <br> ろせん <br>[sound:k-3811_路線.mp3]
[sound:k-3811_路線.mp3]	route, line, alignment<br> <b>路線</b> <br> (ろせん)
(<b>基本的</b>) 基本的なルールを守ることが大切です。	[sound:s-3811_基本的なルールを守ることが大切です。.mp3] <br> きほんてきなるーるをまもることがたいせつです。 <br> It's important to follow basic rules.
[sound:s-3801_その政策の必要性を理解していません。.mp3]	(<b>必要性</b>) その政策の必要性を理解していません。<br> そのせいさくのひつようせいをりかいしていません。 <br>He does not understand the necessity of the policy.	
新幹線	[sound:k-3812_新幹線.mp3]<br>しんかんせん <br> bullet train (very high speed), Shinkansen
bullet train (very high speed), Shinkansen	<b>新幹線<b> <br> しんかんせん <br>[sound:k-3812_新幹線.mp3]
[sound:k-3812_新幹線.mp3]	bullet train<br> <b>very high speed), Shinkansen (新幹線</b> <br> (しんかんせん)
(<b>公的</b>) 公的機関は公共の福祉を担当します。	[sound:s-3812_公的機関は公共の福祉を担当します。.mp3] <br> こうてききかんはこうきょうのふくしをたんとうします。 <br> Public institutions are responsible for public welfare.
[sound:s-3802_酵素は生物の活性を促進します。.mp3]	(<b>活性</b>) 酵素は生物の活性を促進します。<br> こうそはせいぶつのかっせいをそくしんします。 <br>Enzymes stimulate the activity of organisms.	
打線	[sound:k-3813_打線.mp3]<br>だせん <br> baseball lineup
baseball lineup	<b>打線<b> <br> だせん <br>[sound:k-3813_打線.mp3]
[sound:k-3813_打線.mp3]	baseball lineup<br> <b>打線</b> <br> (だせん)
(<b>政治的</b>) 彼の政治的見解は知られています。	[sound:s-3813_彼の政治的見解は知られています。.mp3] <br> かれのせいじてきけんかいはしられています。 <br> His political views are known.
[sound:s-3803_それぞれの人には独自の個性があります。.mp3]	(<b>個性</b>) それぞれの人には独自の個性があります。<br> それぞれのひとにはどくじのこせいがあります。 <br>Each person has their own individuality.	
戦線	[sound:k-3814_戦線.mp3]<br>せんせん <br> (war) front
(war) front	<b>戦線<b> <br> せんせん <br>[sound:k-3814_戦線.mp3]
[sound:k-3814_戦線.mp3]	(war) front<br> <b>戦線</b> <br> (せんせん)
(<b>本格的</b>) 彼らは本格的な調査を行いました。	[sound:s-3814_彼らは本格的な調査を行いました。.mp3] <br> かれらはほんかくてきなちょうさをおこないました。 <br> They conducted a thorough investigation.
[sound:s-3804_彼の病気は急性であり、治療が必要です。.mp3]	(<b>急性</b>) 彼の病気は急性であり、治療が必要です。<br> かれのびょうきはきゅうせいであり、ちりょうがひつようです。 <br>His illness is acute and requires treatment.	
三十八度線	[sound:k-3815_三十八度線.mp3]<br>さんじゅうはちどせん <br> the Thirty-eighth Parallel
the Thirty-eighth Parallel	<b>三十八度線<b> <br> さんじゅうはちどせん <br>[sound:k-3815_三十八度線.mp3]
[sound:k-3815_三十八度線.mp3]	the Thirty-eighth Parallel<br> <b>三十八度線</b> <br> (さんじゅうはちどせん)
(<b>最終的</b>) 最終的な決定は明日行われます。	[sound:s-3815_最終的な決定は明日行われます。.mp3] <br> さいしゅうてきなけっていはあしたおこなわれます。 <br> The final decision will be made tomorrow.
[sound:s-3805_放射性物質は危険です。.mp3]	(<b>放射性</b>) 放射性物質は危険です。<br> ほうしゃせいぶっしつはきけんです。 <br>Radioactive substances are dangerous.	
無線	[sound:k-3816_無線.mp3]<br>むせん <br> wireless, radio
wireless, radio	<b>無線<b> <br> むせん <br>[sound:k-3816_無線.mp3]
[sound:k-3816_無線.mp3]	wireless, radio<br> <b>無線</b> <br> (むせん)
(<b>圧倒的</b>) 彼の成功は圧倒的なものでした。	[sound:s-3816_彼の成功は圧倒的なものでした。.mp3] <br> かれのせいこうはあっとうてきなものでした。 <br> His success was overwhelming.
[sound:s-3806_彼女は芸術的な感性を持っています。.mp3]	(<b>感性</b>) 彼女は芸術的な感性を持っています。<br> かのじょはげいじゅつてきなかんせいをもっています。 <br>She has an artistic sensitivity.	
一線	[sound:k-3817_一線.mp3]<br>いっせん <br> line
line	<b>一線<b> <br> いっせん <br>[sound:k-3817_一線.mp3]
[sound:k-3817_一線.mp3]	line<br> <b>一線</b> <br> (いっせん)
(<b>重要</b>) その会議は重要な決定を下します。	[sound:s-3817_その会議は重要な決定を下します。.mp3] <br> そのかいぎはじゅうようなけっていをくだします。 <br> The meeting makes important decisions.
[sound:s-3807_彼は具体的な計画を立てた。.mp3]	(<b>具体的</b>) 彼は具体的な計画を立てた。<br> かれはぐたいてきなけいかくをたてた。 <br>He made a specific plan.	
回線	[sound:k-3818_回線.mp3]<br>かいせん <br> circuit, line
circuit, line	<b>回線<b> <br> かいせん <br>[sound:k-3818_回線.mp3]
[sound:k-3818_回線.mp3]	circuit, line<br> <b>回線</b> <br> (かいせん)
(<b>必要</b>) 彼には休息が必要です。	[sound:s-3818_彼には休息が必要です。.mp3] <br> かれにはきゅうそくがひつようです。 <br> He needs rest.
[sound:s-3808_彼は積極的なアプローチを取りました。.mp3]	(<b>積極的</b>) 彼は積極的なアプローチを取りました。<br> かれはせっきょくてきなあぷろーちをとりました。 <br>He took a proactive approach.	
視線	[sound:k-3819_視線.mp3]<br>しせん <br> one's eyes, glance, look
one's eyes, glance, look	<b>視線<b> <br> しせん <br>[sound:k-3819_視線.mp3]
[sound:k-3819_視線.mp3]	one's eyes, glance, look<br> <b>視線</b> <br> (しせん)
(<b>要求</b>) 彼の要求は合理的ではない。	[sound:s-3819_彼の要求は合理的ではない。.mp3] <br> かれのようきゅうはごうりてきではない。 <br> His demands are not reasonable.
[sound:s-3809_その旅行の目的はリフレッシュです。.mp3]	(<b>目的</b>) その旅行の目的はリフレッシュです。<br> そのりょこうのもくてきはりふれっしゅです。 <br>The purpose of the trip is to refresh.	
比率	[sound:k-3820_比率.mp3]<br>ひりつ <br> ratio, proportion, percentage
ratio, proportion, percentage	<b>比率<b> <br> ひりつ <br>[sound:k-3820_比率.mp3]
[sound:k-3820_比率.mp3]	ratio, proportion, percentage<br> <b>比率</b> <br> (ひりつ)
(<b>主要</b>) このプロジェクトの主要な目的は何ですか？	[sound:s-3820_このプロジェクトの主要な目的は何ですか？.mp3] <br> このぷろじぇくとのしゅようなもくてきはなんですか？	What are the main objectives of this project?
[sound:s-3810_その問題は国際的な議論の対象です。.mp3]	(<b>国際的</b>) その問題は国際的な議論の対象です。<br> そのもんだいはこくさいてきなぎろんのたいしょうです。 <br>The issue is the subject of international debate.	
効率	[sound:k-3821_効率.mp3]<br>こうりつ <br> efficiency, efficacy, performance, utility factor
efficiency, efficacy, performance, utility factor	<b>効率<b> <br> こうりつ <br>[sound:k-3821_効率.mp3]
[sound:k-3821_効率.mp3]	efficiency, efficacy, performance, utility factor<br> <b>効率</b> <br> (こうりつ)
(<b>需要</b>) この商品には高い需要があります。	[sound:s-3821_この商品には高い需要があります。.mp3] <br> このしょうひんにはたかいじゅようがあります。 <br> There is high demand for this product.
[sound:s-3811_基本的なルールを守ることが大切です。.mp3]	(<b>基本的</b>) 基本的なルールを守ることが大切です。<br> きほんてきなるーるをまもることがたいせつです。 <br>It's important to follow basic rules.	
税率	[sound:k-3822_税率.mp3]<br>ぜいりつ <br> tariff; tax rate
tariff; tax rate	<b>税率<b> <br> ぜいりつ <br>[sound:k-3822_税率.mp3]
[sound:k-3822_税率.mp3]	tariff; tax rate<br> <b>税率</b> <br> (ぜいりつ)
(<b>要請</b>) 彼は援助を要請しました。	[sound:s-3822_彼は援助を要請しました。.mp3] <br> かれはえんじょをようせいしました。 <br> He requested assistance.
[sound:s-3812_公的機関は公共の福祉を担当します。.mp3]	(<b>公的</b>) 公的機関は公共の福祉を担当します。<br> こうてききかんはこうきょうのふくしをたんとうします。 <br>Public institutions are responsible for public welfare.	
視聴率	[sound:k-3823_視聴率.mp3]<br>しちょうりつ <br> ratings (of a television program) (programme)
ratings (of a television program) (programme)	<b>視聴率<b> <br> しちょうりつ <br>[sound:k-3823_視聴率.mp3]
[sound:k-3823_視聴率.mp3]	ratings<br> <b>of a television program) (programme) (視聴率</b> <br> (しちょうりつ)
(<b>必要性</b>) この計画の必要性を説明してください。	[sound:s-3823_この計画の必要性を説明してください。.mp3] <br> このけいかくのひつようせいをせつめいしてください。 <br> Please explain the necessity of this plan.
[sound:s-3813_彼の政治的見解は知られています。.mp3]	(<b>政治的</b>) 彼の政治的見解は知られています。<br> かれのせいじてきけんかいはしられています。 <br>His political views are known.	
伸び率	[sound:k-3824_伸び率.mp3]<br>のびりつ <br> growth rate, coefficient of extension
growth rate, coefficient of extension	<b>伸び率<b> <br> のびりつ <br>[sound:k-3824_伸び率.mp3]
[sound:k-3824_伸び率.mp3]	growth rate, coefficient of extension<br> <b>伸び率</b> <br> (のびりつ)
(<b>要因</b>) 成功の要因は何ですか？	[sound:s-3824_成功の要因は何ですか？.mp3] <br> せいこうのよういんはなんですか？	What are the factors for success?
[sound:s-3814_彼らは本格的な調査を行いました。.mp3]	(<b>本格的</b>) 彼らは本格的な調査を行いました。<br> かれらはほんかくてきなちょうさをおこないました。 <br>They conducted a thorough investigation.	
率直	[sound:k-3825_率直.mp3]<br>そっちょく <br> frankness, candour, candor, openheartedness
frankness, candour, candor, openheartedness	<b>率直<b> <br> そっちょく <br>[sound:k-3825_率直.mp3]
[sound:k-3825_率直.mp3]	frankness, candour, candor, openheartedness<br> <b>率直</b> <br> (そっちょく)
(<b>要員</b>) このプロジェクトの重要な要員を見つけるのは難しい。	[sound:s-3825_このプロジェクトの重要な要員を見つけるのは難しい。.mp3] <br> このぷろじぇくとのじゅうようなよういんをみつけるのはむずかしい。 <br> It's difficult to find key personnel for this project.
[sound:s-3815_最終的な決定は明日行われます。.mp3]	(<b>最終的</b>) 最終的な決定は明日行われます。<br> さいしゅうてきなけっていはあしたおこなわれます。 <br>The final decision will be made tomorrow.	
打率	[sound:k-3826_打率.mp3]<br>だりつ <br> batting average
batting average	<b>打率<b> <br> だりつ <br>[sound:k-3826_打率.mp3]
[sound:k-3826_打率.mp3]	batting average<br> <b>打率</b> <br> (だりつ)
(<b>要素</b>) 成功の要素は計画と実行にあります。	[sound:s-3826_成功の要素は計画と実行にあります。.mp3] <br> せいこうのようそはけいかくとじっこうにあります。 <br> The elements of success lie in planning and execution.
[sound:s-3816_彼の成功は圧倒的なものでした。.mp3]	(<b>圧倒的</b>) 彼の成功は圧倒的なものでした。<br> かれのせいこうはあっとうてきなものでした。 <br>His success was overwhelming.	
確率	[sound:k-3827_確率.mp3]<br>かくりつ <br> probability, likelihood, chances
probability, likelihood, chances	<b>確率<b> <br> かくりつ <br>[sound:k-3827_確率.mp3]
[sound:k-3827_確率.mp3]	probability, likelihood, chances<br> <b>確率</b> <br> (かくりつ)
(<b>雇用</b>) 雇用機会を増やすために政府は努力しています。	[sound:s-3827_雇用機会を増やすために政府は努力しています。.mp3] <br> こようきかいをふやすためにせいふはどりょくしています。 <br> The government is working to increase employment opportunities.
[sound:s-3817_その会議は重要な決定を下します。.mp3]	(<b>重要</b>) その会議は重要な決定を下します。<br> そのかいぎはじゅうようなけっていをくだします。 <br>The meeting makes important decisions.	
倍率	[sound:k-3828_倍率.mp3]<br>ばいりつ <br> magnification, leverage, amplification, scaling factor, scale factor
magnification, leverage, amplification, scaling factor, scale factor	<b>倍率<b> <br> ばいりつ <br>[sound:k-3828_倍率.mp3]
[sound:k-3828_倍率.mp3]	magnification, leverage, amplification, scaling factor, scale factor<br> <b>倍率</b> <br> (ばいりつ)
(<b>採用</b>) その企業は新しい従業員を採用しました。	[sound:s-3828_その企業は新しい従業員を採用しました。.mp3] <br> そのきぎょうはあたらしいじゅうぎょういんをさいようしました。 <br> The company hired new employees.
[sound:s-3818_彼には休息が必要です。.mp3]	(<b>必要</b>) 彼には休息が必要です。<br> かれにはきゅうそくがひつようです。 <br>He needs rest.	
利率	[sound:k-3829_利率.mp3]<br>りりつ <br> interest rate
interest rate	<b>利率<b> <br> りりつ <br>[sound:k-3829_利率.mp3]
[sound:k-3829_利率.mp3]	interest rate<br> <b>利率</b> <br> (りりつ)
(<b>使用</b>) この機械は簡単に使用できます。	[sound:s-3829_この機械は簡単に使用できます。.mp3] <br> このきかいはかんたんにしようできます。 <br> This machine is easy to use.
[sound:s-3819_彼の要求は合理的ではない。.mp3]	(<b>要求</b>) 彼の要求は合理的ではない。<br> かれのようきゅうはごうりてきではない。 <br>His demands are not reasonable.	
病院	[sound:k-3830_病院.mp3]<br>びょういん <br> hospital
hospital	<b>病院<b> <br> びょういん <br>[sound:k-3830_病院.mp3]
[sound:k-3830_病院.mp3]	hospital<br> <b>病院</b> <br> (びょういん)
(<b>費用</b>) プロジェクトの費用を見積もってください。	[sound:s-3830_プロジェクトの費用を見積もってください。.mp3] <br> ぷろじぇくとのひようをみつもってください。 <br> Please estimate the cost of the project.
[sound:s-3820_このプロジェクトの主要な目的は何ですか？.mp3]	(<b>主要</b>) このプロジェクトの主要な目的は何ですか？	このぷろじぇくとのしゅようなもくてきはなんですか？ <br>What are the main objectives of this project?
病気	[sound:k-3831_病気.mp3]<br>びょうき <br> illness, disease, sickness
illness, disease, sickness	<b>病気<b> <br> びょうき <br>[sound:k-3831_病気.mp3]
[sound:k-3831_病気.mp3]	illness, disease, sickness<br> <b>病気</b> <br> (びょうき)
(<b>利用</b>) この機会を最大限に利用しましょう。	[sound:s-3831_この機会を最大限に利用しましょう。.mp3] <br> このきかいをさいだいげんにりようしましょう。 <br> Let's make the most of this opportunity.
[sound:s-3821_この商品には高い需要があります。.mp3]	(<b>需要</b>) この商品には高い需要があります。<br> このしょうひんにはたかいじゅようがあります。 <br>There is high demand for this product.	
水俣病	[sound:k-3832_水俣病.mp3]<br>みなまたびょう <br> Minamata disease
Minamata disease	<b>水俣病<b> <br> みなまたびょう <br>[sound:k-3832_水俣病.mp3]
[sound:k-3832_水俣病.mp3]	Minamata disease<br> <b>水俣病</b> <br> (みなまたびょう)
