[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
inside, within; while; among, amongst, between; we (referring to one's in-group, i.e. company, etc.); my spouse; imperial palace grounds; emperor; I (primarily used by women and children), me	<b>内<b> <br> うち <br>[sound:k-0430_内.mp3]
[sound:k-0430_内.mp3]	inside, within; while; among, amongst, between; we<br> <b>referring to one's in-group, i.e. company, etc.); my spouse; imperial palace grounds; emperor; I (primarily used by women and children), me (内</b> <br> (うち)
<b>総領事</b> <br> 彼は総領事としてその国に赴任しました。	[sound:s-0430_彼は総領事としてその国に赴任しました。.mp3] <br> かれはそうりょうじとしてそのくににふにんしました。 <br>He was appointed as the consul general to that country.
[sound:s-0430_彼は総領事としてその国に赴任しました。.mp3]	<b>総領事</b> <br> 彼は総領事としてその国に赴任しました。<br> かれはそうりょうじとしてそのくににふにんしました <br>He was appointed as the consul general to that country.
国内	[sound:k-0431_国内.mp3]<br>こくない <br> internal, domestic
internal, domestic	<b>国内<b> <br> こくない <br>[sound:k-0431_国内.mp3]
[sound:k-0431_国内.mp3]	internal, domestic<br> <b>国内</b> <br> (こくない)
<b>多数</b> <br> 多数の人々がその提案に賛成しました。	[sound:s-0431_多数の人々がその提案に賛成しました。.mp3] <br> たすうのひとびとがそのていあんにさんせいしました。 <br>A majority of people supported the proposal.
[sound:s-0431_多数の人々がその提案に賛成しました。.mp3]	<b>多数</b> <br> 多数の人々がその提案に賛成しました。<br> たすうのひとびとがそのていあんにさんせいしました <br>A majority of people supported the proposal.
市内	[sound:k-0432_市内.mp3]<br>しない <br> (within a) city, local
(within a) city, local	<b>市内<b> <br> しない <br>[sound:k-0432_市内.mp3]
[sound:k-0432_市内.mp3]	(within a) city, local<br> <b>市内</b> <br> (しない)
<b>多様</b> <br> その地域は文化的にも自然的にも多様です。	[sound:s-0432_その地域は文化的にも自然的にも多様です。.mp3] <br> そのちいきはぶんかてきにもしぜんてきにもたようです。 <br>The region is diverse culturally and environmentally.
[sound:s-0432_その地域は文化的にも自然的にも多様です。.mp3]	<b>多様</b> <br> その地域は文化的にも自然的にも多様です。<br> そのちいきはぶんかてきにもしぜんてきにもたようです <br>The region is diverse culturally and environmentally.
都内	[sound:k-0433_都内.mp3]<br>とない <br> metropolitan area
metropolitan area	<b>都内<b> <br> とない <br>[sound:k-0433_都内.mp3]
[sound:k-0433_都内.mp3]	metropolitan area<br> <b>都内</b> <br> (とない)
<b>多角</b> <br> 彼は多角的な視点から問題を分析します。	[sound:s-0433_彼は多角的な視点から問題を分析します。.mp3] <br> かれはたかくてきなしてんからもんだいをぶんせきします。 <br>He analyzes problems from various perspectives.
[sound:s-0433_彼は多角的な視点から問題を分析します。.mp3]	<b>多角</b> <br> 彼は多角的な視点から問題を分析します。<br> かれはたかくてきなしてんからもんだいをぶんせきします <br>He analyzes problems from various perspectives.
内閣	[sound:k-0434_内閣.mp3]<br>ないかく <br> cabinet, (government) ministry
cabinet, (government) ministry	<b>内閣<b> <br> ないかく <br>[sound:k-0434_内閣.mp3]
[sound:k-0434_内閣.mp3]	cabinet,<br> <b>government) ministry (内閣</b> <br> (ないかく)
<b>最多</b> <br> 彼は過去最多の得票数を記録しました。	[sound:s-0434_彼は過去最多の得票数を記録しました。.mp3] <br> かれはかこさいたのとくひょうすうをきろくしました。 <br>He recorded the highest number of votes ever.
[sound:s-0434_彼は過去最多の得票数を記録しました。.mp3]	<b>最多</b> <br> 彼は過去最多の得票数を記録しました。<br> かれはかこさいたのとくひょうすうをきろくしました <br>He recorded the highest number of votes ever.
内容	[sound:k-0435_内容.mp3]<br>ないよう <br> subject, contents, matter, substance, detail, import
subject, contents, matter, substance, detail, import	<b>内容<b> <br> ないよう <br>[sound:k-0435_内容.mp3]
[sound:k-0435_内容.mp3]	subject, contents, matter, substance, detail, import<br> <b>内容</b> <br> (ないよう)
<b>多額</b> <br> 彼は多額の賞金を受賞しました。	[sound:s-0435_彼は多額の賞金を受賞しました。.mp3] <br> かれはたがくのしょうきんをじゅしょうしました。 <br>He won a large cash prize.
[sound:s-0435_彼は多額の賞金を受賞しました。.mp3]	<b>多額</b> <br> 彼は多額の賞金を受賞しました。<br> かれはたがくのしょうきんをじゅしょうしました <br>He won a large cash prize.
以内	[sound:k-0436_以内.mp3]<br>いない <br> within, inside of, less than
within, inside of, less than	<b>以内<b> <br> いない <br>[sound:k-0436_以内.mp3]
[sound:k-0436_以内.mp3]	within, inside of, less than<br> <b>以内</b> <br> (いない)
<b>多彩</b> <br> その国の料理は多彩で美味しいです。	[sound:s-0436_その国の料理は多彩で美味しいです。.mp3] <br> そのくにのりょうりはたさいでおいしいです。 <br>The cuisine of that country is diverse and delicious.
[sound:s-0436_その国の料理は多彩で美味しいです。.mp3]	<b>多彩</b> <br> その国の料理は多彩で美味しいです。<br> そのくにのりょうりはたさいでおいしいです <br>The cuisine of that country is diverse and delicious.
党内	[sound:k-0437_党内.mp3]<br>とうない <br> party-internal
party-internal	<b>党内<b> <br> とうない <br>[sound:k-0437_党内.mp3]
[sound:k-0437_党内.mp3]	party-internal<br> <b>党内</b> <br> (とうない)
<b>多少</b> <br> 彼の話には多少の誇張があるかもしれません。	[sound:s-0437_彼の話には多少の誇張があるかもしれません。.mp3] <br> かれのはなしにはたしょうのこちょうがあるかもしれません。 <br>There may be some exaggeration in his story.
[sound:s-0437_彼の話には多少の誇張があるかもしれません。.mp3]	<b>多少</b> <br> 彼の話には多少の誇張があるかもしれません。<br> かれのはなしにはたしょうのこちょうがあるかもしれません <br>There may be some exaggeration in his story.
内部	[sound:k-0438_内部.mp3]<br>ないぶ <br> interior, inside, internal
interior, inside, internal	<b>内部<b> <br> ないぶ <br>[sound:k-0438_内部.mp3]
[sound:k-0438_内部.mp3]	interior, inside, internal<br> <b>内部</b> <br> (ないぶ)
<b>数多く</b> <br> この街には数多くの歴史的建造物があります。	[sound:s-0438_この街には数多くの歴史的建造物があります。.mp3] <br> このまちにはかずおおくのれきしてきけんぞうぶつがあります。 <br>This city has numerous historical buildings.
[sound:s-0438_この街には数多くの歴史的建造物があります。.mp3]	<b>数多く</b> <br> この街には数多くの歴史的建造物があります。<br> このまちにはかずおおくのれきしてきけんぞうぶつがあります <br>This city has numerous historical buildings.
県内	[sound:k-0439_県内.mp3]<br>けんない <br> within the prefecture
within the prefecture	<b>県内<b> <br> けんない <br>[sound:k-0439_県内.mp3]
[sound:k-0439_県内.mp3]	within the prefecture<br> <b>県内</b> <br> (けんない)
<b>多様化</b> <br> 産業が多様化しています。	[sound:s-0439_産業が多様化しています。.mp3] <br> さんぎょうがたようかしています。 <br>Industries are diversifying.
[sound:s-0439_産業が多様化しています。.mp3]	<b>多様化</b> <br> 産業が多様化しています。<br> さんぎょうがたようかしています <br>Industries are diversifying.
外相	[sound:k-0440_外相.mp3]<br>がいしょう <br> Foreign Minister
Foreign Minister	<b>外相<b> <br> がいしょう <br>[sound:k-0440_外相.mp3]
[sound:k-0440_外相.mp3]	Foreign Minister<br> <b>外相</b> <br> (がいしょう)
<b>多大</b> <br> 彼は多大な努力を払ってプロジェクトを完成させました。	[sound:s-0440_彼は多大な努力を払ってプロジェクトを完成させました。.mp3] <br> かれはただいなどりょくをはってぷろじぇくとをかんせいさせました。 <br>He put in a great deal of effort to complete the project.
[sound:s-0440_彼は多大な努力を払ってプロジェクトを完成させました。.mp3]	<b>多大</b> <br> 彼は多大な努力を払ってプロジェクトを完成させました。<br> かれはただいなどりょくをはってぷろじぇくとをかんせいさせました <br>He put in a great deal of effort to complete the project.
首相	[sound:k-0441_首相.mp3]<br>しゅしょう <br> Prime Minister, Chancellor (Germany, Austria, etc.), Premier
Prime Minister, Chancellor (Germany, Austria, etc.), Premier	<b>首相<b> <br> しゅしょう <br>[sound:k-0441_首相.mp3]
[sound:k-0441_首相.mp3]	Prime Minister, Chancellor<br> <b>Germany, Austria, etc.), Premier (首相</b> <br> (しゅしょう)
<b>県警</b> <br> 県警は事件を調査しています。	[sound:s-0441_県警は事件を調査しています。.mp3] <br> けんけいはじけんをちょうさしています。 <br>The prefectural police are investigating the case.
[sound:s-0441_県警は事件を調査しています。.mp3]	<b>県警</b> <br> 県警は事件を調査しています。<br> けんけいはじけんをちょうさしています <br>The prefectural police are investigating the case.
相手	[sound:k-0442_相手.mp3]<br>あいて <br> companion, partner, company; other party, addressee; opponent (sports, etc.)
companion, partner, company; other party, addressee; opponent (sports, etc.)	<b>相手<b> <br> あいて <br>[sound:k-0442_相手.mp3]
[sound:k-0442_相手.mp3]	companion, partner, company; other party, addressee; opponent<br> <b>sports, etc.) (相手</b> <br> (あいて)
<b>同県</b> <br> 彼と私は同県出身です。	[sound:s-0442_彼と私は同県出身です。.mp3] <br> かれとわたしはどうけんしゅっしんです。 <br>He and I are from the same prefecture.
[sound:s-0442_彼と私は同県出身です。.mp3]	<b>同県</b> <br> 彼と私は同県出身です。<br> かれとわたしはどうけんしゅっしんです <br>He and I are from the same prefecture.
相談	[sound:k-0443_相談.mp3]<br>そうだん <br> consultation, discussion
consultation, discussion	<b>相談<b> <br> そうだん <br>[sound:k-0443_相談.mp3]
[sound:k-0443_相談.mp3]	consultation, discussion<br> <b>相談</b> <br> (そうだん)
<b>県知事</b> <br> 彼は次期の県知事選挙に立候補する予定です。	[sound:s-0443_彼は次期の県知事選挙に立候補する予定です。.mp3] <br> かれはじきのけんちじせんきょにりっこうほするよていです。 <br>He plans to run for governor in the next prefectural election.
[sound:s-0443_彼は次期の県知事選挙に立候補する予定です。.mp3]	<b>県知事</b> <br> 彼は次期の県知事選挙に立候補する予定です。<br> かれはじきのけんちじせんきょにりっこうほするよていです <br>He plans to run for governor in the next prefectural election.
蔵相	[sound:k-0444_蔵相.mp3]<br>ぞうしょう <br> Minister of Finance
Minister of Finance	<b>蔵相<b> <br> ぞうしょう <br>[sound:k-0444_蔵相.mp3]
[sound:k-0444_蔵相.mp3]	Minister of Finance<br> <b>蔵相</b> <br> (ぞうしょう)
<b>県内</b> <br> 県内には多くの観光地があります。	[sound:s-0444_県内には多くの観光地があります。.mp3] <br> けんないにはおおくのかんこうちがあります。 <br>There are many tourist attractions within the prefecture.
[sound:s-0444_県内には多くの観光地があります。.mp3]	<b>県内</b> <br> 県内には多くの観光地があります。<br> けんないにはおおくのかんこうちがあります <br>There are many tourist attractions within the prefecture.
相互	[sound:k-0445_相互.mp3]<br>そうご <br> mutual, reciprocal
mutual, reciprocal	<b>相互<b> <br> そうご <br>[sound:k-0445_相互.mp3]
[sound:k-0445_相互.mp3]	mutual, reciprocal<br> <b>相互</b> <br> (そうご)
<b>都道府県</b> <br> 日本は都道府県に分かれています。	[sound:s-0445_日本は都道府県に分かれています。.mp3] <br> にほんはとどうふけんにわかれています。 <br>Japan is divided into prefectures.
[sound:s-0445_日本は都道府県に分かれています。.mp3]	<b>都道府県</b> <br> 日本は都道府県に分かれています。<br> にほんはとどうふけんにわかれています <br>Japan is divided into prefectures.
相場	[sound:k-0446_相場.mp3]<br>そうば <br> market price, speculation, estimation
market price, speculation, estimation	<b>相場<b> <br> そうば <br>[sound:k-0446_相場.mp3]
[sound:k-0446_相場.mp3]	market price, speculation, estimation<br> <b>相場</b> <br> (そうば)
<b>県議</b> <br> 彼は市の議員から県議に転身しました。	[sound:s-0446_彼は市の議員から県議に転身しました。.mp3] <br> かれはしのぎいんからけんぎにてんしんしました。 <br>He transitioned from a city councilor to a prefectural assembly member.
[sound:s-0446_彼は市の議員から県議に転身しました。.mp3]	<b>県議</b> <br> 彼は市の議員から県議に転身しました。<br> かれはしのぎいんからけんぎにてんしんしました <br>He transitioned from a city councilor to a prefectural assembly member.
相当	[sound:k-0447_相当.mp3]<br>そうとう <br> befitting, becoming, worthy of, proportionate, in keeping with, suitable; considerable, substantial; to be worthy of, to be proportionate to; to correspond to (in meaning, function, etc.), to be equivalent; extremely, considerably
befitting, becoming, worthy of, proportionate, in keeping with, suitable; considerable, substantial; to be worthy of, to be proportionate to; to correspond to (in meaning, function, etc.), to be equivalent; extremely, considerably	<b>相当<b> <br> そうとう <br>[sound:k-0447_相当.mp3]
[sound:k-0447_相当.mp3]	befitting, becoming, worthy of, proportionate, in keeping with, suitable; considerable, substantial; to be worthy of, to be proportionate to; to correspond to<br> <b>in meaning, function, etc.), to be equivalent; extremely, considerably (相当</b> <br> (そうとう)
<b>県立</b> <br> この病院は県立の施設です。	[sound:s-0447_この病院は県立の施設です。.mp3] <br> このびょういんはけんりつのしせつです。 <br>This hospital is a prefectural facility.
[sound:s-0447_この病院は県立の施設です。.mp3]	<b>県立</b> <br> この病院は県立の施設です。<br> このびょういんはけんりつのしせつです <br>This hospital is a prefectural facility.
相撲	[sound:k-0448_相撲.mp3]<br>すもう, すまい <br> sumo wrestling; sumo wrestler, rikishi
sumo wrestling; sumo wrestler, rikishi	<b>相撲<b> <br> すもう, すまい <br>[sound:k-0448_相撲.mp3]
[sound:k-0448_相撲.mp3]	sumo wrestling; sumo wrestler, rikishi<br> <b>相撲</b> <br> (すもう, すまい)
<b>県民</b> <br> その計画は県民からの支持を得ています。	[sound:s-0448_その計画は県民からの支持を得ています。.mp3] <br> そのけいかくはけんみんからのしじをえています。 <br>The plan has the support of the prefectural residents.
[sound:s-0448_その計画は県民からの支持を得ています。.mp3]	<b>県民</b> <br> その計画は県民からの支持を得ています。<br> そのけいかくはけんみんからのしじをえています <br>The plan has the support of the prefectural residents.
真相	[sound:k-0449_真相.mp3]<br>しんそう <br> truth, real situation
truth, real situation	<b>真相<b> <br> しんそう <br>[sound:k-0449_真相.mp3]
[sound:k-0449_真相.mp3]	truth, real situation<br> <b>真相</b> <br> (しんそう)
<b>県庁</b> <br> 県庁はこの地域の中心地にあります。	[sound:s-0449_県庁はこの地域の中心地にあります。.mp3] <br> けんちょうはこのちいきのちゅうしんちにあります。 <br>The prefectural office is located in the center of this area.
[sound:s-0449_県庁はこの地域の中心地にあります。.mp3]	<b>県庁</b> <br> 県庁はこの地域の中心地にあります。<br> けんちょうはこのちいきのちゅうしんちにあります <br>The prefectural office is located in the center of this area.
一方	[sound:k-0450_一方.mp3]<br>いっぽう <br> one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only
one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only	<b>一方<b> <br> いっぽう <br>[sound:k-0450_一方.mp3]
[sound:k-0450_一方.mp3]	one<br> <b>esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only (一方</b> <br> (いっぽう)
<b>府県</b> <br> 彼は大阪府出身です。	[sound:s-0450_彼は大阪府出身です。.mp3] <br> かれはおおさかふしゅっしんです。 <br>He is from Osaka Prefecture.
[sound:s-0450_彼は大阪府出身です。.mp3]	<b>府県</b> <br> 彼は大阪府出身です。<br> かれはおおさかふしゅっしんです <br>He is from Osaka Prefecture.
見方	[sound:k-0451_見方.mp3]<br>みかた <br> viewpoint
viewpoint	<b>見方<b> <br> みかた <br>[sound:k-0451_見方.mp3]
[sound:k-0451_見方.mp3]	viewpoint<br> <b>見方</b> <br> (みかた)
<b>連続</b> <br> 彼の作品は連続してベストセラーとなりました。	[sound:s-0451_彼の作品は連続してベストセラーとなりました。.mp3] <br> かれのさくひんはれんぞくしてベストセラーとなりました。 <br>His works became bestsellers one after another.
[sound:s-0451_彼の作品は連続してベストセラーとなりました。.mp3]	<b>連続</b> <br> 彼の作品は連続してベストセラーとなりました。<br> かれのさくひんはれんぞくしてベストセラーとなりました <br>His works became bestsellers one after another.
地方	[sound:k-0452_地方.mp3]<br>ちほう, じかた <br> area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance
area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance	<b>地方<b> <br> ちほう, じかた <br>[sound:k-0452_地方.mp3]
[sound:k-0452_地方.mp3]	area, locality, district, region, province; countryside, rural area; coast<br> <b>esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance (地方</b> <br> (ちほう, じかた)
<b>手続き</b> <br> この手続きは簡単です。	[sound:s-0452_この手続きは簡単です。.mp3] <br> このてつづきはかんたんです。 <br>This procedure is simple.
[sound:s-0452_この手続きは簡単です。.mp3]	<b>手続き</b> <br> この手続きは簡単です。<br> このてつづきはかんたんです <br>This procedure is simple.
方向	[sound:k-0453_方向.mp3]<br>ほうこう <br> direction, orientation, bearing, way; course (e.g. of action)
direction, orientation, bearing, way; course (e.g. of action)	<b>方向<b> <br> ほうこう <br>[sound:k-0453_方向.mp3]
[sound:k-0453_方向.mp3]	direction, orientation, bearing, way; course<br> <b>e.g. of action) (方向</b> <br> (ほうこう)
<b>継続</b> <br> 彼の努力の結果、好成績を継続しました。	[sound:s-0453_彼の努力の結果、好成績を継続しました。.mp3] <br> かれのどりょくのけっか、こうせいせきをけいぞくしました。 <br>"As a result of his efforts, he maintained good grades."
[sound:s-0453_彼の努力の結果、好成績を継続しました。.mp3]	<b>継続</b> <br> 彼の努力の結果、好成績を継続しました。<br> かれのどりょくのけっか、こうせいせきをけいぞくしました <br>As a result of his efforts, he maintained good grades.
方針	[sound:k-0454_方針.mp3]<br>ほうしん <br> objective, plan, policy
objective, plan, policy	<b>方針<b> <br> ほうしん <br>[sound:k-0454_方針.mp3]
[sound:k-0454_方針.mp3]	objective, plan, policy<br> <b>方針</b> <br> (ほうしん)
<b>続き</b> <br> 前回の話の続きを教えてください。	[sound:s-0454_前回の話の続きを教えてください。.mp3] <br> ぜんかいのはなしのつづきをおしえてください。 <br>Please tell me what happened next in the previous story.
[sound:s-0454_前回の話の続きを教えてください。.mp3]	<b>続き</b> <br> 前回の話の続きを教えてください。<br> ぜんかいのはなしのつづきをおしえてください <br>Please tell me what happened next in the previous story.
方法	[sound:k-0455_方法.mp3]<br>ほうほう <br> method, process, manner, way, means, technique
method, process, manner, way, means, technique	<b>方法<b> <br> ほうほう <br>[sound:k-0455_方法.mp3]
[sound:k-0455_方法.mp3]	method, process, manner, way, means, technique<br> <b>方法</b> <br> (ほうほう)
<b>持続</b> <br> 彼女は平和を持続するために努力しています。	[sound:s-0455_彼女は平和を持続するために努力しています。.mp3] <br> かのじょはへいわをじぞくするためにどりょくしています。 <br>She is working to maintain peace.
[sound:s-0455_彼女は平和を持続するために努力しています。.mp3]	<b>持続</b> <br> 彼女は平和を持続するために努力しています。<br> かのじょはへいわをじぞくするためにどりょくしています <br>She is working to maintain peace.
考え方	[sound:k-0456_考え方.mp3]<br>かんがえかた <br> way of thinking
way of thinking	<b>考え方<b> <br> かんがえかた <br>[sound:k-0456_考え方.mp3]
[sound:k-0456_考え方.mp3]	way of thinking<br> <b>考え方</b> <br> (かんがえかた)
<b>存続</b> <br> そのビジネスは存続が危ぶまれています。	[sound:s-0456_そのビジネスは存続が危ぶまれています。.mp3] <br> そのびじねすはそんぞくがあやぶまれています。 <br>The survival of the business is in doubt.
[sound:s-0456_そのビジネスは存続が危ぶまれています。.mp3]	<b>存続</b> <br> そのビジネスは存続が危ぶまれています。<br> そのびじねすはそんぞくがあやぶまれています <br>The survival of the business is in doubt.
行方	[sound:k-0457_行方.mp3]<br>ゆくえ <br> (one's) whereabouts; course, direction
(one's) whereabouts; course, direction	<b>行方<b> <br> ゆくえ <br>[sound:k-0457_行方.mp3]
[sound:k-0457_行方.mp3]	(one's) whereabouts; course, direction<br> <b>行方</b> <br> (ゆくえ)
<b>続々</b> <br> 新しい店が続々とオープンしています。	[sound:s-0457_新しい店が続々とオープンしています。.mp3] <br> あたらしいみせがぞくぞくとおーぷんしています。 <br>New stores are opening one after another.
[sound:s-0457_新しい店が続々とオープンしています。.mp3]	<b>続々</b> <br> 新しい店が続々とオープンしています。<br> あたらしいみせがぞくぞくとおーぷんしています <br>New stores are opening one after another.
双方	[sound:k-0458_双方.mp3]<br>そうほう <br> two way, both parties, mutual, both
two way, both parties, mutual, both	<b>双方<b> <br> そうほう <br>[sound:k-0458_双方.mp3]
[sound:k-0458_双方.mp3]	two way, both parties, mutual, both<br> <b>双方</b> <br> (そうほう)
<b>引き続き</b> <br> 今後も引き続きご協力をお願いします。	[sound:s-0458_今後も引き続きご協力をお願いします。.mp3] <br> こんごもひきぞきごきょうりょくをおねがいします。 <br>We ask for your continued cooperation in the future.
[sound:s-0458_今後も引き続きご協力をお願いします。.mp3]	<b>引き続き</b> <br> 今後も引き続きご協力をお願いします。<br> こんごもひきぞきごきょうりょくをおねがいします <br>We ask for your continued cooperation in the future.
方	[sound:k-0459_方.mp3]<br>ほう <br> side, direction, way
side, direction, way	<b>方<b> <br> ほう <br>[sound:k-0459_方.mp3]
[sound:k-0459_方.mp3]	side, direction, way<br> <b>方</b> <br> (ほう)
<b>相続</b> <br> 彼は父親の遺産を相続しました。	[sound:s-0459_彼は父親の遺産を相続しました。.mp3] <br> かれはちちおやのいさんをそうぞくしました。 <br>He inherited his father's estate.
[sound:s-0459_彼は父親の遺産を相続しました。.mp3]	<b>相続</b> <br> 彼は父親の遺産を相続しました。<br> かれはちちおやのいさんをそうぞくしました <br>He inherited his father's estate.
四	[sound:k-0460_四.mp3]<br>よん, し, よ <br> four
four	<b>四<b> <br> よん, し, よ <br>[sound:k-0460_四.mp3]
[sound:k-0460_四.mp3]	four<br> <b>四</b> <br> (よん, し, よ)
<b>相続税</b> <br> 相続税の申告書を提出しました。	[sound:s-0460_相続税の申告書を提出しました。.mp3] <br> そうぞくぜいのしんこくしょをていしゅつしました。 <br>I submitted the inheritance tax return.
[sound:s-0460_相続税の申告書を提出しました。.mp3]	<b>相続税</b> <br> 相続税の申告書を提出しました。<br> そうぞくぜいのしんこくしょをていしゅつしました <br>I submitted the inheritance tax return.
四つ	[sound:k-0461_四つ.mp3]<br>よっつ <br> four
four	<b>四つ<b> <br> よっつ <br>[sound:k-0461_四つ.mp3]
[sound:k-0461_四つ.mp3]	four<br> <b>四つ</b> <br> (よっつ)
<b>推進</b> <br> そのプロジェクトの推進には多くの資金が必要です。	[sound:s-0461_そのプロジェクトの推進には多くの資金が必要です。.mp3] <br> そのぷろじぇくとのすいしんにはおおくのしきんがひつようです。 <br>The project requires a lot of funding for its promotion.
[sound:s-0461_そのプロジェクトの推進には多くの資金が必要です。.mp3]	<b>推進</b> <br> そのプロジェクトの推進には多くの資金が必要です。<br> そのぷろじぇくとのすいしんにはおおくのしきんがひつようです <br>The project requires a lot of funding for its promotion.
四月	[sound:k-0462_四月.mp3]<br>しがつ <br> April
April	<b>四月<b> <br> しがつ <br>[sound:k-0462_四月.mp3]
[sound:k-0462_四月.mp3]	April<br> <b>四月</b> <br> (しがつ)
<b>進出</b> <br> 会社は海外市場への進出を計画しています。	[sound:s-0462_会社は海外市場への進出を計画しています。.mp3] <br> かいしゃはかいがいしじょうへのしんしゅつをけいかくしています。 <br>The company is planning to enter the overseas market.
[sound:s-0462_会社は海外市場への進出を計画しています。.mp3]	<b>進出</b> <br> 会社は海外市場への進出を計画しています。<br> かいしゃはかいがいしじょうへのしんしゅつをけいかくしています <br>The company is planning to enter the overseas market.
十四	[sound:k-0463_十四.mp3]<br>じゅうし, じゅうよん <br> 14, fourteen
14, fourteen	<b>十四<b> <br> じゅうし, じゅうよん <br>[sound:k-0463_十四.mp3]
[sound:k-0463_十四.mp3]	14, fourteen<br> <b>十四</b> <br> (じゅうし, じゅうよん)
<b>先進国</b> <br> その国は先進国の一つです。	[sound:s-0463_その国は先進国の一つです。.mp3] <br> そのくにはせんしんこくのひとつです。 <br>That country is one of the advanced nations.
[sound:s-0463_その国は先進国の一つです。.mp3]	<b>先進国</b> <br> その国は先進国の一つです。<br> そのくにはせんしんこくのひとつです <br>That country is one of the advanced nations.
四十	[sound:k-0464_四十.mp3]<br>よんじゅう, しじゅう, よそ <br> forty
forty	<b>四十<b> <br> よんじゅう, しじゅう, よそ <br>[sound:k-0464_四十.mp3]
[sound:k-0464_四十.mp3]	forty<br> <b>四十</b> <br> (よんじゅう, しじゅう, よそ)
<b>進展</b> <br> プロジェクトは順調に進展しています。	[sound:s-0464_プロジェクトは順調に進展しています。.mp3] <br> ぷろじぇくとはじゅんちょうにしんてんしています。 <br>The project is progressing smoothly.
[sound:s-0464_プロジェクトは順調に進展しています。.mp3]	<b>進展</b> <br> プロジェクトは順調に進展しています。<br> ぷろじぇくとはじゅんちょうにしんてんしています <br>The project is progressing smoothly.
四百	[sound:k-0465_四百.mp3]<br>よんひゃく <br> four hundred
four hundred	<b>四百<b> <br> よんひゃく <br>[sound:k-0465_四百.mp3]
[sound:k-0465_四百.mp3]	four hundred<br> <b>四百</b> <br> (よんひゃく)
<b>促進</b> <br> 政府は経済成長を促進するために政策を実施しています。	[sound:s-0465_政府は経済成長を促進するために政策を実施しています。.mp3] <br> せいふはけいざいせいちょうをそくしんするためにせいさくをじっししています。 <br>The government is implementing policies to promote economic growth.
[sound:s-0465_政府は経済成長を促進するために政策を実施しています。.mp3]	<b>促進</b> <br> 政府は経済成長を促進するために政策を実施しています。<br> せいふはけいざいせいちょうをそくしんするためにせいさくをじっししています <br>The government is implementing policies to promote economic growth.
四球	[sound:k-0466_四球.mp3]<br>しきゅう <br> four balls, base on balls (baseball), a walk
four balls, base on balls (baseball), a walk	<b>四球<b> <br> しきゅう <br>[sound:k-0466_四球.mp3]
[sound:k-0466_四球.mp3]	four balls, base on balls<br> <b>baseball), a walk (四球</b> <br> (しきゅう)
<b>先進</b> <br> 彼らは先進技術を使って新しい製品を開発しています。	[sound:s-0466_彼らは先進技術を使って新しい製品を開発しています。.mp3] <br> かれらはせんしんぎじゅつをつかってあたらしいせいひんをかいはつしています。 <br>They are developing new products using advanced technology.
[sound:s-0466_彼らは先進技術を使って新しい製品を開発しています。.mp3]	<b>先進</b> <br> 彼らは先進技術を使って新しい製品を開発しています。<br> かれらはせんしんぎじゅつをつかってあたらしいせいひんをかいはつしています <br>They are developing new products using advanced technology.
四千	[sound:k-0467_四千.mp3]<br>よんせん <br> four thousand
four thousand	<b>四千<b> <br> よんせん <br>[sound:k-0467_四千.mp3]
[sound:k-0467_四千.mp3]	four thousand<br> <b>四千</b> <br> (よんせん)
<b>進学</b> <br> 彼は医学部に進学する予定です。	[sound:s-0467_彼は医学部に進学する予定です。.mp3] <br> かれはいがくぶにしんがくするよていです。 <br>He plans to go to medical school.
[sound:s-0467_彼は医学部に進学する予定です。.mp3]	<b>進学</b> <br> 彼は医学部に進学する予定です。<br> かれはいがくぶにしんがくするよていです <br>He plans to go to medical school.
四十七士	[sound:k-0468_四十七士.mp3]<br>しじゅうしちし <br> The 47 Ronin
The 47 Ronin	<b>四十七士<b> <br> しじゅうしちし <br>[sound:k-0468_四十七士.mp3]
[sound:k-0468_四十七士.mp3]	The 47 Ronin<br> <b>四十七士</b> <br> (しじゅうしちし)
<b>進路</b> <br> 彼女は進路について悩んでいます。	[sound:s-0468_彼女は進路について悩んでいます。.mp3] <br> かのじょはしんろについてなやんでいます。 <br>She is worried about her future path.
