presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
<b>状態</b> <br> 彼の健康状態は良くなっています。	[sound:s-2689_彼の健康状態は良くなっています。.mp3] <br> かれのけんこうじょうたいはよくなっています。 <br>His health condition is improving.
[sound:s-2689_彼の健康状態は良くなっています。.mp3]	<b>状態</b> <br> 彼の健康状態は良くなっています。<br> かれのけんこうじょうたいはよくなっています <br>His health condition is improving.
住	[sound:k-2690_住.mp3]<br>じゅう <br> dwelling, living
dwelling, living	<b>住<b> <br> じゅう <br>[sound:k-2690_住.mp3]
[sound:k-2690_住.mp3]	dwelling, living<br> <b>住</b> <br> (じゅう)
<b>事態</b> <br> この事態に対処するためには迅速な行動が必要です。	[sound:s-2690_この事態に対処するためには迅速な行動が必要です。.mp3] <br> このじたいにたいしょするためにはじんそくなこうどうがひつようです。 <br>Swift action is necessary to deal with this situation.
[sound:s-2690_この事態に対処するためには迅速な行動が必要です。.mp3]	<b>事態</b> <br> この事態に対処するためには迅速な行動が必要です。<br> このじたいにたいしょするためにはじんそくなこうどうがひつようです <br>Swift action is necessary to deal with this situation.
住宅	[sound:k-2691_住宅.mp3]<br>じゅうたく <br> residence, housing, residential building
residence, housing, residential building	<b>住宅<b> <br> じゅうたく <br>[sound:k-2691_住宅.mp3]
[sound:k-2691_住宅.mp3]	residence, housing, residential building<br> <b>住宅</b> <br> (じゅうたく)
<b>実態</b> <br> その組織の実態を知るためには調査が必要です。	[sound:s-2691_その組織の実態を知るためには調査が必要です。.mp3] <br> そのそしきのじったいをしるためにはちょうさがひつようです。 <br>Investigation is necessary to understand the true nature of the organization.
[sound:s-2691_その組織の実態を知るためには調査が必要です。.mp3]	<b>実態</b> <br> その組織の実態を知るためには調査が必要です。<br> そのそしきのじったいをしるためにはちょうさがひつようです <br>Investigation is necessary to understand the true nature of the organization.
住民	[sound:k-2692_住民.mp3]<br>じゅうみん <br> citizens, inhabitants, residents, population
citizens, inhabitants, residents, population	<b>住民<b> <br> じゅうみん <br>[sound:k-2692_住民.mp3]
[sound:k-2692_住民.mp3]	citizens, inhabitants, residents, population<br> <b>住民</b> <br> (じゅうみん)
<b>態度</b> <br> 彼の態度が問題を引き起こしています。	[sound:s-2692_彼の態度が問題を引き起こしています。.mp3] <br> かれのたいどがもんだいをひきおこしています。 <br>His attitude is causing problems.
[sound:s-2692_彼の態度が問題を引き起こしています。.mp3]	<b>態度</b> <br> 彼の態度が問題を引き起こしています。<br> かれのたいどがもんだいをひきおこしています <br>His attitude is causing problems.
住所	[sound:k-2693_住所.mp3]<br>じゅうしょ <br> address (e.g. of house), residence, domicile
address (e.g. of house), residence, domicile	<b>住所<b> <br> じゅうしょ <br>[sound:k-2693_住所.mp3]
[sound:k-2693_住所.mp3]	address<br> <b>e.g. of house), residence, domicile (住所</b> <br> (じゅうしょ)
<b>態</b> <br> 彼女の態は落ち着いています。	[sound:s-2693_彼女の態は落ち着いています。.mp3] <br> かのじょのたいはおちついています。 <br>Her demeanor is calm.
[sound:s-2693_彼女の態は落ち着いています。.mp3]	<b>態</b> <br> 彼女の態は落ち着いています。<br> かのじょのたいはおちついています <br>Her demeanor is calm.
在住	[sound:k-2694_在住.mp3]<br>ざいじゅう <br> resident
resident	<b>在住<b> <br> ざいじゅう <br>[sound:k-2694_在住.mp3]
[sound:k-2694_在住.mp3]	resident<br> <b>在住</b> <br> (ざいじゅう)
<b>態勢</b> <br> その国は台風に備えて万全の態勢を整えています。	[sound:s-2694_その国は台風に備えて万全の態勢を整えています。.mp3] <br> そのくにはたいふうにそなえてばんぜんのたいせいをととのえています。 <br>The country is fully prepared for the typhoon.
[sound:s-2694_その国は台風に備えて万全の態勢を整えています。.mp3]	<b>態勢</b> <br> その国は台風に備えて万全の態勢を整えています。<br> そのくにはたいふうにそなえてばんぜんのたいせいをととのえています <br>The country is fully prepared for the typhoon.
居住	[sound:k-2695_居住.mp3]<br>きょじゅう <br> residence
residence	<b>居住<b> <br> きょじゅう <br>[sound:k-2695_居住.mp3]
[sound:k-2695_居住.mp3]	residence<br> <b>居住</b> <br> (きょじゅう)
<b>形態</b> <br> 彼らの組織は独特の形態を持っています。	[sound:s-2695_彼らの組織は独特の形態を持っています。.mp3] <br> かれらのそしきはどくとくのけいたいをもっています。 <br>Their organization has a unique form.
[sound:s-2695_彼らの組織は独特の形態を持っています。.mp3]	<b>形態</b> <br> 彼らの組織は独特の形態を持っています。<br> かれらのそしきはどくとくのけいたいをもっています <br>Their organization has a unique form.
住み心地	[sound:k-2696_住み心地.mp3]<br>すみごこち <br> comfort (in living place)
comfort (in living place)	<b>住み心地<b> <br> すみごこち <br>[sound:k-2696_住み心地.mp3]
[sound:k-2696_住み心地.mp3]	comfort<br> <b>in living place) (住み心地</b> <br> (すみごこち)
<b>実態調査</b> <br> 政府は不正行為の実態調査を行っています。	[sound:s-2696_政府は不正行為の実態調査を行っています。.mp3] <br> せいふはふせいこういのじったいちょうさをおこなっています。 <br>The government is conducting an investigation into the actual situation of misconduct.
[sound:s-2696_政府は不正行為の実態調査を行っています。.mp3]	<b>実態調査</b> <br> 政府は不正行為の実態調査を行っています。<br> せいふはふせいこういのじったいちょうさをおこなっています <br>The government is conducting an investigation into the actual situation of misconduct.
先住	[sound:k-2697_先住.mp3]<br>せんじゅう <br> previous priest or resident
previous priest or resident	<b>先住<b> <br> せんじゅう <br>[sound:k-2697_先住.mp3]
[sound:k-2697_先住.mp3]	previous priest or resident<br> <b>先住</b> <br> (せんじゅう)
<b>生態系</b> <br> この地域の生態系は多様性に富んでいます。	[sound:s-2697_この地域の生態系は多様性に富んでいます。.mp3] <br> このちいきのせいたいけいはたようせいにとんでいます。 <br>The ecosystem of this region is rich in biodiversity.
[sound:s-2697_この地域の生態系は多様性に富んでいます。.mp3]	<b>生態系</b> <br> この地域の生態系は多様性に富んでいます。<br> このちいきのせいたいけいはたようせいにとんでいます <br>The ecosystem of this region is rich in biodiversity.
住宅地	[sound:k-2698_住宅地.mp3]<br>じゅうたくち <br> housing district, residential district
housing district, residential district	<b>住宅地<b> <br> じゅうたくち <br>[sound:k-2698_住宅地.mp3]
[sound:k-2698_住宅地.mp3]	housing district, residential district<br> <b>住宅地</b> <br> (じゅうたくち)
<b>生態</b> <br> この研究は生態系の変化についてです。	[sound:s-2698_この研究は生態系の変化についてです。.mp3] <br> このけんきゅうはせいたいけいのへんかについてです。 <br>This research is about changes in the ecosystem.
[sound:s-2698_この研究は生態系の変化についてです。.mp3]	<b>生態</b> <br> この研究は生態系の変化についてです。<br> このけんきゅうはせいたいけいのへんかについてです <br>This research is about changes in the ecosystem.
住友	[sound:k-2699_住友.mp3]<br>すみとも <br> Sumitomo (company)
Sumitomo (company)	<b>住友<b> <br> すみとも <br>[sound:k-2699_住友.mp3]
[sound:k-2699_住友.mp3]	Sumitomo<br> <b>company) (住友</b> <br> (すみとも)
<b>指導</b> <br> 彼はチームを成功に導く優れたリーダーです。	[sound:s-2699_彼はチームを成功に導く優れたリーダーです。.mp3] <br> かれはチームをせいこうにみちびくすぐれたりーだーです。 <br>He is an excellent leader who guides the team to success.
[sound:s-2699_彼はチームを成功に導く優れたリーダーです。.mp3]	<b>指導</b> <br> 彼はチームを成功に導く優れたリーダーです。<br> かれはチームをせいこうにみちびくすぐれたりーだーです <br>He is an excellent leader who guides the team to success.
争い	[sound:k-2700_争い.mp3]<br>あらそい <br> dispute, strife, quarrel, dissension, conflict, rivalry, contest
dispute, strife, quarrel, dissension, conflict, rivalry, contest	<b>争い<b> <br> あらそい <br>[sound:k-2700_争い.mp3]
[sound:k-2700_争い.mp3]	dispute, strife, quarrel, dissension, conflict, rivalry, contest<br> <b>争い</b> <br> (あらそい)
<b>導入</b> <br> 新しい技術の導入により、生産性が向上しました。	[sound:s-2700_新しい技術の導入により、生産性が向上しました。.mp3] <br> あたらしいぎじゅつのどうにゅうにより、せいさんせいがこうじょうしました。 <br>The introduction of new technology has led to improved productivity.
[sound:s-2700_新しい技術の導入により、生産性が向上しました。.mp3]	<b>導入</b> <br> 新しい技術の導入により、生産性が向上しました。<br> あたらしいぎじゅつのどうにゅうにより、せいさんせいがこうじょうしました <br>The introduction of new technology has led to improved productivity.
戦争	[sound:k-2701_戦争.mp3]<br>せんそう <br> war
war	<b>戦争<b> <br> せんそう <br>[sound:k-2701_戦争.mp3]
[sound:k-2701_戦争.mp3]	war<br> <b>戦争</b> <br> (せんそう)
<b>主導</b> <br> 彼はそのプロジェクトの主導権を握っています。	[sound:s-2701_彼はそのプロジェクトの主導権を握っています。.mp3] <br> かれはそのぷろじぇくとのしゅどうけんをにぎっています。 <br>He holds the initiative in the project.
[sound:s-2701_彼はそのプロジェクトの主導権を握っています。.mp3]	<b>主導</b> <br> 彼はそのプロジェクトの主導権を握っています。<br> かれはそのぷろじぇくとのしゅどうけんをにぎっています <br>He holds the initiative in the project.
競争	[sound:k-2702_競争.mp3]<br>きょうそう <br> competition, contest; to compete
competition, contest; to compete	<b>競争<b> <br> きょうそう <br>[sound:k-2702_競争.mp3]
[sound:k-2702_競争.mp3]	competition, contest; to compete<br> <b>競争</b> <br> (きょうそう)
<b>半導体</b> <br> スマートフォンやコンピューターには半導体が使われています。	[sound:s-2702_スマートフォンやコンピューターには半導体が使われています。.mp3] <br> すまーとふぉんやこんぴゅーたーにははんどうたいがつかわれています。 <br>Semiconductors are used in smartphones and computers.
[sound:s-2702_スマートフォンやコンピューターには半導体が使われています。.mp3]	<b>半導体</b> <br> スマートフォンやコンピューターには半導体が使われています。<br> すまーとふぉんやこんぴゅーたーにははんどうたいがつかわれています <br>Semiconductors are used in smartphones and computers.
紛争	[sound:k-2703_紛争.mp3]<br>ふんそう <br> dispute, trouble, strife
dispute, trouble, strife	<b>紛争<b> <br> ふんそう <br>[sound:k-2703_紛争.mp3]
[sound:k-2703_紛争.mp3]	dispute, trouble, strife<br> <b>紛争</b> <br> (ふんそう)
<b>主導権</b> <br> この問題で主導権を握ることが重要です。	[sound:s-2703_この問題で主導権を握ることが重要です。.mp3] <br> このもんだいでしゅどうけんをにぎることがじゅうようです。 <br>It's important to take the initiative in this issue.
[sound:s-2703_この問題で主導権を握ることが重要です。.mp3]	<b>主導権</b> <br> この問題で主導権を握ることが重要です。<br> このもんだいでしゅどうけんをにぎることがじゅうようです <br>It's important to take the initiative in this issue.
闘争	[sound:k-2704_闘争.mp3]<br>とうそう <br> strife, conflict
strife, conflict	<b>闘争<b> <br> とうそう <br>[sound:k-2704_闘争.mp3]
[sound:k-2704_闘争.mp3]	strife, conflict<br> <b>闘争</b> <br> (とうそう)
<b>誘導</b> <br> 案内板が私たちを目的地に誘導してくれます。	[sound:s-2704_案内板が私たちを目的地に誘導してくれます。.mp3] <br> あんないばんがわたしたちをもくてきちにゆうどうしてくれます。 <br>Signboards guide us to our destination.
[sound:s-2704_案内板が私たちを目的地に誘導してくれます。.mp3]	<b>誘導</b> <br> 案内板が私たちを目的地に誘導してくれます。<br> あんないばんがわたしたちをもくてきちにゆうどうしてくれます <br>Signboards guide us to our destination.
抗争	[sound:k-2705_抗争.mp3]<br>こうそう <br> dispute, resistance
dispute, resistance	<b>抗争<b> <br> こうそう <br>[sound:k-2705_抗争.mp3]
[sound:k-2705_抗争.mp3]	dispute, resistance<br> <b>抗争</b> <br> (こうそう)
<b>超電導</b> <br> 超電導は電気の効率を高めます。	[sound:s-2705_超電導は電気の効率を高めます。.mp3] <br> ちょうでんどうはでんきのこうりつをたかめます。 <br>Superconductivity enhances the efficiency of electricity.
[sound:s-2705_超電導は電気の効率を高めます。.mp3]	<b>超電導</b> <br> 超電導は電気の効率を高めます。<br> ちょうでんどうはでんきのこうりつをたかめます <br>Superconductivity enhances the efficiency of electricity.
争点	[sound:k-2706_争点.mp3]<br>そうてん <br> point at issue
point at issue	<b>争点<b> <br> そうてん <br>[sound:k-2706_争点.mp3]
[sound:k-2706_争点.mp3]	point at issue<br> <b>争点</b> <br> (そうてん)
<b>学習指導要領</b> <br> 学校では、学習指導要領に基づいて教育が行われます。	[sound:s-2706_学校では、学習指導要領に基づいて教育が行われます。.mp3] <br> がっこうでは、がくしゅうしどうようりょうにもとづいてきょういくがおこなわれます。 <br>Education in schools is conducted based on the curriculum guidelines.
[sound:s-2706_学校では、学習指導要領に基づいて教育が行われます。.mp3]	<b>学習指導要領</b> <br> 学校では、学習指導要領に基づいて教育が行われます。<br> がっこうでは、がくしゅうしどうようりょうにもとづいてきょういくがおこなわれます <br>Education in schools is conducted based on the curriculum guidelines.
論争	[sound:k-2707_論争.mp3]<br>ろんそう <br> controversy, dispute
controversy, dispute	<b>論争<b> <br> ろんそう <br>[sound:k-2707_論争.mp3]
[sound:k-2707_論争.mp3]	controversy, dispute<br> <b>論争</b> <br> (ろんそう)
<b>盲導犬</b> <br> 盲導犬は視覚障害者の移動を支援します。	[sound:s-2707_盲導犬は視覚障害者の移動を支援します。.mp3] <br> もうどうけんはしかくしょうがいしゃのいどうをしえんします。 <br>Guide dogs assist visually impaired individuals in navigation.
[sound:s-2707_盲導犬は視覚障害者の移動を支援します。.mp3]	<b>盲導犬</b> <br> 盲導犬は視覚障害者の移動を支援します。<br> もうどうけんはしかくしょうがいしゃのいどうをしえんします <br>Guide dogs assist visually impaired individuals in navigation.
争う	[sound:k-2708_争う.mp3]<br>あらそう <br> to compete, to contest, to contend; to quarrel, to argue, to dispute, to be at variance, to oppose; (usu. in negative form) to deny (e.g. evidence)
to compete, to contest, to contend; to quarrel, to argue, to dispute, to be at variance, to oppose; (usu. in negative form) to deny (e.g. evidence)	<b>争う<b> <br> あらそう <br>[sound:k-2708_争う.mp3]
[sound:k-2708_争う.mp3]	to compete, to contest, to contend; to quarrel, to argue, to dispute, to be at variance, to oppose;<br> <b>usu. in negative form) to deny (e.g. evidence) (争う</b> <br> (あらそう)
<b>先導</b> <br> この企業は新しい技術の先導者です。	[sound:s-2708_この企業は新しい技術の先導者です。.mp3] <br> このきぎょうはあたらしいぎじゅつのせんどうしゃです。 <br>This company is a leader in new technology.
[sound:s-2708_この企業は新しい技術の先導者です。.mp3]	<b>先導</b> <br> この企業は新しい技術の先導者です。<br> このきぎょうはあたらしいぎじゅつのせんどうしゃです <br>This company is a leader in new technology.
太平洋戦争	[sound:k-2709_太平洋戦争.mp3]<br>たいへいようせんそう <br> the Pacific War
the Pacific War	<b>太平洋戦争<b> <br> たいへいようせんそう <br>[sound:k-2709_太平洋戦争.mp3]
[sound:k-2709_太平洋戦争.mp3]	the Pacific War<br> <b>太平洋戦争</b> <br> (たいへいようせんそう)
<b>北朝鮮</b> <br> 北朝鮮の核開発は国際的な懸念の焦点です。	[sound:s-2709_北朝鮮の核開発は国際的な懸念の焦点です。.mp3] <br> きたちょうせんのかくかいはつはこくさいてきなけねんのしょうてんです。 <br>North Korea's nuclear development is the focus of international concern.
[sound:s-2709_北朝鮮の核開発は国際的な懸念の焦点です。.mp3]	<b>北朝鮮</b> <br> 北朝鮮の核開発は国際的な懸念の焦点です。<br> きたちょうせんのかくかいはつはこくさいてきなけねんのしょうてんです <br>North Korea's nuclear development is the focus of international concern.
会談	[sound:k-2710_会談.mp3]<br>かいだん <br> conversation, conference, discussion, interview
conversation, conference, discussion, interview	<b>会談<b> <br> かいだん <br>[sound:k-2710_会談.mp3]
[sound:k-2710_会談.mp3]	conversation, conference, discussion, interview<br> <b>会談</b> <br> (かいだん)
<b>鮮やか</b> <br> その花火は鮮やかな色で空を彩りました。	[sound:s-2710_その花火は鮮やかな色で空を彩りました。.mp3] <br> そのはなびはあざやかないろでそらをいろどりました。 <br>The fireworks painted the sky with vibrant colors.
[sound:s-2710_その花火は鮮やかな色で空を彩りました。.mp3]	<b>鮮やか</b> <br> その花火は鮮やかな色で空を彩りました。<br> そのはなびはあざやかないろでそらをいろどりました <br>The fireworks painted the sky with vibrant colors.
相談	[sound:k-2711_相談.mp3]<br>そうだん <br> consultation, discussion
consultation, discussion	<b>相談<b> <br> そうだん <br>[sound:k-2711_相談.mp3]
[sound:k-2711_相談.mp3]	consultation, discussion<br> <b>相談</b> <br> (そうだん)
<b>朝鮮</b> <br> 古代の朝鮮半島は歴史的な遺跡が多く残っています。	[sound:s-2711_古代の朝鮮半島は歴史的な遺跡が多く残っています。.mp3] <br> こだいのちょうせんはんとうはれきしてきないせきがおおくのこっています。 <br>The ancient Korean Peninsula has many historical relics remaining.
[sound:s-2711_古代の朝鮮半島は歴史的な遺跡が多く残っています。.mp3]	<b>朝鮮</b> <br> 古代の朝鮮半島は歴史的な遺跡が多く残っています。<br> こだいのちょうせんはんとうはれきしてきないせきがおおくのこっています <br>The ancient Korean Peninsula has many historical relics remaining.
懇談	[sound:k-2712_懇談.mp3]<br>こんだん <br> informal talk
informal talk	<b>懇談<b> <br> こんだん <br>[sound:k-2712_懇談.mp3]
[sound:k-2712_懇談.mp3]	informal talk<br> <b>懇談</b> <br> (こんだん)
<b>朝鮮民主主義人民共和国</b> <br> 朝鮮民主主義人民共和国は東アジアに位置する国です。	[sound:s-2712_朝鮮民主主義人民共和国は東アジアに位置する国です。.mp3] <br> ちょうせんみんしゅしゅぎじんみんきょうわこくはひがしアジアにいちするくにです。 <br>The Democratic People's Republic of Korea is a country located in East Asia.
[sound:s-2712_朝鮮民主主義人民共和国は東アジアに位置する国です。.mp3]	<b>朝鮮民主主義人民共和国</b> <br> 朝鮮民主主義人民共和国は東アジアに位置する国です。<br> ちょうせんみんしゅしゅぎじんみんきょうわこくはひがしアジアにいちするくにです <br>The Democratic People's Republic of Korea is a country located in East Asia.
談合	[sound:k-2713_談合.mp3]<br>だんごう <br> consultation, discussion, conference; collusion, bid-rigging
consultation, discussion, conference; collusion, bid-rigging	<b>談合<b> <br> だんごう <br>[sound:k-2713_談合.mp3]
[sound:k-2713_談合.mp3]	consultation, discussion, conference; collusion, bid-rigging<br> <b>談合</b> <br> (だんごう)
<b>朝鮮半島</b> <br> 朝鮮半島は中国と韓国に隣接しています。	[sound:s-2713_朝鮮半島は中国と韓国に隣接しています。.mp3] <br> ちょうせんはんとうはちゅうごくとかんこくにりんせつしています。 <br>The Korean Peninsula is adjacent to China and South Korea.
[sound:s-2713_朝鮮半島は中国と韓国に隣接しています。.mp3]	<b>朝鮮半島</b> <br> 朝鮮半島は中国と韓国に隣接しています。<br> ちょうせんはんとうはちゅうごくとかんこくにりんせつしています <br>The Korean Peninsula is adjacent to China and South Korea.
相談役	[sound:k-2714_相談役.mp3]<br>そうだんやく <br> counselor, counsellor, adviser, advisor
counselor, counsellor, adviser, advisor	<b>相談役<b> <br> そうだんやく <br>[sound:k-2714_相談役.mp3]
[sound:k-2714_相談役.mp3]	counselor, counsellor, adviser, advisor<br> <b>相談役</b> <br> (そうだんやく)
<b>鮮明</b> <br> 彼の記憶は鮮明に事件を覚えています。	[sound:s-2714_彼の記憶は鮮明に事件を覚えています。.mp3] <br> かれのきおくはせんめいにじけんをおぼえています。 <br>His memory vividly recalls the incident.
[sound:s-2714_彼の記憶は鮮明に事件を覚えています。.mp3]	<b>鮮明</b> <br> 彼の記憶は鮮明に事件を覚えています。<br> かれのきおくはせんめいにじけんをおぼえています <br>His memory vividly recalls the incident.
談話	[sound:k-2715_談話.mp3]<br>だんわ <br> a talk, conversation
a talk, conversation	<b>談話<b> <br> だんわ <br>[sound:k-2715_談話.mp3]
[sound:k-2715_談話.mp3]	a talk, conversation<br> <b>談話</b> <br> (だんわ)
<b>新鮮</b> <br> 新鮮な野菜を使ってサラダを作りましょう。	[sound:s-2715_新鮮な野菜を使ってサラダを作りましょう。.mp3] <br> しんせんなやさいをつかってさらだをつくりましょう。 <br>Let's make a salad using fresh vegetables.
[sound:s-2715_新鮮な野菜を使ってサラダを作りましょう。.mp3]	<b>新鮮</b> <br> 新鮮な野菜を使ってサラダを作りましょう。<br> しんせんなやさいをつかってさらだをつくりましょう <br>Let's make a salad using fresh vegetables.
冗談	[sound:k-2716_冗談.mp3]<br>じょうだん <br> jest, joke
jest, joke	<b>冗談<b> <br> じょうだん <br>[sound:k-2716_冗談.mp3]
[sound:k-2716_冗談.mp3]	jest, joke<br> <b>冗談</b> <br> (じょうだん)
<b>生鮮</b> <br> スーパーマーケットでは生鮮食品が豊富に揃っています。	[sound:s-2716_スーパーマーケットでは生鮮食品が豊富に揃っています。.mp3] <br> すーぱーまーけっとではせいせんしょくひんがほうふにそろっています。 <br>Supermarkets offer a wide variety of fresh food.
[sound:s-2716_スーパーマーケットでは生鮮食品が豊富に揃っています。.mp3]	<b>生鮮</b> <br> スーパーマーケットでは生鮮食品が豊富に揃っています。<br> すーぱーまーけっとではせいせんしょくひんがほうふにそろっています <br>Supermarkets offer a wide variety of fresh food.
商談	[sound:k-2717_商談.mp3]<br>しょうだん <br> business discussion, negotiation
business discussion, negotiation	<b>商談<b> <br> しょうだん <br>[sound:k-2717_商談.mp3]
[sound:k-2717_商談.mp3]	business discussion, negotiation<br> <b>商談</b> <br> (しょうだん)
<b>鮮度</b> <br> 鮮度の良い魚を選ぶと料理が美味しくなります。	[sound:s-2717_鮮度の良い魚を選ぶと料理が美味しくなります。.mp3] <br> せんどのよいさかなをえらぶとりょうりがおいしくなります。 <br>Choosing fresh fish enhances the taste of the dish.
[sound:s-2717_鮮度の良い魚を選ぶと料理が美味しくなります。.mp3]	<b>鮮度</b> <br> 鮮度の良い魚を選ぶと料理が美味しくなります。<br> せんどのよいさかなをえらぶとりょうりがおいしくなります <br>Choosing fresh fish enhances the taste of the dish.
対談	[sound:k-2718_対談.mp3]<br>たいだん <br> talk, dialogue, conversation
talk, dialogue, conversation	<b>対談<b> <br> たいだん <br>[sound:k-2718_対談.mp3]
[sound:k-2718_対談.mp3]	talk, dialogue, conversation<br> <b>対談</b> <br> (たいだん)
<b>新鮮さ</b> <br> その果物の新鮮さがその品質を示しています。	[sound:s-2718_その果物の新鮮さがその品質を示しています。.mp3] <br> そのくだもののしんせんさがそのひんしつをしめしています。 <br>The freshness of the fruit indicates its quality.
[sound:s-2718_その果物の新鮮さがその品質を示しています。.mp3]	<b>新鮮さ</b> <br> その果物の新鮮さがその品質を示しています。<br> そのくだもののしんせんさがそのひんしつをしめしています <br>The freshness of the fruit indicates its quality.
座談会	[sound:k-2719_座談会.mp3]<br>ざだんかい <br> symposium, round-table discussion
symposium, round-table discussion	<b>座談会<b> <br> ざだんかい <br>[sound:k-2719_座談会.mp3]
[sound:k-2719_座談会.mp3]	symposium, round-table discussion<br> <b>座談会</b> <br> (ざだんかい)
<b>準備</b> <br> 旅行の準備は整いましたか？	[sound:s-2719_旅行の準備は整いましたか？.mp3] <br> りょこうのじゅんびはととのいましたか？ <br>Are the preparations for the trip ready?
[sound:s-2719_旅行の準備は整いましたか？.mp3]	(<b>準備</b>) 旅行の準備は整いましたか？	りょこうのじゅんびはととのいましたか？ <br>Are the preparations for the trip ready?
能	[sound:k-2720_能.mp3]<br>のう <br> talent, gift, function; noh (theatre)
talent, gift, function; noh (theatre)	<b>能<b> <br> のう <br>[sound:k-2720_能.mp3]
[sound:k-2720_能.mp3]	talent, gift, function; noh<br> <b>theatre) (能</b> <br> (のう)
<b>整備</b> <br> 自動車を定期的に整備することは安全に運転するために重要です。	[sound:s-2720_自動車を定期的に整備することは安全に運転するために重要です。.mp3] <br> じどうしゃをていきてきにせいびすることはあんぜんにうんてんするためにじゅうようです。 <br>Regular maintenance of the car is important for safe driving.
[sound:s-2720_自動車を定期的に整備することは安全に運転するために重要です。.mp3]	<b>整備</b> <br> 自動車を定期的に整備することは安全に運転するために重要です。<br> じどうしゃをていきてきにせいびすることはあんぜんにうんてんするためにじゅうようです <br>Regular maintenance of the car is important for safe driving.
可能	[sound:k-2721_可能.mp3]<br>かのう <br> possible, practicable, feasible
possible, practicable, feasible	<b>可能<b> <br> かのう <br>[sound:k-2721_可能.mp3]
[sound:k-2721_可能.mp3]	possible, practicable, feasible<br> <b>可能</b> <br> (かのう)
<b>設備</b> <br> この施設は最新の設備を備えています。	[sound:s-2721_この施設は最新の設備を備えています。.mp3] <br> このしせつはさいしんのせつびをそなえています。 <br>This facility is equipped with state-of-the-art facilities.
[sound:s-2721_この施設は最新の設備を備えています。.mp3]	<b>設備</b> <br> この施設は最新の設備を備えています。<br> このしせつはさいしんのせつびをそなえています <br>This facility is equipped with state-of-the-art facilities.
可能性	[sound:k-2722_可能性.mp3]<br>かのうせい <br> potentiality, likelihood, possibility, availability
potentiality, likelihood, possibility, availability	<b>可能性<b> <br> かのうせい <br>[sound:k-2722_可能性.mp3]
[sound:k-2722_可能性.mp3]	potentiality, likelihood, possibility, availability<br> <b>可能性</b> <br> (かのうせい)
<b>備える</b> <br> 台風に備えて非常食を備えておきます。	[sound:s-2722_台風に備えて非常食を備えておきます。.mp3] <br> たいふうにそなえてひじょうしょくをそなえておきます。 <br>I'll stock up on emergency food in preparation for the typhoon.
[sound:s-2722_台風に備えて非常食を備えておきます。.mp3]	<b>備える</b> <br> 台風に備えて非常食を備えておきます。<br> たいふうにそなえてひじょうしょくをそなえておきます <br>I'll stock up on emergency food in preparation for the typhoon.
機能	[sound:k-2723_機能.mp3]<br>きのう <br> function, facility, faculty, feature
function, facility, faculty, feature	<b>機能<b> <br> きのう <br>[sound:k-2723_機能.mp3]
[sound:k-2723_機能.mp3]	function, facility, faculty, feature<br> <b>機能</b> <br> (きのう)
<b>警備</b> <br> 大統領の警備は非常に厳重です。	[sound:s-2723_大統領の警備は非常に厳重です。.mp3] <br> だいとうりょうのけいびはひじょうにげんじゅうです。 <br>The security for the president is extremely tight.
[sound:s-2723_大統領の警備は非常に厳重です。.mp3]	<b>警備</b> <br> 大統領の警備は非常に厳重です。<br> だいとうりょうのけいびはひじょうにげんじゅうです <br>The security for the president is extremely tight.
能力	[sound:k-2724_能力.mp3]<br>のうりょく <br> ability, faculty
ability, faculty	<b>能力<b> <br> のうりょく <br>[sound:k-2724_能力.mp3]
[sound:k-2724_能力.mp3]	ability, faculty<br> <b>能力</b> <br> (のうりょく)
<b>守備</b> <br> そのチームは優れた守備力を持っています。	[sound:s-2724_そのチームは優れた守備力を持っています。.mp3] <br> そのチームはすぐれたしゅびりょくをもっています。 <br>That team has excellent defensive capabilities.
[sound:s-2724_そのチームは優れた守備力を持っています。.mp3]	<b>守備</b> <br> そのチームは優れた守備力を持っています。<br> そのチームはすぐれたしゅびりょくをもっています <br>That team has excellent defensive capabilities.
芸能	[sound:k-2725_芸能.mp3]<br>げいのう <br> public entertainment, accomplishments, attainments
public entertainment, accomplishments, attainments	<b>芸能<b> <br> げいのう <br>[sound:k-2725_芸能.mp3]
[sound:k-2725_芸能.mp3]	public entertainment, accomplishments, attainments<br> <b>芸能</b> <br> (げいのう)
<b>予備</b> <br> 会議のための予備資料を用意しています。	[sound:s-2725_会議のための予備資料を用意しています。.mp3] <br> かいぎのためのよびしりょうをよういしています。 <br>I'm preparing backup materials for the meeting.
[sound:s-2725_会議のための予備資料を用意しています。.mp3]	<b>予備</b> <br> 会議のための予備資料を用意しています。<br> かいぎのためのよびしりょうをよういしています <br>I'm preparing backup materials for the meeting.
不可能	[sound:k-2726_不可能.mp3]<br>ふかのう <br> impossible
impossible	<b>不可能<b> <br> ふかのう <br>[sound:k-2726_不可能.mp3]
[sound:k-2726_不可能.mp3]	impossible<br> <b>不可能</b> <br> (ふかのう)
<b>装備</b> <br> 彼は山登りのために最新の装備を購入しました。	[sound:s-2726_彼は山登りのために最新の装備を購入しました。.mp3] <br> かれはやまのぼりのためにさいしんのそうびをこうにゅうしました。 <br>He bought the latest equipment for mountain climbing.
