There is a meeting on the same day.	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> [sound:4c-s-同日に会議があります。.mp3]
Labor-management negotiations have started.	<b>労使交渉が始まりました。</b> <br> ろうしこうしょうがはじまりました。 <br><br> (労使) <br> [sound:4c-s-労使交渉が始まりました。.mp3]
He demanded a salary increase.	<b>彼は給料の増額を要求しました。</b> <br> かれはきゅうりょうのぞうがくをようきゅうしました。 <br><br> (要求) <br> [sound:4c-s-彼は給料の増額を要求しました。.mp3]
I received the electricity bill.	<b>電気代の請求が届きました。</b> <br> でんきだいのせいきゅうがとどきました。 <br><br> (請求) <br> [sound:4c-s-電気代の請求が届きました。.mp3]
He is pursuing the truth.	<b>彼は真実を追求しています。</b> <br> かれはしんじつをついきゅうしています。 <br><br> (追求) <br> [sound:4c-s-彼は真実を追求しています。.mp3]
He is currently looking for a job.	<b>彼は現在、求職中です。</b> <br> かれはげんざい、きゅうしょくちゅうです。 <br><br> (求職) <br> [sound:4c-s-彼は現在、求職中です。.mp3]
I went to the office in this building.	<b>このビルの事務所に行きました。</b> <br> このびるのじむしょにいきました。 <br><br> (事務所) <br> [sound:4c-s-このビルの事務所に行きました。.mp3]
The location for the meeting has not been decided yet.	<b>会議の場所はまだ決まっていません。</b> <br> かいぎのばしょはまだきまっていません。 <br><br> (場所) <br> [sound:4c-s-会議の場所はまだ決まっていません。.mp3]
I belong to the marketing department.	<b>私はマーケティング部に所属しています。</b> <br> わたしはまーけてぃんぐぶにしょぞくしています。 <br><br> (所属) <br> [sound:4c-s-私はマーケティング部に所属しています。.mp3]
He is an independent member of parliament.	<b>彼は無所属の議員です。</b> <br> かれはむしょぞくのぎいんです。 <br><br> (無所属) <br> [sound:4c-s-彼は無所属の議員です。.mp3]
The vice minister attended the meeting.	<b>次官が会議に出席しました。</b> <br> じかんがかいぎにしゅっせきしました。 <br><br> (次官) <br> [sound:4c-s-次官が会議に出席しました。.mp3]
The permanent secretary plays an important role.	<b>事務次官は重要な役割を担っています。</b> <br> じむじかんはじゅうようなやくわりをになっています。 <br><br> (事務次官) <br> [sound:4c-s-事務次官は重要な役割を担っています。.mp3]
The parliamentary secretary announced the government’s policy.	<b>政務次官が政府の方針を発表しました。</b> <br> せいむじかんがせいふのほうしんをはっぴょうしました。 <br><br> (政務次官) <br> [sound:4c-s-政務次官が政府の方針を発表しました。.mp3]
I traveled by walking along the fifty-three stations.	<b>五十三次を歩いて旅をしました。</b> <br> ごじゅうさんじをあるいてたびをしました。 <br><br> (五十三次) <br> [sound:4c-s-五十三次を歩いて旅をしました。.mp3]
Water is essential for life.	<b>水は生きるために必要です。</b> <br> みずはいきるためにひつようです。 <br><br> (水) <br> [sound:4c-s-水は生きるために必要です。.mp3]
The quality of that product is at a high level.	<b>その商品の品質は高い水準にあります。</b> <br> そのしょうひんのひんしつはたかいすいじゅんにあります。 <br><br> (水準) <br> [sound:4c-s-その商品の品質は高い水準にあります。.mp3]
The water quality of the lake has improved.	<b>湖の水質は改善されました。</b> <br> みずうみのすいしつはかいぜんされました。 <br><br> (水質) <br> [sound:4c-s-湖の水質は改善されました。.mp3]
Sewer work is being conducted.	<b>下水道の工事が行われています。</b> <br> げすいどうのこうじがおこなわれています。 <br><br> (下水道) <br> [sound:4c-s-下水道の工事が行われています。.mp3]
The game has completed half of its duration.	<b>試合は半分が終了しました。</b> <br> しあいははんぶんがしゅうりょうしました。 <br><br> (半) <br> [sound:4c-s-試合は半分が終了しました。.mp3]
The meeting starts at 3:30.	<b>会議は三時半に始まります。</b> <br> かいぎはさんじはんにはじまります。 <br><br> (時半) <br> [sound:4c-s-会議は三時半に始まります。.mp3]
The Korean Peninsula is a historically significant region.	<b>朝鮮半島は歴史的に重要な地域です。</b> <br> ちょうせんはんとうはれきしてきにじゅうようなちいきです。 <br><br> (朝鮮半島) <br> [sound:4c-s-朝鮮半島は歴史的に重要な地域です。.mp3]
Half of the votes were in favor.	<b>投票の半数が賛成しました。</b> <br> とうひょうのはんすうがさんせいしました。 <br><br> (半数) <br> [sound:4c-s-投票の半数が賛成しました。.mp3]
His latest work is highly praised.	<b>彼の最新の作品は非常に評価されています。</b> <br> かれのさいしんのさくひんはひじょうにひょうかされています。 <br><br> (作品) <br> [sound:4c-s-彼の最新の作品は非常に評価されています。.mp3]
New products have been displayed in the store.	<b>新しい商品が店に並びました。</b> <br> あたらしいしょうひんがみせにならびました。 <br><br> (商品) <br> [sound:4c-s-新しい商品が店に並びました。.mp3]
This type of flower is very rare.	<b>この花の品種は非常に珍しいです。</b> <br> このはなのひんしゅはひじょうにめずらしいです。 <br><br> (品種) <br> [sound:4c-s-この花の品種は非常に珍しいです。.mp3]
There are many items on the menu.	<b>メニューには多くの品目があります。</b> <br> めにゅーにはおおくのひんもくがあります。 <br><br> (品目) <br> [sound:4c-s-メニューには多くの品目があります。.mp3]
Last year was a very busy year.	<b>昨年はとても忙しい年でした。</b> <br> さくねんはとてもいそがしいとしでした。 <br><br> (昨年) <br> [sound:4c-s-昨年はとても忙しい年でした。.mp3]
I went abroad the year before last.	<b>一昨年、私は海外に行きました。</b> <br> おととし、わたしはかいがいにいきました。 <br><br> (一昨年) <br> [sound:4c-s-一昨年、私は海外に行きました。.mp3]
It was very cold last night.	<b>昨夜はとても寒かったです。</b> <br> ゆうべはとてもさむかったです。 <br><br> (昨夜) <br> [sound:4c-s-昨夜はとても寒かったです。.mp3]
Last winter, a lot of snow fell.	<b>昨冬、雪がたくさん降りました。</b> <br> さくふゆ、ゆきがたくさんふりました。 <br><br> (昨冬) <br> [sound:4c-s-昨冬、雪がたくさん降りました。.mp3]
As a result of the debate, opinions were unified.	<b>論議の結果、意見が一致しました。</b> <br> ろんぎのけっか、いけんがいっちしました。 <br><br> (論議) <br> [sound:4c-s-論議の結果、意見が一致しました。.mp3]
After the discussion, a conclusion was reached.	<b>議論の後、結論が出ました。</b> <br> ぎろんのあと、けつろんがでました。 <br><br> (議論) <br> [sound:4c-s-議論の後、結論が出ました。.mp3]
A dispute arose between them.	<b>彼らの間で論争が起こりました。</b> <br> かれらのあいだでろんそうがおこりました。 <br><br> (論争) <br> [sound:4c-s-彼らの間で論争が起こりました。.mp3]
Thinking logically is important.	<b>論理的に考えることは重要です。</b> <br> ろんりてきにかんがえることはじゅうようです。 <br><br> (論理) <br> [sound:4c-s-論理的に考えることは重要です。.mp3]
Please check the budget before making a plan.	<b>計画を立てる前に、予算を確認してください。</b> <br> けいかくをたてるまえに、よさんをかくにんしてください。 <br><br> (計) <br> [sound:4c-s-計画を立てる前に、予算を確認してください。.mp3]
I proposed a new plan.	<b>私は新しい計画を提案しました。</b> <br> わたしはあたらしいけいかくをていあんしました。 <br><br> (計画) <br> [sound:4c-s-私は新しい計画を提案しました。.mp3]
The results of the tally were announced.	<b>集計結果が発表されました。</b> <br> しゅうけいけっかがはっぴょうされました。 <br><br> (集計) <br> [sound:4c-s-集計結果が発表されました。.mp3]
Managing household finances is important.	<b>家計の管理が重要です。</b> <br> かけいのかんりがじゅうようです。 <br><br> (家計) <br> [sound:4c-s-家計の管理が重要です。.mp3]
He died in the war.	<b>彼は戦争で死にました。</b> <br> かれはせんそうでしにました。 <br><br> (死) <br> [sound:4c-s-彼は戦争で死にました。.mp3]
Many casualties occurred in the accident.	<b>事故で多くの死者が出ました。</b> <br> じこでおおくのししゃがでました。 <br><br> (死者) <br> [sound:4c-s-事故で多くの死者が出ました。.mp3]
After his death, his fame spread.	<b>死後、彼の名声は広まりました。</b> <br> しご、かれのめいせいはひろまりました。 <br><br> (死後) <br> [sound:4c-s-死後、彼の名声は広まりました。.mp3]
The police discovered the body.	<b>警察は死体を発見しました。</b> <br> けいさつはしたいをはっけんしました。 <br><br> (死体) <br> [sound:4c-s-警察は死体を発見しました。.mp3]
The director made an important statement at the meeting.	<b>長官は会議で重要な発言をしました。</b> <br> ちょうかんはかいぎでじゅうようなはつげんをしました。 <br><br> (長官) <br> [sound:4c-s-長官は会議で重要な発言をしました。.mp3]
The Prime Minister is at the official residence.	<b>総理大臣は官邸にいます。</b> <br> そうりだいじんはかんていにいます。 <br><br> (官邸) <br> [sound:4c-s-総理大臣は官邸にいます。.mp3]
The Chief Cabinet Secretary held a press conference.	<b>官房長官が記者会見を行いました。</b> <br> かんぼうちょうかんがきしゃかいけんをおこないました。 <br><br> (官房) <br> [sound:4c-s-官房長官が記者会見を行いました。.mp3]
The Secretary of State visited a foreign country.	<b>国務長官は外国を訪問しました。</b> <br> こくむちょうかんはがいこくをほうもんしました。 <br><br> (国務長官) <br> [sound:4c-s-国務長官は外国を訪問しました。.mp3]
The population is increasing.	<b>人口が増加しています。</b> <br> じんこうがぞうかしています。 <br><br> (増加) <br> [sound:4c-s-人口が増加しています。.mp3]
The government decided on a tax increase.	<b>政府は増税を決定しました。</b> <br> せいふはぞうぜいをけっていしました。 <br><br> (増税) <br> [sound:4c-s-政府は増税を決定しました。.mp3]
Companies are expected to see increased profits this year.	<b>今年は企業の増益が見込まれています。</b> <br> ことしはきぎょうのぞうえきがみこまれています。 <br><br> (増益) <br> [sound:4c-s-今年は企業の増益が見込まれています。.mp3]
A budget increase was approved.	<b>予算の増額が承認されました。</b> <br> よさんのぞうがくがしょうにんされました。 <br><br> (増額) <br> [sound:4c-s-予算の増額が承認されました。.mp3]
He is in charge of the project.	<b>彼はプロジェクトの係です。</b> <br> かれはぷろじぇくとのかかりです。 <br><br> (係) <br> [sound:4c-s-彼はプロジェクトの係です。.mp3]
We have built a long relationship.	<b>私たちは長い関係を築いてきました。</b> <br> わたしたちはながいかんけいをきずいてきました。 <br><br> (関係) <br> [sound:4c-s-私たちは長い関係を築いてきました。.mp3]
This issue is still under dispute.	<b>この件はまだ係争中です。</b> <br> このけんはまだけいそうちゅうです。 <br><br> (係争) <br> [sound:4c-s-この件はまだ係争中です。.mp3]
The teamwork in the soccer game was fantastic.	<b>サッカーの連係プレーが素晴らしかった。</b> <br> さっかーのれんけいぷれーがすばらしかった。 <br><br> (連係プレー) <br> [sound:4c-s-サッカーの連係プレーが素晴らしかった。.mp3]
This place has a very calm feeling.	<b>この場所はとても落ち着いた感じです。</b> <br> このばしょはとてもおちついたかんじです。 <br><br> (感じ) <br> [sound:4c-s-この場所はとても落ち着いた感じです。.mp3]
He has a keen sense of color.	<b>彼は色に敏感な感覚を持っています。</b> <br> かれはいろにびんかんなかんかくをもっています。 <br><br> (感覚) <br> [sound:4c-s-彼は色に敏感な感覚を持っています。.mp3]
Her sensitivity is extremely sharp.	<b>彼女の感性は非常に鋭いです。</b> <br> かのじょのかんせいはひじょうにするどいです。 <br><br> (感性) <br> [sound:4c-s-彼女の感性は非常に鋭いです。.mp3]
I truly feel the situation.	<b>私はその状況を実感しています。</b> <br> わたしはそのじょうきょうをじっかんしています。 <br><br> (実感) <br> [sound:4c-s-私はその状況を実感しています。.mp3]
There is an especially important issue.	<b>特に重要な問題があります。</b> <br> とくにじゅうようなもんだいがあります。 <br><br> (特に) <br> [sound:4c-s-特に重要な問題があります。.mp3]
Today is a special day.	<b>今日は特別な日です。</b> <br> きょうはとくべつなひです。 <br><br> (特別) <br> [sound:4c-s-今日は特別な日です。.mp3]
He was sent abroad as a special envoy.	<b>特使として彼は海外に派遣されました。</b> <br> とくしとしてかれはかいがいにはけんされました。 <br><br> (特使) <br> [sound:4c-s-特使として彼は海外に派遣されました。.mp3]
This magazine has a special feature on environmental issues.	<b>この雑誌には環境問題に関する特集があります。</b> <br> このざっきにはかんきょうもんだいにかんするとくしゅうがあります。 <br><br> (特集) <br> [sound:4c-s-この雑誌には環境問題に関する特集があります。.mp3]
His passion is amazing.	<b>彼の情熱は素晴らしいです。</b> <br> かれのじょうねつはすばらしいです。 <br><br> (情) <br> [sound:4c-s-彼の情熱は素晴らしいです。.mp3]
The circumstances changed, so I modified the plan.	<b>事情が変わったので、予定を変更しました。</b> <br> じじょうがかわったので、よていをへんこうしました。 <br><br> (事情) <br> [sound:4c-s-事情が変わったので、予定を変更しました。.mp3]
She is singing passionately.	<b>彼女は情熱的に歌っています。</b> <br> かのじょはじょうねつてきにうたっています。 <br><br> (情熱) <br> [sound:4c-s-彼女は情熱的に歌っています。.mp3]
He has deep affection for his family.	<b>彼は家族に対して深い愛情を持っています。</b> <br> かれはかぞくにたいしてふかいあいじょうをもっています。 <br><br> (愛情) <br> [sound:4c-s-彼は家族に対して深い愛情を持っています。.mp3]
He is investing in stocks.	<b>彼は株に投資しています。</b> <br> かれはかぶにとうししています。 <br><br> (投資) <br> [sound:4c-s-彼は株に投資しています。.mp3]
The pitcher is the first one in the game.	<b>投手は試合の最初のピッチャーです。</b> <br> とうしゅはしあいのさいしょのぴっちゃーです。 <br><br> (投手) <br> [sound:4c-s-投手は試合の最初のピッチャーです。.mp3]
Speculation is very risky.	<b>投機は非常にリスクが高いです。</b> <br> とうきはひじょうにりすくがたかいです。 <br><br> (投機) <br> [sound:4c-s-投機は非常にリスクが高いです。.mp3]
Illegal dumping is a problem in that area.	<b>その地域では不法投棄が問題になっています。</b> <br> そのちいきではふほうとうきがもんだいになっています。 <br><br> (投棄) <br> [sound:4c-s-その地域では不法投棄が問題になっています。.mp3]
He clearly expressed his opinion.	<b>彼は明確に意見を示しました。</b> <br> かれはめいかくにいけんをしめしました。 <br><br> (示す) <br> [sound:4c-s-彼は明確に意見を示しました。.mp3]
I received instructions from my boss.	<b>上司から指示がありました。</b> <br> じょうしからしじがありました。 <br><br> (指示) <br> [sound:4c-s-上司から指示がありました。.mp3]
He proposed a solution.	<b>彼は解決策を提示しました。</b> <br> かれはかいけつさくをていじしました。 <br><br> (提示) <br> [sound:4c-s-彼は解決策を提示しました。.mp3]
She clearly showed her intentions.	<b>彼女は意思表示をはっきりしました。</b> <br> かのじょはいしひょうじをはっきりしました。 <br><br> (意思表示) <br> [sound:4c-s-彼女は意思表示をはっきりしました。.mp3]
His way of thinking changed a little.	<b>彼の考え方は少し変わった。</b> <br> かれのかんがえかたはすこしかわった。 <br><br> (変わった) <br> [sound:4c-s-彼の考え方は少し変わった。.mp3]
This rule does not change.	<b>このルールは変わらない。</b> <br> このるーるはかわらない。 <br><br> (変わらない) <br> [sound:4c-s-このルールは変わらない。.mp3]
He behaved strangely.	<b>彼は変な行動をしました。</b> <br> かれはへんなこうどうをしました。 <br><br> (変) <br> [sound:4c-s-彼は変な行動をしました。.mp3]
Society is undergoing rapid transformation.	<b>社会は急速に変革しています。</b> <br> しゃかいはきゅうそくにへんかくしています。 <br><br> (変革) <br> [sound:4c-s-社会は急速に変革しています。.mp3]
He hit the ball.	<b>彼はボールを打ちました。</b> <br> かれはぼーるをうちました。 <br><br> (打つ) <br> [sound:4c-s-彼はボールを打ちました。.mp3]
The player hit a home run.	<b>その選手は本塁打を打ちました。</b> <br> そのせんしゅはほんるいだをうちました。 <br><br> (本塁打) <br> [sound:4c-s-その選手は本塁打を打ちました。.mp3]
The rocket successfully launched.	<b>ロケットは打ち上げに成功しました。</b> <br> ろけっとはうちあげにせいこうしました。 <br><br> (打ち上げ) <br> [sound:4c-s-ロケットは打ち上げに成功しました。.mp3]
I am thinking of a way to overcome the situation.	<b>状況を打開する方法を考えています。</b> <br> じょうきょうをだかいするほうほうをかんがえています。 <br><br> (打開) <br> [sound:4c-s-状況を打開する方法を考えています。.mp3]
The man has a strong will.	<b>男は強い意志を持っています。</b> <br> おとこはつよいいしをもっています。 <br><br> (男) <br> [sound:4c-s-男は強い意志を持っています。.mp3]
The men's team won.	<b>男子チームが勝利しました。</b> <br> だんしてぃーむがしょうりしました。 <br><br> (男子) <br> [sound:4c-s-男子チームが勝利しました。.mp3]
One boy came home.	<b>一男が家に帰ってきました。</b> <br> いちなんがいえにかえってきました。 <br><br> (一男) <br> [sound:4c-s-一男が家に帰ってきました。.mp3]
He is a famous actor.	<b>彼は有名な男優です。</b> <br> かれはゆうめいなおとこゆうです。 <br><br> (男優) <br> [sound:4c-s-彼は有名な男優です。.mp3]
Let’s follow the basic rules.	<b>基本的なルールを守りましょう。</b> <br> きほんてきなるーるをまもりましょう。 <br><br> (基本) <br> [sound:4c-s-基本的なルールを守りましょう。.mp3]
The standard for this exam is very high.	<b>この試験の基準は非常に高いです。</b> <br> このしけんのきじゅんはひじょうにたかいです。 <br><br> (基準) <br> [sound:4c-s-この試験の基準は非常に高いです。.mp3]
The development of core industries supports the economy.	<b>基幹産業の発展が経済を支えています。</b> <br> きかんさんぎょうのはってんがけいざいをささえています。 <br><br> (基幹) <br> [sound:4c-s-基幹産業の発展が経済を支えています。.mp3]
The key currency is the U.S. dollar.	<b>基軸通貨はアメリカドルです。</b> <br> きじくつうかはあめりかどるです。 <br><br> (基軸) <br> [sound:4c-s-基軸通貨はアメリカドルです。.mp3]
I live in Japan.	<b>私は日本に住んでいます。</b> <br> わたしはにほんにすんでいます。 <br><br> (私) <br> [sound:4c-s-私は日本に住んでいます。.mp3]
I attend a private school.	<b>私立の学校に通っています。</b> <br> しりつのがっこうにかよっています。 <br><br> (私立) <br> [sound:4c-s-私立の学校に通っています。.mp3]
He lost his private document.	<b>彼は私文書を紛失しました。</b> <br> かれはしぶんしょをふんしつしました。 <br><br> (私文書) <br> [sound:4c-s-彼は私文書を紛失しました。.mp3]
The private library is quiet and comfortable.	<b>私設の図書館は静かで快適です。</b> <br> しせつのとしょかんはしずかでかいてきです。 <br><br> (私設) <br> [sound:4c-s-私設の図書館は静かで快適です。.mp3]
Please fulfill each person's role properly.	<b>各自の役割をしっかり果たしてください。</b> <br> かくじのやくわりをしっかりはたしてください。 <br><br> (各自) <br> [sound:4c-s-各自の役割をしっかり果たしてください。.mp3]
There are many types of schools in Japan.	<b>日本には多くの各種学校があります。</b> <br> にほんにはおおくのかくしゅがっこうがあります。 <br><br> (各種学校) <br> [sound:4c-s-日本には多くの各種学校があります。.mp3]
Each member has finished their work.	<b>各員が自分の仕事を終えました。</b> <br> かくいんがじぶんのしごとをおえました。 <br><br> (各員) <br> [sound:4c-s-各員が自分の仕事を終えました。.mp3]
The local train is delayed at every station.	<b>各駅停車の電車が遅れています。</b> <br> かくえきていしゃのでんしゃがおくれています。 <br><br> (各駅) <br> [sound:4c-s-各駅停車の電車が遅れています。.mp3]
The meeting will start at 10 o'clock.	<b>会議は10時に開始されます。</b> <br> かいぎはじゅうじにかいしされます。 <br><br> (開始) <br> [sound:4c-s-会議は10時に開始されます。.mp3]
This is the beginning of a new adventure.	<b>新しい冒険の始まりです。</b> <br> あたらしいぼうけんのはじまりです。 <br><br> (始まり) <br> [sound:4c-s-新しい冒険の始まりです。.mp3]
The first train departs at 6 AM.	<b>始発の電車は6時に出発します。</b> <br> しはつのでんしゃはろくじにしゅっぱつします。 <br><br> (始発) <br> [sound:4c-s-始発の電車は6時に出発します。.mp3]
Let’s start by solving some simple problems.	<b>手始めに簡単な問題を解いてみましょう。</b> <br> てはじめにかんたんなもんだいをといてみましょう。 <br><br> (手始め) <br> [sound:4c-s-手始めに簡単な問題を解いてみましょう。.mp3]
This island is very beautiful.	<b>この島はとても美しいです。</b> <br> このしまはとても美しいです。 <br><br> (島) <br> [sound:4c-s-この島はとても美しいです。.mp3]
The Korean Peninsula is located in East Asia.	<b>朝鮮半島は東アジアに位置しています。</b> <br> ちょうせんはんとうはひがしあじあにいちしています。 <br><br> (朝鮮半島) <br> [sound:4c-s-朝鮮半島は東アジアに位置しています。.mp3]
Japan is an island nation.	<b>日本は島国です。</b> <br> にほんはしまぐにです。 <br><br> (島国) <br> [sound:4c-s-日本は島国です。.mp3]
You need to take a ferry to go to the remote island.	<b>離島へ行くには船を使う必要があります。</b> <br> りとうへいくにはふねをつかうひつようがあります。 <br><br> (離島) <br> [sound:4c-s-離島へ行くには船を使う必要があります。.mp3]
I plan to meet him directly.	<b>直に彼に会う予定です。</b> <br> なおにかれにあうよていです。 <br><br> (直) <br> [sound:4c-s-直に彼に会う予定です。.mp3]
Please take action immediately.	<b>直ちに行動を起こしてください。</b> <br> ただちにこうどうをおこしてください。 <br><br> (直ちに) <br> [sound:4c-s-直ちに行動を起こしてください。.mp3]
Honestly speaking, it’s impossible.	<b>正直に言うと、それは無理です。</b> <br> しょうじきにいうと、それはむりです。 <br><br> (正直) <br> [sound:4c-s-正直に言うと、それは無理です。.mp3]
He has a straightforward personality.	<b>彼は素直な性格です。</b> <br> かれはすなおなせいかくです。 <br><br> (素直) <br> [sound:4c-s-彼は素直な性格です。.mp3]
The relationship between both countries is good.	<b>両国の関係は良好です。</b> <br> りょうこくのかんけいはりょうこうです。 <br><br> (両国) <br> [sound:4c-s-両国の関係は良好です。.mp3]
Both parties held discussions.	<b>両党が協議を行いました。</b> <br> りょうとうがきょうぎをおこないました。 <br><br> (両党) <br> [sound:4c-s-両党が協議を行いました。.mp3]
I want to hear both opinions.	<b>両方の意見を聞きたいです。</b> <br> りょうほうのいけんをききたいです。 <br><br> (両方) <br> [sound:4c-s-両方の意見を聞きたいです。.mp3]
This issue has two sides.	<b>この問題には両面があります。</b> <br> このもんだいにはりょうめんがあります。 <br><br> (両面) <br> [sound:4c-s-この問題には両面があります。.mp3]
The morning air is refreshing.	<b>朝の空気は爽やかです。</b> <br> あさのくうきはさわやかです。 <br><br> (朝) <br> [sound:4c-s-朝の空気は爽やかです。.mp3]
I read the news about North Korea.	<b>北朝鮮のニュースを読んだ。</b> <br> きたちょうせんのニュースをよんだ。 <br><br> (北朝鮮) <br> [sound:4c-s-北朝鮮のニュースを読んだ。.mp3]
Breakfast is bread and coffee.	<b>朝食はパンとコーヒーです。</b> <br> ちょうしょくはパンとコーヒーです。 <br><br> (朝食) <br> [sound:4c-s-朝食はパンとコーヒーです。.mp3]
I go jogging every morning.	<b>毎朝ジョギングをします。</b> <br> まいあさジョギングをします。 <br><br> (毎朝) <br> [sound:4c-s-毎朝ジョギングをします。.mp3]
This bag is made of leather.	<b>このバッグは革製です。</b> <br> このバッグはかわせいです。 <br><br> (革) <br> [sound:4c-s-このバッグは革製です。.mp3]
The government is promoting reform.	<b>政府は改革を進めています。</b> <br> せいふはかいかくをすすめています。 <br><br> (改革) <br> [sound:4c-s-政府は改革を進めています。.mp3]
Agricultural reform was implemented.	<b>農地改革が実施されました。</b> <br> のうちかいかくがじっしされました。 <br><br> (農地改革) <br> [sound:4c-s-農地改革が実施されました。.mp3]
I polished my leather shoes.	<b>革靴を磨きました。</b> <br> かわぐつをみがきました。 <br><br> (革靴) <br> [sound:4c-s-革靴を磨きました。.mp3]
This product is expensive.	<b>この商品の価格は高いです。</b> <br> このしょうひんのかかくはたかいです。 <br><br> (価格) <br> [sound:4c-s-この商品の価格は高いです。.mp3]
Today's stock prices went down.	<b>今日の株価は下がりました。</b> <br> きょうのかぶかはさがりました。 <br><br> (株価) <br> [sound:4c-s-今日の株価は下がりました。.mp3]
Rice prices are increasing.	<b>米価が上昇しています。</b> <br> べいかがじょうしょうしています。 <br><br> (米価) <br> [sound:4c-s-米価が上昇しています。.mp3]
It is sold at market price.	<b>時価で販売されています。</b> <br> じかではんばいされています。 <br><br> (時価) <br> [sound:4c-s-時価で販売されています。.mp3]
He bought stocks.	<b>彼は株式を購入しました。</b> <br> かれはかぶしきをこうにゅうしました。 <br><br> (株式) <br> [sound:4c-s-彼は株式を購入しました。.mp3]
There was an official announcement.	<b>公式発表がありました。</b> <br> こうしきはっぴょうがありました。 <br><br> (公式) <br> [sound:4c-s-公式発表がありました。.mp3]
He is the president of the corporation.	<b>彼は株式会社の社長です。</b> <br> かれはかぶしきがいしゃのしゃちょうです。 <br><br> (株式会社) <br> [sound:4c-s-彼は株式会社の社長です。.mp3]
The ceremony was solemnly conducted.	<b>儀式が厳かに行われました。</b> <br> ぎしきがおごそかにおこなわれました。 <br><br> (儀式) <br> [sound:4c-s-儀式が厳かに行われました。.mp3]
That is certainly true.	<b>確かにその通りです。</b> <br> たしかにそのとおりです。 <br><br> (確か) <br> [sound:4c-s-確かにその通りです。.mp3]
Success is certain.	<b>成功は確実です。</b> <br> せいこうはかくじつです。 <br><br> (確実) <br> [sound:4c-s-成功は確実です。.mp3]
The probability of winning is low.	<b>勝つ確率は低いです。</b> <br> かつかくりつはひくいです。 <br><br> (確率) <br> [sound:4c-s-勝つ確率は低いです。.mp3]
There is a conflict between the two.	<b>両者の間に確執があります。</b> <br> りょうしゃのあいだにかくしつがあります。 <br><br> (確執) <br> [sound:4c-s-両者の間に確執があります。.mp3]
I went back to my village.	<b>村に帰省しました。</b> <br> むらにきせいしました。 <br><br> (村) <br> [sound:4c-s-村に帰省しました。.mp3]
I went to the municipal office.	<b>市町村の役所に行きました。</b> <br> しちょうそんのやくしょにいきました。 <br><br> (市町村) <br> [sound:4c-s-市町村の役所に行きました。.mp3]
Citizen cooperation is essential.	<b>村民の協力が不可欠です。</b> <br> そんみんのきょうりょくがふかけつです。 <br><br> (村民) <br> [sound:4c-s-村民の協力が不可欠です。.mp3]
A new law was decided in the village council.	<b>村議会で新しい法律が決まりました。</b> <br> そんぎかいであたらしいほうりつがきまりました。 <br><br> (村議会) <br> [sound:4c-s-村議会で新しい法律が決まりました。.mp3]
I will explain the premise of this story.	<b>この話の前提を説明します。</b> <br> このはなしのぜんていをせつめいします。 <br><br> (前提) <br> [sound:4c-s-この話の前提を説明します。.mp3]
I proposed a new plan.	<b>新しい計画を提案しました。</b> <br> あたらしいけいかくをていあんしました。 <br><br> (提案) <br> [sound:4c-s-新しい計画を提案しました。.mp3]
The provider of the service is a company.	<b>サービスの提供者は会社です。</b> <br> サービスのていきょうしゃはかいしゃです。 <br><br> (提供者) <br> [sound:4c-s-サービスの提供者は会社です。.mp3]
I will raise this issue.	<b>この問題を提起します。</b> <br> このもんだいをていきします。 <br><br> (提起) <br> [sound:4c-s-この問題を提起します。.mp3]
I was lucky.	<b>運が良かったです。</b> <br> うんがよかったです。 <br><br> (運) <br> [sound:4c-s-運が良かったです。.mp3]
Please carry the luggage.	<b>荷物を運んでください。</b> <br> にもつをはこんでください。 <br><br> (運ぶ) <br> [sound:4c-s-荷物を運んでください。.mp3]
I transported it carefully.	<b>慎重に運びました。</b> <br> しんちょうにはこびました。 <br><br> (運び) <br> [sound:4c-s-慎重に運びました。.mp3]
The driver was kind.	<b>運転手が親切でした。</b> <br> うんてんしゅがしんせつでした。 <br><br> (運転手) <br> [sound:4c-s-運転手が親切でした。.mp3]
I greeted everyone at the end of the event.	<b>イベントの終わりに挨拶しました。</b> <br> イベントのおわりにあいさつしました。 <br><br> (終わり) <br> [sound:4c-s-イベントの終わりに挨拶しました。.mp3]
I made the final decision.	<b>最終決定をしました。</b> <br> さいしゅうけっていをしました。 <br><br> (最終) <br> [sound:4c-s-最終決定をしました。.mp3]
It rained all day.	<b>終日雨が降っていました。</b> <br> しゅうじつあめがふっていました。 <br><br> (終日) <br> [sound:4c-s-終日雨が降っていました。.mp3]
The game entered the final stage.	<b>試合は終盤に入りました。</b> <br> しあいはしゅうばんにはいりました。 <br><br> (終盤) <br> [sound:4c-s-試合は終盤に入りました。.mp3]
I will explain with examples.	<b>例を挙げて説明します。</b> <br> れいをあげてせつめいします。 <br><br> (挙げる) <br> [sound:4c-s-例を挙げて説明します。.mp3]
The election day is approaching.	<b>選挙の日が近づいています。</b> <br> せんきょのひがちかづいています。 <br><br> (選挙) <br> [sound:4c-s-選挙の日が近づいています。.mp3]
His success is a remarkable achievement.	<b>彼の成功は快挙です。</b> <br> かれのせいこうはかいきょです。 <br><br> (快挙) <br> [sound:4c-s-彼の成功は快挙です。.mp3]
Do you have the right to vote?	<b>選挙権を持っていますか？   </b> <br> せんきょけんをもっていますか？ <br><br> (選挙権) <br> [sound:4c-s-選挙権を持っていますか？ .mp3]
