同日に会議があります。 <br><br> (同日)	<b>どうじつにかいぎがあります。</b> <br> There is a meeting on the same day. <br> [sound:4c-s-同日に会議があります。.mp3]
彼は新しい提案をしました。 <br><br> (提案)	<b>かれはあたらしいていあんをしました。</b> <br> He made a new proposal. <br> [sound:4c-s-彼は新しい提案をしました。.mp3]
この試案はまだ検討中です。 <br><br> (試案)	<b>このしあんはまだけんとうちゅうです。</b> <br> This draft proposal is still under consideration. <br> [sound:4c-s-この試案はまだ検討中です。.mp3]
新しい政策の立案が進んでいます。 <br><br> (立案)	<b>あたらしいせいさくのりつあんがすすんでいます。</b> <br> The drafting of the new policy is progressing. <br> [sound:4c-s-新しい政策の立案が進んでいます。.mp3]
この道はとても混んでいます。 <br><br> (道)	<b>このみちはとてもこんでいます。</b> <br> This road is very crowded. <br> [sound:4c-s-この道はとても混んでいます。.mp3]
報道陣が事件の現場に集まりました。 <br><br> (報道)	<b>ほうどうじんがじけんのげんばにあつまりました。</b> <br> The press gathered at the scene of the incident. <br> [sound:4c-s-報道陣が事件の現場に集まりました。.mp3]
報道陣が記者会見を待っています。 <br><br> (報道陣)	<b>ほうどうじんがきしゃかいけんをまっています。</b> <br> The press is waiting for the press conference. <br> [sound:4c-s-報道陣が記者会見を待っています。.mp3]
高速道路は渋滞しています。 <br><br> (高速道路)	<b>こうそくどうろはじゅうたいしています。</b> <br> The highway is experiencing a traffic jam. <br> [sound:4c-s-高速道路は渋滞しています。.mp3]
信頼関係が大切です。 <br><br> (信)	<b>しんらいかんけいがたいせつです。</b> <br> Trust is important. <br> [sound:4c-s-信頼関係が大切です。.mp3]
インターネット通信が遅いです。 <br><br> (通信)	<b>いんたーねっとつうしんがおそいです。</b> <br> The internet connection is slow. <br> [sound:4c-s-インターネット通信が遅いです。.mp3]
信号が赤になったので止まりました。 <br><br> (信号)	<b>しんごうがあかになったのでとまりました。</b> <br> I stopped because the traffic light turned red. <br> [sound:4c-s-信号が赤になったので止まりました。.mp3]
メールを受信しました。 <br><br> (受信)	<b>めーるをじゅしんしました。</b> <br> I received an email. <br> [sound:4c-s-メールを受信しました。.mp3]
政府は新しい政策を発表しました。 <br><br> (政策)	<b>せいふはあたらしいせいさくをはっぴょうしました。</b> <br> The government announced a new policy. <br> [sound:4c-s-政府は新しい政策を発表しました。.mp3]
地震に備えるための対策を講じました。 <br><br> (対策)	<b>じしんにそなえるためのたいさくをこうじました。</b> <br> We took measures to prepare for an earthquake. <br> [sound:4c-s-地震に備えるための対策を講じました。.mp3]
苦肉の策として、彼は自分で問題を解決しました。 <br><br> (苦肉の策)	<b>くにくのさくとして、かれはじぶんでもんだいをかいけつしました。</b> <br> As a last resort, he solved the problem himself. <br> [sound:4c-s-苦肉の策として、彼は自分で問題を解決しました。.mp3]
国策として、新しいエネルギー政策が導入されました。 <br><br> (国策)	<b>こくさくとして、あたらしいえねるぎーせいさくがどうにゅうされました。</b> <br> A new energy policy was introduced as a national strategy. <br> [sound:4c-s-国策として、新しいエネルギー政策が導入されました。.mp3]
彼は古い切手を集めています。 <br><br> (集める)	<b>かれはふるいきってをあつめています。</b> <br> He is collecting old stamps. <br> [sound:4c-s-彼は古い切手を集めています。.mp3]
明日、学校で集会があります。 <br><br> (集会)	<b>あした、がっこうでしゅうかいがあります。</b> <br> There is a meeting at school tomorrow. <br> [sound:4c-s-明日、学校で集会があります。.mp3]
みんなが集まって会議が始まりました。 <br><br> (集)	<b>みんながあつまってかいぎがはじまりました。</b> <br> Everyone gathered and the meeting started. <br> [sound:4c-s-みんなが集まって会議が始まりました。.mp3]
この雑誌はスポーツの特集があります。 <br><br> (特集)	<b>このざっきはすぽーつのとくしゅうがあります。</b> <br> This magazine has a special feature on sports. <br> [sound:4c-s-この雑誌はスポーツの特集があります。.mp3]
あそこに大きな公園が在ります。 <br><br> (在る)	<b>あそこにおおきなこうえんがあります。</b> <br> There is a large park over there. <br> [sound:4c-s-あそこに大きな公園が在ります。.mp3]
現在、プロジェクトは進行中です。 <br><br> (現在)	<b>げんざい、ぷろじぇくとはしんこうちゅうです。</b> <br> Currently, the project is in progress. <br> [sound:4c-s-現在、プロジェクトは進行中です。.mp3]
在宅勤務をしています。 <br><br> (在宅)	<b>ざいたくきんむをしています。</b> <br> I am working from home. <br> [sound:4c-s-在宅勤務をしています。.mp3]
彼は今不在です。 <br><br> (不在)	<b>かれはいまふざいです。</b> <br> He is absent right now. <br> [sound:4c-s-彼は今不在です。.mp3]
その件についてお話ししましょう。 <br><br> (件)	<b>そのけんについておはなししましょう。</b> <br> Let’s talk about that matter. <br> [sound:4c-s-その件についてお話ししましょう。.mp3]
昨日、大きな事件が起こりました。 <br><br> (事件)	<b>きのう、おおきなじけんがおこりました。</b> <br> A major incident occurred yesterday. <br> [sound:4c-s-昨日、大きな事件が起こりました。.mp3]
このプロジェクトにはいくつかの要件があります。 <br><br> (要件)	<b>このぷろじぇくとにはいくつかのようけんがあります。</b> <br> This project has several requirements. <br> [sound:4c-s-このプロジェクトにはいくつかの要件があります。.mp3]
新しい案件が処理中です。 <br><br> (案件)	<b>あたらしいあんけんがしょりちゅうです。</b> <br> A new case is being processed. <br> [sound:4c-s-新しい案件が処理中です。.mp3]
その団体は多くの活動をしています。 <br><br> (団体)	<b>そのだんたいはおおくのかつどうをしています。</b> <br> The organization is engaged in many activities. <br> [sound:4c-s-その団体は多くの活動をしています。.mp3]
集団での活動が重要です。 <br><br> (集団)	<b>しゅうだんでのかつどうがじゅうようです。</b> <br> Group activities are important. <br> [sound:4c-s-集団での活動が重要です。.mp3]
その財団法人は教育に関する支援を行っています。 <br><br> (財団法人)	<b>そのざいだんほうじんはきょういくにかんするしえんをおこなっています。</b> <br> The foundation is providing support for education. <br> [sound:4c-s-その財団法人は教育に関する支援を行っています。.mp3]
公団は住宅の建設を行っています。 <br><br> (公団)	<b>こうだんはじゅうたくのけんせつをおこなっています。</b> <br> The public corporation is constructing housing. <br> [sound:4c-s-公団は住宅の建設を行っています。.mp3]
別に気にしていません。 <br><br> (別に)	<b>べつにきにしていません。</b> <br> I’m not particularly concerned about it. <br> [sound:4c-s-別に気にしていません。.mp3]
彼は告別の言葉を述べました。 <br><br> (告別)	<b>かれはこくべつのことばをのべました。</b> <br> He gave a farewell speech. <br> [sound:4c-s-彼は告別の言葉を述べました。.mp3]
性別に関係なく、全ての人が平等です。 <br><br> (性別)	<b>せいべつにかんけいなく、すべてのひとがびょうどうです。</b> <br> Regardless of gender, all people are equal. <br> [sound:4c-s-性別に関係なく、全ての人が平等です。.mp3]
人々は年齢で区別されるべきではありません。 <br><br> (区別)	<b>ひとびとはねんれいでくべつされるべきではありません。</b> <br> People should not be distinguished by age. <br> [sound:4c-s-人々は年齢で区別されるべきではありません。.mp3]
その人物は非常に有名です。 <br><br> (人物)	<b>そのじんぶつはひじょうにゆうめいです。</b> <br> That person is very famous. <br> [sound:4c-s-その人物は非常に有名です。.mp3]
動物園には多くの種類の動物がいます。 <br><br> (動物)	<b>どうぶつえんにはおおくのしゅるいのどうぶつがいます。</b> <br> There are many types of animals in the zoo. <br> [sound:4c-s-動物園には多くの種類の動物がいます。.mp3]
博物館で古代の遺物を見ました。 <br><br> (博物館)	<b>はくぶつかんでこだいのいぶつをみました。</b> <br> I saw ancient artifacts at the museum. <br> [sound:4c-s-博物館で古代の遺物を見ました。.mp3]
戦争の影響で物資が不足しています。 <br><br> (物資)	<b>せんそうのえいきょうでぶっしがふそくしています。</b> <br> There is a shortage of supplies due to the war. <br> [sound:4c-s-戦争の影響で物資が不足しています。.mp3]
彼は私の側に座っています。 <br><br> (側)	<b>かれはわたしのそばにすわっています。</b> <br> He is sitting next to me. <br> [sound:4c-s-彼は私の側に座っています。.mp3]
西側の都市には多くの観光地があります。 <br><br> (西側)	<b>にしかわのとしにはおおくのかんこうちがあります。</b> <br> The western cities have many tourist attractions. <br> [sound:4c-s-西側の都市には多くの観光地があります。.mp3]
ビルの裏側に駐車場があります。 <br><br> (裏側)	<b>びるのうらがわにちゅうしゃじょうがあります。</b> <br> There is a parking lot on the back side of the building. <br> [sound:4c-s-ビルの裏側に駐車場があります。.mp3]
窓の外側に花が咲いています。 <br><br> (外側)	<b>まどのそとがわにはながさいています。</b> <br> Flowers are blooming on the outside of the window. <br> [sound:4c-s-窓の外側に花が咲いています。.mp3]
私はそのプロジェクトに責任を持っています。 <br><br> (責任)	<b>わたしはそのぷろじぇくとにせきにんをもっています。</b> <br> I am responsible for the project. <br> [sound:4c-s-私はそのプロジェクトに責任を持っています。.mp3]
彼は最近辞任しました。 <br><br> (辞任)	<b>かれはさいきんじにんしました。</b> <br> He resigned recently. <br> [sound:4c-s-彼は最近辞任しました。.mp3]
主任としての責任が増えました。 <br><br> (主任)	<b>しゅにんとしてのせきにんがふえました。</b> <br> My responsibilities as the manager have increased. <br> [sound:4c-s-主任としての責任が増えました。.mp3]
この任務は非常に重要です。 <br><br> (任務)	<b>このにんむはひじょうにじゅうようです。</b> <br> This mission is very important. <br> [sound:4c-s-この任務は非常に重要です。.mp3]
新しい取引を結びました。 <br><br> (取引)	<b>あたらしいとりひきをむすびました。</b> <br> I made a new deal. <br> [sound:4c-s-新しい取引を結びました。.mp3]
料金の引き下げが発表されました。 <br><br> (引き下げ)	<b>りょうきんのひきさげがはっぴょうされました。</b> <br> A reduction in fees was announced. <br> [sound:4c-s-料金の引き下げが発表されました。.mp3]
引き続きお待ちください。 <br><br> (引き続き)	<b>ひきつづきおまちください。</b> <br> Please wait a moment longer. <br> [sound:4c-s-引き続きお待ちください。.mp3]
割引セールが開催されています。 <br><br> (割引)	<b>わりびきせーるがかいさいされています。</b> <br> A discount sale is being held. <br> [sound:4c-s-割引セールが開催されています。.mp3]
彼は私にお金を使わせました。 <br><br> (使わす)	<b>かれはわたしにおかねをつかわせました。</b> <br> He made me spend money. <br> [sound:4c-s-彼は私にお金を使わせました。.mp3]
この道具を使うのは初めてです。 <br><br> (使う)	<b>このどうぐをつかうのははじめてです。</b> <br> This is my first time using this tool. <br> [sound:4c-s-この道具を使うのは初めてです。.mp3]
彼は特使として海外に派遣されました。 <br><br> (特使)	<b>かれはとくしとしてかいがいにはけんされました。</b> <br> He was sent abroad as a special envoy. <br> [sound:4c-s-彼は特使として海外に派遣されました。.mp3]
労使交渉が始まりました。 <br><br> (労使)	<b>ろうしこうしょうがはじまりました。</b> <br> Labor-management negotiations have started. <br> [sound:4c-s-労使交渉が始まりました。.mp3]
彼は給料の増額を要求しました。 <br><br> (要求)	<b>かれはきゅうりょうのぞうがくをようきゅうしました。</b> <br> He demanded a salary increase. <br> [sound:4c-s-彼は給料の増額を要求しました。.mp3]
電気代の請求が届きました。 <br><br> (請求)	<b>でんきだいのせいきゅうがとどきました。</b> <br> I received the electricity bill. <br> [sound:4c-s-電気代の請求が届きました。.mp3]
彼は真実を追求しています。 <br><br> (追求)	<b>かれはしんじつをついきゅうしています。</b> <br> He is pursuing the truth. <br> [sound:4c-s-彼は真実を追求しています。.mp3]
彼は現在、求職中です。 <br><br> (求職)	<b>かれはげんざい、きゅうしょくちゅうです。</b> <br> He is currently looking for a job. <br> [sound:4c-s-彼は現在、求職中です。.mp3]
このビルの事務所に行きました。 <br><br> (事務所)	<b>このびるのじむしょにいきました。</b> <br> I went to the office in this building. <br> [sound:4c-s-このビルの事務所に行きました。.mp3]
会議の場所はまだ決まっていません。 <br><br> (場所)	<b>かいぎのばしょはまだきまっていません。</b> <br> The location for the meeting has not been decided yet. <br> [sound:4c-s-会議の場所はまだ決まっていません。.mp3]
私はマーケティング部に所属しています。 <br><br> (所属)	<b>わたしはまーけてぃんぐぶにしょぞくしています。</b> <br> I belong to the marketing department. <br> [sound:4c-s-私はマーケティング部に所属しています。.mp3]
彼は無所属の議員です。 <br><br> (無所属)	<b>かれはむしょぞくのぎいんです。</b> <br> He is an independent member of parliament. <br> [sound:4c-s-彼は無所属の議員です。.mp3]
次官が会議に出席しました。 <br><br> (次官)	<b>じかんがかいぎにしゅっせきしました。</b> <br> The vice minister attended the meeting. <br> [sound:4c-s-次官が会議に出席しました。.mp3]
事務次官は重要な役割を担っています。 <br><br> (事務次官)	<b>じむじかんはじゅうようなやくわりをになっています。</b> <br> The permanent secretary plays an important role. <br> [sound:4c-s-事務次官は重要な役割を担っています。.mp3]
政務次官が政府の方針を発表しました。 <br><br> (政務次官)	<b>せいむじかんがせいふのほうしんをはっぴょうしました。</b> <br> The parliamentary secretary announced the government’s policy. <br> [sound:4c-s-政務次官が政府の方針を発表しました。.mp3]
五十三次を歩いて旅をしました。 <br><br> (五十三次)	<b>ごじゅうさんじをあるいてたびをしました。</b> <br> I traveled by walking along the fifty-three stations. <br> [sound:4c-s-五十三次を歩いて旅をしました。.mp3]
水は生きるために必要です。 <br><br> (水)	<b>みずはいきるためにひつようです。</b> <br> Water is essential for life. <br> [sound:4c-s-水は生きるために必要です。.mp3]
その商品の品質は高い水準にあります。 <br><br> (水準)	<b>そのしょうひんのひんしつはたかいすいじゅんにあります。</b> <br> The quality of that product is at a high level. <br> [sound:4c-s-その商品の品質は高い水準にあります。.mp3]
湖の水質は改善されました。 <br><br> (水質)	<b>みずうみのすいしつはかいぜんされました。</b> <br> The water quality of the lake has improved. <br> [sound:4c-s-湖の水質は改善されました。.mp3]
下水道の工事が行われています。 <br><br> (下水道)	<b>げすいどうのこうじがおこなわれています。</b> <br> Sewer work is being conducted. <br> [sound:4c-s-下水道の工事が行われています。.mp3]
試合は半分が終了しました。 <br><br> (半)	<b>しあいははんぶんがしゅうりょうしました。</b> <br> The game has completed half of its duration. <br> [sound:4c-s-試合は半分が終了しました。.mp3]
会議は三時半に始まります。 <br><br> (時半)	<b>かいぎはさんじはんにはじまります。</b> <br> The meeting starts at 3:30. <br> [sound:4c-s-会議は三時半に始まります。.mp3]
朝鮮半島は歴史的に重要な地域です。 <br><br> (朝鮮半島)	<b>ちょうせんはんとうはれきしてきにじゅうようなちいきです。</b> <br> The Korean Peninsula is a historically significant region. <br> [sound:4c-s-朝鮮半島は歴史的に重要な地域です。.mp3]
投票の半数が賛成しました。 <br><br> (半数)	<b>とうひょうのはんすうがさんせいしました。</b> <br> Half of the votes were in favor. <br> [sound:4c-s-投票の半数が賛成しました。.mp3]
彼の最新の作品は非常に評価されています。 <br><br> (作品)	<b>かれのさいしんのさくひんはひじょうにひょうかされています。</b> <br> His latest work is highly praised. <br> [sound:4c-s-彼の最新の作品は非常に評価されています。.mp3]
新しい商品が店に並びました。 <br><br> (商品)	<b>あたらしいしょうひんがみせにならびました。</b> <br> New products have been displayed in the store. <br> [sound:4c-s-新しい商品が店に並びました。.mp3]
この花の品種は非常に珍しいです。 <br><br> (品種)	<b>このはなのひんしゅはひじょうにめずらしいです。</b> <br> This type of flower is very rare. <br> [sound:4c-s-この花の品種は非常に珍しいです。.mp3]
メニューには多くの品目があります。 <br><br> (品目)	<b>めにゅーにはおおくのひんもくがあります。</b> <br> There are many items on the menu. <br> [sound:4c-s-メニューには多くの品目があります。.mp3]
昨年はとても忙しい年でした。 <br><br> (昨年)	<b>さくねんはとてもいそがしいとしでした。</b> <br> Last year was a very busy year. <br> [sound:4c-s-昨年はとても忙しい年でした。.mp3]
一昨年、私は海外に行きました。 <br><br> (一昨年)	<b>おととし、わたしはかいがいにいきました。</b> <br> I went abroad the year before last. <br> [sound:4c-s-一昨年、私は海外に行きました。.mp3]
昨夜はとても寒かったです。 <br><br> (昨夜)	<b>ゆうべはとてもさむかったです。</b> <br> It was very cold last night. <br> [sound:4c-s-昨夜はとても寒かったです。.mp3]
昨冬、雪がたくさん降りました。 <br><br> (昨冬)	<b>さくふゆ、ゆきがたくさんふりました。</b> <br> Last winter, a lot of snow fell. <br> [sound:4c-s-昨冬、雪がたくさん降りました。.mp3]
論議の結果、意見が一致しました。 <br><br> (論議)	<b>ろんぎのけっか、いけんがいっちしました。</b> <br> As a result of the debate, opinions were unified. <br> [sound:4c-s-論議の結果、意見が一致しました。.mp3]
議論の後、結論が出ました。 <br><br> (議論)	<b>ぎろんのあと、けつろんがでました。</b> <br> After the discussion, a conclusion was reached. <br> [sound:4c-s-議論の後、結論が出ました。.mp3]
彼らの間で論争が起こりました。 <br><br> (論争)	<b>かれらのあいだでろんそうがおこりました。</b> <br> A dispute arose between them. <br> [sound:4c-s-彼らの間で論争が起こりました。.mp3]
論理的に考えることは重要です。 <br><br> (論理)	<b>ろんりてきにかんがえることはじゅうようです。</b> <br> Thinking logically is important. <br> [sound:4c-s-論理的に考えることは重要です。.mp3]
計画を立てる前に、予算を確認してください。 <br><br> (計)	<b>けいかくをたてるまえに、よさんをかくにんしてください。</b> <br> Please check the budget before making a plan. <br> [sound:4c-s-計画を立てる前に、予算を確認してください。.mp3]
私は新しい計画を提案しました。 <br><br> (計画)	<b>わたしはあたらしいけいかくをていあんしました。</b> <br> I proposed a new plan. <br> [sound:4c-s-私は新しい計画を提案しました。.mp3]
集計結果が発表されました。 <br><br> (集計)	<b>しゅうけいけっかがはっぴょうされました。</b> <br> The results of the tally were announced. <br> [sound:4c-s-集計結果が発表されました。.mp3]
家計の管理が重要です。 <br><br> (家計)	<b>かけいのかんりがじゅうようです。</b> <br> Managing household finances is important. <br> [sound:4c-s-家計の管理が重要です。.mp3]
彼は戦争で死にました。 <br><br> (死)	<b>かれはせんそうでしにました。</b> <br> He died in the war. <br> [sound:4c-s-彼は戦争で死にました。.mp3]
事故で多くの死者が出ました。 <br><br> (死者)	<b>じこでおおくのししゃがでました。</b> <br> Many casualties occurred in the accident. <br> [sound:4c-s-事故で多くの死者が出ました。.mp3]
死後、彼の名声は広まりました。 <br><br> (死後)	<b>しご、かれのめいせいはひろまりました。</b> <br> After his death, his fame spread. <br> [sound:4c-s-死後、彼の名声は広まりました。.mp3]
警察は死体を発見しました。 <br><br> (死体)	<b>けいさつはしたいをはっけんしました。</b> <br> The police discovered the body. <br> [sound:4c-s-警察は死体を発見しました。.mp3]
長官は会議で重要な発言をしました。 <br><br> (長官)	<b>ちょうかんはかいぎでじゅうようなはつげんをしました。</b> <br> The director made an important statement at the meeting. <br> [sound:4c-s-長官は会議で重要な発言をしました。.mp3]
総理大臣は官邸にいます。 <br><br> (官邸)	<b>そうりだいじんはかんていにいます。</b> <br> The Prime Minister is at the official residence. <br> [sound:4c-s-総理大臣は官邸にいます。.mp3]
官房長官が記者会見を行いました。 <br><br> (官房)	<b>かんぼうちょうかんがきしゃかいけんをおこないました。</b> <br> The Chief Cabinet Secretary held a press conference. <br> [sound:4c-s-官房長官が記者会見を行いました。.mp3]
国務長官は外国を訪問しました。 <br><br> (国務長官)	<b>こくむちょうかんはがいこくをほうもんしました。</b> <br> The Secretary of State visited a foreign country. <br> [sound:4c-s-国務長官は外国を訪問しました。.mp3]
人口が増加しています。 <br><br> (増加)	<b>じんこうがぞうかしています。</b> <br> The population is increasing. <br> [sound:4c-s-人口が増加しています。.mp3]
政府は増税を決定しました。 <br><br> (増税)	<b>せいふはぞうぜいをけっていしました。</b> <br> The government decided on a tax increase. <br> [sound:4c-s-政府は増税を決定しました。.mp3]
今年は企業の増益が見込まれています。 <br><br> (増益)	<b>ことしはきぎょうのぞうえきがみこまれています。</b> <br> Companies are expected to see increased profits this year. <br> [sound:4c-s-今年は企業の増益が見込まれています。.mp3]
予算の増額が承認されました。 <br><br> (増額)	<b>よさんのぞうがくがしょうにんされました。</b> <br> A budget increase was approved. <br> [sound:4c-s-予算の増額が承認されました。.mp3]
彼はプロジェクトの係です。 <br><br> (係)	<b>かれはぷろじぇくとのかかりです。</b> <br> He is in charge of the project. <br> [sound:4c-s-彼はプロジェクトの係です。.mp3]
私たちは長い関係を築いてきました。 <br><br> (関係)	<b>わたしたちはながいかんけいをきずいてきました。</b> <br> We have built a long relationship. <br> [sound:4c-s-私たちは長い関係を築いてきました。.mp3]
この件はまだ係争中です。 <br><br> (係争)	<b>このけんはまだけいそうちゅうです。</b> <br> This issue is still under dispute. <br> [sound:4c-s-この件はまだ係争中です。.mp3]
サッカーの連係プレーが素晴らしかった。 <br><br> (連係プレー)	<b>さっかーのれんけいぷれーがすばらしかった。</b> <br> The teamwork in the soccer game was fantastic. <br> [sound:4c-s-サッカーの連係プレーが素晴らしかった。.mp3]
この場所はとても落ち着いた感じです。 <br><br> (感じ)	<b>このばしょはとてもおちついたかんじです。</b> <br> This place has a very calm feeling. <br> [sound:4c-s-この場所はとても落ち着いた感じです。.mp3]
彼は色に敏感な感覚を持っています。 <br><br> (感覚)	<b>かれはいろにびんかんなかんかくをもっています。</b> <br> He has a keen sense of color. <br> [sound:4c-s-彼は色に敏感な感覚を持っています。.mp3]
彼女の感性は非常に鋭いです。 <br><br> (感性)	<b>かのじょのかんせいはひじょうにするどいです。</b> <br> Her sensitivity is extremely sharp. <br> [sound:4c-s-彼女の感性は非常に鋭いです。.mp3]
私はその状況を実感しています。 <br><br> (実感)	<b>わたしはそのじょうきょうをじっかんしています。</b> <br> I truly feel the situation. <br> [sound:4c-s-私はその状況を実感しています。.mp3]
特に重要な問題があります。 <br><br> (特に)	<b>とくにじゅうようなもんだいがあります。</b> <br> There is an especially important issue. <br> [sound:4c-s-特に重要な問題があります。.mp3]
今日は特別な日です。 <br><br> (特別)	<b>きょうはとくべつなひです。</b> <br> Today is a special day. <br> [sound:4c-s-今日は特別な日です。.mp3]
特使として彼は海外に派遣されました。 <br><br> (特使)	<b>とくしとしてかれはかいがいにはけんされました。</b> <br> He was sent abroad as a special envoy. <br> [sound:4c-s-特使として彼は海外に派遣されました。.mp3]
この雑誌には環境問題に関する特集があります。 <br><br> (特集)	<b>このざっきにはかんきょうもんだいにかんするとくしゅうがあります。</b> <br> This magazine has a special feature on environmental issues. <br> [sound:4c-s-この雑誌には環境問題に関する特集があります。.mp3]
彼の情熱は素晴らしいです。 <br><br> (情)	<b>かれのじょうねつはすばらしいです。</b> <br> His passion is amazing. <br> [sound:4c-s-彼の情熱は素晴らしいです。.mp3]
事情が変わったので、予定を変更しました。 <br><br> (事情)	<b>じじょうがかわったので、よていをへんこうしました。</b> <br> The circumstances changed, so I modified the plan. <br> [sound:4c-s-事情が変わったので、予定を変更しました。.mp3]
彼女は情熱的に歌っています。 <br><br> (情熱)	<b>かのじょはじょうねつてきにうたっています。</b> <br> She is singing passionately. <br> [sound:4c-s-彼女は情熱的に歌っています。.mp3]
彼は家族に対して深い愛情を持っています。 <br><br> (愛情)	<b>かれはかぞくにたいしてふかいあいじょうをもっています。</b> <br> He has deep affection for his family. <br> [sound:4c-s-彼は家族に対して深い愛情を持っています。.mp3]
彼は株に投資しています。 <br><br> (投資)	<b>かれはかぶにとうししています。</b> <br> He is investing in stocks. <br> [sound:4c-s-彼は株に投資しています。.mp3]
投手は試合の最初のピッチャーです。 <br><br> (投手)	<b>とうしゅはしあいのさいしょのぴっちゃーです。</b> <br> The pitcher is the first one in the game. <br> [sound:4c-s-投手は試合の最初のピッチャーです。.mp3]
投機は非常にリスクが高いです。 <br><br> (投機)	<b>とうきはひじょうにりすくがたかいです。</b> <br> Speculation is very risky. <br> [sound:4c-s-投機は非常にリスクが高いです。.mp3]
その地域では不法投棄が問題になっています。 <br><br> (投棄)	<b>そのちいきではふほうとうきがもんだいになっています。</b> <br> Illegal dumping is a problem in that area. <br> [sound:4c-s-その地域では不法投棄が問題になっています。.mp3]
彼は明確に意見を示しました。 <br><br> (示す)	<b>かれはめいかくにいけんをしめしました。</b> <br> He clearly expressed his opinion. <br> [sound:4c-s-彼は明確に意見を示しました。.mp3]
上司から指示がありました。 <br><br> (指示)	<b>じょうしからしじがありました。</b> <br> I received instructions from my boss. <br> [sound:4c-s-上司から指示がありました。.mp3]
彼は解決策を提示しました。 <br><br> (提示)	<b>かれはかいけつさくをていじしました。</b> <br> He proposed a solution. <br> [sound:4c-s-彼は解決策を提示しました。.mp3]
彼女は意思表示をはっきりしました。 <br><br> (意思表示)	<b>かのじょはいしひょうじをはっきりしました。</b> <br> She clearly showed her intentions. <br> [sound:4c-s-彼女は意思表示をはっきりしました。.mp3]
彼の考え方は少し変わった。 <br><br> (変わった)	<b>かれのかんがえかたはすこしかわった。</b> <br> His way of thinking changed a little. <br> [sound:4c-s-彼の考え方は少し変わった。.mp3]
このルールは変わらない。 <br><br> (変わらない)	<b>このるーるはかわらない。</b> <br> This rule does not change. <br> [sound:4c-s-このルールは変わらない。.mp3]
彼は変な行動をしました。 <br><br> (変)	<b>かれはへんなこうどうをしました。</b> <br> He behaved strangely. <br> [sound:4c-s-彼は変な行動をしました。.mp3]
社会は急速に変革しています。 <br><br> (変革)	<b>しゃかいはきゅうそくにへんかくしています。</b> <br> Society is undergoing rapid transformation. <br> [sound:4c-s-社会は急速に変革しています。.mp3]
彼はボールを打ちました。 <br><br> (打つ)	<b>かれはぼーるをうちました。</b> <br> He hit the ball. <br> [sound:4c-s-彼はボールを打ちました。.mp3]
その選手は本塁打を打ちました。 <br><br> (本塁打)	<b>そのせんしゅはほんるいだをうちました。</b> <br> The player hit a home run. <br> [sound:4c-s-その選手は本塁打を打ちました。.mp3]
ロケットは打ち上げに成功しました。 <br><br> (打ち上げ)	<b>ろけっとはうちあげにせいこうしました。</b> <br> The rocket successfully launched. <br> [sound:4c-s-ロケットは打ち上げに成功しました。.mp3]
状況を打開する方法を考えています。 <br><br> (打開)	<b>じょうきょうをだかいするほうほうをかんがえています。</b> <br> I am thinking of a way to overcome the situation. <br> [sound:4c-s-状況を打開する方法を考えています。.mp3]
男は強い意志を持っています。 <br><br> (男)	<b>おとこはつよいいしをもっています。</b> <br> The man has a strong will. <br> [sound:4c-s-男は強い意志を持っています。.mp3]
男子チームが勝利しました。 <br><br> (男子)	<b>だんしてぃーむがしょうりしました。</b> <br> The men's team won. <br> [sound:4c-s-男子チームが勝利しました。.mp3]
一男が家に帰ってきました。 <br><br> (一男)	<b>いちなんがいえにかえってきました。</b> <br> One boy came home. <br> [sound:4c-s-一男が家に帰ってきました。.mp3]
彼は有名な男優です。 <br><br> (男優)	<b>かれはゆうめいなおとこゆうです。</b> <br> He is a famous actor. <br> [sound:4c-s-彼は有名な男優です。.mp3]
基本的なルールを守りましょう。 <br><br> (基本)	<b>きほんてきなるーるをまもりましょう。</b> <br> Let’s follow the basic rules. <br> [sound:4c-s-基本的なルールを守りましょう。.mp3]
この試験の基準は非常に高いです。 <br><br> (基準)	<b>このしけんのきじゅんはひじょうにたかいです。</b> <br> The standard for this exam is very high. <br> [sound:4c-s-この試験の基準は非常に高いです。.mp3]
基幹産業の発展が経済を支えています。 <br><br> (基幹)	<b>きかんさんぎょうのはってんがけいざいをささえています。</b> <br> The development of core industries supports the economy. <br> [sound:4c-s-基幹産業の発展が経済を支えています。.mp3]
基軸通貨はアメリカドルです。 <br><br> (基軸)	<b>きじくつうかはあめりかどるです。</b> <br> The key currency is the U.S. dollar. <br> [sound:4c-s-基軸通貨はアメリカドルです。.mp3]
私は日本に住んでいます。 <br><br> (私)	<b>わたしはにほんにすんでいます。</b> <br> I live in Japan. <br> [sound:4c-s-私は日本に住んでいます。.mp3]
私立の学校に通っています。 <br><br> (私立)	<b>しりつのがっこうにかよっています。</b> <br> I attend a private school. <br> [sound:4c-s-私立の学校に通っています。.mp3]
彼は私文書を紛失しました。 <br><br> (私文書)	<b>かれはしぶんしょをふんしつしました。</b> <br> He lost his private document. <br> [sound:4c-s-彼は私文書を紛失しました。.mp3]
私設の図書館は静かで快適です。 <br><br> (私設)	<b>しせつのとしょかんはしずかでかいてきです。</b> <br> The private library is quiet and comfortable. <br> [sound:4c-s-私設の図書館は静かで快適です。.mp3]
