[sound:4c-s-同日に会議があります。.mp3]	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> There is a meeting on the same day.
[sound:4c-s-公団は住宅の建設を行っています。.mp3]	<b>公団は住宅の建設を行っています。</b> <br> こうだんはじゅうたくのけんせつをおこなっています。 <br><br> (公団) <br> The public corporation is constructing housing.
[sound:4c-s-別に気にしていません。.mp3]	<b>別に気にしていません。</b> <br> べつにきにしていません。 <br><br> (別に) <br> I’m not particularly concerned about it.
[sound:4c-s-彼は告別の言葉を述べました。.mp3]	<b>彼は告別の言葉を述べました。</b> <br> かれはこくべつのことばをのべました。 <br><br> (告別) <br> He gave a farewell speech.
[sound:4c-s-性別に関係なく、全ての人が平等です。.mp3]	<b>性別に関係なく、全ての人が平等です。</b> <br> せいべつにかんけいなく、すべてのひとがびょうどうです。 <br><br> (性別) <br> Regardless of gender, all people are equal.
[sound:4c-s-人々は年齢で区別されるべきではありません。.mp3]	<b>人々は年齢で区別されるべきではありません。</b> <br> ひとびとはねんれいでくべつされるべきではありません。 <br><br> (区別) <br> People should not be distinguished by age.
[sound:4c-s-その人物は非常に有名です。.mp3]	<b>その人物は非常に有名です。</b> <br> そのじんぶつはひじょうにゆうめいです。 <br><br> (人物) <br> That person is very famous.
[sound:4c-s-動物園には多くの種類の動物がいます。.mp3]	<b>動物園には多くの種類の動物がいます。</b> <br> どうぶつえんにはおおくのしゅるいのどうぶつがいます。 <br><br> (動物) <br> There are many types of animals in the zoo.
[sound:4c-s-博物館で古代の遺物を見ました。.mp3]	<b>博物館で古代の遺物を見ました。</b> <br> はくぶつかんでこだいのいぶつをみました。 <br><br> (博物館) <br> I saw ancient artifacts at the museum.
[sound:4c-s-戦争の影響で物資が不足しています。.mp3]	<b>戦争の影響で物資が不足しています。</b> <br> せんそうのえいきょうでぶっしがふそくしています。 <br><br> (物資) <br> There is a shortage of supplies due to the war.
[sound:4c-s-彼は私の側に座っています。.mp3]	<b>彼は私の側に座っています。</b> <br> かれはわたしのそばにすわっています。 <br><br> (側) <br> He is sitting next to me.
[sound:4c-s-西側の都市には多くの観光地があります。.mp3]	<b>西側の都市には多くの観光地があります。</b> <br> にしかわのとしにはおおくのかんこうちがあります。 <br><br> (西側) <br> The western cities have many tourist attractions.
[sound:4c-s-ビルの裏側に駐車場があります。.mp3]	<b>ビルの裏側に駐車場があります。</b> <br> びるのうらがわにちゅうしゃじょうがあります。 <br><br> (裏側) <br> There is a parking lot on the back side of the building.
[sound:4c-s-窓の外側に花が咲いています。.mp3]	<b>窓の外側に花が咲いています。</b> <br> まどのそとがわにはながさいています。 <br><br> (外側) <br> Flowers are blooming on the outside of the window.
[sound:4c-s-私はそのプロジェクトに責任を持っています。.mp3]	<b>私はそのプロジェクトに責任を持っています。</b> <br> わたしはそのぷろじぇくとにせきにんをもっています。 <br><br> (責任) <br> I am responsible for the project.
[sound:4c-s-彼は最近辞任しました。.mp3]	<b>彼は最近辞任しました。</b> <br> かれはさいきんじにんしました。 <br><br> (辞任) <br> He resigned recently.
[sound:4c-s-主任としての責任が増えました。.mp3]	<b>主任としての責任が増えました。</b> <br> しゅにんとしてのせきにんがふえました。 <br><br> (主任) <br> My responsibilities as the manager have increased.
[sound:4c-s-この任務は非常に重要です。.mp3]	<b>この任務は非常に重要です。</b> <br> このにんむはひじょうにじゅうようです。 <br><br> (任務) <br> This mission is very important.
[sound:4c-s-新しい取引を結びました。.mp3]	<b>新しい取引を結びました。</b> <br> あたらしいとりひきをむすびました。 <br><br> (取引) <br> I made a new deal.
[sound:4c-s-料金の引き下げが発表されました。.mp3]	<b>料金の引き下げが発表されました。</b> <br> りょうきんのひきさげがはっぴょうされました。 <br><br> (引き下げ) <br> A reduction in fees was announced.
[sound:4c-s-引き続きお待ちください。.mp3]	<b>引き続きお待ちください。</b> <br> ひきつづきおまちください。 <br><br> (引き続き) <br> Please wait a moment longer.
[sound:4c-s-割引セールが開催されています。.mp3]	<b>割引セールが開催されています。</b> <br> わりびきせーるがかいさいされています。 <br><br> (割引) <br> A discount sale is being held.
[sound:4c-s-彼は私にお金を使わせました。.mp3]	<b>彼は私にお金を使わせました。</b> <br> かれはわたしにおかねをつかわせました。 <br><br> (使わす) <br> He made me spend money.
[sound:4c-s-この道具を使うのは初めてです。.mp3]	<b>この道具を使うのは初めてです。</b> <br> このどうぐをつかうのははじめてです。 <br><br> (使う) <br> This is my first time using this tool.
[sound:4c-s-彼は特使として海外に派遣されました。.mp3]	<b>彼は特使として海外に派遣されました。</b> <br> かれはとくしとしてかいがいにはけんされました。 <br><br> (特使) <br> He was sent abroad as a special envoy.
[sound:4c-s-労使交渉が始まりました。.mp3]	<b>労使交渉が始まりました。</b> <br> ろうしこうしょうがはじまりました。 <br><br> (労使) <br> Labor-management negotiations have started.
[sound:4c-s-彼は給料の増額を要求しました。.mp3]	<b>彼は給料の増額を要求しました。</b> <br> かれはきゅうりょうのぞうがくをようきゅうしました。 <br><br> (要求) <br> He demanded a salary increase.
[sound:4c-s-電気代の請求が届きました。.mp3]	<b>電気代の請求が届きました。</b> <br> でんきだいのせいきゅうがとどきました。 <br><br> (請求) <br> I received the electricity bill.
[sound:4c-s-彼は真実を追求しています。.mp3]	<b>彼は真実を追求しています。</b> <br> かれはしんじつをついきゅうしています。 <br><br> (追求) <br> He is pursuing the truth.
[sound:4c-s-彼は現在、求職中です。.mp3]	<b>彼は現在、求職中です。</b> <br> かれはげんざい、きゅうしょくちゅうです。 <br><br> (求職) <br> He is currently looking for a job.
[sound:4c-s-このビルの事務所に行きました。.mp3]	<b>このビルの事務所に行きました。</b> <br> このびるのじむしょにいきました。 <br><br> (事務所) <br> I went to the office in this building.
[sound:4c-s-会議の場所はまだ決まっていません。.mp3]	<b>会議の場所はまだ決まっていません。</b> <br> かいぎのばしょはまだきまっていません。 <br><br> (場所) <br> The location for the meeting has not been decided yet.
[sound:4c-s-私はマーケティング部に所属しています。.mp3]	<b>私はマーケティング部に所属しています。</b> <br> わたしはまーけてぃんぐぶにしょぞくしています。 <br><br> (所属) <br> I belong to the marketing department.
[sound:4c-s-彼は無所属の議員です。.mp3]	<b>彼は無所属の議員です。</b> <br> かれはむしょぞくのぎいんです。 <br><br> (無所属) <br> He is an independent member of parliament.
[sound:4c-s-次官が会議に出席しました。.mp3]	<b>次官が会議に出席しました。</b> <br> じかんがかいぎにしゅっせきしました。 <br><br> (次官) <br> The vice minister attended the meeting.
[sound:4c-s-事務次官は重要な役割を担っています。.mp3]	<b>事務次官は重要な役割を担っています。</b> <br> じむじかんはじゅうようなやくわりをになっています。 <br><br> (事務次官) <br> The permanent secretary plays an important role.
[sound:4c-s-政務次官が政府の方針を発表しました。.mp3]	<b>政務次官が政府の方針を発表しました。</b> <br> せいむじかんがせいふのほうしんをはっぴょうしました。 <br><br> (政務次官) <br> The parliamentary secretary announced the government’s policy.
[sound:4c-s-五十三次を歩いて旅をしました。.mp3]	<b>五十三次を歩いて旅をしました。</b> <br> ごじゅうさんじをあるいてたびをしました。 <br><br> (五十三次) <br> I traveled by walking along the fifty-three stations.
[sound:4c-s-水は生きるために必要です。.mp3]	<b>水は生きるために必要です。</b> <br> みずはいきるためにひつようです。 <br><br> (水) <br> Water is essential for life.
[sound:4c-s-その商品の品質は高い水準にあります。.mp3]	<b>その商品の品質は高い水準にあります。</b> <br> そのしょうひんのひんしつはたかいすいじゅんにあります。 <br><br> (水準) <br> The quality of that product is at a high level.
[sound:4c-s-湖の水質は改善されました。.mp3]	<b>湖の水質は改善されました。</b> <br> みずうみのすいしつはかいぜんされました。 <br><br> (水質) <br> The water quality of the lake has improved.
[sound:4c-s-下水道の工事が行われています。.mp3]	<b>下水道の工事が行われています。</b> <br> げすいどうのこうじがおこなわれています。 <br><br> (下水道) <br> Sewer work is being conducted.
[sound:4c-s-試合は半分が終了しました。.mp3]	<b>試合は半分が終了しました。</b> <br> しあいははんぶんがしゅうりょうしました。 <br><br> (半) <br> The game has completed half of its duration.
[sound:4c-s-会議は三時半に始まります。.mp3]	<b>会議は三時半に始まります。</b> <br> かいぎはさんじはんにはじまります。 <br><br> (時半) <br> The meeting starts at 3:30.
[sound:4c-s-朝鮮半島は歴史的に重要な地域です。.mp3]	<b>朝鮮半島は歴史的に重要な地域です。</b> <br> ちょうせんはんとうはれきしてきにじゅうようなちいきです。 <br><br> (朝鮮半島) <br> The Korean Peninsula is a historically significant region.
[sound:4c-s-投票の半数が賛成しました。.mp3]	<b>投票の半数が賛成しました。</b> <br> とうひょうのはんすうがさんせいしました。 <br><br> (半数) <br> Half of the votes were in favor.
[sound:4c-s-彼の最新の作品は非常に評価されています。.mp3]	<b>彼の最新の作品は非常に評価されています。</b> <br> かれのさいしんのさくひんはひじょうにひょうかされています。 <br><br> (作品) <br> His latest work is highly praised.
[sound:4c-s-新しい商品が店に並びました。.mp3]	<b>新しい商品が店に並びました。</b> <br> あたらしいしょうひんがみせにならびました。 <br><br> (商品) <br> New products have been displayed in the store.
[sound:4c-s-この花の品種は非常に珍しいです。.mp3]	<b>この花の品種は非常に珍しいです。</b> <br> このはなのひんしゅはひじょうにめずらしいです。 <br><br> (品種) <br> This type of flower is very rare.
[sound:4c-s-メニューには多くの品目があります。.mp3]	<b>メニューには多くの品目があります。</b> <br> めにゅーにはおおくのひんもくがあります。 <br><br> (品目) <br> There are many items on the menu.
[sound:4c-s-昨年はとても忙しい年でした。.mp3]	<b>昨年はとても忙しい年でした。</b> <br> さくねんはとてもいそがしいとしでした。 <br><br> (昨年) <br> Last year was a very busy year.
[sound:4c-s-一昨年、私は海外に行きました。.mp3]	<b>一昨年、私は海外に行きました。</b> <br> おととし、わたしはかいがいにいきました。 <br><br> (一昨年) <br> I went abroad the year before last.
[sound:4c-s-昨夜はとても寒かったです。.mp3]	<b>昨夜はとても寒かったです。</b> <br> ゆうべはとてもさむかったです。 <br><br> (昨夜) <br> It was very cold last night.
[sound:4c-s-昨冬、雪がたくさん降りました。.mp3]	<b>昨冬、雪がたくさん降りました。</b> <br> さくふゆ、ゆきがたくさんふりました。 <br><br> (昨冬) <br> Last winter, a lot of snow fell.
[sound:4c-s-論議の結果、意見が一致しました。.mp3]	<b>論議の結果、意見が一致しました。</b> <br> ろんぎのけっか、いけんがいっちしました。 <br><br> (論議) <br> As a result of the debate, opinions were unified.
[sound:4c-s-議論の後、結論が出ました。.mp3]	<b>議論の後、結論が出ました。</b> <br> ぎろんのあと、けつろんがでました。 <br><br> (議論) <br> After the discussion, a conclusion was reached.
[sound:4c-s-彼らの間で論争が起こりました。.mp3]	<b>彼らの間で論争が起こりました。</b> <br> かれらのあいだでろんそうがおこりました。 <br><br> (論争) <br> A dispute arose between them.
[sound:4c-s-論理的に考えることは重要です。.mp3]	<b>論理的に考えることは重要です。</b> <br> ろんりてきにかんがえることはじゅうようです。 <br><br> (論理) <br> Thinking logically is important.
[sound:4c-s-計画を立てる前に、予算を確認してください。.mp3]	<b>計画を立てる前に、予算を確認してください。</b> <br> けいかくをたてるまえに、よさんをかくにんしてください。 <br><br> (計) <br> Please check the budget before making a plan.
[sound:4c-s-私は新しい計画を提案しました。.mp3]	<b>私は新しい計画を提案しました。</b> <br> わたしはあたらしいけいかくをていあんしました。 <br><br> (計画) <br> I proposed a new plan.
[sound:4c-s-集計結果が発表されました。.mp3]	<b>集計結果が発表されました。</b> <br> しゅうけいけっかがはっぴょうされました。 <br><br> (集計) <br> The results of the tally were announced.
[sound:4c-s-家計の管理が重要です。.mp3]	<b>家計の管理が重要です。</b> <br> かけいのかんりがじゅうようです。 <br><br> (家計) <br> Managing household finances is important.
[sound:4c-s-彼は戦争で死にました。.mp3]	<b>彼は戦争で死にました。</b> <br> かれはせんそうでしにました。 <br><br> (死) <br> He died in the war.
[sound:4c-s-事故で多くの死者が出ました。.mp3]	<b>事故で多くの死者が出ました。</b> <br> じこでおおくのししゃがでました。 <br><br> (死者) <br> Many casualties occurred in the accident.
[sound:4c-s-死後、彼の名声は広まりました。.mp3]	<b>死後、彼の名声は広まりました。</b> <br> しご、かれのめいせいはひろまりました。 <br><br> (死後) <br> After his death, his fame spread.
[sound:4c-s-警察は死体を発見しました。.mp3]	<b>警察は死体を発見しました。</b> <br> けいさつはしたいをはっけんしました。 <br><br> (死体) <br> The police discovered the body.
[sound:4c-s-長官は会議で重要な発言をしました。.mp3]	<b>長官は会議で重要な発言をしました。</b> <br> ちょうかんはかいぎでじゅうようなはつげんをしました。 <br><br> (長官) <br> The director made an important statement at the meeting.
[sound:4c-s-総理大臣は官邸にいます。.mp3]	<b>総理大臣は官邸にいます。</b> <br> そうりだいじんはかんていにいます。 <br><br> (官邸) <br> The Prime Minister is at the official residence.
[sound:4c-s-官房長官が記者会見を行いました。.mp3]	<b>官房長官が記者会見を行いました。</b> <br> かんぼうちょうかんがきしゃかいけんをおこないました。 <br><br> (官房) <br> The Chief Cabinet Secretary held a press conference.
[sound:4c-s-国務長官は外国を訪問しました。.mp3]	<b>国務長官は外国を訪問しました。</b> <br> こくむちょうかんはがいこくをほうもんしました。 <br><br> (国務長官) <br> The Secretary of State visited a foreign country.
[sound:4c-s-人口が増加しています。.mp3]	<b>人口が増加しています。</b> <br> じんこうがぞうかしています。 <br><br> (増加) <br> The population is increasing.
[sound:4c-s-政府は増税を決定しました。.mp3]	<b>政府は増税を決定しました。</b> <br> せいふはぞうぜいをけっていしました。 <br><br> (増税) <br> The government decided on a tax increase.
[sound:4c-s-今年は企業の増益が見込まれています。.mp3]	<b>今年は企業の増益が見込まれています。</b> <br> ことしはきぎょうのぞうえきがみこまれています。 <br><br> (増益) <br> Companies are expected to see increased profits this year.
[sound:4c-s-予算の増額が承認されました。.mp3]	<b>予算の増額が承認されました。</b> <br> よさんのぞうがくがしょうにんされました。 <br><br> (増額) <br> A budget increase was approved.
[sound:4c-s-彼はプロジェクトの係です。.mp3]	<b>彼はプロジェクトの係です。</b> <br> かれはぷろじぇくとのかかりです。 <br><br> (係) <br> He is in charge of the project.
[sound:4c-s-私たちは長い関係を築いてきました。.mp3]	<b>私たちは長い関係を築いてきました。</b> <br> わたしたちはながいかんけいをきずいてきました。 <br><br> (関係) <br> We have built a long relationship.
[sound:4c-s-この件はまだ係争中です。.mp3]	<b>この件はまだ係争中です。</b> <br> このけんはまだけいそうちゅうです。 <br><br> (係争) <br> This issue is still under dispute.
[sound:4c-s-サッカーの連係プレーが素晴らしかった。.mp3]	<b>サッカーの連係プレーが素晴らしかった。</b> <br> さっかーのれんけいぷれーがすばらしかった。 <br><br> (連係プレー) <br> The teamwork in the soccer game was fantastic.
[sound:4c-s-この場所はとても落ち着いた感じです。.mp3]	<b>この場所はとても落ち着いた感じです。</b> <br> このばしょはとてもおちついたかんじです。 <br><br> (感じ) <br> This place has a very calm feeling.
[sound:4c-s-彼は色に敏感な感覚を持っています。.mp3]	<b>彼は色に敏感な感覚を持っています。</b> <br> かれはいろにびんかんなかんかくをもっています。 <br><br> (感覚) <br> He has a keen sense of color.
[sound:4c-s-彼女の感性は非常に鋭いです。.mp3]	<b>彼女の感性は非常に鋭いです。</b> <br> かのじょのかんせいはひじょうにするどいです。 <br><br> (感性) <br> Her sensitivity is extremely sharp.
[sound:4c-s-私はその状況を実感しています。.mp3]	<b>私はその状況を実感しています。</b> <br> わたしはそのじょうきょうをじっかんしています。 <br><br> (実感) <br> I truly feel the situation.
[sound:4c-s-特に重要な問題があります。.mp3]	<b>特に重要な問題があります。</b> <br> とくにじゅうようなもんだいがあります。 <br><br> (特に) <br> There is an especially important issue.
[sound:4c-s-今日は特別な日です。.mp3]	<b>今日は特別な日です。</b> <br> きょうはとくべつなひです。 <br><br> (特別) <br> Today is a special day.
[sound:4c-s-特使として彼は海外に派遣されました。.mp3]	<b>特使として彼は海外に派遣されました。</b> <br> とくしとしてかれはかいがいにはけんされました。 <br><br> (特使) <br> He was sent abroad as a special envoy.
[sound:4c-s-この雑誌には環境問題に関する特集があります。.mp3]	<b>この雑誌には環境問題に関する特集があります。</b> <br> このざっきにはかんきょうもんだいにかんするとくしゅうがあります。 <br><br> (特集) <br> This magazine has a special feature on environmental issues.
[sound:4c-s-彼の情熱は素晴らしいです。.mp3]	<b>彼の情熱は素晴らしいです。</b> <br> かれのじょうねつはすばらしいです。 <br><br> (情) <br> His passion is amazing.
[sound:4c-s-事情が変わったので、予定を変更しました。.mp3]	<b>事情が変わったので、予定を変更しました。</b> <br> じじょうがかわったので、よていをへんこうしました。 <br><br> (事情) <br> The circumstances changed, so I modified the plan.
[sound:4c-s-彼女は情熱的に歌っています。.mp3]	<b>彼女は情熱的に歌っています。</b> <br> かのじょはじょうねつてきにうたっています。 <br><br> (情熱) <br> She is singing passionately.
[sound:4c-s-彼は家族に対して深い愛情を持っています。.mp3]	<b>彼は家族に対して深い愛情を持っています。</b> <br> かれはかぞくにたいしてふかいあいじょうをもっています。 <br><br> (愛情) <br> He has deep affection for his family.
[sound:4c-s-彼は株に投資しています。.mp3]	<b>彼は株に投資しています。</b> <br> かれはかぶにとうししています。 <br><br> (投資) <br> He is investing in stocks.
[sound:4c-s-投手は試合の最初のピッチャーです。.mp3]	<b>投手は試合の最初のピッチャーです。</b> <br> とうしゅはしあいのさいしょのぴっちゃーです。 <br><br> (投手) <br> The pitcher is the first one in the game.
[sound:4c-s-投機は非常にリスクが高いです。.mp3]	<b>投機は非常にリスクが高いです。</b> <br> とうきはひじょうにりすくがたかいです。 <br><br> (投機) <br> Speculation is very risky.
[sound:4c-s-その地域では不法投棄が問題になっています。.mp3]	<b>その地域では不法投棄が問題になっています。</b> <br> そのちいきではふほうとうきがもんだいになっています。 <br><br> (投棄) <br> Illegal dumping is a problem in that area.
[sound:4c-s-彼は明確に意見を示しました。.mp3]	<b>彼は明確に意見を示しました。</b> <br> かれはめいかくにいけんをしめしました。 <br><br> (示す) <br> He clearly expressed his opinion.
[sound:4c-s-上司から指示がありました。.mp3]	<b>上司から指示がありました。</b> <br> じょうしからしじがありました。 <br><br> (指示) <br> I received instructions from my boss.
[sound:4c-s-彼は解決策を提示しました。.mp3]	<b>彼は解決策を提示しました。</b> <br> かれはかいけつさくをていじしました。 <br><br> (提示) <br> He proposed a solution.
[sound:4c-s-彼女は意思表示をはっきりしました。.mp3]	<b>彼女は意思表示をはっきりしました。</b> <br> かのじょはいしひょうじをはっきりしました。 <br><br> (意思表示) <br> She clearly showed her intentions.
[sound:4c-s-彼の考え方は少し変わった。.mp3]	<b>彼の考え方は少し変わった。</b> <br> かれのかんがえかたはすこしかわった。 <br><br> (変わった) <br> His way of thinking changed a little.
[sound:4c-s-このルールは変わらない。.mp3]	<b>このルールは変わらない。</b> <br> このるーるはかわらない。 <br><br> (変わらない) <br> This rule does not change.
[sound:4c-s-彼は変な行動をしました。.mp3]	<b>彼は変な行動をしました。</b> <br> かれはへんなこうどうをしました。 <br><br> (変) <br> He behaved strangely.
[sound:4c-s-社会は急速に変革しています。.mp3]	<b>社会は急速に変革しています。</b> <br> しゃかいはきゅうそくにへんかくしています。 <br><br> (変革) <br> Society is undergoing rapid transformation.
[sound:4c-s-彼はボールを打ちました。.mp3]	<b>彼はボールを打ちました。</b> <br> かれはぼーるをうちました。 <br><br> (打つ) <br> He hit the ball.
[sound:4c-s-その選手は本塁打を打ちました。.mp3]	<b>その選手は本塁打を打ちました。</b> <br> そのせんしゅはほんるいだをうちました。 <br><br> (本塁打) <br> The player hit a home run.
[sound:4c-s-ロケットは打ち上げに成功しました。.mp3]	<b>ロケットは打ち上げに成功しました。</b> <br> ろけっとはうちあげにせいこうしました。 <br><br> (打ち上げ) <br> The rocket successfully launched.
[sound:4c-s-状況を打開する方法を考えています。.mp3]	<b>状況を打開する方法を考えています。</b> <br> じょうきょうをだかいするほうほうをかんがえています。 <br><br> (打開) <br> I am thinking of a way to overcome the situation.
[sound:4c-s-男は強い意志を持っています。.mp3]	<b>男は強い意志を持っています。</b> <br> おとこはつよいいしをもっています。 <br><br> (男) <br> The man has a strong will.
[sound:4c-s-男子チームが勝利しました。.mp3]	<b>男子チームが勝利しました。</b> <br> だんしてぃーむがしょうりしました。 <br><br> (男子) <br> The men's team won.
[sound:4c-s-一男が家に帰ってきました。.mp3]	<b>一男が家に帰ってきました。</b> <br> いちなんがいえにかえってきました。 <br><br> (一男) <br> One boy came home.
[sound:4c-s-彼は有名な男優です。.mp3]	<b>彼は有名な男優です。</b> <br> かれはゆうめいなおとこゆうです。 <br><br> (男優) <br> He is a famous actor.
[sound:4c-s-基本的なルールを守りましょう。.mp3]	<b>基本的なルールを守りましょう。</b> <br> きほんてきなるーるをまもりましょう。 <br><br> (基本) <br> Let’s follow the basic rules.
[sound:4c-s-この試験の基準は非常に高いです。.mp3]	<b>この試験の基準は非常に高いです。</b> <br> このしけんのきじゅんはひじょうにたかいです。 <br><br> (基準) <br> The standard for this exam is very high.
[sound:4c-s-基幹産業の発展が経済を支えています。.mp3]	<b>基幹産業の発展が経済を支えています。</b> <br> きかんさんぎょうのはってんがけいざいをささえています。 <br><br> (基幹) <br> The development of core industries supports the economy.
[sound:4c-s-基軸通貨はアメリカドルです。.mp3]	<b>基軸通貨はアメリカドルです。</b> <br> きじくつうかはあめりかどるです。 <br><br> (基軸) <br> The key currency is the U.S. dollar.
[sound:4c-s-私は日本に住んでいます。.mp3]	<b>私は日本に住んでいます。</b> <br> わたしはにほんにすんでいます。 <br><br> (私) <br> I live in Japan.
[sound:4c-s-私立の学校に通っています。.mp3]	<b>私立の学校に通っています。</b> <br> しりつのがっこうにかよっています。 <br><br> (私立) <br> I attend a private school.
[sound:4c-s-彼は私文書を紛失しました。.mp3]	<b>彼は私文書を紛失しました。</b> <br> かれはしぶんしょをふんしつしました。 <br><br> (私文書) <br> He lost his private document.
[sound:4c-s-私設の図書館は静かで快適です。.mp3]	<b>私設の図書館は静かで快適です。</b> <br> しせつのとしょかんはしずかでかいてきです。 <br><br> (私設) <br> The private library is quiet and comfortable.
[sound:4c-s-各自の役割をしっかり果たしてください。.mp3]	<b>各自の役割をしっかり果たしてください。</b> <br> かくじのやくわりをしっかりはたしてください。 <br><br> (各自) <br> Please fulfill each person's role properly.
[sound:4c-s-日本には多くの各種学校があります。.mp3]	<b>日本には多くの各種学校があります。</b> <br> にほんにはおおくのかくしゅがっこうがあります。 <br><br> (各種学校) <br> There are many types of schools in Japan.
[sound:4c-s-各員が自分の仕事を終えました。.mp3]	<b>各員が自分の仕事を終えました。</b> <br> かくいんがじぶんのしごとをおえました。 <br><br> (各員) <br> Each member has finished their work.
[sound:4c-s-各駅停車の電車が遅れています。.mp3]	<b>各駅停車の電車が遅れています。</b> <br> かくえきていしゃのでんしゃがおくれています。 <br><br> (各駅) <br> The local train is delayed at every station.
[sound:4c-s-会議は10時に開始されます。.mp3]	<b>会議は10時に開始されます。</b> <br> かいぎはじゅうじにかいしされます。 <br><br> (開始) <br> The meeting will start at 10 o'clock.
[sound:4c-s-新しい冒険の始まりです。.mp3]	<b>新しい冒険の始まりです。</b> <br> あたらしいぼうけんのはじまりです。 <br><br> (始まり) <br> This is the beginning of a new adventure.
[sound:4c-s-始発の電車は6時に出発します。.mp3]	<b>始発の電車は6時に出発します。</b> <br> しはつのでんしゃはろくじにしゅっぱつします。 <br><br> (始発) <br> The first train departs at 6 AM.
[sound:4c-s-手始めに簡単な問題を解いてみましょう。.mp3]	<b>手始めに簡単な問題を解いてみましょう。</b> <br> てはじめにかんたんなもんだいをといてみましょう。 <br><br> (手始め) <br> Let’s start by solving some simple problems.
[sound:4c-s-この島はとても美しいです。.mp3]	<b>この島はとても美しいです。</b> <br> このしまはとても美しいです。 <br><br> (島) <br> This island is very beautiful.
[sound:4c-s-朝鮮半島は東アジアに位置しています。.mp3]	<b>朝鮮半島は東アジアに位置しています。</b> <br> ちょうせんはんとうはひがしあじあにいちしています。 <br><br> (朝鮮半島) <br> The Korean Peninsula is located in East Asia.
[sound:4c-s-日本は島国です。.mp3]	<b>日本は島国です。</b> <br> にほんはしまぐにです。 <br><br> (島国) <br> Japan is an island nation.
[sound:4c-s-離島へ行くには船を使う必要があります。.mp3]	<b>離島へ行くには船を使う必要があります。</b> <br> りとうへいくにはふねをつかうひつようがあります。 <br><br> (離島) <br> You need to take a ferry to go to the remote island.
[sound:4c-s-直に彼に会う予定です。.mp3]	<b>直に彼に会う予定です。</b> <br> なおにかれにあうよていです。 <br><br> (直) <br> I plan to meet him directly.
[sound:4c-s-直ちに行動を起こしてください。.mp3]	<b>直ちに行動を起こしてください。</b> <br> ただちにこうどうをおこしてください。 <br><br> (直ちに) <br> Please take action immediately.
[sound:4c-s-正直に言うと、それは無理です。.mp3]	<b>正直に言うと、それは無理です。</b> <br> しょうじきにいうと、それはむりです。 <br><br> (正直) <br> Honestly speaking, it’s impossible.
[sound:4c-s-彼は素直な性格です。.mp3]	<b>彼は素直な性格です。</b> <br> かれはすなおなせいかくです。 <br><br> (素直) <br> He has a straightforward personality.
[sound:4c-s-両国の関係は良好です。.mp3]	<b>両国の関係は良好です。</b> <br> りょうこくのかんけいはりょうこうです。 <br><br> (両国) <br> The relationship between both countries is good.
[sound:4c-s-両党が協議を行いました。.mp3]	<b>両党が協議を行いました。</b> <br> りょうとうがきょうぎをおこないました。 <br><br> (両党) <br> Both parties held discussions.
[sound:4c-s-両方の意見を聞きたいです。.mp3]	<b>両方の意見を聞きたいです。</b> <br> りょうほうのいけんをききたいです。 <br><br> (両方) <br> I want to hear both opinions.
[sound:4c-s-この問題には両面があります。.mp3]	<b>この問題には両面があります。</b> <br> このもんだいにはりょうめんがあります。 <br><br> (両面) <br> This issue has two sides.
[sound:4c-s-朝の空気は爽やかです。.mp3]	<b>朝の空気は爽やかです。</b> <br> あさのくうきはさわやかです。 <br><br> (朝) <br> The morning air is refreshing.
[sound:4c-s-北朝鮮のニュースを読んだ。.mp3]	<b>北朝鮮のニュースを読んだ。</b> <br> きたちょうせんのニュースをよんだ。 <br><br> (北朝鮮) <br> I read the news about North Korea.
[sound:4c-s-朝食はパンとコーヒーです。.mp3]	<b>朝食はパンとコーヒーです。</b> <br> ちょうしょくはパンとコーヒーです。 <br><br> (朝食) <br> Breakfast is bread and coffee.
[sound:4c-s-毎朝ジョギングをします。.mp3]	<b>毎朝ジョギングをします。</b> <br> まいあさジョギングをします。 <br><br> (毎朝) <br> I go jogging every morning.
[sound:4c-s-このバッグは革製です。.mp3]	<b>このバッグは革製です。</b> <br> このバッグはかわせいです。 <br><br> (革) <br> This bag is made of leather.
[sound:4c-s-政府は改革を進めています。.mp3]	<b>政府は改革を進めています。</b> <br> せいふはかいかくをすすめています。 <br><br> (改革) <br> The government is promoting reform.
[sound:4c-s-農地改革が実施されました。.mp3]	<b>農地改革が実施されました。</b> <br> のうちかいかくがじっしされました。 <br><br> (農地改革) <br> Agricultural reform was implemented.
[sound:4c-s-革靴を磨きました。.mp3]	<b>革靴を磨きました。</b> <br> かわぐつをみがきました。 <br><br> (革靴) <br> I polished my leather shoes.
[sound:4c-s-この商品の価格は高いです。.mp3]	<b>この商品の価格は高いです。</b> <br> このしょうひんのかかくはたかいです。 <br><br> (価格) <br> This product is expensive.
[sound:4c-s-今日の株価は下がりました。.mp3]	<b>今日の株価は下がりました。</b> <br> きょうのかぶかはさがりました。 <br><br> (株価) <br> Today's stock prices went down.
[sound:4c-s-米価が上昇しています。.mp3]	<b>米価が上昇しています。</b> <br> べいかがじょうしょうしています。 <br><br> (米価) <br> Rice prices are increasing.
[sound:4c-s-時価で販売されています。.mp3]	<b>時価で販売されています。</b> <br> じかではんばいされています。 <br><br> (時価) <br> It is sold at market price.
